 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Le | value
#id=1
#text=Det er et skatteforslag, der skal gøre, at det hul, man har skabt i statskassen via ufinansierede skattereformer, ikke bliver større, end det allerede er.
1-1	Det	det	PP:s-un:--:-3n-	_	
1-2	er	være	VF:----:sa:----	_	
1-3	et	en	PI:s-un:--:----	_	
1-4	skatteforslag	eforslag	NC:siun:--:----	_	
1-5	,	,	ZD	_	
1-6	der	der	US:----:--:----	_	
1-7	skal	skulle	VF:----:sa:----	_	
1-8	gøre	gøre	VI:----:-a:----	_	
1-9	,	,	ZD	_	
1-10	at	at	CS:----:--:----	_	
1-11	det	den	PM:s-un:--:----	_	
1-12	hul	hul	NC:siun:--:----	hul_2b	
1-13	,	,	ZD	_	
1-14	man	man	PI:#-uc:--:----	_	
1-15	har	have	VF:----:sa:----	_	
1-16	skabt	skabe	VT:siu#:t-:----	_	
1-17	i	i	T-:----:--:----	_	
1-18	statskassen	statskasse	NC:sduc:--:----	_	
1-19	via	via	T-:----:--:----	_	
1-20	ufinansierede	ufinansieret	AC:p#u#:--:p---	_	
1-21	skattereformer	skattereform	NC:piu#:--:----	_	
1-22	,	,	ZD	_	
1-23	ikke	ikke	D-:----:--:u---	_	
1-24	bliver	blive	VF:----:sa:----	_	
1-25	større	stor	AD:----:--:c---	_	
1-26	,	,	ZD	_	
1-27	end	end	CS:----:--:----	_	
1-28	det	det	PP:s-un:--:-3n-	_	
1-29	allerede	allerede	D-:----:--:u---	_	
1-30	er	e	VF:----:sa:----	_	
1-31	.	.	ZP	_	

#id=2
#text=Kunne vi så ikke bare få den erkendelse, at det er en lille _ der er blevet til en mindre _ lap på det hul, regeringen har skabt i statskassen, og som gør, at vi står over for 95 mia. kr.
2-1	Kunne	kunne	VF:----:ta:----	_	
2-2	vi	vi	PP:p-nc:--:-1n-	_	
2-3	så	så	D-:----:--:u---	_	
2-4	ikke	ikke	D-:----:--:u---	_	
