 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Le | value
#id=1
#text=At det går mere ud på at modellerne skal se vildt erotiske og næsten desperate sextrængende ud, istedet for at reklamere for det, reklamen nu er der for...
1-1	At	at	CS:----:--:----	_	
1-2	det	det	PP:s-un:--:-3n-	_	
1-3	går	gå	VF:----:sa:----	_	
1-4	mere	megen	AD:----:--:c---	_	
1-5	ud	ud	D-:----:--:u---	_	
1-6	på	på	T-:----:--:----	_	
1-7	at	at	CS:----:--:----	_	
1-8	modellerne	model|model-2|model-1a|model-1|model-4|model-F-stå-model-til|model-6-6a|model-5|model-3	NC:pdu#:--:----	model_6_6a	
1-9	skal	skulle	VF:----:sa:----	_	
1-10	se	se	VI:----:-a:----	_	
1-11	vildt	vild	AD:----:--:p---	_	
1-12	erotiske	erotisk	AC:p#u#:--:p---	_	
1-13	og	og	CC:----:--:----	_	
1-14	næsten	næsten	D-:----:--:u---	_	
1-15	desperate	desperat	AC:p#u#:--:p---	_	
1-16	sextrængende	sextrænge	VP:##u#:s-:----	_	
1-17	ud	ud	D-:----:--:u---	_	
1-18	,	,	ZD	_	
1-19	istedet	istedet	D-:----:--:u---	_	
1-20	for	for	T-:----:--:----	_	
1-21	at	at	UI:----:--:----	_	
1-22	reklamere	reklamere	VI:----:-a:----	_	
1-23	for	for	T-:----:--:----	_	
1-24	det	det	PP:s-un:--:-3n-	_	
1-25	,	,	ZD	_	
1-26	reklamen	reklame	NC:sduc:--:----	_	
1-27	nu	nu	D-:----:--:u---	_	
1-28	er	være	VF:----:sa:----	_	
1-29	der	der	US:----:--:----	_	
1-30	for	for	T-:----:--:----	_	
1-31	.	.	ZP	_	
1-32	.	.	ZP	_	
1-33	.	.	ZP	_	

#id=2
#text= Sex optager mere og mere af vores hverdag, og det skal proppes ind hvor det nu engang kan - Nytækningen er ikke at modeller skal symbolisere sex (Har de gjort siden de opfandtes, tror jeg) men at det skal være mere ekstremt og attraktivt.
2-1	Sex	sex	NC:siuc:--:----	_	
2-2	optager	optage	VF:----:sa:----	_	
2-3	mere	megen	AD:----:--:c---	_	
2-4	og	og	CC:----:--:----	_	
2-5	mere	megen	AD:----:--:c---	_	
2-6	af	af	T-:----:--:----	_	
2-7	vores	vores	PO:#--#:--:-1np	_	
2-8	hverdag	hverdag	NC:siuc:--:----	_	
2-9	,	,	ZD	_	
2-10	og	og	CC:----:--:----	_	
2-11	det	det	PP:s-un:--:-3n-	_	
2-12	skal	skulle	VF:----:sa:----	_	
2-13	proppes	proppe	VI:----:-p:----	_	
2-14	ind	ind	D-:----:--:u---	_	
2-15	hvor	hvor	D-:----:--:u---	_	
2-16	det	det	PP:s-un:--:-3n-	_	
2-17	nu	nu	D-:----:--:u---	_	
2-18	engang	engang	D-:----:--:u---	_	
2-19	kan	kunne	VF:----:sa:----	_	
2-20	-	-	NC:piu#:--:----	_	
2-21	Nytækningen	Nytækningen	NP:siu#:--:----	_	
2-22	er	være	VF:----:sa:----	_	
2-23	ikke	ikke	D-:----:--:u---	_	
2-24	at	at	CS:----:--:----	_	
2-25	modeller	model|model-F-stå-model-til|model-1a|model-1|model-2|model-3|model-4|model-6-6a|model-5	NC:piu#:--:----	model_6_6a	
2-26	skal	skulle	VF:----:sa:----	_	
2-27	symbolisere	symbolisere	VI:----:-a:----	_	
2-28	sex	sex	NC:siuc:--:----	_	
2-29	(	(	ZD	_	
2-30	Har	have	VF:----:sa:----	_	
2-31	de	de	PP:p-n#:--:-3n-	_	
2-32	gjort	gøre	VT:siu#:t-:----	_	
2-33	siden	siden	D-:----:--:u---	_	
2-34	de	de	PP:p-n#:--:-3n-	_	
2-35	opfandtes	opfinde	VF:----:tp:----	_	
2-36	,	,	ZD	_	
2-37	tror	tro	VF:----:sa:----	_	
2-38	jeg	jeg	PP:s-nc:--:-1n-	_	
2-39	)	)	ZD	_	
2-40	men	men	CC:----:--:----	_	
2-41	at	at	CS:----:--:----	_	
2-42	det	det	PP:s-un:--:-3n-	_	
2-43	skal	skulle	VF:----:sa:----	_	
2-44	være	være	VI:----:-a:----	_	
2-45	mere	megen	AD:----:--:c---	_	
2-46	ekstremt	ekstrem	AC:siun:--:p---	_	
2-47	og	og	CC:----:--:----	_	
2-48	attraktivt	attraktiv	AD:----:--:p---	_	
2-49	.	.	ZP	_	

#id=3
#text= Kan godt gå med til unisex modeller.
3-1	Kan	kunne	VF:----:sa:----	_	
3-2	godt	god	AD:----:--:p---	_	
3-3	gå	gå	VI:----:-a:----	_	
3-4	med	med	D-:----:--:u---	_	
3-5	til	til	T-:----:--:----	_	
3-6	unisex	unisex	AD:----:--:p---	_	
3-7	modeller	model|model-6-6a|model-F-stå-model-til|model-5|model-2|model-3|model-4|model-1|model-1a	NC:piu#:--:----	model_1a_5	
3-8	.	.	ZP	_	

