 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexical | value
#id=1
#text=Louisiana myldrede med mennesker (også en hel del, for hvem selviscenesættelse så ud til at være vigtigt! (tænk, så føler jeg mig så dejligt almindelig)), men der blev også plads til mandens og mine nysgerrige blikke på Ernsts detaljerige, underfundige værker.
1-1	Louisiana	Louisiana	NP:siu#:--:----	_	
1-2	myldrede	myldre	VF:----:ta:----	_	
1-3	med	med	T-:----:--:----	_	
1-4	mennesker	menneske	NC:piu#:--:----	_	
1-5	(	(	ZD	_	
1-6	også	også	D-:----:--:u---	_	
1-7	en	en	PI:s-uc:--:----	_	
1-8	hel	hel	AC:siuc:--:p---	_	
1-9	del	del	NC:siuc:--:----	_	
1-10	,	,	ZD	_	
1-11	for	for	CC:----:--:----	_	
1-12	hvem	hvem	PR:#-uc:--:----	_	
1-13	selviscenesættelse	selviscenesættelse	NC:siuc:--:----	_	
1-14	så	så	--:u---	_	
1-15	ud	ud	D-:----:--:u---	_	
1-16	til	til	T-:----:--:----	_	
1-17	at	at	UI:----:--:----	_	
1-18	være	være	VI:----:-a:----	_	
1-19	vigtigt	vigtig	AC:siun:--:p---	_	
1-20	!	!	ZP	_	
1-21	(	(	ZD	_	
1-22	tænk	tænke	VM:----:--:----	_	
1-23	,	,	ZD	_	
1-24	så	så	D-:----:--:u---	_	
1-25	føler	føle	VF:----:sa:----	_	
1-26	jeg	jeg	PP:s-nc:--:-1n-	_	
1-27	mig	jeg	PP:s-uc:--:-1#-	_	
1-28	så	så	D-:----:--:u---	_	
1-29	dejligt	dejlig	AD:----:--:p---	_	
1-30	almindelig	almindelig	AC:siuc:--:p---	_	
1-31	)	)	ZD	_	
1-32	)	)	ZD	_	
1-33	,	,	ZD	_	
1-34	men	men	CC:----:--:----	_	
1-35	der	der	US:----:--:----	_	
1-36	blev	blive	VF:----:ta:----	_	
1-37	også	også	D-:----:--:u---	_	
1-38	plads	plads|plads-1|plads-7|plads-6|plads-5|plads-4-4a|plads-3-3a|plads-2b-2c|plads-2-2a|plads-1a|plads-F-løbe/rende-af-pladsen|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-tage-plads|plads-F-sætte-tingene-på-plads|plads-F-på-pladserne|plads-F-på-plads|plads-F-(på)-plads|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-en-plads-i-solen|plads-F-brikkerne-falder-på-plads|plads-F-banke/sætte-på-plads	NC:siuc:--:----	plads-1a	
1-39	til	til	T-:----:--:----	_	
1-40	mandens	mand	NC:sdgc:--:----	_	
1-41	og	og	CC:----:--:----	_	
1-42	mine	mine	NC:siuc:--:----	_	
1-43	nysgerrige	nysgerrig	AC:p#u#:--:p---	_	
1-44	blikke	blik	NC:piu#:--:----	_	
1-45	på	på	T-:----:--:----	_	
1-46	Ernsts	Ernst	NP:sig#:--:----	_	
1-47	detaljerige	detaljerig	AC:sdu#:--:p---	_	
1-48	,	,	ZD	_	
1-49	underfundige	underfundig	AC:p#u#:--:p---	_	
1-50	værker	værk	NC:piu#:--:----	_	
1-51	.	.	ZP	_	

#id=2
#text=Vi kunne være blevet herhjemme og have brugt lørdagen på at klare  nogle af alle de gøremål, som ikke altid får plads i hverdagen.
2-1	Vi	vi	PP:p-nc:--:-1n-	_	
2-2	kunne	kunne	VF:----:ta:----	_	
2-3	være	være	VI:----:-a:----	_	
2-4	blevet	blive	VT:siu#:t-:----	_	
2-5	herhjemme	herhjemme	D-:----:--:u---	_	
2-6	og	og	CC:----:--:----	_	
2-7	have	have	VI:----:-a:----	_	
2-8	brugt	bruge	VT:siu#:t-:----	_	
2-9	lørdagen	lørdag	NC:sduc:--:----	_	
2-10	på	på	T-:----:--:----	_	
2-11	at	at	UI:----:--:----	_	
2-12	klare	klare	VI:----:-a:----	_	
2-13	nogle	nogen	PI:p-u#:--:----	_	
2-14	af	af	T-:----:--:----	_	
2-15	alle	al	PI:p-u#:--:----	_	
2-16	de	den	PM:p-u#:--:----	_	
2-17	gøremål	gøremål	NC:piu#:--:----	_	
2-18	,	,	ZD	_	
2-19	som	som	US:----:--:----	_	
2-20	ikke	ikke	D-:----:--:u---	_	
2-21	altid	altid	D-:----:--:u---	_	
2-22	får	få	VF:----:sa:----	_	
2-23	plads	plads|plads-1|plads-7|plads-F-på-pladserne|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-tage-plads|plads-F-sætte-tingene-på-plads|plads-F-på-plads|plads-F-(på)-plads|plads-F-løbe/rende-af-pladsen|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-en-plads-i-solen|plads-F-brikkerne-falder-på-plads|plads-F-banke/sætte-på-plads|plads-6|plads-5|plads-4-4a|plads-3-3a|plads-2b-2c|plads-2-2a|plads-1a	NC:siuc:--:----	plads-1a	
2-24	i	i	T-:----:--:----	_	
2-25	hverdagen	hverdag	NC:sduc:--:----	_	
2-26	.	.	ZP	_	

#id=3
#text= Og man skal virkelig være i det flinke hjørne, hvis sofaen skal give plads til mere end en selv.
3-1	Og	og	CC:----:--:----	_	
3-2	man	man	PI:#-uc:--:----	_	
3-3	skal	skulle	VF:----:sa:----	_	
3-4	virkelig	virkelig	D-:----:--:u---	_	
3-5	være	være	VI:----:-a:----	_	
3-6	i	i	T-:----:--:----	_	
3-7	det	den	PM:s-un:--:----	_	
3-8	flinke	flink	AC:sdu#:--:p---	_	
3-9	hjørne	hjørne	NC:siun:--:----	_	
3-10	,	,	ZD	_	
3-11	hvis	hvis	CS:----:--:----	_	
3-12	sofaen	sofa	NC:sduc:--:----	_	
3-13	skal	skulle	VF:----:sa:----	_	
3-14	give	give	VI:----:-a:----	_	
3-15	plads	plads|plads-F-være-på-sin-plads|plads-1|plads-2b-2c|plads-4-4a|plads-3-3a|plads-2-2a|plads-1a|plads-F-en-plads-i-solen|plads-F-(på)-plads|plads-F-løbe/rende-af-pladsen|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-brikkerne-falder-på-plads|plads-F-banke/sætte-på-plads|plads-7|plads-6|plads-5|plads-F-vige-pladsen|plads-F-tage-plads|plads-F-sætte-tingene-på-plads|plads-F-på-pladserne|plads-F-på-plads	NC:siuc:--:----	plads-1-2-2a-3-3a	
3-16	til	til	T-:----:--:----	_	
3-17	mere	megen	AC:##u#:--:c---	_	
3-18	end	end	CS:----:--:----	_	
3-19	en	en	PI:s-uc:--:----	_	
3-20	selv	selv	D-:----:--:u---	_	
3-21	.	.	ZP	_	

#id=4
#text= En brillant plads til at glo ud i luften fra.
4-1	En	en	PI:s-uc:--:----	_	
4-2	brillant	brillant	NC:siuc:--:----	_	
4-3	plads	plads|plads-2-2a|plads-1a|plads-1|plads-5|plads-F-brikkerne-falder-på-plads|plads-F-(på)-plads|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-tage-plads|plads-F-sætte-tingene-på-plads|plads-F-på-pladserne|plads-F-på-plads|plads-F-løbe/rende-af-pladsen|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-en-plads-i-solen|plads-F-banke/sætte-på-plads|plads-7|plads-6|plads-4-4a|plads-3-3a|plads-2b-2c	NC:siuc:--:----	plads-1-2-2a-3-3a	
4-4	til	til	T-:----:--:----	_	
4-5	at	at	UI:----:--:----	_	
4-6	glo	glo	VI:----:-a:----	_	
4-7	ud	ud	D-:----:--:u---	_	
4-8	i	i	T-:----:--:----	_	
4-9	luften	luft	NC:sduc:--:----	_	
4-10	fra	fra	T-:----:--:----	_	
4-11	.	.	ZP	_	

#id=5
#text= Bøgerne havde allerede en fyldig plads i mit liv, da jeg var barn og teenager.
5-1	Bøgerne	bog	NC:pdu#:--:----	_	
5-2	havde	have	VF:----:ta:----	_	
5-3	allerede	allerede	D-:----:--:u---	_	
5-4	en	en	PI:s-uc:--:----	_	
5-5	fyldig	fyldig	AC:siuc:--:p---	_	
5-6	plads	plads|plads-1a|plads-4-4a|plads-5|plads-3-3a|plads-2b-2c|plads-2-2a|plads-1|plads-F-banke/sætte-på-plads|plads-F-sætte-tingene-på-plads|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-tage-plads|plads-F-på-pladserne|plads-F-på-plads|plads-F-(på)-plads|plads-F-løbe/rende-af-pladsen|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-en-plads-i-solen|plads-F-brikkerne-falder-på-plads|plads-7|plads-6	NC:siuc:--:----	plads-2b-2c	
5-7	i	i	T-:----:--:----	_	
5-8	mit	min	PO:s--n:--:-1ns	_	
5-9	liv	liv	NC:siun:--:----	_	
5-10	,	,	ZD	_	
5-11	da	da	CS:----:--:----	_	
5-12	jeg	jeg	PP:s-nc:--:-1n-	_	
5-13	var	være	VF:----:ta:----	_	
5-14	barn	barn	NC:siun:--:----	_	
5-15	og	og	CC:----:--:----	_	
5-16	teenager	teenager	NC:siuc:--:----	_	
5-17	.	.	ZP	_	

#id=6
#text= Nu om dage har bøgerne kun plads i privatlivet, og jeg læser næsten kun skønlitteratur.
6-1	Nu	nu	D-:----:--:u---	_	
6-2	om	om	T-:----:--:----	_	
6-3	dage	dag	NC:piu#:--:----	_	
6-4	har	have	VF:----:sa:----	_	
6-5	bøgerne	bog	NC:pdu#:--:----	_	
6-6	kun	kun	D-:----:--:u---	_	
6-7	plads	plads|plads-1|plads-3-3a|plads-5|plads-4-4a|plads-2b-2c|plads-2-2a|plads-1a|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-på-pladserne|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-tage-plads|plads-F-sætte-tingene-på-plads|plads-F-på-plads|plads-F-(på)-plads|plads-F-løbe/rende-af-pladsen|plads-F-en-plads-i-solen|plads-F-brikkerne-falder-på-plads|plads-F-banke/sætte-på-plads|plads-7|plads-6	NC:siuc:--:----	plads-2b-2c	
6-8	i	i	T-:----:--:----	_	
6-9	privatlivet	privatliv	NC:sdun:--:----	_	
6-10	,	,	ZD	_	
6-11	og	og	CC:----:--:----	_	
6-12	jeg	jeg	PP:s-nc:--:-1n-	_	
6-13	læser	læse	VF:----:sa:----	_	
6-14	næsten	næsten	D-:----:--:u---	_	
6-15	kun	kun	D-:----:--:u---	_	
6-16	skønlitteratur	skønlitteratur	NC:siuc:--:----	_	
6-17	.	.	ZP	_	

#id=7
#text= I adstadigt tempo og  med god plads til pauser.
7-1	I	i	T-:----:--:----	_	
7-2	adstadigt	adstadig	AC:siun:--:p---	_	
7-3	tempo	tempo	NC:siun:--:----	_	
7-4	og	og	CC:----:--:----	_	
7-5	med	med	T-:----:--:----	_	
7-6	god	god	AC:siuc:--:p---	_	
7-7	plads	plads|plads-6|plads-F-banke/sætte-på-plads|plads-7|plads-5|plads-4-4a|plads-3-3a|plads-1|plads-2-2a|plads-1a|plads-2b-2c|plads-F-en-plads-i-solen|plads-F-på-plads|plads-F-vige-pladsen|plads-F-være-på-sin-plads|plads-F-tage-plads|plads-F-sætte-tingene-på-plads|plads-F-på-pladserne|plads-F-(på)-plads|plads-F-løbe/rende-af-pladsen|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-brikkerne-falder-på-plads	NC:siuc:--:----	plads-1a	
7-8	til	til	T-:----:--:----	_	
7-9	pauser	pause	NC:piu#:--:----	_	
7-10	.	.	ZP	_	

#id=8
#text= Tre fejl og et mellemrum for meget puttet ind på så lidt plads.
8-1	Tre	tre	LC:--u-:--:----	_	
8-2	fejl	fejl	NC:piu#:--:----	_	
8-3	og	og	CC:----:--:----	_	
8-4	et	en	PI:s-un:--:----	_	
8-5	mellemrum	mellemrum	NC:siun:--:----	_	
8-6	for	for	T-:----:--:----	_	
8-7	meget	megen	AD:----:--:p---	_	
8-8	puttet	putte	VT:siu#:t-:----	_	
8-9	ind	ind	D-:----:--:u---	_	
8-10	på	på	T-:----:--:----	_	
8-11	så	så	D-:----:--:u---	_	
8-12	lidt	lidt	AC:siu§:--:p---	_	
8-13	plads	plads|plads-2-2a|plads-2b-2c|plads-1a|plads-1|plads-5|plads-F-brikkerne-falder-på-plads|plads-F-(på)-plads|plads-F-på-plads|plads-F-løbe/rende-af-pladsen|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-en-plads-i-solen|plads-F-banke/sætte-på-plads|plads-7|plads-6|plads-4-4a|plads-3-3a|plads-F-tage-plads|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-sætte-tingene-på-plads|plads-F-på-pladserne	NC:siuc:--:----	plads-1-2-2a-3-3a	
8-14	.	.	ZP	_	

#id=9
#text= Så det essentielle er på plads.
9-1	Så	så	D-:----:--:u---	_	
9-2	det	den	PM:s-un:--:----	_	
9-3	essentielle	essentiel	AC:sdu#:--:p---	_	
9-4	er	være	VF:----:sa:----	_	
9-5	på	på	T-:----:--:----	_	
9-6	plads	plads|plads-4-4a|plads-F-banke/sætte-på-plads|plads-F-brikkerne-falder-på-plads|plads-7|plads-6|plads-5|plads-3-3a|plads-1a|plads-2-2a|plads-1|plads-2b-2c|plads-F-løbe/rende-af-pladsen|plads-F-sætte-tingene-på-plads|plads-F-vige-pladsen|plads-F-være-på-sin-plads|plads-F-tage-plads|plads-F-på-pladserne|plads-F-på-plads|plads-F-(på)-plads|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-en-plads-i-solen	NC:siuc:--:----	plads-F-på-plads	
9-7	.	.	ZP	_	

#id=10
#text= Derimod virker en plads i sengen ret tiltrækkende, mener hun, min sejlende teenager.
10-1	Derimod	derimod	D-:----:--:u---	_	
10-2	virker	virke	VF:----:sa:----	_	
10-3	en	en	PI:s-uc:--:----	_	
10-4	plads	plads|plads-F-banke/sætte-på-plads|plads-2-2a|plads-1a|plads-1|plads-3-3a|plads-7|plads-6|plads-5|plads-4-4a|plads-2b-2c|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-(på)-plads|plads-F-på-pladserne|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-tage-plads|plads-F-sætte-tingene-på-plads|plads-F-på-plads|plads-F-løbe/rende-af-pladsen|plads-F-en-plads-i-solen|plads-F-brikkerne-falder-på-plads	NC:siuc:--:----	plads-1-2-2a-3-3a	
10-5	i	i	--	_	
10-6	sengen	seng	NC:sduc:--:----	_	
10-7	ret	ret	D-:----:--:u---	_	
10-8	tiltrækkende	tiltrækkende	AC:§§u§:--:p---	_	
10-9	,	,	ZD	_	
10-10	mener	mene	VF:----:sa:----	_	
10-11	hun	hun	PP:s-nc:--:-3n-	_	
10-12	,	,	ZD	_	
10-13	min	min	XY:----:--:----	_	
10-14	sejlende	sejle	VP:##u#:s-:----	_	
10-15	teenager	teenager	NC:siuc:--:----	_	
10-16	.	.	ZP	_	

#id=11
#text= Her har jeg reserveret plads til os, så vi kan drikke en kop kaffe eller en øl eller hvad hjertet ellers måtte begære, mens vi udveksler første læs af ord.
11-1	Her	her	D-:----:--:u---	_	
11-2	har	have	VF:----:sa:----	_	
11-3	jeg	jeg	PP:s-nc:--:-1n-	_	
11-4	reserveret	reservere	VT:siu#:t-:----	_	
11-5	plads	plads|plads-F-vige-pladsen|plads-F-være-på-sin-plads|plads-F-tage-plads|plads-F-sætte-tingene-på-plads|plads-F-på-pladserne|plads-3-3a|plads-1|plads-2b-2c|plads-2-2a|plads-1a|plads-6|plads-F-banke/sætte-på-plads|plads-F-en-plads-i-solen|plads-F-på-plads|plads-F-(på)-plads|plads-F-løbe/rende-af-pladsen|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-brikkerne-falder-på-plads|plads-7|plads-5|plads-4-4a	NC:siuc:--:----	plads-1-2-2a-3-3a	
11-6	til	til	T-:----:--:----	_	
11-7	os	vi	PP:p-uc:--:-1#-	_	
11-8	,	,	ZD	_	
11-9	så	så	CS:----:--:----	_	
11-10	vi	vi	PP:p-nc:--:-1n-	_	
11-11	kan	kunne	VF:----:sa:----	_	
11-12	drikke	drikke	VI:----:-a:----	_	
11-13	en	en	PI:s-uc:--:----	_	
11-14	kop	kop	NC:siuc:--:----	_	
11-15	kaffe	kaffe	NC:siuc:--:----	_	
11-16	eller	eller	CC:----:--:----	_	
11-17	en	en	PI:s-uc:--:----	_	
11-18	øl	øl	NC:siuc:--:----	_	
11-19	eller	eller	CC:----:--:----	_	
11-20	hvad	hvad	PR:s-u#:--:----	_	
11-21	hjertet	hjerte	NC:sdun:--:----	_	
11-22	ellers	ellers	D-:----:--:u---	_	
11-23	måtte	måtte	VF:----:ta:----	_	
11-24	begære	begære	VI:----:-a:----	_	
11-25	,	,	ZD	_	
11-26	mens	mens	CS:----:--:----	_	
11-27	vi	vi	PP:p-nc:--:-1n-	_	
11-28	udveksler	udveksle	VF:----:sa:----	_	
11-29	første	første	AC:§§u§:--:p---	_	
11-30	læs	læs	XY:----:--:----	_	
11-31	af	af	T-:----:--:----	_	
11-32	ord	ord	NC:siun:--:----	_	
11-33	.	.	ZP	_	

#id=12
#text= På at installere styresystem, flytte data, finde programmer frem og få dem på plads igen (og investere i dem, der manglede).
12-1	På	på	T-:----:--:----	_	
12-2	at	at	UI:----:--:----	_	
12-3	installere	installere	---:-a:----	_	
12-4	styresystem	styresystem	NC:siun:--:----	_	
12-5	,	,	ZD	_	
12-6	flytte	flytte	VI:----:-a:----	_	
12-7	data	data	NC:siun:--:----	_	
12-8	,	,	ZD	_	
12-9	finde	finde	VI:----:-a:----	_	
12-10	programmer	program	NC:piu#:--:----	_	
12-11	frem	frem	D-:----:--:u---	_	
12-12	og	og	CC:----:--:----	_	
12-13	få	få	VI:----:-a:----	_	
12-14	dem	de	PP:p-u#:--:-3n-	_	
12-15	på	på	T-:----:--:----	_	
12-16	plads	plads|plads-F-(på)-plads|plads-F-tage-plads|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-sætte-tingene-på-plads|plads-F-på-pladserne|plads-F-på-plads|plads-F-løbe/rende-af-pladsen|plads-3-3a|plads-4-4a|plads-2b-2c|plads-1|plads-2-2a|plads-1a|plads-5|plads-F-brikkerne-falder-på-plads|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-en-plads-i-solen|plads-F-banke/sætte-på-plads|plads-7|plads-6	NC:siuc:--:----	plads-1-2-2a-3-3a	
12-17	igen	igen	D-:----:--:u---	_	
12-18	(	(	ZD	_	
12-19	og	og	CC:----:--:----	_	
12-20	investere	investere	VI:----:-a:----	_	
12-21	i	i	T-:----:--:----	_	
12-22	dem	de	PP:p-u#:--:-3n-	_	
12-23	,	,	ZD	_	
12-24	der	der	US:----:--:----	_	
12-25	manglede	mangle	VF:----:ta:----	_	
12-26	)	)	ZD	_	
12-27	.	.	ZP	_	

#id=13
#text= Manden i mit liv, teenageren og jeg var på plads på tilskuerpladserne, fulde af forventninger.
13-1	Manden	mand	NC:sduc:--:----	_	
13-2	i	i	T-:----:--:----	_	
13-3	mit	min	PO:s--n:--:-1ns	_	
13-4	liv	liv	NC:siun:--:----	_	
13-5	,	,	ZD	_	
13-6	teenageren	teenager	NC:sduc:--:----	_	
