 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexical | value
#id=1
#text=Når der er plads til massive lempelser af finanspolitikken i disse år, skyldes det, at regeringen har afdraget på den offentlige gæld i de gode tider.
1-1	Når	når	CS:----:--:----	_	
1-2	der	der	US:----:--:----	_	
1-3	er	være	VF:----:sa:----	_	
1-4	plads	plads|plads-1|plads-2-2a|plads-1a|plads-F-banke/sætte-på-plads|plads-7|plads-6|plads-5|plads-4-4a|plads-3-3a|plads-2b-2c|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-tage-plads|plads-F-sætte-tingene-på-plads|plads-F-på-pladserne|plads-F-på-plads|plads-F-(på)-plads|plads-F-løbe/rende-af-pladsen|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-en-plads-i-solen|plads-F-brikkerne-falder-på-plads	NC:siuc:--:----	plads-1a	
1-5	til	til	T-:----:--:----	_	
1-6	massive	massiv	AC:p#u#:--:p---	_	
1-7	lempelser	lempelse	NC:piu#:--:----	_	
1-8	af	af	T-:----:--:----	_	
1-9	finanspolitikken	finanspolitik	----	_	
1-10	i	i	T-:----:--:----	_	
1-11	disse	denne	PM:p-u#:--:----	_	
1-12	år	år	NC:piu#:--:----	_	
1-13	,	,	ZD	_	
1-14	skyldes	skylde	VF:----:sp:----	_	
1-15	det	det	PP:s-un:--:-3n-	_	
1-16	,	,	ZD	_	
1-17	at	at	CS:----:--:----	_	
1-18	regeringen	regering	NC:sduc:--:----	_	
1-19	har	have	VF:----:sa:----	_	
1-20	afdraget	afdrage	VT:siu#:t-:----	_	
1-21	på	på	T-:----:--:----	_	
1-22	den	den	PM:s-uc:--:----	_	
1-23	offentlige	offentlig	AC:sdu#:--:p---	_	
1-24	gæld	gæld	NC:siuc:--:----	_	
1-25	i	i	T-:----:--:----	_	
1-26	de	den	PM:p-u#:--:----	_	
1-27	gode	god	AC:p#u#:--:p---	_	
1-28	tider	tid	NC:piu#:--:----	_	
1-29	.	.	ZP	_	

#id=2
#text= Hvis alle medlemmerne er på pladserne og gruppeformændene har styr på grupperne, og det ser det ud til, så starter vi med § 6, og det er udenrigsministeriet.
2-1	Hvis	hvis	CS:----:--:----	_	
2-2	alle	al	PI:p-u#:--:----	_	
2-3	medlemmerne	medlem	NC:pdu#:--:----	_	
2-4	er	være	VF:----:sa:----	_	
2-5	på	på	T-:----:--:----	_	
2-6	pladserne	plads|plads-2b-2c|plads-2-2a|plads-1a|plads-1|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-tage-plads|plads-F-sætte-tingene-på-plads|plads-F-på-pladserne|plads-F-på-plads|plads-F-(på)-plads|plads-F-løbe/rende-af-pladsen|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-en-plads-i-solen|plads-F-brikkerne-falder-på-plads|plads-F-banke/sætte-på-plads|plads-7|plads-6|plads-5|plads-4-4a|plads-3-3a	NC:pdu#:--:----	plads-1-2-2a-3-3a	
2-7	og	og	CC:----:--:----	_	
2-8	gruppeformændene	gruppeformændene	NC:pdu#:--:----	_	
2-9	har	have	VF:----:sa:----	_	
2-10	styr	styr	NC:siun:--:----	_	
2-11	på	på	T-:----:--:----	_	
2-12	grupperne	gruppe	NC:pdu#:--:----	_	
2-13	,	,	ZD	_	
2-14	og	og	CC:----:--:----	_	
2-15	det	det	PP:s-un:--:-3n-	_	
2-16	ser	se	VF:----:sa:----	_	
2-17	det	det	PP:s-un:--:-3n-	_	
2-18	ud	ud	D-:----:--:u---	_	
2-19	til	til	T-:----:--:----	_	
2-20	,	,	ZD	_	
2-21	så	så	D-:----:--:u---	_	
2-22	starter	starte	VF:----:sa:----	_	
2-23	vi	VI	LC:--u-:--:----	_	
2-24	med	medicinae	XF:----:--:----	_	
2-25	§	§	XS:----:--:----	_	
2-26	6	6	LC:--u-:--:----	_	
2-27	,	,	ZD	_	
2-28	og	og	CC:----:--:----	_	
2-29	det	det	PP:s-un:--:-3n-	_	
