 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexical | value
#id=1
#text=Blir' tit' luftet ud, støvsuger 2 gange om måneden og stiller skam også ting på plads :D Det var bare en overdrivelses-joke (en af dem som ik' er sjove) ;)
1-1	Blir	blive	VF:----:sa:----	_	
1-2	'	'	ZA	_	
1-3	tit	tit	D-:----:--:u---	_	
1-4	'	'	XY:----:--:----	_	
1-5	luftet	lufte	VT:siu#:t-:----	_	
1-6	ud	ud	D-:----:--:u---	_	
1-7	,	,	ZD	_	
1-8	støvsuger	støvsuge	VF:----:sa:----	_	
1-9	2	2	LC:--u-:--:----	_	
1-10	gange	gang	NC:piu#:--:----	_	
1-11	om	om	T-:----:--:----	_	
1-12	måneden	måned	NC:sduc:--:----	_	
1-13	og	og	CC:----:--:----	_	
1-14	stiller	stille	VF:----:sa:----	_	
1-15	skam	skam	D-:----:--:u---	_	
1-16	også	også	D-:----:--:u---	_	
1-17	ting	ting	NC:piu#:--:----	_	
1-18	på	på	T-:----:--:----	_	
1-19	plads	plads|plads-1a|plads-1|plads-3-3a|plads-2b-2c|plads-2-2a|plads-4-4a|plads-F-løbe/rende-af-pladsen|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-tage-plads|plads-F-sætte-tingene-på-plads|plads-F-på-pladserne|plads-F-på-plads|plads-F-(på)-plads|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-en-plads-i-solen|plads-F-brikkerne-falder-på-plads|plads-F-banke/sætte-på-plads|plads-7|plads-6|plads-5	NC:siuc:--:----	plads-1-2-2a-3-3a	
1-20	:	:	ZP	_	
1-21	D	D	PP:s-un:--:-3n-	_	
1-22	Det	det	PP:s-un:--:-3n-	_	
1-23	var	være	VF:----:ta:----	_	
1-24	bare	bare	D-:----:--:u---	_	
1-25	en	en	PI:s-uc:--:----	_	
1-26	overdrivelses	overdrivelse	NW:----:--:----	_	
1-27	-	-	ZH	_	
1-28	joke	joke	NC:siuc:--:----	_	
1-29	(	(	ZD	_	
1-30	en	en	PI:s-uc:--:----	_	
1-31	af	af	T-:----:--:----	_	
1-32	dem	de	PP:p-u#:--:-3n-	_	
1-33	som	som	US:----:--:----	_	
1-34	ik	ik	XY:----:--:----	_	
1-35	'	'	ZA	_	
1-36	er	være	VF:----:sa:----	_	
1-37	sjove	sjove	VI:----:-a:----	_	
1-38	)	)	ZD	_	
1-39	;	;	ZP	_	
1-40	)	)	ZD	_	

#id=2
#text= Men jeg ville gerne have datalogi... men der var ikke plads i mit skema.
2-1	Men	men	CC:----:--:----	_	
2-2	jeg	jeg	PP:s-nc:--:-1n-	_	
2-3	ville	ville	VF:----:ta:----	_	
2-4	gerne	gerne	D-:----:--:u---	_	
2-5	have	have	VI:----:-a:----	_	
2-6	datalogi	datalogi	NC:siuc:--:----	_	
2-7	.	.	ZP	_	
2-8	.	.	ZP	_	
2-9	.	.	ZP	_	
2-10	men	men	CC:----:--:----	_	
2-11	der	der	US:----:--:----	_	
2-12	var	være	VF:----:ta:----	_	
2-13	ikke	ikke	D-:----:--:u---	_	
2-14	plads	plads|plads-5|plads-6|plads-4-4a|plads-1a|plads-1|plads-3-3a|plads-2b-2c|plads-2-2a|plads-7|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-(på)-plads|plads-F-på-pladserne|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-tage-plads|plads-F-sætte-tingene-på-plads|plads-F-på-plads|plads-F-løbe/rende-af-pladsen|plads-F-en-plads-i-solen|plads-F-brikkerne-falder-på-plads|plads-F-banke/sætte-på-plads	NC:siuc:--:----	plads-1a	
2-15	i	i	T-:----:--:----	_	
2-16	mit	min	PO:s--n:--:-1ns	_	
2-17	skema	skema	NC:siun:--:----	_	
2-18	.	.	ZP	_	

#id=3
#text= Virkelig sådan noget med ekstra borde og stole, hvor der nu kunne laves lidt plads, og man skulle gå til bords i den helt rigtige rækkefølge. :)
3-1	Virkelig	virkelig	D-:----:--:u---	_	
3-2	sådan	sådan	D-:----:--:u---	_	
3-3	noget	nogen	PI:s-un:--:----	_	
3-4	med	med	T-:----:--:----	_	
3-5	ekstra	ekstra	AC:§§u§:--:p---	_	
3-6	borde	bord	NC:piu#:--:----	_	
3-7	og	og	CC:----:--:----	_	
3-8	stole	stol	NC:piu#:--:----	_	
3-9	,	,	ZD	_	
3-10	hvor	hvor	D-:----:--:u---	_	
3-11	der	der	US:----:--:----	_	
3-12	nu	nu	D-:----:--:u---	_	
3-13	kunne	kunne	VF:----:ta:----	_	
3-14	laves	lave	VI:----:-p:----	_	
3-15	lidt	lidt	AC:siu§:--:p---	_	
3-16	plads	plads|plads-1a|plads-2-2a|plads-1|plads-2b-2c|plads-4-4a|plads-6|plads-F-banke/sætte-på-plads|plads-F-en-plads-i-solen|plads-F-løbe/rende-af-pladsen|plads-F-på-plads|plads-F-sætte-tingene-på-plads|plads-F-vige-pladsen|plads-F-være-på-sin-plads|plads-F-tage-plads|plads-F-på-pladserne|plads-F-(på)-plads|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-brikkerne-falder-på-plads|plads-7|plads-5|plads-3-3a	NC:siuc:--:----	plads-1-2-2a-3-3a	
3-17	,	,	ZD	_	
3-18	og	og	CC:----:--:----	_	
3-19	man	man	PI:#-uc:--:----	_	
3-20	skulle	skulle	VF:----:ta:----	_	
3-21	gå	gå	VI:----:-a:----	_	
3-22	til	til	XY:----:--:----	_	
3-23	bords	bord	NC:sign:--:----	_	
3-24	i	I	NC:siun:--:----	_	
3-25	den	den	PM:s-uc:--:----	_	
