 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Le | value
#id=1
#text=Er man villig til at opgive den flotte rejse for at få et partikelfilter på, eller kører man videre de sidste 2 år af bilens levetid uden partikelfilter til skade for miljøet og med den konsekvens, at der er flere med luftvejssygdomme her i København?
1-1	Er	være	VF:----:sa:----	_	
1-2	man	man	PI:#-uc:--:----	_	
1-3	villig	villig	AC:siuc:--:p---	_	
1-4	til	til	T-:----:--:----	_	
1-5	at	at	UI:----:--:----	_	
1-6	opgive	opgive	VI:----:-a:----	_	
1-7	den	den	PM:s-uc:--:----	_	
1-8	flotte	flot	AC:sdu#:--:p---	_	
1-9	rejse	rejse	NC:siuc:--:----	_	
1-10	for	for	T-:----:--:----	_	
1-11	at	at	UI:----:--:----	_	
1-12	få	få	VI:----:-a:----	_	
1-13	et	en	PI:s-un:--:----	_	
1-14	partikelfilter	partikelfilter	NC:siun:--:----	_	
1-15	på	på	T-:----:--:----	_	
1-16	,	,	ZD	_	
1-17	eller	eller	CC:----:--:----	_	
1-18	kører	køre	VF:----:sa:----	_	
1-19	man	man	PI:#-uc:--:----	_	
1-20	videre	videre	D-:----:--:u---	_	
1-21	de	den	PM:p-u#:--:----	_	
1-22	sidste	sidste	AC:§§u§:--:p---	_	
1-23	2	2	LC:--u-:--:----	_	
1-24	år	år	NC:piu#:--:----	_	
1-25	af	af	--:--:----	_	
1-26	bilens	bil	NC:sdgc:--:----	_	
1-27	levetid	levetid	NC:siuc:--:----	_	
1-28	uden	uden	T-:----:--:----	_	
1-29	partikelfilter	partikelfilter	NC:siun:--:----	_	
1-30	til	til	T-:----:--:----	_	
1-31	skade	skade	NC:siuc:--:----	skade1-1b-1c	
1-32	for	for	T-:----:--:----	_	
1-33	miljøet	miljø	NC:sdun:--:----	_	
1-34	og	og	CC:----:--:----	_	
1-35	med	med	T-:----:--:----	_	
1-36	den	den	PM:s-uc:--:----	_	
1-37	konsekvens	konsekvens	NC:siuc:--:----	_	
1-38	,	,	ZD	_	
