 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Le | value
#id=1
#text=Men han slap uden større skader.
1-1	Men	men	CC:----:--:----	_	
1-2	han	han	PP:s-nc:--:-3n-	_	
1-3	slap	slippe	VF:----:ta:----	_	
1-4	uden	uden	T-:----:--:----	_	
1-5	større	stor	AC:##u#:--:c---	_	
1-6	skader	skade	NC:piu#:--:----	skade1-1a	
1-7	.	.	ZP	_	

#id=2
#text=En langvarig skade i knæet satte for lidt over et år siden en stopper for den rutinerede fodboldspillers fodboldliv.
2-1	En	en	PI:s-uc:--:----	_	
2-2	langvarig	langvarig	AC:siuc:--:p---	_	
2-3	skade	skade	NC:siuc:--:----	skade1-1a	
2-4	i	i	T-:----:--:----	_	
2-5	knæet	knæ	NC:sdun:--:----	_	
2-6	satte	sætte	VF:----:ta:----	_	
2-7	for	for	T-:----:--:----	_	
2-8	lidt	lidt	AD:----:--:p---	_	
2-9	over	over	T-:----:--:----	_	
2-10	et	en	PI:s-un:--:----	_	
2-11	år	år	NC:siun:--:----	_	
2-12	siden	siden	T-:----:--:----	_	
2-13	en	en	PI:s-uc:--:----	_	
2-14	stopper	stopper	NC:siuc:--:----	_	
2-15	for	for	T-:----:--:----	_	
2-16	den	den	PM:s-uc:--:----	_	
2-17	rutinerede	rutineret	AC:sdu#:--:p---	_	
2-18	fodboldspillers	fodboldspiller	NC:sigc:--:----	_	
2-19	fodboldliv	fodboldliv	NC:siun:--:----	_	
2-20	.	.	ZP	_	

#id=3
#text=Hendes holdning til sin kidnapper bekymrer psykologer, der er bange for, at Natascha Kampusch har taget skade og er blevet sær.
3-1	Hendes	hendes	PO:#--#:--:-3ns	_	
3-2	holdning	holdning	NC:siuc:--:----	_	
3-3	til	til	T-:----:--:----	_	
3-4	sin	sin	PO:s--c:--:-3ys	_	
