 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Le | value
#id=1
#text=Med usynlige knytnæveslag banker de skarpe skud de mandsstore metalfigurer ned, lige så hurtigt som billedet af ' fjenden' svipper op.
1-1	Med	med	T-:----:--:----	_	
1-2	usynlige	usynlig	AC:p#u#:--:p---	_	
1-3	knytnæveslag	knytnæveslag	NC:piu#:--:----	_	
1-4	banker	banke	VF:----:sa:----	_	
1-5	de	de	PP:p-n#:--:-3n-	_	
1-6	skarpe	skarp	AC:sdu#:--:p---	_	
1-7	skud	skud	NC:siun:--:----	skud_F_skarpt-skud	
1-8	de	de	PP:p-n#:--:-3n-	_	
1-9	mandsstore	mandsstor	AC:p#u#:--:p---	_	
1-10	metalfigurer	metalfigur	NC:piu#:--:----	_	
1-11	ned	ned	D-:----:--:u---	_	
1-12	,	,	ZD	_	
1-13	lige	lige	D-:----:--:u---	_	
1-14	så	så	D-:----:--:u---	_	
1-15	hurtigt	hurtig	AD:----:--:p---	_	
1-16	som	som	US:----:--:----	_	
1-17	billedet	billede	NC:sdun:--:----	_	
1-18	af	af	D-:----:--:u---	_	
1-19	'	'	ZA	_	
1-20	fjenden	fjende	NW:----:--:----	_	
1-21	'	'	ZA	_	
1-22	svipper	svippe	VF:----:sa:----	_	
1-23	op	op	D-:----:--:u---	_	
1-24	.	.	ZP	_	

#id=2
#text=Der er skarpe skud i kammeret, og her sikrer man ikke sit våben midt i kamp.
2-1	Der	der	US:----:--:----	_	
2-2	er	være	VF:----:sa:----	_	
2-3	skarpe	skarp	AC:p#u#:--:p---	_	
2-4	skud	skud	NC:piu#:--:----	skud_F_skarpt-skud	
2-5	i	i	T-:----:--:----	_	
2-6	kammeret	kammer	NC:sdun:--:----	_	
2-7	,	,	ZD	_	
2-8	og	og	CC:----:--:----	_	
2-9	her	her	D-:----:--:u---	_	
2-10	sikrer	sikre	VF:----:sa:----	_	
2-11	man	man	PI:#-uc:--:----	_	
2-12	ikke	ikke	D-:----:--:u---	_	
2-13	sit	sit	XY:----:--:----	_	
2-14	våben	våben	NC:siun:--:----	_	
2-15	midt	midt	D-:----:--:u---	_	
2-16	i	i	T-:----:--:----	_	
2-17	kamp	kamp	NC:siuc:--:----	_	
2-18	.	.	ZP	_	

#id=3
#text= Det kniber med ammunitionen, kæmpen med maskingeværet vil have mere, han bakser metalslangen på plads, skuddene galper videre.
3-1	Det	det	PP:s-un:--:-3n-	_	
3-2	kniber	knibe	VF:----:sa:----	_	
3-3	med	med	T-:----:--:----	_	
3-4	ammunitionen	ammunition	NC:sduc:--:----	_	
3-5	,	,	ZD	_	
3-6	kæmpen	kæmpe	NC:sduc:--:----	_	
3-7	med	med	T-:----:--:----	_	
3-8	maskingeværet	maskingevær	NC:sdun:--:----	_	
3-9	vil	ville	VF:----:sa:----	_	
3-10	have	have	VI:----:-a:----	_	
3-11	mere	megen	AD:----:--:c---	_	
3-12	,	,	ZD	_	
3-13	han	han	PP:s-nc:--:-3n-	_	
3-14	bakser	bakser	XY:----:--:----	_	
3-15	metalslangen	metalslange	VG:siuc:--:----	_	
3-16	på	på	T-:----:--:----	_	
3-17	plads	plads	NC:siuc:--:----	_	
3-18	,	,	ZD	_	
3-19	skuddene	skud	NC:pdu#:--:----	skud_1_4	
3-20	galper	galpe	VF:----:sa:----	_	
3-21	videre	videre	D-:----:--:u---	_	
3-22	.	.	ZP	_	

#id=4
#text= Rekylen fra skuddet forsvinder bagud i en røgsky, da han affyrer våbnet, granaten pisker frem, et fjernt mål sprænges i tusind stykker.
4-1	Rekylen	rekyl	NC:sduc:--:----	_	
4-2	fra	fra	T-:----:--:----	_	
