 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Le | value
#id=1
#text=Alt imens danske, amerikanske og mange andre vestlige landes soldater udkæmper blodige slag lige på den anden side af den pakistansk-afghanske grænse for at holde selvsamme Taleban nede.
1-1	Alt	alt	D-:----:--:u---	_	
1-2	imens	imens	D-:----:--:u---	_	
1-3	danske	dansk	AC:p#u#:--:p---	_	
1-4	,	,	ZD	_	
1-5	amerikanske	amerikansk	AC:p#u#:--:p---	_	
1-6	og	og	CC:----:--:----	_	
1-7	mange	mangen	AC:p#u#:--:p---	_	
1-8	andre	anden	PI:p-u#:--:----	_	
1-9	vestlige	vestlig	AC:p#u#:--:p---	_	
1-10	landes	land	NC:pig#:--:----	_	
1-11	soldater	soldat	NC:piu#:--:----	_	
1-12	udkæmper	udkæmpe	VF:----:sa:----	_	
1-13	blodige	blodig	AC:p#u#:--:p---	_	
1-14	slag	slag	NC:piu#:--:----	slag_2_2b_2c	
1-15	lige	lige	D-:----:--:u---	_	
1-16	på	på	T-:----:--:----	_	
1-17	den	den	PM:s-uc:--:----	_	
1-18	anden	to	LO:--uc:--:----	_	
1-19	side	side	NC:siuc:--:----	_	
1-20	af	af	T-:----:--:----	_	
1-21	den	den	PM:s-uc:--:----	_	
1-22	pakistansk	pakistansk	AW:----:--:----	_	
1-23	-	-	ZH	_	
1-24	afghanske	afghansk	AC:sdu#:--:p---	_	
1-25	grænse	grænse	NC:siuc:--:----	_	
1-26	for	for	T-:----:--:----	_	
1-27	at	at	UI:----:--:----	_	
1-28	holde	holde	VI:----:-a:----	_	
1-29	selvsamme	selvsamme	AC:§§u§:--:p---	_	
1-30	Taleban	Taleban	NP:siu#:--:----	_	
1-31	nede	nede	D-:----:--:u---	_	
1-32	.	.	ZP	_	

#id=2
#text=Slag:
2-1	Slag	slag	NC:siun:--:----	_	
2-2	:	:	ZP	_	

#id=3
#text= Og her formår Fupz med stor økonomi og præcision, og tilmed med en dosis karsk humor, at fremlægge dels aksen fortid-fremtid, dels de slag og brud, der skal slå hul på glasvæggen, gennem sine tolv kapitler.
3-1	Og	og	CC:----:--:----	_	
3-2	her	her	D-:----:--:u---	_	
3-3	formår	formå	VF:----:sa:----	_	
3-4	Fupz	Fupz	NP:siu#:--:----	_	
3-5	med	med	T-:----:--:----	_	
3-6	stor	stor	AC:siuc:--:p---	_	
3-7	økonomi	økonomi	NC:siuc:--:----	_	
3-8	og	og	CC:----:--:----	_	
3-9	præcision	præcision	NC:siuc:--:----	_	
3-10	,	,	ZD	_	
3-11	og	og	CC:----:--:----	_	
3-12	tilmed	tilmed	D-:----:--:u---	_	
3-13	med	med	T-:----:--:----	_	
3-14	en	en	PI:s-uc:--:----	_	
3-15	dosis	dosis	NC:siuc:--:----	_	
3-16	karsk	karsk	AC:siuc:--:p---	_	
3-17	humor	humor	-:----	_	
3-18	,	,	ZD	_	
3-19	at	at	UI:----:--:----	_	
3-20	fremlægge	fremlægge	VI:----:-a:----	_	
3-21	dels	dels	D-:----:--:u---	_	
3-22	aksen	akse	NC:sduc:--:----	_	
3-23	fortid	fortid	NW:----:--:----	_	
3-24	-	-	ZH	_	
3-25	fremtid	fremtid	NC:siuc:--:----	_	
3-26	,	,	ZD	_	
3-27	dels	dels	D-:----:--:u---	_	
3-28	de	den	PM:p-u#:--:----	_	
3-29	slag	slag	NC:piu#:--:----	slag_1_1c	
3-30	og	og	CC:----:--:----	_	
3-31	brud	brud	NC:piu#:--:----	_	
3-32	,	,	ZD	_	
3-33	der	der	US:----:--:----	_	
3-34	skal	skulle	VF:----:sa:----	_	
3-35	slå	slå	VI:----:-a:----	_	
3-36	hul	hul	AC:siuc:--:p---	_	
3-37	på	på	T-:----:--:----	_	
3-38	glasvæggen	glasvæg	NC:sduc:--:----	_	
3-39	,	,	ZD	_	
3-40	gennem	gennem	T-:----:--:----	_	
3-41	sine	sin	:-3ys	_	
3-42	tolv	tolv	LC:--u-:--:----	_	
3-43	kapitler	kapitel	NC:piu#:--:----	_	
3-44	.	.	ZP	_	

#id=4
#text=Udfordringen er, at det er netop er det, at fødderne rammer underlaget for hvert skridt og giver et slag til knoglerne, som dermed stimulerer dem til at gøre sig stærkere.
4-1	Udfordringen	udfordring	NC:sduc:--:----	_	
4-2	er	være	VF:----:sa:----	_	
4-3	,	,	ZD	_	
4-4	at	at	CS:----:--:----	_	
4-5	det	det	PP:s-un:--:-3n-	_	
4-6	er	være	VF:----:sa:----	_	
4-7	netop	netop	D-:----:--:u---	_	
4-8	er	være	VF:----:sa:----	_	
4-9	det	det	PP:s-un:--:-3n-	_	
4-10	,	,	ZD	_	
4-11	at	at	CS:----:--:----	_	
4-12	fødderne	fod	NC:pdu#:--:----	_	
4-13	rammer	ramme	VF:----:sa:----	_	
4-14	underlaget	underlag	NC:sdun:--:----	_	
4-15	for	for	T-:----:--:----	_	
4-16	hvert	hver	PI:s-un:--:----	_	
4-17	skridt	skridt	NC:siun:--:----	_	
4-18	og	og	CC:----:--:----	_	
4-19	giver	give	VF:----:sa:----	_	
4-20	et	en	PI:s-un:--:----	_	
4-21	slag	slag	NC:siun:--:----	slag_1_1c	
4-22	til	til	T-:----:--:----	_	
4-23	knoglerne	knogle	NC:pdu#:--:----	_	
4-24	,	,	ZD	_	
4-25	som	som	US:----:--:----	_	
4-26	dermed	dermed	D-:----:--:u---	_	
4-27	stimulerer	stimulere	VF:----:sa:----	_	
4-28	dem	de	PP:p-u#:--:-3n-	_	
4-29	til	til	T-:----:--:----	_	
4-30	at	at	UI:----:--:----	_	
4-31	gøre	gøre	VI:----:-a:----	_	
4-32	sig	sig	PP:#-u#:--:-3y-	_	
4-33	stærkere	stærk	AD:----:--:c---	_	
4-34	.	.	ZP	_	

#id=5
#text=Alligevel synes jeg nu godt, at de kunne slå et slag for sig selv.
5-1	Alligevel	alligevel	D-:----:--:u---	_	
5-2	synes	syne	VF:----:sp:----	_	
5-3	jeg	jeg	PP:s-nc:--:-1n-	_	
5-4	nu	nu	D-:----:--:u---	_	
5-5	godt	god	AD:----:--:p---	_	
5-6	,	,	ZD	_	
5-7	at	at	CS:----:--:----	_	
5-8	de	de	PP:p-n#:--:-3n-	_	
5-9	kunne	kunne	VF:----:ta:----	_	
5-10	slå	slå	VI:----:-a:----	_	
5-11	et	en	PI:s-un:--:----	_	
5-12	slag	slag	NC:siun:--:----	slag_F_slå et slag	
5-13	for	for	T-:----:--:----	_	
5-14	sig	sig	PP:#-u#:--:-3y-	_	
5-15	selv	selv	PM:#-u#:--:----	_	
5-16	.	.	ZP	_	

#id=6
#text= I hvert fald i den varme, skarpe og særdeles underholdende film, der blev resultatet, da Dirty Harry gik på pension og som den vrantne Walt valgte at slå et - hårdt - slag for multikulturalisme og familieværdier.
6-1	I	i	T-:----:--:----	_	
6-2	hvert	hver	PI:s-un:--:----	_	
6-3	fald	fald	NC:siun:--:----	_	
6-4	i	i	T-:----:--:----	_	
6-5	den	den	PM:s-uc:--:----	_	
6-6	varme	varme	NC:siuc:--:----	_	
6-7	,	,	ZD	_	
6-8	skarpe	skarp	AC:p#u#:--:p---	_	
6-9	og	og	CC:----:--:----	_	
6-10	særdeles	særdeles	D-:----:--:u---	_	
6-11	underholdende	underholde	VP:##u#:s-:----	_	
6-12	film	film	NC:piu#:--:----	_	
6-13	,	,	ZD	_	
6-14	der	der	US:----:--:----	_	
6-15	blev	blive	VF:----:ta:----	_	
6-16	resultatet	resultat	NC:sdun:--:----	_	
6-17	,	,	ZD	_	
6-18	da	da	CS:----:--:----	_	
