 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Le | value
#id=1
#text=Det er, ligesom når du bliver instrueret i at se ud, som om du er så ret, efter at du har fået et slag, fortæller hun om arbejdet med nøgen-og sexscener.
1-1	Det	det	PP:s-un:--:-3n-	_	
1-2	er	være	VF:----:sa:----	_	
1-3	,	,	ZD	_	
1-4	ligesom	ligesom	CS:----:--:----	_	
1-5	når	når	CS:----:--:----	_	
1-6	du	du	PP:s-nc:--:-2n-	_	
1-7	bliver	blive	VF:----:sa:----	_	
1-8	instrueret	instruere	VT:siu#:t-:----	_	
1-9	i	i	T-:----:--:----	_	
1-10	at	at	UI:----:--:----	_	
1-11	se	se	VI:----:-a:----	_	
1-12	ud	ud	D-:----:--:u---	_	
1-13	,	,	ZD	_	
1-14	som	som	US:----:--:----	_	
1-15	om	om	CS:----:--:----	_	
1-16	du	du	PP:s-nc:--:-2n-	_	
1-17	er	være	VF:----:sa:----	_	
1-18	så	så	D-:----:--:u---	_	
1-19	ret	ret	D-:----:--:u---	_	
1-20	,	,	ZD	_	
1-21	efter	efter	CS:----:--:----	_	
1-22	at	at	CS:----:--:----	_	
1-23	du	du	PP:s-nc:--:-2n-	_	
1-24	har	have	VF:----:sa:----	_	
1-25	fået	få	VT:siu#:t-:----	_	
1-26	et	en	PI:s-un:--:----	_	
1-27	slag	slag	NC:siun:--:----	slag_1_1c	
1-28	,	,	ZD	_	
1-29	fortæller	fortælle	VF:----:sa:----	_	
1-30	hun	hun	PP:s-nc:--:-3n-	_	
1-31	om	om	T-:----:--:----	_	
1-32	arbejdet	arbejde	NC:sdun:--:----	_	
1-33	med	med	T-:----:--:----	_	
1-34	nøgen	nøgen	AC:siuc:--:p---	_	
1-35	-	-	NC:piu#:--:----	_	
1-36	og	og	CC:----:--:----	_	
1-37	sexscener	sexscene	NC:piu#:--:----	_	
1-38	.	.	ZP	_	

#id=2
#text= Det forsøger jeg at slå et slag for.
