 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Le | value
#id=1
#text=Både når han er sublimt skabende, og når han er i sine drifters vold.
1-1	Både	både	D-:----:--:u---	_	
1-2	når	når	CS:----:--:----	_	
1-3	han	han	PP:s-nc:--:-3n-	_	
1-4	er	være	VF:----:sa:----	_	
1-5	sublimt	sublim	AD:----:--:p---	_	
1-6	skabende	skabe	VP:##u#:s-:----	_	
1-7	,	,	ZD	_	
1-8	og	og	CC:----:--:----	_	
1-9	når	når	CS:----:--:----	_	
1-10	han	han	PP:s-nc:--:-3n-	_	
1-11	er	være	VF:----:sa:----	_	
1-12	i	i	T-:----:--:----	_	
1-13	sine	sin	PO:p--#:--:-3ys	_	
1-14	drifters	drift	NC:pig#:--:----	_	
1-15	vold	vold	NC:siuc:--:----	vold1_2	
1-16	.	.	ZP	_	

#id=2
#text=Internationale og russiske menneskeretsgrupper rapporterer stadig om systematisk vold imod civile tjetjenere, men det tiltrækker sig ikke længere den store internationale opmærksomhed.
2-1	Internationale	international	AC:p#u#:--:p---	_	
2-2	og	og	CC:----:--:----	_	
2-3	russiske	russisk	AC:p#u#:--:p---	_	
2-4	menneskeretsgrupper	menneskeretsgruppe	NC:piu#:--:----	_	
2-5	rapporterer	rapportere	VF:----:sa:----	_	
2-6	stadig	stadig	D-:----:--:u---	_	
2-7	om	om	T-:----:--:----	_	
2-8	systematisk	systematisk	AC:siu§:--:p---	_	
2-9	vold	vold	NC:siuc:--:----	vold1_1_1a_1b_1c	
2-10	imod	imod	T-:----:--:----	_	
2-11	civile	civil	AC:p#u#:--:p---	_	
2-12	tjetjenere	tjetjener	NC:piu#:--:----	_	
2-13	,	,	ZD	_	
2-14	men	men	CC:----:--:----	_	
2-15	det	det	PP:s-un:--:-3n-	_	
2-16	tiltrækker	tiltrække	VF:----:sa:----	_	
2-17	sig	sig	PP:#-u#:--:-3y-	_	
2-18	ikke	ikke	D-:----:--:u---	_	
2-19	længere	længere	XY:----:--:----	_	
2-20	den	den	PM:s-uc:--:----	_	
2-21	store	stor	AC:sdu#:--:p---	_	
2-22	internationale	international	AC:sdu#:--:p---	_	
2-23	opmærksomhed	opmærksomhed	NC:siuc:--:----	_	
2-24	.	.	ZP	_	

#id=3
#text= Spritkørsel, vold, tyveri, afpresning.
3-1	Spritkørsel	spritkørsel	NC:siuc:--:----	_	
3-2	,	,	ZD	_	
3-3	vold	vold	NC:siuc:--:----	vold1_1_1a_1b_1c	
3-4	,	,	ZD	_	
3-5	tyveri	tyveri	NC:siun:--:----	_	
3-6	,	,	ZD	_	
3-7	afpresning	afpresning	NC:siuc:--:----	_	
3-8	.	.	ZP	_	

#id=4
#text= Så i takt med at regeringen og Dansk Folkeparti råber straf, mere straf og hårdere straf, øges volden og utrygheden.
4-1	Så	så	D-:----:--:u---	_	
4-2	i	i	T-:----:--:----	_	
4-3	takt	takt	NC:siuc:--:----	_	
4-4	med	med	T-:----:--:----	_	
4-5	at	at	CS:----:--:----	_	
4-6	regeringen	regering	NC:sduc:--:----	_	
4-7	og	og	CC:----:--:----	_	
4-8	Dansk	dansk	AC:siu§:--:p---	_	
4-9	Folkeparti	folkeparti	NC:siun:--:----	_	
4-10	råber	råbe	VF:----:sa:----	_	
4-11	straf	straf	NC:siuc:--:----	_	
4-12	,	,	ZD	_	
4-13	mere	megen	AC:##u#:--:c---	_	
4-14	straf	straf	NC:siuc:--:----	_	
4-15	og	og	CC:----:--:----	_	
4-16	hårdere	hård	AC:##u#:--:c---	_	
4-17	straf	straf	NC:siuc:--:----	_	
4-18	,	,	ZD	_	
4-19	øges	øge	VF:----:sp:----	_	
4-20	volden	vold	NC:sduc:--:----	vold1_1_1a_1b_1c	
4-21	og	og	CC:----:--:----	_	
4-22	utrygheden	utryghed	NC:sduc:--:----	_	
4-23	.	.	ZP	_	

#id=5
#text= Og vold er uønskeligt.
5-1	Og	og	CC:----:--:----	_	
5-2	vold	vold	NC:siuc:--:----	vold1_1_1a_1b_1c	
5-3	er	være	VF:----:sa:----	_	
5-4	uønskeligt	uønskelig	AD:----:--:p---	_	
5-5	.	.	ZP	_	

#id=6
#text=Når vi nu forherliger frihedskæmperne, er det vel, fordi de gjorde et arbejde, mange sympatiserede med, selv om de brugte ekstrem vold - terrorisme - for at opnå deres mål.
6-1	Når	når	CS:----:--:----	_	
6-2	vi	vi	PP:p-nc:--:-1n-	_	
6-3	nu	nu	D-:----:--:u---	_	
6-4	forherliger	rherlige	VF:----:sa:----	_	
6-5	frihedskæmperne	frihedskæmper	NC:pdu#:--:----	_	
6-6	,	,	ZD	_	
6-7	er	være	VF:----:sa:----	_	
6-8	det	det	PP:s-un:--:-3n-	_	
6-9	vel	vel	D-:----:--:u---	_	
6-10	,	,	ZD	_	
6-11	fordi	fordi	CS:----:--:----	_	
6-12	de	de	PP:p-n#:--:-3n-	_	
6-13	gjorde	gøre	VF:----:ta:----	_	
6-14	et	en	PI:s-un:--:----	_	
