 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | tag
#id=1
#text=Tror du ikke, det er bedste sådan? spurgte hun, mens hun holdt mit blik fast.
1-1	Tror	tro	VF:----:sa:----	_	
1-2	du	du	PP:s-nc:--:-2n-	_	
1-3	ikke	ikke	D-:----:--:u---	_	
1-4	,	,	ZD	_	
1-5	det	det	PP:s-un:--:-3n-	_	
1-6	er	være	VF:----:sa:----	_	
1-7	bedste	bedste	XY:----:--:----	_	
1-8	sådan	sådan	D-:----:--:u---	_	
1-9	?	?	ZQ	_	
1-10	spurgte	spørge	VF:----:ta:----	_	
1-11	hun	hun	PP:s-nc:--:-3n-	_	
1-12	,	,	ZD	_	
1-13	mens	mens	CS:----:--:----	_	
1-14	hun	hun	PP:s-nc:--:-3n-	_	
1-15	holdt	holde	VF:----:ta:----	_	
1-16	mit	min	PO:s--n:--:-1ns	_	
1-17	blik	blik|blik-1-2|blik-1-1|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik|blik-2-1-1a|blik-1-4a|blik-1-4|blik-1-3	NC:siun:--:----	blik_1_1	
1-18	fast	fast	AD:----:--:p---	_	
1-19	.	.	ZP	_	

#id=2
#text=Jo, svarede jeg og gengældte hendes blik.
2-1	Jo	jo	----:--:----	_	
2-2	,	,	ZD	_	
2-3	svarede	svare	VF:----:ta:----	_	
2-4	jeg	jeg	PP:s-nc:--:-1n-	_	
2-5	og	og	CC:----:--:----	_	
2-6	gengældte	gengælde	VF:----:ta:----	_	
2-7	hendes	hendes	PO:#--#:--:-3ns	_	
2-8	blik	blik|blik-1-1|blik-1-3|blik-1-2|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik|blik-2-1-1a|blik-1-4a|blik-1-4	NC:siun:--:----	blik_1_1	
2-9	.	.	ZP	_	

#id=3
#text=Når nu vi var taget på tur i sommervarmen, måtte vi da også kaste et blik på livet på Hundested Havn, og så havde vi (selvfølgelig ) medbragt badetøj, så vi også kunne blive afkølet i denne sydlige del af Kattegat (jeg kom faktisk aldrig i bølgerne oppe hos min svigermor,  men i dag snuppede jeg to ture).
3-1	Når	når	CS:----:--:----	_	
3-2	nu	nu	D-:----:--:u---	_	
3-3	vi	vi	PP:p-nc:--:-1n-	_	
3-4	var	være	VF:----:ta:----	_	
3-5	taget	tage	VT:siu#:t-:----	_	
3-6	på	på	T-:----:--:----	_	
3-7	tur	tur	NC:siuc:--:----	_	
3-8	i	i	T-:----:--:----	_	
3-9	sommervarmen	sommervarme	NC:sduc:--:----	_	
3-10	,	,	ZD	_	
3-11	måtte	måtte	VF:----:ta:----	_	
3-12	vi	vi	PP:p-nc:--:-1n-	_	
3-13	da	da	D-:----:--:u---	_	
3-14	også	også	D-:----:--:u---	_	
3-15	kaste	kaste	VI:----:-a:----	_	
3-16	et	en	PI:s-un:--:----	_	
3-17	blik	blik|blik-1-1|blik-1-3|blik-1-2|blik-F-få-blikket|blik-F-indre-blik|blik-F-finde-nåde-for-nogens-blik|blik-2-1-1a|blik-1-4a|blik-1-4	NC:siun:--:----	blik_1_4	
3-18	på	på	T-:----:--:----	_	
3-19	livet	liv	NC:sdun:--:----	_	
3-20	på	på	T-:----:--:----	_	
3-21	Hundested	Hundested	NP:siu#:--:----	_	
3-22	Havn	havn	NC:siuc:--:----	_	
3-23	,	,	ZD	_	
3-24	og	og	CC:----:--:----	_	
3-25	så	så	D-:----:--:u---	_	
3-26	havde	have	VF:----:ta:----	_	
3-27	vi	vi	PP:p-nc:--:-1n-	_	
3-28	(	(	ZD	_	
3-29	selvfølgelig	selvfølgelig	D-:----:--:u---	_	
3-30	)	)	ZD	_	
3-31	medbragt	medbringe	VT:siu#:t-:----	_	
3-32	badetøj	badetøj	NC:siun:--:----	_	
3-33	,	,	ZD	_	
3-34	så	så	CS:----:--:----	_	
3-35	vi	vi	PP:p-nc:--:-1n-	_	
3-36	også	også	D-:----:--:u---	_	
3-37	kunne	kunne	VF:----:ta:----	_	
3-38	blive	blive	VI:----:-a:----	_	
3-39	afkølet	afkøle	VT:siu#:t-:----	_	
3-40	i	i	T-:----:--:----	_	
3-41	denne	denne	PM:s-uc:--:----	_	
3-42	sydlige	sydlig	AC:sdu#:--:p---	_	
3-43	del	del	NC:siuc:--:----	_	
3-44	af	af	T-:----:--:----	_	
3-45	Kattegat	Kattegat	NP:siu#:--:----	_	
3-46	(	(	ZD	_	
3-47	jeg	jeg	PP:s-nc:--:-1n-	_	
3-48	kom	komme	VF:----:ta:----	_	
3-49	faktisk	faktisk	AD:----:--:p---	_	
3-50	aldrig	aldrig	D-:----:--:u---	_	
3-51	i	i	T-:----:--:----	_	
3-52	bølgerne	bølge	NC:pdu#:--:----	_	
3-53	oppe	oppe	D-:----:--:u---	_	
3-54	hos	hos	T-:----:--:----	_	
3-55	min	min	PO:s--c:--:-1ns	_	
3-56	svigermor	svigermor	NC:siuc:--:----	_	
3-57	,	,	ZD	_	
3-58	men	men	CC:----:--:----	_	
3-59	i	i	T-:----:--:----	_	
3-60	dag	dag	NC:siuc:--:----	_	
