 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Jeg synes da også, at vi er i den situation, at vi kan kaste vores blik på udlandet og konstatere, at man i andre lande faktisk har erkendt det her problem og også er gået langt mere konkret ind i det, end vi har gjort.
1-1	Jeg	jeg	PP:s-nc:--:-1n-	
1-2	synes	syne	VF:----:sp:----	
1-3	da	da	D-:----:--:u---	
1-4	også	også	D-:----:--:u---	
1-5	,	,	ZD	
1-6	at	at	CS:----:--:----	
1-7	vi	vi	PP:p-nc:--:-1n-	
1-8	er	være	VF:----:sa:----	
1-9	i	i	T-:----:--:----	
1-10	den	den	PM:s-uc:--:----	
1-11	situation	situation	NC:siuc:--:----	
1-12	,	,	ZD	
1-13	at	at	CS:----:--:----	
1-14	vi	vi	PP:p-nc:--:-1n-	
1-15	kan	kunne	VF:----:sa:----	
1-16	kaste	kaste	VI:----:-a:----	
1-17	vores	vores	PO:#--#:--:-1np	
1-18	blik	blik|blik-1-4|blik-1-3|blik-1-2|blik-1-1|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik|blik-2-1-1a|blik-1-4a	NC:siun:--:----	
1-19	på	på	T-:----:--:----	
1-20	udlandet	udland	NC:sdun:--:----	
1-21	og	og	CC:----:--:----	
1-22	konstatere	konstatere	VI:----:-a:----	
1-23	,	,	ZD	
1-24	at	at	CS:----:--:----	
1-25	man	man	--:----	
1-26	i	i	T-:----:--:----	
1-27	andre	anden	PI:p-u#:--:----	
1-28	lande	land	NC:piu#:--:----	
1-29	faktisk	faktisk	AD:----:--:p---	
1-30	har	have	VF:----:sa:----	
1-31	erkendt	erkende	VT:siu#:t-:----	
1-32	det	det	PP:s-un:--:-3n-	
1-33	her	her	D-:----:--:u---	
1-34	problem	problem	NC:siun:--:----	
1-35	og	og	CC:----:--:----	
1-36	også	også	D-:----:--:u---	
1-37	er	være	VF:----:sa:----	
1-38	gået	gå	VT:siu#:t-:----	
1-39	langt	lang	AD:----:--:p---	
1-40	mere	megen	AD:----:--:c---	
1-41	konkret	konkret	AD:----:--:p---	
1-42	ind	ind	D-:----:--:u---	
1-43	i	i	T-:----:--:----	
1-44	det	det	PP:s-un:--:-3n-	
1-45	,	,	ZD	
1-46	end	end	CS:----:--:----	
1-47	vi	vi	PP:p-nc:--:-1n-	
1-48	har	have	VF:----:sa:----	
1-49	gjort	gøre	VT:siu#:t-:----	
1-50	.	.	ZP	

#id=2
#text= Ja, nu er det som bekendt vanskeligt at spå om fremtiden, men man går næppe helt galt i byen ved at kaste et blik på historien i den forbindelse.
2-1	Ja	ja	I-:----:--:----	
2-2	,	,	ZD	
2-3	nu	nu	D-:----:--:u---	
2-4	er	være	VF:----:sa:----	
2-5	det	det	PP:s-un:--:-3n-	
2-6	som	som	US:----:--:----	
2-7	bekendt	bekendt	AC:siu§:--:p---	
2-8	vanskeligt	vanskelig	AC:siun:--:p---	
2-9	at	at	UI:----:--:----	
2-10	spå	spå	VI:----:-a:----	
2-11	om	om	T-:----:--:----	
2-12	fremtiden	fremtid	NC:sduc:--:----	
2-13	,	,	ZD	
2-14	men	men	CC:----:--:----	
2-15	man	man	PI:#-uc:--:----	
2-16	går	gå	VF:----:sa:----	
2-17	næppe	næppe	D-:----:--:u---	
2-18	helt	hel	AD:----:--:p---	
2-19	galt	gal	AD:----:--:p---	
2-20	i	i	T-:----:--:----	
2-21	byen	by	NC:sduc:--:----	
2-22	ved	ved	T-:----:--:----	
2-23	at	at	UI:----:--:----	
2-24	kaste	kaste	VI:----:-a:----	
2-25	et	en	PI:s-un:--:----	
2-26	blik	blik|blik-1-2|blik-1-1|blik-2-1-1a|blik-1-4a|blik-1-4|blik-1-3|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik	NC:siun:--:----	
2-27	på	på	T-:----:--:----	
2-28	historien	historie	NC:sduc:--:----	
2-29	i	i	T-:----:--:----	
2-30	den	den	PM:s-uc:--:----	
2-31	forbindelse	forbindelse	NC:siuc:--:----	
2-32	.	.	ZP	

#id=3
#text= For mit indre blik fornemmer jeg de der billeder fra film, mange har set, fra anden verdenskrig, hvor der kommer et stort bombefly ind, og 10 km før målet åbner man lemmene, og skytten ligger derude og kigger, og på et eller andet tidspunkt smider man sådan en 5-tons-bombe, og så rammer den inden for ½ km, og en enkelt bombe smadrer ti huskarréer.
3-1	For	for	T-:----:--:----	
3-2	mit	min	PO:s--n:--:-1ns	
3-3	indre	indre	AC:§§u§:--:p---	
3-4	blik	blik|blik-1-2|blik-1-1|blik-2-1-1a|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik|blik-1-4a|blik-1-4|blik-1-3	NC:siun:--:----	
3-5	fornemmer	fornemme	VF:----:sa:----	
3-6	jeg	jeg	PP:s-nc:--:-1n-	
3-7	de	de	NP:siu#:--:----	
3-8	der	der	US:----:--:----	
3-9	billeder	billede	NC:piu#:--:----	
3-10	fra	fra	T-:----:--:----	
3-11	film	film	NC:siuc:--:----	
3-12	,	,	ZD	
3-13	mange	mangen	AC:p#u#:--:p---	
3-14	har	have	VF:----:sa:----	
3-15	set	se	VT:siu#:t-:----	
3-16	,	,	ZD	
3-17	fra	fra	CS:----:--:----	
3-18	anden	anden	PI:s-uc:--:----	
3-19	verdenskrig	verdenskrig	NC:siuc:--:----	
3-20	,	,	ZD	
3-21	hvor	hvor	D-:----:--:u---	
3-22	der	der	US:----:--:----	
3-23	kommer	komme	VF:----:sa:----	
3-24	et	en	PI:s-un:--:----	
3-25	stort	stor	AC:siun:--:p---	
3-26	bombefly	bombefly	NC:siun:--:----	
3-27	ind	ind	D-:----:--:u---	
3-28	,	,	ZD	
3-29	og	og	CC:----:--:----	
3-30	10	10	LC:--u-:--:----	
3-31	km	kilometer	NC:piu#:--:----	
3-32	før	før	T-:----:--:----	
3-33	målet	mål	NC:sdun:--:----	
3-34	åbner	åbne	VF:----:sa:----	
3-35	man	man	PI:#-uc:--:----	
3-36	lemmene	lemmene	NC:pdu#:--:----	
3-37	,	,	ZD	
3-38	og	og	CC:----:--:----	
3-39	skytten	skytte	NC:sduc:--:----	
3-40	ligger	ligge	VF:----:sa:----	
3-41	derude	derude	D-:----:--:u---	
3-42	og	og	CC:----:--:----	
3-43	kigger	kigge	VF:----:sa:----	
3-44	,	,	ZD	
3-45	og	og	CC:----:--:----	
3-46	på	på	T-:----:--:----	
3-47	et	en	PI:s-un:--:----	
3-48	eller	eller	CC:----:--:----	
3-49	andet	anden	PI:s-un:--:----	
3-50	tidspunkt	tidspunkt	NC:siun:--:----	
3-51	smider	smide	VF:----:sa:----	
3-52	man	man	PI:#-uc:--:----	
3-53	sådan	sådan	D-:----:--:u---	
3-54	en	en	PI:s-uc:--:----	
3-55	5	5	LW:----:--:----	
3-56	-	-	ZH	
3-57	tons	ton	NC:piu#:--:----	
3-58	-	-	ZH	
3-59	bombe	bombe	NC:siuc:--:----	
3-60	,	,	ZD	
3-61	og	og	CC:----:--:----	
3-62	så	så	D-:----:--:u---	
3-63	rammer	ramme	VF:----:sa:----	
3-64	den	den	PP:s-uc:--:-3n-	
3-65	inden	inden	D-:----:--:u---	
3-66	for	for	T-:----:--:----	
3-67	½	½	NP:siu#:--:----	
3-68	km	kilometer	NC:piu#:--:----	
3-69	,	,	ZD	
3-70	og	og	CC:----:--:----	
3-71	en	en	PI:s-uc:--:----	
3-72	enkelt	enkelt	AC:siu§:--:p---	
3-73	bombe	bombe	NC:siuc:--:----	
3-74	smadrer	smadre	VF:----:sa:----	
3-75	ti	ti	LC:--u-:--:----	
3-76	huskarréer	huskarré	NC:piu#:--:----	
3-77	.	.	ZP	

#id=4
#text=Hvorfor ikke være ærlig og indrømme, at når jeg lader mit blik glide ned over navnene på de 1.569 personer, som ved dette lovforslag modtager dansk indfødsret, kan jeg godt blive en smule beklemt.
4-1	Hvorfor	hvorfor	D-:----:--:u---	
4-2	ikke	ikke	D-:----:--:u---	
4-3	være	være	VI:----:-a:----	
4-4	ærlig	ærlig	AC:siuc:--:p---	
4-5	og	og	CC:----:--:----	
4-6	indrømme	drømme	VI:----:-a:----	
4-7	,	,	ZD	
4-8	at	at	CS:----:--:----	
4-9	når	når	CS:----:--:----	
4-10	jeg	jeg	PP:s-nc:--:-1n-	
4-11	lader	lader	XY:----:--:----	
4-12	mit	mit	XF:----:--:----	
4-13	blik	blik|blik-1-4a|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik|blik-2-1-1a|blik-1-4|blik-1-3|blik-1-2|blik-1-1	NC:siun:--:----	
4-14	glide	glide	VI:----:-a:----	
4-15	ned	ned	D-:----:--:u---	
4-16	over	over	T-:----:--:----	
4-17	navnene	navn	NC:pdu#:--:----	
4-18	på	på	T-:----:--:----	
4-19	de	den	PM:p-u#:--:----	
4-20	1	1	LC:--u-:--:----	
4-21	.	.	ZP	
4-22	569	569	LC:--u-:--:----	
4-23	personer	person	NC:piu#:--:----	
4-24	,	,	ZD	
4-25	som	som	US:----:--:----	
4-26	ved	ved	T-:----:--:----	
4-27	dette	denne	PM:s-un:--:----	
4-28	lovforslag	lovforslag	NC:siun:--:----	
4-29	modtager	modtage	VF:----:sa:----	
4-30	dansk	dansk	u§:--:p---	
4-31	indfødsret	indfødsret	NC:siuc:--:----	
4-32	,	,	ZD	
4-33	kan	kunne	VF:----:sa:----	
4-34	jeg	jeg	PP:s-nc:--:-1n-	
4-35	godt	god	AD:----:--:p---	
4-36	blive	blive	VI:----:-a:----	
4-37	en	en	PI:s-uc:--:----	
4-38	smule	smule	NC:siuc:--:----	
4-39	beklemt	beklemt	AD:----:--:p---	
4-40	.	.	ZP	

#id=5
#text=Det er på denne baggrund, at et blik på indfødsretslovforslaget, som vi behandler i dag, kan fremkalde en vis beklemthed:
5-1	Det	det	PP:s-un:--:-3n-	
5-2	er	være	VF:----:sa:----	
5-3	på	på	T-:----:--:----	
5-4	denne	denne	PM:s-uc:--:----	
5-5	baggrund	baggrund	NC:siuc:--:----	
5-6	,	,	ZD	
5-7	at	at	CS:----:--:----	
5-8	et	en	PI:s-un:--:----	
5-9	blik	blik|blik-1-1|blik-1-3|blik-1-2|blik-1-4|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik|blik-2-1-1a|blik-1-4a	NC:siun:--:----	
5-10	på	på	T-:----:--:----	
5-11	indfødsretslovforslaget	indfødsretslovforslag	NC:sdun:--:----	
5-12	,	,	ZD	
5-13	som	som	US:----:--:----	
5-14	vi	vi	:p-nc:--:-1n-	
5-15	behandler	behandle	VF:----:sa:----	
5-16	i	i	T-:----:--:----	
5-17	dag	dag	NC:siuc:--:----	
5-18	,	,	ZD	
5-19	kan	kunne	VF:----:sa:----	
5-20	fremkalde	fremkalde	VI:----:-a:----	
5-21	en	en	PI:s-uc:--:----	
5-22	vis	vis	AC:siuc:--:p---	
5-23	beklemthed	beklemthed	NC:siuc:--:----	
5-24	:	:	ZP	

#id=6
#text=Endelig skal det også være nævnt her, så ingen er i tvivl om, at det ikke er glemt, at vi stadig væk synes, at det er et problem, at man i forbindelse med folk, der har visse diagnoser, som ikke finder nåde for regeringens blik, tilsidesætter den lægefaglige vurdering og siger, at posttraumatisk stress ikke er tilstrækkelig en diagnose til at blive fritaget for nogle af de skrappe krav, der er for at få indfødsret.
6-1	Endelig	endelig	D-:----:--:u---	
6-2	skal	skulle	VF:----:sa:----	
6-3	det	det	PP:s-un:--:-3n-	
6-4	også	også	D-:----:--:u---	
6-5	være	være	VI:----:-a:----	
6-6	nævnt	nævne	VT:siu#:t-:----	
6-7	her	her	D-:----:--:u---	
6-8	,	,	ZD	
6-9	så	så	CS:----:--:----	
6-10	ingen	ingen	PI:s-uc:--:----	
6-11	er	være	VF:----:sa:----	
6-12	i	i	T-:----:--:----	
6-13	tvivl	tvivl	NC:siuc:--:----	
6-14	om	om	T-:----:--:----	
6-15	,	,	ZD	
6-16	at	at	CS:----:--:----	
6-17	det	det	PP:s-un:--:-3n-	
6-18	ikke	ikke	D-:----:--:u---	
6-19	er	være	VF:----:sa:----	
6-20	glemt	glemt	VT:siu#:t-:----	
6-21	,	,	ZD	
6-22	at	at	CS:----:--:----	
6-23	vi	vi	PP:p-nc:--:-1n-	
6-24	stadig	stadig	D-:----:--:u---	
6-25	væk	væk	D-:----:--:u---	
6-26	synes	syne	VF:----:sp:----	
6-27	,	,	ZD	
6-28	at	at	CS:----:--:----	
6-29	det	det	PP:s-un:--:-3n-	
6-30	er	være	VF:----:sa:----	
6-31	et	en	PI:s-un:--:----	
6-32	problem	problem	NC:siun:--:----	
6-33	,	,	ZD	
6-34	at	at	CS:----:--:----	
6-35	man	man	PI:#-uc:--:----	
6-36	i	i	T-:----:--:----	
6-37	forbindelse	forbindelse	NC:siuc:--:----	
6-38	med	med	T-:----:--:----	
6-39	folk	folk	NC:piu#:--:----	
6-40	,	,	ZD	
6-41	der	der	US:----:--:----	
6-42	har	have	VF:----:sa:----	
6-43	visse	vis	AC:p#u#:--:p---	
6-44	diagnoser	diagnose	NC:piu#:--:----	
6-45	,	,	ZD	
6-46	som	som	US:----:--:----	
6-47	ikke	ikke	D-:----:--:u---	
6-48	finder	finde	VF:----:sa:----	
6-49	nåde	nåde	VI:----:-a:----	
6-50	for	for	T-:----:--:----	
6-51	regeringens	regering	NC:sdgc:--:----	
6-52	blik	blik|blik-1-1|blik-1-3|blik-2-1-1a|blik-1-4a|blik-1-4|blik-1-2|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik	NC:siun:--:----	
6-53	,	,	ZD	
6-54	tilsidesætter	tilsidesætte	VF:----:sa:----	
6-55	den	den	PM:s-uc:--:----	
6-56	lægefaglige	lægefaglig	AC:sdu#:--:p---	
6-57	vurdering	vurdering	NC:siuc:--:----	
6-58	og	og	CC:----:--:----	
6-59	siger	sige	VF:----:sa:----	
6-60	,	,	ZD	
6-61	at	at	CS:----:--:----	
6-62	posttraumatisk	posttraumatisk	AC:siun:--:p---	
6-63	stress	stress	NC:siun:--:----	
6-64	ikke	ikke	D-:----:--:u---	
6-65	er	være	VF:----:sa:----	
6-66	tilstrækkelig	tilstrækkelig	AC:siuc:--:p---	
6-67	en	en	PI:s-uc:--:----	
6-68	diagnose	diagnose	NC:siuc:--:----	
6-69	til	til	T-:----:--:----	
6-70	at	at	UI:----:--:----	
6-71	blive	blive	VI:----:-a:----	
6-72	fritaget	fritage	VT:siu#:t-:----	
6-73	for	for	T-:----:--:----	
6-74	nogle	nogen	PI:p-u#:--:----	
6-75	af	af	T-:----:--:----	
6-76	de	den	PM:p-u#:--:----	
6-77	skrappe	skrap	AC:p#u#:--:p---	
6-78	krav	krav	NC:piu#:--:----	
6-79	,	,	ZD	
6-80	der	der	US:----:--:----	
6-81	er	være	VF:----:sa:----	
6-82	for	for	T-:----:--:----	
6-83	at	at	UI:----:--:----	
6-84	få	få	VI:----:-a:----	
6-85	indfødsret	indfødsret	NC:siuc:--:----	
6-86	.	.	ZP	

#id=7
#text= Derfor er det, som flere andre har været inde på, for os forunderligt, at et af de helt centrale forslag fra arbejdsgruppen, nemlig at man omdanner det til et klippekort, ikke har fundet nåde for regeringens blik.
7-1	Derfor	derfor	D-:----:--:u---	
7-2	er	være	VF:----:sa:----	
7-3	det	det	PP:s-un:--:-3n-	
7-4	,	,	ZD	
7-5	som	som	US:----:--:----	
7-6	flere	mange	AC:##u#:--:c---	
7-7	andre	anden	PI:p-u#:--:----	
7-8	har	have	VF:----:sa:----	
7-9	været	være	VT:siu#:t-:----	
