 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | tag
#id=1
#text=Jeg synes da også, at vi er i den situation, at vi kan kaste vores blik på udlandet og konstatere, at man i andre lande faktisk har erkendt det her problem og også er gået langt mere konkret ind i det, end vi har gjort.
1-1	Jeg	jeg	PP:s-nc:--:-1n-	_	
1-2	synes	syne	VF:----:sp:----	_	
1-3	da	da	D-:----:--:u---	_	
1-4	også	også	D-:----:--:u---	_	
1-5	,	,	ZD	_	
1-6	at	at	CS:----:--:----	_	
1-7	vi	vi	PP:p-nc:--:-1n-	_	
1-8	er	være	VF:----:sa:----	_	
1-9	i	i	T-:----:--:----	_	
1-10	den	den	PM:s-uc:--:----	_	
1-11	situation	situation	NC:siuc:--:----	_	
1-12	,	,	ZD	_	
1-13	at	at	CS:----:--:----	_	
1-14	vi	vi	PP:p-nc:--:-1n-	_	
1-15	kan	kunne	VF:----:sa:----	_	
1-16	kaste	kaste	VI:----:-a:----	_	
1-17	vores	vores	PO:#--#:--:-1np	_	
1-18	blik	blik|blik-1-4|blik-1-3|blik-1-2|blik-1-1|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik|blik-2-1-1a|blik-1-4a	NC:siun:--:----	blik_1_4	
1-19	på	på	T-:----:--:----	_	
1-20	udlandet	udland	NC:sdun:--:----	_	
1-21	og	og	CC:----:--:----	_	
1-22	konstatere	konstatere	VI:----:-a:----	_	
1-23	,	,	ZD	_	
1-24	at	at	CS:----:--:----	_	
1-25	man	man	--:----	_	
1-26	i	i	T-:----:--:----	_	
1-27	andre	anden	PI:p-u#:--:----	_	
1-28	lande	land	NC:piu#:--:----	_	
1-29	faktisk	faktisk	AD:----:--:p---	_	
1-30	har	have	VF:----:sa:----	_	
1-31	erkendt	erkende	VT:siu#:t-:----	_	
1-32	det	det	PP:s-un:--:-3n-	_	
1-33	her	her	D-:----:--:u---	_	
1-34	problem	problem	NC:siun:--:----	_	
1-35	og	og	CC:----:--:----	_	
1-36	også	også	D-:----:--:u---	_	
1-37	er	være	VF:----:sa:----	_	
1-38	gået	gå	VT:siu#:t-:----	_	
1-39	langt	lang	AD:----:--:p---	_	
1-40	mere	megen	AD:----:--:c---	_	
1-41	konkret	konkret	AD:----:--:p---	_	
1-42	ind	ind	D-:----:--:u---	_	
1-43	i	i	T-:----:--:----	_	
1-44	det	det	PP:s-un:--:-3n-	_	
1-45	,	,	ZD	_	
1-46	end	end	CS:----:--:----	_	
1-47	vi	vi	PP:p-nc:--:-1n-	_	
1-48	har	have	VF:----:sa:----	_	
1-49	gjort	gøre	VT:siu#:t-:----	_	
1-50	.	.	ZP	_	

#id=2
#text= Ja, nu er det som bekendt vanskeligt at spå om fremtiden, men man går næppe helt galt i byen ved at kaste et blik på historien i den forbindelse.
2-1	Ja	ja	I-:----:--:----	_	
2-2	,	,	ZD	_	
2-3	nu	nu	D-:----:--:u---	_	
2-4	er	være	VF:----:sa:----	_	
2-5	det	det	PP:s-un:--:-3n-	_	
2-6	som	som	US:----:--:----	_	
2-7	bekendt	bekendt	AC:siu§:--:p---	_	
2-8	vanskeligt	vanskelig	AC:siun:--:p---	_	
2-9	at	at	UI:----:--:----	_	
2-10	spå	spå	VI:----:-a:----	_	
2-11	om	om	T-:----:--:----	_	
2-12	fremtiden	fremtid	NC:sduc:--:----	_	
2-13	,	,	ZD	_	
2-14	men	men	CC:----:--:----	_	
2-15	man	man	PI:#-uc:--:----	_	
2-16	går	gå	VF:----:sa:----	_	
2-17	næppe	næppe	D-:----:--:u---	_	
2-18	helt	hel	AD:----:--:p---	_	
2-19	galt	gal	AD:----:--:p---	_	
2-20	i	i	T-:----:--:----	_	
2-21	byen	by	NC:sduc:--:----	_	
2-22	ved	ved	T-:----:--:----	_	
2-23	at	at	UI:----:--:----	_	
2-24	kaste	kaste	VI:----:-a:----	_	
2-25	et	en	PI:s-un:--:----	_	
2-26	blik	blik|blik-1-2|blik-1-1|blik-2-1-1a|blik-1-4a|blik-1-4|blik-1-3|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik	NC:siun:--:----	blik_1_2	
2-27	på	på	T-:----:--:----	_	
2-28	historien	historie	NC:sduc:--:----	_	
2-29	i	i	T-:----:--:----	_	
2-30	den	den	PM:s-uc:--:----	_	
2-31	forbindelse	forbindelse	NC:siuc:--:----	_	
2-32	.	.	ZP	_	

#id=3
#text= For mit indre blik fornemmer jeg de der billeder fra film, mange har set, fra anden verdenskrig, hvor der kommer et stort bombefly ind, og 10 km før målet åbner man lemmene, og skytten ligger derude og kigger, og på et eller andet tidspunkt smider man sådan en 5-tons-bombe, og så rammer den inden for ½ km, og en enkelt bombe smadrer ti huskarréer.
3-1	For	for	T-:----:--:----	_	
3-2	mit	min	PO:s--n:--:-1ns	_	
3-3	indre	indre	AC:§§u§:--:p---	_	
3-4	blik	blik|blik-1-2|blik-1-1|blik-2-1-1a|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik|blik-1-4a|blik-1-4|blik-1-3	NC:siun:--:----	blik_F_indre blik	
3-5	fornemmer	fornemme	VF:----:sa:----	_	
3-6	jeg	jeg	PP:s-nc:--:-1n-	_	
3-7	de	de	NP:siu#:--:----	_	
3-8	der	der	US:----:--:----	_	
3-9	billeder	billede	NC:piu#:--:----	_	
3-10	fra	fra	T-:----:--:----	_	
3-11	film	film	NC:siuc:--:----	_	
3-12	,	,	ZD	_	
3-13	mange	mangen	AC:p#u#:--:p---	_	
3-14	har	have	VF:----:sa:----	_	
3-15	set	se	VT:siu#:t-:----	_	
3-16	,	,	ZD	_	
3-17	fra	fra	CS:----:--:----	_	
3-18	anden	anden	PI:s-uc:--:----	_	
3-19	verdenskrig	verdenskrig	NC:siuc:--:----	_	
3-20	,	,	ZD	_	
3-21	hvor	hvor	D-:----:--:u---	_	
3-22	der	der	US:----:--:----	_	
3-23	kommer	komme	VF:----:sa:----	_	
3-24	et	en	PI:s-un:--:----	_	
3-25	stort	stor	AC:siun:--:p---	_	
3-26	bombefly	bombefly	NC:siun:--:----	_	
3-27	ind	ind	D-:----:--:u---	_	
3-28	,	,	ZD	_	
3-29	og	og	CC:----:--:----	_	
3-30	10	10	LC:--u-:--:----	_	
3-31	km	kilometer	NC:piu#:--:----	_	
3-32	før	før	T-:----:--:----	_	
3-33	målet	mål	NC:sdun:--:----	_	
3-34	åbner	åbne	VF:----:sa:----	_	
3-35	man	man	PI:#-uc:--:----	_	
3-36	lemmene	lemmene	NC:pdu#:--:----	_	
3-37	,	,	ZD	_	
3-38	og	og	CC:----:--:----	_	
3-39	skytten	skytte	NC:sduc:--:----	_	
3-40	ligger	ligge	VF:----:sa:----	_	
3-41	derude	derude	D-:----:--:u---	_	
3-42	og	og	CC:----:--:----	_	
3-43	kigger	kigge	VF:----:sa:----	_	
3-44	,	,	ZD	_	
3-45	og	og	CC:----:--:----	_	
3-46	på	på	T-:----:--:----	_	
3-47	et	en	PI:s-un:--:----	_	
3-48	eller	eller	CC:----:--:----	_	
3-49	andet	anden	PI:s-un:--:----	_	
3-50	tidspunkt	tidspunkt	NC:siun:--:----	_	
3-51	smider	smide	VF:----:sa:----	_	
3-52	man	man	PI:#-uc:--:----	_	
3-53	sådan	sådan	D-:----:--:u---	_	
3-54	en	en	PI:s-uc:--:----	_	
3-55	5	5	LW:----:--:----	_	
3-56	-	-	ZH	_	
3-57	tons	ton	NC:piu#:--:----	_	
3-58	-	-	ZH	_	
3-59	bombe	bombe	NC:siuc:--:----	_	
3-60	,	,	ZD	_	
3-61	og	og	CC:----:--:----	_	
3-62	så	så	D-:----:--:u---	_	
3-63	rammer	ramme	VF:----:sa:----	_	
3-64	den	den	PP:s-uc:--:-3n-	_	
3-65	inden	inden	D-:----:--:u---	_	
3-66	for	for	T-:----:--:----	_	
3-67	½	½	NP:siu#:--:----	_	
3-68	km	kilometer	NC:piu#:--:----	_	
3-69	,	,	ZD	_	
3-70	og	og	CC:----:--:----	_	
3-71	en	en	PI:s-uc:--:----	_	
3-72	enkelt	enkelt	AC:siu§:--:p---	_	
3-73	bombe	bombe	NC:siuc:--:----	_	
3-74	smadrer	smadre	VF:----:sa:----	_	
3-75	ti	ti	LC:--u-:--:----	_	
3-76	huskarréer	huskarré	NC:piu#:--:----	_	
3-77	.	.	ZP	_	

#id=4
#text=Hvorfor ikke være ærlig og indrømme, at når jeg lader mit blik glide ned over navnene på de 1.569 personer, som ved dette lovforslag modtager dansk indfødsret, kan jeg godt blive en smule beklemt.
4-1	Hvorfor	hvorfor	D-:----:--:u---	_	
4-2	ikke	ikke	D-:----:--:u---	_	
4-3	være	være	VI:----:-a:----	_	
4-4	ærlig	ærlig	AC:siuc:--:p---	_	
4-5	og	og	CC:----:--:----	_	
4-6	indrømme	drømme	VI:----:-a:----	_	
4-7	,	,	ZD	_	
4-8	at	at	CS:----:--:----	_	
4-9	når	når	CS:----:--:----	_	
4-10	jeg	jeg	PP:s-nc:--:-1n-	_	
4-11	lader	lader	XY:----:--:----	_	
4-12	mit	mit	XF:----:--:----	_	
4-13	blik	blik|blik-1-4a|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik|blik-2-1-1a|blik-1-4|blik-1-3|blik-1-2|blik-1-1	NC:siun:--:----	blik_1_1	
4-14	glide	glide	VI:----:-a:----	_	
4-15	ned	ned	D-:----:--:u---	_	
4-16	over	over	T-:----:--:----	_	
4-17	navnene	navn	NC:pdu#:--:----	_	
4-18	på	på	T-:----:--:----	_	
4-19	de	den	PM:p-u#:--:----	_	
4-20	1	1	LC:--u-:--:----	_	
4-21	.	.	ZP	_	
4-22	569	569	LC:--u-:--:----	_	
4-23	personer	person	NC:piu#:--:----	_	
4-24	,	,	ZD	_	
4-25	som	som	US:----:--:----	_	
4-26	ved	ved	T-:----:--:----	_	
4-27	dette	denne	PM:s-un:--:----	_	
4-28	lovforslag	lovforslag	NC:siun:--:----	_	
4-29	modtager	modtage	VF:----:sa:----	_	
4-30	dansk	dansk	u§:--:p---	_	
4-31	indfødsret	indfødsret	NC:siuc:--:----	_	
4-32	,	,	ZD	_	
4-33	kan	kunne	VF:----:sa:----	_	
4-34	jeg	jeg	PP:s-nc:--:-1n-	_	
4-35	godt	god	AD:----:--:p---	_	
4-36	blive	blive	VI:----:-a:----	_	
4-37	en	en	PI:s-uc:--:----	_	
4-38	smule	smule	NC:siuc:--:----	_	
4-39	beklemt	beklemt	AD:----:--:p---	_	
4-40	.	.	ZP	_	

#id=5
#text=Det er på denne baggrund, at et blik på indfødsretslovforslaget, som vi behandler i dag, kan fremkalde en vis beklemthed:
5-1	Det	det	PP:s-un:--:-3n-	_	
5-2	er	være	VF:----:sa:----	_	
5-3	på	på	T-:----:--:----	_	
5-4	denne	denne	PM:s-uc:--:----	_	
5-5	baggrund	baggrund	NC:siuc:--:----	_	
5-6	,	,	ZD	_	
5-7	at	at	CS:----:--:----	_	
5-8	et	en	PI:s-un:--:----	_	
5-9	blik	blik|blik-1-1|blik-1-3|blik-1-2|blik-1-4|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik|blik-2-1-1a|blik-1-4a	NC:siun:--:----	blik_1_2	
5-10	på	på	T-:----:--:----	_	
5-11	indfødsretslovforslaget	indfødsretslovforslag	NC:sdun:--:----	_	
5-12	,	,	ZD	_	
5-13	som	som	US:----:--:----	_	
5-14	vi	vi	:p-nc:--:-1n-	_	
5-15	behandler	behandle	VF:----:sa:----	_	
5-16	i	i	T-:----:--:----	_	
5-17	dag	dag	NC:siuc:--:----	_	
5-18	,	,	ZD	_	
5-19	kan	kunne	VF:----:sa:----	_	
5-20	fremkalde	fremkalde	VI:----:-a:----	_	
5-21	en	en	PI:s-uc:--:----	_	
5-22	vis	vis	AC:siuc:--:p---	_	
5-23	beklemthed	beklemthed	NC:siuc:--:----	_	
5-24	:	:	ZP	_	

#id=6
#text=Endelig skal det også være nævnt her, så ingen er i tvivl om, at det ikke er glemt, at vi stadig væk synes, at det er et problem, at man i forbindelse med folk, der har visse diagnoser, som ikke finder nåde for regeringens blik, tilsidesætter den lægefaglige vurdering og siger, at posttraumatisk stress ikke er tilstrækkelig en diagnose til at blive fritaget for nogle af de skrappe krav, der er for at få indfødsret.
6-1	Endelig	endelig	D-:----:--:u---	_	
6-2	skal	skulle	VF:----:sa:----	_	
6-3	det	det	PP:s-un:--:-3n-	_	
6-4	også	også	D-:----:--:u---	_	
6-5	være	være	VI:----:-a:----	_	
6-6	nævnt	nævne	VT:siu#:t-:----	_	
6-7	her	her	D-:----:--:u---	_	
6-8	,	,	ZD	_	
6-9	så	så	CS:----:--:----	_	
6-10	ingen	ingen	PI:s-uc:--:----	_	
6-11	er	være	VF:----:sa:----	_	
6-12	i	i	T-:----:--:----	_	
6-13	tvivl	tvivl	NC:siuc:--:----	_	
6-14	om	om	T-:----:--:----	_	
6-15	,	,	ZD	_	
6-16	at	at	CS:----:--:----	_	
6-17	det	det	PP:s-un:--:-3n-	_	
6-18	ikke	ikke	D-:----:--:u---	_	
6-19	er	være	VF:----:sa:----	_	
6-20	glemt	glemt	VT:siu#:t-:----	_	
6-21	,	,	ZD	_	
6-22	at	at	CS:----:--:----	_	
6-23	vi	vi	PP:p-nc:--:-1n-	_	
6-24	stadig	stadig	D-:----:--:u---	_	
6-25	væk	væk	D-:----:--:u---	_	
6-26	synes	syne	VF:----:sp:----	_	
6-27	,	,	ZD	_	
6-28	at	at	CS:----:--:----	_	
6-29	det	det	PP:s-un:--:-3n-	_	
6-30	er	være	VF:----:sa:----	_	
6-31	et	en	PI:s-un:--:----	_	
6-32	problem	problem	NC:siun:--:----	_	
6-33	,	,	ZD	_	
6-34	at	at	CS:----:--:----	_	
6-35	man	man	PI:#-uc:--:----	_	
6-36	i	i	T-:----:--:----	_	
6-37	forbindelse	forbindelse	NC:siuc:--:----	_	
6-38	med	med	T-:----:--:----	_	
6-39	folk	folk	NC:piu#:--:----	_	
6-40	,	,	ZD	_	
6-41	der	der	US:----:--:----	_	
6-42	har	have	VF:----:sa:----	_	
6-43	visse	vis	AC:p#u#:--:p---	_	
6-44	diagnoser	diagnose	NC:piu#:--:----	_	
6-45	,	,	ZD	_	
6-46	som	som	US:----:--:----	_	
6-47	ikke	ikke	D-:----:--:u---	_	
6-48	finder	finde	VF:----:sa:----	_	
6-49	nåde	nåde	VI:----:-a:----	_	
6-50	for	for	T-:----:--:----	_	
6-51	regeringens	regering	NC:sdgc:--:----	_	
6-52	blik	blik|blik-1-1|blik-1-3|blik-2-1-1a|blik-1-4a|blik-1-4|blik-1-2|blik-F-indre-blik|blik-F-få-blikket|blik-F-finde-nåde-for-nogens-blik	NC:siun:--:----	blik_1_3	
6-53	,	,	ZD	_	
6-54	tilsidesætter	tilsidesætte	VF:----:sa:----	_	
6-55	den	den	PM:s-uc:--:----	_	
6-56	lægefaglige	lægefaglig	AC:sdu#:--:p---	_	
6-57	vurdering	vurdering	NC:siuc:--:----	_	
6-58	og	og	CC:----:--:----	_	
6-59	siger	sige	VF:----:sa:----	_	
6-60	,	,	ZD	_	
6-61	at	at	CS:----:--:----	_	
6-62	posttraumatisk	posttraumatisk	AC:siun:--:p---	_	
6-63	stress	stress	NC:siun:--:----	_	
6-64	ikke	ikke	D-:----:--:u---	_	
6-65	er	være	VF:----:sa:----	_	
6-66	tilstrækkelig	tilstrækkelig	AC:siuc:--:p---	_	
6-67	en	en	PI:s-uc:--:----	_	
6-68	diagnose	diagnose	NC:siuc:--:----	_	
