 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexica | Tag
#id=1
#text=Det er lidt som at kigge kunstneren i kortene, når man besøger sådan en samling.
1-1	Det	det	PP:s-un:--:-3n-	_	
1-2	er	være	VF:----:sa:----	_	
1-3	lidt	lidt	AD:----:--:p---	_	
1-4	som	som	US:----:--:----	_	
1-5	at	at	UI:----:--:----	_	
1-6	kigge	kigge	VI:----:-a:----	_	
1-7	kunstneren	kunstner	NC:sduc:--:----	_	
1-8	i	i	T-:----:--:----	_	
1-9	kortene	kort	NC:pdu#:--:----	kort_F_kigge nogen i kortene	
1-10	,	,	ZD	_	
1-11	når	når	CS:----:--:----	_	
1-12	man	man	PI:#-uc:--:----	_	
1-13	besøger	besøge	--:sa:----	_	
1-14	sådan	sådan	D-:----:--:u---	_	
1-15	en	en	PI:s-uc:--:----	_	
1-16	samling	samling	NC:siuc:--:----	_	
1-17	.	.	ZP	_	

#id=2
#text=De skrevne ord er et af mine stærkeste kort i livet, både det jeg lever på jobbet og det udenfor.
2-1	De	den	PM:p-u#:--:----	_	
2-2	skrevne	skrive	VP:p#u#:t-:----	_	
2-3	ord	ord	NC:piu#:--:----	_	
2-4	er	være	VF:----:sa:----	_	
2-5	et	en	PI:s-un:--:----	_	
2-6	af	af	T-:----:--:----	_	
2-7	mine	min	PO:p--#:--:-1ns	_	
2-8	stærkeste	stærk	AC:§du§:--:s---	_	
2-9	kort	kort	NC:siun:--:----	kort_F_have gode kort på hånden	
2-10	i	i	T-:----:--:----	_	
2-11	livet	liv	NC:sdun:--:----	_	
2-12	,	,	ZD	_	
2-13	både	både	D-:----:--:u---	_	
2-14	det	det	PP:s-un:--:-3n-	_	
2-15	jeg	jeg	PP:s-nc:--:-1n-	_	
2-16	lever	leve	VF:----:sa:----	_	
2-17	på	på	T-:----:--:----	_	
2-18	jobbet	job	NC:sdun:--:----	_	
2-19	og	og	CC:----:--:----	_	
