 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=I en tid, hvor alle partier gerne vil dele ud til både højre og venstre, vil jeg som konservativ gerne trække det gule kort op af lommen og spørge:
1-1	I	i	T-:----:--:----	
1-2	en	en	PI:s-uc:--:----	
1-3	tid	tid	NC:siuc:--:----	
1-4	,	,	ZD	
1-5	hvor	hvor	D-:----:--:u---	
1-6	alle	al	PI:p-u#:--:----	
1-7	partier	parti	NC:piu#:--:----	
1-8	gerne	gerne	D-:----:--:u---	
1-9	vil	ville	VF:----:sa:----	
1-10	dele	dele	VI:----:-a:----	
1-11	ud	ud	D-:----:--:u---	
1-12	til	til	T-:----:--:----	
1-13	både	både	D-:----:--:u---	
1-14	højre	højre	AC:§§u§:--:p---	
1-15	og	og	CC:----:--:----	
1-16	venstre	venstre	AC:§§u§:--:p---	
1-17	,	,	ZD	
1-18	vil	ville	VF:----:sa:----	
1-19	jeg	jeg	PP:s-nc:--:-1n-	
1-20	som	som	US:----:--:----	
1-21	konservativ	konservativ	AC:siuc:--:p---	
1-22	gerne	gerne	D-:----:--:u---	
1-23	trække	trække	VI:----:-a:----	
1-24	det	den	PM:s-un:--:----	
1-25	gule	gul	AC:sdu#:--:p---	
1-26	kort	kort	NC:siun:--:----	
1-27	op	op	D-:----:--:u---	
1-28	af	af	T-:----:--:----	
1-29	lommen	lom	NC:sduc:--:----	
1-30	og	og	CC:----:--:----	
1-31	spørge	spørge	VI:----:-a:----	
1-32	:	:	ZP	

#id=2
#text= Vi kan igen håbe på, at vores forældre sørgede for det, og det er formentlig registreret hos nogle læger på nogle kort, som er blevet smidt væk.
2-1	Vi	vi	PP:p-nc:--:-1n-	
2-2	kan	kunne	VF:----:sa:----	
2-3	igen	igen	D-:----:--:u---	
2-4	håbe	håbe	VI:----:-a:----	
2-5	på	på	T-:----:--:----	
2-6	,	,	ZD	
2-7	at	at	CS:----:--:----	
2-8	vores	vores	PO:#--#:--:-1np	
2-9	forældre	forælder	NC:piu#:--:----	
2-10	sørgede	sørge	VF:----:ta:----	
2-11	for	for	T-:----:--:----	
2-12	det	det	PP:s-un:--:-3n-	
2-13	,	,	ZD	
2-14	og	og	CC:----:--:----	
2-15	det	det	PP:s-un:--:-3n-	
2-16	er	være	VF:----:sa:----	
2-17	formentlig	formentlig	AD:----:--:p---	
2-18	registreret	registrere	VT:siu#:t-:----	
2-19	hos	hos	T-:----:--:----	
2-20	nogle	nogen	PI:p-u#:--:----	
2-21	læger	læge	NC:piu#:--:----	
2-22	på	på	T-:----:--:----	
2-23	nogle	nogen	PI:p-u#:--:----	
2-24	kort	kort	NC:piu#:--:----	
2-25	,	,	ZD	
2-26	som	som	US:----:--:----	
2-27	er	være	VF:----:sa:----	
2-28	blevet	blive	VT:siu#:t-:----	
2-29	smidt	smide	VT:siu#:t-:----	
2-30	væk	væk	D-:----:--:u---	
2-31	.	.	ZP	

#id=3
#text= Vi har oven i købet fået det gule kort forleden dag.
3-1	Vi	vi	PP:p-nc:--:-1n-	
3-2	har	have	VF:----:sa:----	
3-3	oven	oven	D-:----:--:u---	
3-4	i	i	T-:----:--:----	
3-5	købet	køb	NC:sdun:--:----	
3-6	fået	få	VT:siu#:t-:----	
3-7	det	den	PM:s-un:--:----	
3-8	gule	gul	AC:sdu#:--:p---	
3-9	kort	kort	NC:siun:--:----	
3-10	forleden	forleden	AD:----:--:p---	
3-11	dag	dag	NC:siuc:--:----	
3-12	.	.	ZP	

#id=4
#text=Det er klart, at man selvfølgelig kan påstå, at Enhedslisten bare er glad for det her, fordi det kan skade EU, men jeg synes altså faktisk, at det er de EU-tilhængere, som bruger EU-kortet til at forhindre det her beslutningsforslag i at blive vedtaget, som skader EU allermest.
4-1	Det	t	PP:s-un:--:-3n-	
4-2	er	være	VF:----:sa:----	
4-3	klart	klar	AC:siun:--:p---	
4-4	,	,	ZD	
4-5	at	at	CS:----:--:----	
4-6	man	man	PI:#-uc:--:----	
4-7	selvfølgelig	selvfølgelig	D-:----:--:u---	
4-8	kan	kunne	VF:----:sa:----	
4-9	påstå	påstå	VI:----:-a:----	
4-10	,	,	ZD	
4-11	at	at	CS:----:--:----	
4-12	Enhedslisten	Enhedslisten	NP:siu#:--:----	
4-13	bare	bare	D-:----:--:u---	
4-14	er	være	VF:----:sa:----	
4-15	glad	glad	AC:siu§:--:p---	
4-16	for	for	T-:----:--:----	
4-17	det	det	PP:s-un:--:-3n-	
4-18	her	her	D-:----:--:u---	
4-19	,	,	ZD	
