 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=Lovforslaget består helt konkret af syv forskellige redskaber, der tilsammen skal sikre en forebyggende hjælp til de udsætningstruede lejere, og som kan hjælpe lejerne med at få deres økonomi på ret kurs igen.
1-1	Lovforslaget	lovforslag	NC:sdun:--:----	_	
1-2	består	bestå	VF:----:sa:----	_	
1-3	helt	hel	AD:----:--:p---	_	
1-4	konkret	konkret	AD:----:--:p---	_	
1-5	af	af	T-:----:--:----	_	
1-6	syv	syv	LC:--u-:--:----	_	
1-7	forskellige	forskellig	AC:p#u#:--:p---	_	
1-8	redskaber	redskab	NC:piu#:--:----	_	
1-9	,	,	ZD	_	
1-10	der	der	US:----:--:----	_	
1-11	tilsammen	tilsammen	D-:----:--:u---	_	
1-12	skal	skulle	VF:----:sa:----	_	
1-13	sikre	sikre	VI:----:-a:----	_	
1-14	en	en	PI:s-uc:--:----	_	
1-15	forebyggende	forebygge	VP:##u#:s-:----	_	
1-16	hjælp	hjælp	NC:siuc:--:----	_	
1-17	til	til	T-:----:--:----	_	
1-18	de	den	PM:p-u#:--:----	_	
1-19	udsætningstruede	udsætningstrue	VP:p#u#:t-:----	_	
1-20	lejere	lejer	NC:piu#:--:----	_	
1-21	,	,	ZD	_	
1-22	og	og	CC:----:--:----	_	
1-23	som	som	US:----:--:----	_	
1-24	kan	kunne	VF:----:sa:----	_	
1-25	hjælpe	hjælpe	VI:----:-a:----	_	
1-26	lejerne	leje	NC:pdu#:--:----	_	
1-27	med	med	T-:----:--:----	_	
1-28	at	at	UI:----:--:----	_	
1-29	få	få	VI:----:-a:----	_	
1-30	deres	deres	PO:#--#:--:-3np	_	
1-31	økonomi	økonomi	NC:siuc:--:----	_	
1-32	på	på	T-:----:--:----	_	
1-33	ret	ret	NC:siuc:--:----	_	
1-34	kurs	kurs|kurs-2|kurs-F-ikke-i-kurs|kurs-F-sætte-kursen|kurs-F-ud/ude-af-kurs|kurs-F-i-høj-kurs|kurs-1|kurs-1a	NC:siuc:--:----	kurs_1a	
1-35	igen	igen	D-:----:--:u---	_	
1-36	.	.	ZP	_	

