 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Det der med at studere Japansk osv...Så syntes jeg at det som Alex har fortalt er meget fornuftigt...Du kan nok ikke kun nøges med Japansk studiet...su må prøve at få nogle  kurser også vidre...det vil give dig nye muligheder og gøre dig mere egnet til forskelige jobs...Et tolk kursus ville nok ikke skade vis du vil oversætte osv...
1-1	Det	det	PP:s-un:--:-3n-	
1-2	der	der	US:----:--:----	
1-3	med	med	T-:----:--:----	
1-4	at	at	UI:----:--:----	
1-5	studere	studere	VI:----:-a:----	
1-6	Japansk	japansk	AD:----:--:p---	
1-7	osv	osv	D-:----:--:u---	
1-8	.	.	ZP	
1-9	.	.	ZP	
1-10	.	.	ZP	
1-11	Så	så	D-:----:--:u---	
1-12	syntes	synes	VF:----:tp:----	
1-13	jeg	jeg	NC:siun:--:----	
1-14	at	at	CS:----:--:----	
1-15	det	det	PP:s-un:--:-3n-	
1-16	som	som	US:----:--:----	
1-17	Alex	Alex	NP:siu#:--:----	
1-18	har	have	VF:----:sa:----	
1-19	fortalt	fortale	VT:siu#:t-:----	
1-20	er	være	VF:----:sa:----	
1-21	meget	megen	AD:----:--:p---	
1-22	fornuftigt	fornuftig	AC:siun:--:p---	
1-23	.	.	ZP	
1-24	.	.	ZP	
1-25	.	.	ZP	
1-26	Du	du	PP:s-nc:--:-2n-	
1-27	kan	kunne	VF:----:sa:----	
1-28	nok	nok	D-:----:--:u---	
1-29	ikke	ikke	D-:----:--:u---	
1-30	kun	kun	D-:----:--:u---	
1-31	nøges	nøge	VI:----:-p:----	
1-32	med	med	T-:----:--:----	
1-33	Japansk	japansk	AD:----:--:p---	
1-34	studiet	studie	NC:sdun:--:----	
1-35	.	.	ZP	
1-36	.	.	ZP	
1-37	.	.	ZP	
1-38	su	su	XS:----:--:----	
1-39	må	måtte	VF:----:sa:----	
1-40	prøve	prøve	VI:----:-a:----	
1-41	at	at	UI:----:--:----	
1-42	få	få	VI:----:-a:----	
1-43	nogle	nogen	PI:p-u#:--:----	
1-44	kurser	kurs|kurs-F-ud/ude-af-kurs|kurs-2|kurs-1a|kurs-1|kurs-F-i-høj-kurs|kurs-F-sætte-kursen|kurs-F-ikke-i-kurs	NC:piu#:--:----	
1-45	også	også	D-:----:--:u---	
1-46	vidre	vidre	NC:siun:--:----	
1-47	.	.	ZP	
1-48	.	.	ZP	
1-49	.	.	ZP	
1-50	det	t	PP:s-un:--:-3n-	
1-51	vil	ville	VF:----:sa:----	
1-52	give	give	VI:----:-a:----	
1-53	dig	dig	XY:----:--:----	
1-54	nye	ny	AC:p#u#:--:p---	
1-55	muligheder	mulighed	NC:piu#:--:----	
1-56	og	og	CC:----:--:----	
1-57	gøre	gøre	VI:----:-a:----	
1-58	dig	du	PP:s-uc:--:-2#-	
1-59	mere	megen	AD:----:--:c---	
1-60	egnet	egne	VT:siu#:t-:----	
1-61	til	til	T-:----:--:----	
1-62	forskelige	forskelige	AC:§§u§:--:p---	
1-63	jobs	job	NC:piu#:--:----	
1-64	.	.	ZP	
1-65	.	.	ZP	
1-66	.	.	ZP	
1-67	Et	en	PI:s-un:--:----	
1-68	tolk	tolk	NC:siuc:--:----	
1-69	kursus	kursus	NC:siun:--:----	
1-70	ville	ville	VF:----:ta:----	
1-71	nok	nok	D-:----:--:u---	
1-72	ikke	ikke	D-:----:--:u---	
1-73	skade	skade	VI:----:-a:----	
1-74	vis	vis	XY:----:--:----	
1-75	du	du	XF:----:--:----	
1-76	vil	e	VF:----:sa:----	
1-77	oversætte	oversætte	VI:----:-a:----	
1-78	osv	osv	D-:----:--:u---	
1-79	.	.	ZP	
1-80	.	.	ZP	
1-81	.	.	ZP	

