 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=højere i 39,5, og Danske Bank steg 3,8 pct. til 61,5, mens forsikringskoncernen Trygvesta lukkede 7 pct. højere i kurs 313,5.
1-1	højere	høj	AC:##u#:--:c---	
1-2	i	i	T-:----:--:----	
1-3	39	39	LC:--u-:--:----	
1-4	,	,	ZD	
1-5	5	5	LC:--u-:--:----	
1-6	,	,	ZD	
1-7	og	og	CC:----:--:----	
1-8	Danske	dansk	AC:sdu#:--:p---	
1-9	Bank	bank	NC:siuc:--:----	
1-10	steg	stige	VF:----:ta:----	
1-11	3	3	LC:--u-:--:----	
1-12	,	,	ZD	
1-13	8	8	LC:--u-:--:----	
1-14	pct	procent	NC:piu#:--:----	
1-15	.	.	ZP	
1-16	til	til	T-:----:--:----	
1-17	61	61	LC:--u-:--:----	
1-18	,	,	ZD	
1-19	5	5	LC:--u-:--:----	
1-20	,	,	ZD	
1-21	mens	mens	CS:----:--:----	
1-22	forsikringskoncernen	forsikringskoncern	NC:sduc:--:----	
1-23	Trygvesta	Trygvesta	NP:siu#:--:----	
1-24	lukkede	lukke	VF:----:ta:----	
1-25	7	7	LC:--u-:--:----	
1-26	pct	procent	NC:piu#:--:----	
1-27	.	.	ZP	
1-28	højere	høj	AC:##u#:--:c---	
1-29	i	i	T-:----:--:----	
1-30	kurs	kurs|kurs-1|kurs-F-i-høj-kurs|kurs-2|kurs-1a|kurs-F-ud/ude-af-kurs|kurs-F-sætte-kursen|kurs-F-ikke-i-kurs	NC:siuc:--:----	
1-31	313	313	LC:--u-:--:----	
1-32	,	,	ZD	
1-33	5	5	LC:--u-:--:----	
1-34	.	.	ZP	

#id=2
#text= Møller - Mærsk steg 9,1 pct. til kurs 32.300, efter at Royal Bank of Scotland hævede sin anbefaling af aktien fra hold til køb.
2-1	Møller	mølle	NW:----:--:----	
2-2	-	-	ZH	
2-3	Mærsk	Mærsk	NP:siu#:--:----	
2-4	steg	stige	VF:----:ta:----	
2-5	9	9	LC:--u-:--:----	
2-6	,	,	ZD	
2-7	1	1	LC:--u-:--:----	
2-8	pct	procent	NC:piu#:--:----	
2-9	.	.	ZP	
2-10	til	til	T-:----:--:----	
2-11	kurs	kurs|kurs-1|kurs-2|kurs-1a|kurs-F-ud/ude-af-kurs|kurs-F-sætte-kursen|kurs-F-ikke-i-kurs|kurs-F-i-høj-kurs	NC:siuc:--:----	
2-12	32	32	LC:--u-:--:----	
2-13	.	.	ZP	
2-14	300	300	LC:--u-:--:----	
2-15	,	,	ZD	
2-16	efter	efter	CS:----:--:----	
2-17	at	at	CS:----:--:----	
2-18	Royal	Royal	NP:siu#:--:----	
2-19	Bank	Bank	NP:siu#:--:----	
2-20	of	of	XF:----:--:----	
2-21	Scotland	Scotland	NP:siu#:--:----	
2-22	hævede	hæve	VF:----:ta:----	
2-23	sin	sin	PO:s--c:--:-3ys	
2-24	anbefaling	anbefaling	NC:siuc:--:----	
