 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=højere i 39,5, og Danske Bank steg 3,8 pct. til 61,5, mens forsikringskoncernen Trygvesta lukkede 7 pct. højere i kurs 313,5.
1-1	højere	høj	AC:##u#:--:c---	_	
1-2	i	i	T-:----:--:----	_	
1-3	39	39	LC:--u-:--:----	_	
1-4	,	,	ZD	_	
1-5	5	5	LC:--u-:--:----	_	
1-6	,	,	ZD	_	
1-7	og	og	CC:----:--:----	_	
1-8	Danske	dansk	AC:sdu#:--:p---	_	
1-9	Bank	bank	NC:siuc:--:----	_	
1-10	steg	stige	VF:----:ta:----	_	
1-11	3	3	LC:--u-:--:----	_	
1-12	,	,	ZD	_	
1-13	8	8	LC:--u-:--:----	_	
1-14	pct	procent	NC:piu#:--:----	_	
1-15	.	.	ZP	_	
1-16	til	til	T-:----:--:----	_	
1-17	61	61	LC:--u-:--:----	_	
1-18	,	,	ZD	_	
1-19	5	5	LC:--u-:--:----	_	
1-20	,	,	ZD	_	
1-21	mens	mens	CS:----:--:----	_	
1-22	forsikringskoncernen	forsikringskoncern	NC:sduc:--:----	_	
1-23	Trygvesta	Trygvesta	NP:siu#:--:----	_	
1-24	lukkede	lukke	VF:----:ta:----	_	
1-25	7	7	LC:--u-:--:----	_	
1-26	pct	procent	NC:piu#:--:----	_	
1-27	.	.	ZP	_	
1-28	højere	høj	AC:##u#:--:c---	_	
1-29	i	i	T-:----:--:----	_	
1-30	kurs	kurs|kurs-1|kurs-F-i-høj-kurs|kurs-2|kurs-1a|kurs-F-ud/ude-af-kurs|kurs-F-sætte-kursen|kurs-F-ikke-i-kurs	NC:siuc:--:----	kurs_2	
1-31	313	313	LC:--u-:--:----	_	
1-32	,	,	ZD	_	
1-33	5	5	LC:--u-:--:----	_	
1-34	.	.	ZP	_	

#id=2
#text= Møller - Mærsk steg 9,1 pct. til kurs 32.300, efter at Royal Bank of Scotland hævede sin anbefaling af aktien fra hold til køb.
2-1	Møller	mølle	NW:----:--:----	_	
2-2	-	-	ZH	_	
2-3	Mærsk	Mærsk	NP:siu#:--:----	_	
2-4	steg	stige	VF:----:ta:----	_	
2-5	9	9	LC:--u-:--:----	_	
2-6	,	,	ZD	_	
2-7	1	1	LC:--u-:--:----	_	
2-8	pct	procent	NC:piu#:--:----	_	
2-9	.	.	ZP	_	
2-10	til	til	T-:----:--:----	_	
2-11	kurs	kurs|kurs-1|kurs-2|kurs-1a|kurs-F-ud/ude-af-kurs|kurs-F-sætte-kursen|kurs-F-ikke-i-kurs|kurs-F-i-høj-kurs	NC:siuc:--:----	kurs_2	
2-12	32	32	LC:--u-:--:----	_	
2-13	.	.	ZP	_	
2-14	300	300	LC:--u-:--:----	_	
2-15	,	,	ZD	_	
2-16	efter	efter	CS:----:--:----	_	
2-17	at	at	CS:----:--:----	_	
2-18	Royal	Royal	NP:siu#:--:----	_	
2-19	Bank	Bank	NP:siu#:--:----	_	
