 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=At lyset vender tilbage.
1-1	At	at	CS:----:--:----	
1-2	lyset	lys|lys-1-1a-1b-1c-1f|lys-1f|lys-1e|lys-1d|lys-F-brænde-sit-lys-i-begge-ender|lys-F-bengalsk-lys|lys-5|lys-4|lys-3|Lys-2|lys-1g|lys-F-se-dagens-lys|lys-F-rank-som-et-lys|lys-F-lys-i-mørket|lys-F-levende-lys|lys-F-lede/søge-med-lys-og-lygte|lys-F-komme-for-dagens-lys|lys-F-kaste-lys-over|lys-F-i-lyset-af|lys-F-i-et-nyt-(andet-..)-lys|lys-F-gå-ud-som-et-lys|lys-F-grønt-lys(for-noget)|lys-F-grønt/gult/rødt-lys|lys-F-føre-nogen-bag-lyset|lys-F-der-går-et-lys-op-for-nogen|lys-F-sætte-sit-lys-under-en-skæppe|lys-F-tåle-dagens-lys|lys-F-stille/sætte-i-et-dårligt-lys|lys-F-se-lyset	NC:sdun:--:----	
1-3	vender	vende	VF:----:sa:----	
1-4	tilbage	tilbage	D-:----:--:u---	
1-5	.	.	ZP	

#id=2
#text=Tags: foto, frost, is, lys, redningskrans, Roskilde Fjord, yoga
2-1	Tags	tag	NC:piu#:--:----	
2-2	:	:	ZP	
2-3	foto	foto	NC:siun:--:----	
2-4	,	,	ZD	
2-5	frost	frost	NC:siuc:--:----	
2-6	,	,	ZD	
2-7	is	is	NC:siuc:--:----	
2-8	,	,	ZD	
2-9	lys	lys|lys-1-1a-1b-1c-1f|lys-1g|lys-1f|lys-1e|lys-1d|lys-F-der-går-et-lys-op-for-nogen|lys-F-brænde-sit-lys-i-begge-ender|lys-F-bengalsk-lys|lys-5|lys-4|lys-3|Lys-2|lys-F-gå-ud-som-et-lys|lys-F-sætte-sit-lys-under-en-skæppe|lys-F-tåle-dagens-lys|lys-F-stille/sætte-i-et-dårligt-lys|lys-F-se-lyset|lys-F-se-dagens-lys|lys-F-rank-som-et-lys|lys-F-lys-i-mørket|lys-F-levende-lys|lys-F-lede/søge-med-lys-og-lygte|lys-F-komme-for-dagens-lys|lys-F-kaste-lys-over|lys-F-i-lyset-af|lys-F-i-et-nyt-(andet-..)-lys|get)|lys-F-grønt/gult/rødt-lys|lys-F-føre-nogen-bag-lyset	NC:siun:--:----	
2-10	,	,	ZD	
2-11	redningskrans	redningskrans	NC:siuc:--:----	
2-12	,	,	ZD	
2-13	Roskilde	Roskilde	NP:siu#:--:----	
2-14	Fjord	Fjord	NP:siu#:--:----	
