 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Derfor sagde vi til regeringen, at vi ønskede forbedringer af sygedagpengesystemet, også i lyset af den her økonomiske krise, der selvfølgelig har en risiko for at presse flere mennesker ud.
1-1	Derfor	derfor	D-:----:--:u---	
1-2	sagde	sige	VF:----:ta:----	
1-3	vi	vi	PP:p-nc:--:-1n-	
1-4	til	til	T-:----:--:----	
1-5	regeringen	regering	NC:sduc:--:----	
1-6	,	,	ZD	
1-7	at	at	CS:----:--:----	
1-8	vi	vi	PP:p-nc:--:-1n-	
1-9	ønskede	ønske	VF:----:ta:----	
1-10	forbedringer	forbedring	NC:piu#:--:----	
1-11	af	af	T-:----:--:----	
1-12	sygedagpengesystemet	sygedagpengesystem	NC:sdun:--:----	
1-13	,	,	ZD	
1-14	også	også	D-:----:--:u---	
1-15	i	i	T-:----:--:----	
1-16	lyset	lys|lys-F-i-et-nyt-(andet-..)-lys|lys-F-gå-ud-som-et-lys|lys-F-grønt-lys(for-noget)|lys-F-grønt/gult/rødt-lys|lys-F-føre-nogen-bag-lyset|lys-F-der-går-et-lys-op-for-nogen|lys-F-brænde-sit-lys-i-begge-ender|F-bengalsk-lys|lys-5|lys-4|lys-3|Lys-2|lys-1g|lys-1f|lys-1e|lys-1d|lys-1-1a-1b-1c-1f|lys-F-sætte-sit-lys-under-en-skæppe|lys-F-tåle-dagens-lys|lys-F-stille/sætte-i-et-dårligt-lys|lys-F-se-lyset|lys-F-se-dagens-lys|lys-F-rank-som-et-lys|lys-F-lys-i-mørket|lys-F-levende-lys|lys-F-lede/søge-med-lys-og-lygte|lys-F-komme-for-dagens-lys|lys-F-kaste-lys-over|lys-F-i-lyset-af	NC:sdun:--:----	
1-17	af	af	T-:----:--:----	
1-18	den	den	PP:s-uc:--:-3n-	
1-19	her	her	D-:----:--:u---	
1-20	økonomiske	økonomisk	AC:p#u#:--:p---	
1-21	krise	krise	NC:piu#:--:----	
1-22	,	,	ZD	
1-23	der	der	US:----:--:----	
1-24	selvfølgelig	selvfølgelig	D-:----:--:u---	
1-25	har	have	VF:----:sa:----	
1-26	en	en	PI:s-uc:--:----	
1-27	risiko	risiko	NC:siuc:--:----	
1-28	for	for	T-:----:--:----	
1-29	at	at	UI:----:--:----	
1-30	presse	presse	VI:----:-a:----	
1-31	flere	mange	AC:##u#:--:c---	
1-32	mennesker	menneske	NC:piu#:--:----	
1-33	ud	ud	D-:----:--:u---	
1-34	.	.	ZP	

#id=2
#text= Så vil man jo stå og mangle hænderne til at få skabt noget på indtægtssiden, når der nu sådan så småt begynder at vise sig et lille lys ude for enden af tunnellen.
2-1	Så	så	D-:----:--:u---	
2-2	vil	ville	VF:----:sa:----	
2-3	man	man	PI:#-uc:--:----	
2-4	jo	jo	D-:----:--:u---	
2-5	stå	stå	VI:----:-a:----	
2-6	og	og	CC:----:--:----	
2-7	mangle	mangle	VI:----:-a:----	
2-8	hænderne	hånd	NC:pdu#:--:----	
2-9	til	til	T-:----:--:----	
2-10	at	at	UI:----:--:----	
2-11	få	få	VI:----:-a:----	
2-12	skabt	skabe	VT:siu#:t-:----	
2-13	noget	nogen	PI:s-un:--:----	
2-14	på	på	T-:----:--:----	
2-15	indtægtssiden	indtægtsside	uc:--:----	
2-16	,	,	ZD	
2-17	når	når	CS:----:--:----	
2-18	der	der	US:----:--:----	
2-19	nu	nu	D-:----:--:u---	
2-20	sådan	sådan	D-:----:--:u---	
2-21	så	så	D-:----:--:u---	
2-22	småt	små	AD:----:--:p---	
2-23	begynder	begynde	VF:----:sa:----	
2-24	at	at	UI:----:--:----	
2-25	vise	vise	VI:----:-a:----	
2-26	sig	sig	PP:#-u#:--:-3y-	
2-27	et	en	PI:s-un:--:----	
2-28	lille	lille	AC:s§u§:--:p---	
2-29	lys	lys|lys-1-1a-1b-1c-1f|lys-1e|lys-1d|lys-4|lys-3|Lys-2|lys-1g|lys-1f|lys-F-grønt/gult/rødt-lys|lys-F-sætte-sit-lys-under-en-skæppe|lys-F-tåle-dagens-lys|lys-F-stille/sætte-i-et-dårligt-lys|lys-F-se-lyset|lys-F-se-dagens-lys|lys-F-rank-som-et-lys|lys-F-lys-i-mørket|lys-F-levende-lys|lys-F-lede/søge-med-lys-og-lygte|lys-F-komme-for-dagens-lys|lys-F-kaste-lys-over|lys-F-i-lyset-af|lys-F-i-et-nyt-(andet-..)-lys|lys-F-gå-ud-som-et-lys|lys-F-grønt-lys(for-noget)|lys-F-føre-nogen-bag-lyset|lys-F-der-går-et-lys-op-for-nogen|lys-F-brænde-sit-lys-i-begge-ender|lys-F-bengalsk-lys|lys-5	NC:siun:--:----	
2-30	ude	ude	D-:----:--:u---	
2-31	for	for	T-:----:--:----	
2-32	enden	ende	NC:sduc:--:----	
2-33	af	af	T-:----:--:----	
2-34	tunnellen	tunnellen	NC:sduc:--:----	
2-35	.	.	ZP	

#id=3
#text= Og ikke mindst i lyset af, at vi netop for en uge siden har fået en evaluering af universitetsloven, der jo kommer med en rungende kritik af den centralistiske styring af universiteterne, som er blevet praktiseret de seneste år, ja, så ville det være et forkert signal at sende, hvis vi går ind nu og lovgiver endnu mere og fastlægger endnu flere centrale regler.
3-1	Og	og	CC:----:--:----	
3-2	ikke	ikke	D-:----:--:u---	
3-3	mindst	liden	:--:s---	
3-4	i	i	T-:----:--:----	
