 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=Jeg tror, det er meget vigtigt, at vi ikke i regi af den hellige almindelige energiforligskreds beslutter os for, at dér skal alle forhandlinger og alle diskussioner så foregå - specielt i lyset af at så tit mødes energiforligskredsen altså heller ikke.
1-1	Jeg	jeg	PP:s-nc:--:-1n-	_	
1-2	tror	tro	VF:----:sa:----	_	
1-3	,	,	ZD	_	
1-4	det	det	PP:s-un:--:-3n-	_	
1-5	er	være	VF:----:sa:----	_	
1-6	meget	megen	AD:----:--:p---	_	
1-7	vigtigt	vigtig	AC:siun:--:p---	_	
1-8	,	,	ZD	_	
1-9	at	at	CS:----:--:----	_	
1-10	vi	vi	PP:p-nc:--:-1n-	_	
1-11	ikke	ikke	D-:----:--:u---	_	
1-12	i	i	T-:----:--:----	_	
1-13	regi	regi	NC:siun:--:----	_	
1-14	af	af	T-:----:--:----	_	
1-15	den	den	PM:s-uc:--:----	_	
1-16	hellige	hellig	AC:sdu#:--:p---	_	
1-17	almindelige	almindelig	AC:sdu#:--:p---	_	
1-18	energiforligskreds	energiforligskreds	XY:----:--:----	_	
1-19	beslutter	beslutte	VF:----:sa:----	_	
1-20	os	vi	PP:p-uc:--:-1#-	_	
1-21	for	for	T-:----:--:----	_	
1-22	,	,	ZD	_	
1-23	at	at	CS:----:--:----	_	
1-24	dér	der	D-:----:--:u---	_	
1-25	skal	skulle	VF:----:sa:----	_	
1-26	alle	al	PI:p-u#:--:----	_	
1-27	forhandlinger	forhandling	NC:piu#:--:----	_	
1-28	og	og	CC:----:--:----	_	
1-29	alle	al	PI:p-u#:--:----	_	
1-30	diskussioner	diskussion	NC:piu#:--:----	_	
1-31	så	så	AC:§§u§:--:p---	_	
1-32	foregå	foregå	VW:----:--:----	_	
1-33	-	-	ZH	_	
1-34	specielt	speciel	AC:siun:--:p---	_	
1-35	i	i	T-:----:--:----	_	
1-36	lyset	lys|lys-1f|lys-1e|lys-1d|lys-1-1a-1b-1c-1f|lys-F-der-går-et-lys-op-for-nogen|lys-F-brænde-sit-lys-i-begge-ender|lys-F-bengalsk-lys|lys-5|lys-4|lys-3|Lys-2|lys-1g|lys-F-sætte-sit-lys-under-en-skæppe|lys-F-tåle-dagens-lys|lys-F-stille/sætte-i-et-dårligt-lys|lys-F-se-lyset|lys-F-se-dagens-lys|lys-F-rank-som-et-lys|lys-F-lys-i-mørket|lys-F-levende-lys|lys-F-lede/søge-med-lys-og-lygte|lys-F-komme-for-dagens-lys|lys-F-kaste-lys-over|lys-F-i-lyset-af|lys-F-i-et-nyt-(andet-..)-lys|lys-F-gå-ud-som-et-lys|lys-F-grønt-lys(for-noget)|lys-F-grønt/gult/rødt-lys|lys-F-føre-nogen-bag-lyset	NC:sdun:--:----	lys_F_i-lyset-af	
1-37	af	af	T-:----:--:----	_	
1-38	at	at	CS:----:--:----	_	
1-39	så	så	D-:----:--:u---	_	
1-40	tit	tit	D-:----:--:u---	_	
1-41	mødes	møde	VF:----:sp:----	_	
1-42	energiforligskredsen	energiforligskreds	NC:sduc:--:----	_	
1-43	altså	altså	D-:----:--:u---	_	
1-44	heller	heller	D-:----:--:u---	_	
1-45	ikke	ikke	D-:----:--:u---	_	
1-46	.	.	ZP	_	

#id=2
#text= Det synes jeg er vigtigt, specielt set i lyset af den nye rapport, som viser, at kameraer måske har en meget, meget begrænset effekt.
2-1	Det	det	PP:s-un:--:-3n-	_	
2-2	synes	syne	VF:----:sp:----	_	
2-3	jeg	jeg	PP:s-nc:--:-1n-	_	
2-4	er	være	VF:----:sa:----	_	
2-5	vigtigt	vigtig	AC:siun:--:p---	_	
2-6	,	,	ZD	_	
2-7	specielt	speciel	AD:----:--:p---	_	
2-8	set	se	VT:siu#:t-:----	_	
2-9	i	i	T-:----:--:----	_	
2-10	lyset	lys|lys-1f|lys-1e|lys-1d|lys-1-1a-1b-1c-1f|lys-F-føre-nogen-bag-lyset|lys-F-der-går-et-lys-op-for-nogen|lys-F-brænde-sit-lys-i-begge-ender|lys-F-bengalsk-lys|lys-5|lys-4|lys-3|Lys-2|lys-1g|lys-F-sætte-sit-lys-under-en-skæppe|lys-F-tåle-dagens-lys|lys-F-stille/sætte-i-et-dårligt-lys|lys-F-se-lyset|lys-F-se-dagens-lys|lys-F-rank-som-et-lys|lys-F-lys-i-mørket|lys-F-levende-lys|lys-F-lede/søge-med-lys-og-lygte|lys-F-komme-for-dagens-lys|lys-F-kaste-lys-over|lys-F-i-lyset-af|lys-F-i-et-nyt-(andet-..)-lys|lys-F-gå-ud-som-et-lys|lys-F-grønt-lys(for-noget)|lys-F-grønt/gult/rødt-lys	NC:sdun:--:----	lys_F_i-lyset-af	
2-11	af	af	T-:----:--:----	_	
2-12	den	den	PM:s-uc:--:----	_	
2-13	nye	ny	AC:sdu#:--:p---	_	
2-14	rapport	rapport	NC:siuc:--:----	_	
2-15	,	,	ZD	_	
2-16	som	som	US:----:--:----	_	
2-17	viser	vise	VF:----:sa:----	_	
2-18	,	,	ZD	_	
2-19	at	at	CS:----:--:----	_	
2-20	kameraer	kamera	NC:piu#:--:----	_	
2-21	måske	måske	D-:----:--:u---	_	
2-22	har	have	VF:----:sa:----	_	
2-23	en	en	PI:s-uc:--:----	_	
2-24	meget	megen	AC:siu§:--:p---	_	
2-25	,	,	ZD	_	
2-26	meget	megen	AD:----:--:p---	_	
2-27	begrænset	begrænse	VT:siu#:t-:----	_	
2-28	effekt	effekt	NC:siuc:--:----	_	
2-29	.	.	ZP	_	

#id=3
#text= Det er på samme måde også en boligforening, der finansierer, hvis den vil fælde noget bevoksning eller nogle træer for at skabe mere lys og luft, således at de kriminelle ikke kan gå rundt i skyggen og lave deres kriminelle handlinger.
3-1	Det	det	PP:s-un:--:-3n-	_	
3-2	er	være	VF:----:sa:----	_	
3-3	på	på	T-:----:--:----	_	
3-4	samme	samme	AC:§§u§:--:p---	_	
3-5	måde	måde	NC:siuc:--:----	_	
3-6	også	også	D-:----:--:u---	_	
3-7	en	en	PI:s-uc:--:----	_	
3-8	boligforening	boligforening	NC:siuc:--:----	_	
3-9	,	,	ZD	_	
3-10	der	der	US:----:--:----	_	
3-11	finansierer	finansiere	VF:----:sa:----	_	
3-12	,	,	ZD	_	
3-13	hvis	hvis	CS:----:--:----	_	
3-14	den	den	PP:s-uc:--:-3n-	_	
3-15	vil	ville	VF:----:sa:----	_	
3-16	fælde	fælde	VI:----:-a:----	_	
3-17	noget	nogen	PI:s-un:--:----	_	
3-18	bevoksning	bevoksning	NC:siuc:--:----	_	
3-19	eller	eller	CC:----:--:----	_	
3-20	nogle	nogen	PI:p-u#:--:----	_	
3-21	træer	træ	NC:piu#:--:----	_	
3-22	for	for	T-:----:--:----	_	
3-23	at	at	UI:----:--:----	_	
3-24	skabe	skabe	VI:----:-a:----	_	
3-25	mere	megen	AC:##u#:--:c---	_	
3-26	lys	lys|lys-1f|Lys-2|lys-1g|lys-1e|lys-1d|lys-1-1a-1b-1c-1f|lys-F-sætte-sit-lys-under-en-skæppe|lys-F-tåle-dagens-lys|lys-F-stille/sætte-i-et-dårligt-lys|lys-F-se-lyset|lys-F-se-dagens-lys|lys-F-rank-som-et-lys|lys-F-lys-i-mørket|lys-F-levende-lys|lys-F-lede/søge-med-lys-og-lygte|lys-F-komme-for-dagens-lys|lys-F-kaste-lys-over|lys-F-i-lyset-af|lys-F-i-et-nyt-(andet-..)-lys|lys-F-gå-ud-som-et-lys|lys-F-grønt-lys(for-noget)|lys-F-grønt/gult/rødt-lys|lys-F-føre-nogen-bag-lyset|lys-F-der-går-et-lys-op-for-nogen|lys-F-brænde-sit-lys-i-begge-ender|lys-F-bengalsk-lys|lys-5|lys-4|lys-3	NC:siun:--:----	lys_1_1a_1b_1c_1h	
3-27	og	og	CC:----:--:----	_	
3-28	luft	luft	NC:siuc:--:----	_	
3-29	,	,	ZD	_	
3-30	således	således	D-:----:--:u---	_	
3-31	at	at	CS:----:--:----	_	
3-32	de	den	PM:p-u#:--:----	_	
3-33	kriminelle	kriminel	AC:p#u#:--:p---	_	
3-34	ikke	ikke	D-:----:--:u---	_	
3-35	kan	kunne	VF:----:sa:----	_	
3-36	gå	gå	VI:----:-a:----	_	
3-37	rundt	rundt	D-:----:--:u---	_	
3-38	i	i	T-:----:--:----	_	
3-39	skyggen	skygge	NC:sduc:--:----	_	
3-40	og	og	CC:----:--:----	_	
3-41	lave	lave	VI:----:-a:----	_	
3-42	deres	deres	PO:#--#:--:-3np	_	
3-43	kriminelle	kriminel	AC:p#u#:--:p---	_	
3-44	handlinger	handling	NC:piu#:--:----	_	
3-45	.	.	ZP	_	

#id=4
#text= Det Kriminalpræventive Råd lavede for nogle år siden et stort arbejde med det, de kaldte "Forebyg", som altså handler om, hvordan man rent fysisk indretter områderne, altså hvordan man sikrer, at der er lys, at der er åbent, at der er venligt, og at der er, så man har lyst til at opholde sig der og være der, fordi det i sig selv modvirker, at der bliver hærværk, og at der bliver utrygt.
4-1	Det	den	PM:s-un:--:----	_	
4-2	Kriminalpræventive	kriminalpræventiv	AC:sdu#:--:p---	_	
4-3	Råd	råd	NC:siun:--:----	_	
4-4	lavede	lave	VF:----:ta:----	_	
4-5	for	for	T-:----:--:----	_	
4-6	nogle	nogen	PI:p-u#:--:----	_	
4-7	år	år	NC:piu#:--:----	_	
4-8	siden	siden	T-:----:--:----	_	
4-9	et	en	PI:s-un:--:----	_	
4-10	stort	stor	AC:siun:--:p---	_	
4-11	arbejde	arbejde	NC:siun:--:----	_	
4-12	med	med	T-:----:--:----	_	
4-13	det	det	PP:s-un:--:-3n-	_	
4-14	,	,	ZD	_	
4-15	de	den	PM:p-u#:--:----	_	
4-16	kaldte	kalde	VP:p#u#:t-:----	_	
4-17	"	"	ZI	_	
4-18	Forebyg	forebygge	VM:----:--:----	_	
4-19	"	"	ZI	_	
4-20	,	,	ZD	_	
4-21	som	som	US:----:--:----	_	
4-22	altså	altså	D-:----:--:u---	_	
4-23	handler	handle	VF:----:sa:----	_	
4-24	om	om	T-:----:--:----	_	
4-25	,	,	ZD	_	
4-26	hvordan	hvordan	D-:----:--:u---	_	
4-27	man	man	PI:#-uc:--:----	_	
4-28	rent	ren	AD:----:--:p---	_	
4-29	fysisk	fysisk	AC:siu§:--:p---	_	
4-30	indretter	indrette	VF:----:sa:----	_	
4-31	områderne	område	NC:pdu#:--:----	_	
4-32	,	,	ZD	_	
4-33	altså	altså	D-:----:--:u---	_	
4-34	hvordan	hvordan	D-:----:--:u---	_	
4-35	man	man	PI:#-uc:--:----	_	
4-36	sikrer	sikre	VF:----:sa:----	_	
4-37	,	,	ZD	_	
4-38	at	at	CS:----:--:----	_	
4-39	der	der	US:----:--:----	_	
4-40	er	være	VF:----:sa:----	_	
4-41	lys	lys|lys-3|lys-F-i-lyset-af|lys-F-i-et-nyt-(andet-..)-lys|lys-F-gå-ud-som-et-lys|lys-F-grønt-lys(for-noget)|lys-F-grønt/gult/rødt-lys|lys-F-føre-nogen-bag-lyset|lys-F-der-går-et-lys-op-for-nogen|lys-F-brænde-sit-lys-i-begge-ender|lys-F-bengalsk-lys|lys-5|lys-4|Lys-2|lys-1g|lys-1f|lys-1e|lys-1d|lys-1-1a-1b-1c-1f|lys-F-lys-i-mørket|lys-F-sætte-sit-lys-under-en-skæppe|lys-F-tåle-dagens-lys|lys-F-stille/sætte-i-et-dårligt-lys|lys-F-se-lyset|lys-F-se-dagens-lys|lys-F-rank-som-et-lys|lys-F-levende-lys|lys-F-lede/søge-med-lys-og-lygte|lys-F-komme-for-dagens-lys|lys-F-kaste-lys-over	NC:siun:--:----	lys_1_1a_1b_1c_1h	
4-42	,	,	ZD	_	
4-43	at	at	CS:----:--:----	_	
4-44	der	der	US:----:--:----	_	
4-45	er	være	VF:----:sa:----	_	
4-46	åbent	åben	AC:siun:--:p---	_	
4-47	,	,	ZD	_	
4-48	at	at	CS:----:--:----	_	
4-49	der	der	US:----:--:----	_	
4-50	er	være	VF:----:sa:----	_	
4-51	venligt	venlig	AC:siun:--:p---	_	
4-52	,	,	ZD	_	
4-53	og	og	CC:----:--:----	_	
4-54	at	at	CS:----:--:----	_	
4-55	der	der	US:----:--:----	_	
4-56	er	være	VF:----:sa:----	_	
4-57	,	,	ZD	_	
4-58	så	så	CS:----:--:----	_	
4-59	man	man	PI:#-uc:--:----	_	
4-60	har	have	VF:----:sa:----	_	
4-61	lyst	lyst	NC:siuc:--:----	_	
4-62	til	til	T-:----:--:----	_	
4-63	at	at	UI:----:--:----	_	
4-64	opholde	opholde	VI:----:-a:----	_	
4-65	sig	sig	PP:#-u#:--:-3y-	_	
4-66	der	der	D-:----:--:u---	_	
4-67	og	og	CC:----:--:----	_	
4-68	være	være	VI:----:-a:----	_	
4-69	der	der	D-:----:--:u---	_	
4-70	,	,	ZD	_	
4-71	fordi	fordi	CS:----:--:----	_	
4-72	det	det	PP:s-un:--:-3n-	_	
4-73	i	i	T-:----:--:----	_	
4-74	sig	sig	--:-3y-	_	
4-75	selv	selv	PM:#-u#:--:----	_	
4-76	modvirker	modvirke	VF:----:sa:----	_	
4-77	,	,	ZD	_	
4-78	at	at	CS:----:--:----	_	
4-79	der	der	US:----:--:----	_	
4-80	bliver	blive	VF:----:sa:----	_	
4-81	hærværk	hærværk	NC:siun:--:----	_	
4-82	,	,	ZD	_	
4-83	og	og	CC:----:--:----	_	
4-84	at	at	CS:----:--:----	_	
4-85	der	der	US:----:--:----	_	
4-86	bliver	blive	VF:----:sa:----	_	
4-87	utrygt	utryg	AD:----:--:p---	_	
4-88	.	.	ZP	_	

#id=5
#text=Justitsministeriet drøfter på den baggrund for tiden med rigspolitiet og Rigsadvokaten, om der i lyset af de praktiske erfaringer med disse sager er grundlag for at overveje præciseringer eller stramninger af tilholdsreglerne og for at styrke håndhævelsen af tilhold.
5-1	Justitsministeriet	justitsministerium	NC:sdun:--:----	_	
5-2	drøfter	drøfte	VF:----:sa:----	_	
5-3	på	på	T-:----:--:----	_	
5-4	den	den	PM:s-uc:--:----	_	
5-5	baggrund	baggrund	NC:siuc:--:----	_	
5-6	for	for	T-:----:--:----	_	
5-7	tiden	tid	NC:sduc:--:----	_	
5-8	med	med	T-:----:--:----	_	
5-9	rigspolitiet	rigspoliti	NC:sdun:--:----	_	
5-10	og	og	CC:----:--:----	_	
5-11	Rigsadvokaten	rigsadvokat	NC:sduc:--:----	_	
5-12	,	,	ZD	_	
5-13	om	om	CS:----:--:----	_	
5-14	der	der	US:----:--:----	_	
5-15	i	i	T-:----:--:----	_	
5-16	lyset	lys|lys-1-1a-1b-1c-1f|lys-1d|lys-F-bengalsk-lys|lys-F-brænde-sit-lys-i-begge-ender|lys-5|lys-4|lys-3|Lys-2|lys-1g|lys-1f|lys-1e|lys-F-se-lyset|lys-F-sætte-sit-lys-under-en-skæppe|lys-F-tåle-dagens-lys|lys-F-stille/sætte-i-et-dårligt-lys|lys-F-se-dagens-lys|lys-F-rank-som-et-lys|lys-F-lys-i-mørket|lys-F-levende-lys|lys-F-lede/søge-med-lys-og-lygte|lys-F-komme-for-dagens-lys|lys-F-kaste-lys-over|lys-F-i-lyset-af|lys-F-i-et-nyt-(andet-..)-lys|lys-F-gå-ud-som-et-lys|lys-F-grønt-lys(for-noget)|lys-F-grønt/gult/rødt-lys|lys-F-føre-nogen-bag-lyset|lys-F-der-går-et-lys-op-for-nogen	NC:sdun:--:----	lys_F_i-lyset-af	
5-17	af	af	T-:----:--:----	_	
5-18	de	den	PM:p-u#:--:----	_	
5-19	praktiske	praktisk	AC:p#u#:--:p---	_	
5-20	erfaringer	erfaring	NC:piu#:--:----	_	
5-21	med	med	T-:----:--:----	_	
5-22	disse	denne	PM:p-u#:--:----	_	
5-23	sager	sag	NC:piu#:--:----	_	
5-24	er	være	VF:----:sa:----	_	
5-25	grundlag	grundlag	NC:siun:--:----	_	
5-26	for	for	T-:----:--:----	_	
5-27	at	at	UI:----:--:----	_	
5-28	overveje	overveje	VI:----:-a:----	_	
5-29	præciseringer	præcisering	NC:piu#:--:----	_	
5-30	eller	eller	CC:----:--:----	_	
5-31	stramninger	stramning	NC:piu#:--:----	_	
5-32	af	af	T-:----:--:----	_	
