 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexi | Tag
#id=1
#text=Men sådan er prisklassen konkret, og de fleste modeller bliver ofte kun produceret i et meget lille antal.
1-1	Men	men	CC:----:--:----	_	
1-2	sådan	sådan	D-:----:--:u---	_	
1-3	er	være	VF:----:sa:----	_	
1-4	prisklassen	prisklasse	NC:sduc:--:----	_	
1-5	konkret	konkret	AD:----:--:p---	_	
1-6	,	,	ZD	_	
1-7	og	og	CC:----:--:----	_	
1-8	de	den	PM:p-u#:--:----	_	
1-9	fleste	mange	AC:p#u#:--:s---	_	
1-10	modeller	model|model-1|model-2|model-6-6a|model-F-stå-model-til|model-5|model-4|model-3|model-1a	NC:piu#:--:----	model_2	
1-11	bliver	blive	VF:----:sa:----	_	
1-12	ofte	ofte	D-:----:--:u---	_	
1-13	kun	kun	D-:----:--:u---	_	
1-14	produceret	producere	VT:siu#:t-:----	_	
1-15	i	i	T-:----:--:----	_	
1-16	et	en	PI:s-un:--:----	_	
1-17	meget	megen	AD:----:--:p---	_	
1-18	lille	lille	AC:s§u§:--:p---	_	
1-19	antal	antal	NC:siun:--:----	_	
1-20	.	.	ZP	_	

#id=2
#text= Specielt de japanske cosplay modeller, men i denne omgang holder jeg mig til de to, for tiden mest populære shounen serier:
2-1	Specielt	speciel	AD:----:--:p---	_	
2-2	de	de	PP:p-n#:--:-3n-	_	
2-3	japanske	japansk	AC:sdu#:--:p---	_	
2-4	cosplay	cosplaY	NC:siun:--:----	_	
2-5	modeller	model|model-1a|model-2|model-4|model-6-6a|model-F-stå-model-til|model-5|model-3|model-1	NC:piu#:--:----	model_2	
2-6	,	,	ZD	_	
2-7	men	men	CC:----:--:----	_	
2-8	i	i	T-:----:--:----	_	
2-9	denne	denne	PM:s-uc:--:----	_	
2-10	omgang	omgang	NC:siuc:--:----	_	
2-11	holder	holde	VF:----:sa:----	_	
2-12	jeg	jeg	PP:s-nc:--:-1n-	_	
2-13	mig	jeg	PP:s-uc:--:-1#-	_	
2-14	til	til	T-:----:--:----	_	
2-15	de	den	PM:p-u#:--:----	_	
2-16	to	to	LC:--u-:--:----	_	
2-17	,	,	ZD	_	
2-18	for	for	T-:----:--:----	_	
2-19	tiden	tiden	XY:----:--:----	_	
2-20	mest	megen	AD:----:--:s---	_	
2-21	populære	populær	:--:p---	_	
2-22	shounen	shounen	PI:s-uc:--:----	_	
2-23	serier	serie	NC:piu#:--:----	_	
2-24	:	:	ZP	_	

