 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=At det går mere ud på at modellerne skal se vildt erotiske og næsten desperate sextrængende ud, istedet for at reklamere for det, reklamen nu er der for...
1-1	At	at	CS:----:--:----	
1-2	det	det	PP:s-un:--:-3n-	
1-3	går	gå	VF:----:sa:----	
1-4	mere	megen	AD:----:--:c---	
1-5	ud	ud	D-:----:--:u---	
1-6	på	på	T-:----:--:----	
1-7	at	at	CS:----:--:----	
1-8	modellerne	model|model-2|model-1a|model-1|model-4|model-F-stå-model-til|model-6-6a|model-5|model-3	NC:pdu#:--:----	
1-9	skal	skulle	VF:----:sa:----	
1-10	se	se	VI:----:-a:----	
1-11	vildt	vild	AD:----:--:p---	
1-12	erotiske	erotisk	AC:p#u#:--:p---	
1-13	og	og	CC:----:--:----	
1-14	næsten	næsten	D-:----:--:u---	
1-15	desperate	desperat	AC:p#u#:--:p---	
1-16	sextrængende	sextrænge	VP:##u#:s-:----	
1-17	ud	ud	D-:----:--:u---	
1-18	,	,	ZD	
1-19	istedet	istedet	D-:----:--:u---	
1-20	for	for	T-:----:--:----	
1-21	at	at	UI:----:--:----	
1-22	reklamere	reklamere	VI:----:-a:----	
1-23	for	for	T-:----:--:----	
1-24	det	det	PP:s-un:--:-3n-	
1-25	,	,	ZD	
1-26	reklamen	reklame	NC:sduc:--:----	
1-27	nu	nu	D-:----:--:u---	
1-28	er	være	VF:----:sa:----	
1-29	der	der	US:----:--:----	
1-30	for	for	T-:----:--:----	
1-31	.	.	ZP	
1-32	.	.	ZP	
1-33	.	.	ZP	

#id=2
#text= Sex optager mere og mere af vores hverdag, og det skal proppes ind hvor det nu engang kan - Nytækningen er ikke at modeller skal symbolisere sex (Har de gjort siden de opfandtes, tror jeg) men at det skal være mere ekstremt og attraktivt.
2-1	Sex	sex	NC:siuc:--:----	
2-2	optager	optage	VF:----:sa:----	
2-3	mere	megen	AD:----:--:c---	
2-4	og	og	CC:----:--:----	
2-5	mere	megen	AD:----:--:c---	
2-6	af	af	T-:----:--:----	
2-7	vores	vores	PO:#--#:--:-1np	
2-8	hverdag	hverdag	NC:siuc:--:----	
2-9	,	,	ZD	
2-10	og	og	CC:----:--:----	
2-11	det	det	PP:s-un:--:-3n-	
2-12	skal	skulle	VF:----:sa:----	
2-13	proppes	proppe	VI:----:-p:----	
2-14	ind	ind	D-:----:--:u---	
2-15	hvor	hvor	D-:----:--:u---	
2-16	det	det	PP:s-un:--:-3n-	
2-17	nu	nu	D-:----:--:u---	
2-18	engang	engang	D-:----:--:u---	
2-19	kan	kunne	VF:----:sa:----	
2-20	-	-	NC:piu#:--:----	
2-21	Nytækningen	Nytækningen	NP:siu#:--:----	
2-22	er	være	VF:----:sa:----	
2-23	ikke	ikke	D-:----:--:u---	
2-24	at	at	CS:----:--:----	
2-25	modeller	model|model-F-stå-model-til|model-1a|model-1|model-2|model-3|model-4|model-6-6a|model-5	NC:piu#:--:----	
2-26	skal	skulle	VF:----:sa:----	
2-27	symbolisere	symbolisere	VI:----:-a:----	
2-28	sex	sex	NC:siuc:--:----	
2-29	(	(	ZD	
2-30	Har	have	VF:----:sa:----	
2-31	de	de	PP:p-n#:--:-3n-	
2-32	gjort	gøre	VT:siu#:t-:----	
2-33	siden	siden	D-:----:--:u---	
2-34	de	de	PP:p-n#:--:-3n-	
2-35	opfandtes	opfinde	VF:----:tp:----	
2-36	,	,	ZD	
2-37	tror	tro	VF:----:sa:----	
2-38	jeg	jeg	PP:s-nc:--:-1n-	
2-39	)	)	ZD	
2-40	men	men	CC:----:--:----	
2-41	at	at	CS:----:--:----	
2-42	det	det	PP:s-un:--:-3n-	
2-43	skal	skulle	VF:----:sa:----	
2-44	være	være	VI:----:-a:----	
2-45	mere	megen	AD:----:--:c---	
2-46	ekstremt	ekstrem	AC:siun:--:p---	
2-47	og	og	CC:----:--:----	
2-48	attraktivt	attraktiv	AD:----:--:p---	
2-49	.	.	ZP	

#id=3
#text= Kan godt gå med til unisex modeller.
3-1	Kan	kunne	VF:----:sa:----	
3-2	godt	god	AD:----:--:p---	
3-3	gå	gå	VI:----:-a:----	
3-4	med	med	D-:----:--:u---	
3-5	til	til	T-:----:--:----	
3-6	unisex	unisex	AD:----:--:p---	
3-7	modeller	model|model-6-6a|model-F-stå-model-til|model-5|model-2|model-3|model-4|model-1|model-1a	NC:piu#:--:----	
3-8	.	.	ZP	

