 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=På de seneste plader med Depeche Mode er han blevet akkrediteret som sangskriver og har således tre bidrag med på det nye album, ' Sounds Of The Universe'.
1-1	På	på	T-:----:--:----	_	
1-2	de	den	PM:p-u#:--:----	_	
1-3	seneste	sen	AC:§du§:--:s---	_	
1-4	plader	plade	NC:piu#:--:----	plade_2	
1-5	med	med	T-:----:--:----	_	
1-6	Depeche	Depeche	NP:siu#:--:----	_	
1-7	Mode	Mode	NP:siu#:--:----	_	
1-8	er	være	VF:----:sa:----	_	
1-9	han	han	PP:s-nc:--:-3n-	_	
1-10	blevet	blive	VT:siu#:t-:----	_	
1-11	akkrediteret	akkreditere	VT:siu#:t-:----	_	
1-12	som	som	US:----:--:----	_	
1-13	sangskriver	sangskriver	NC:siuc:--:----	_	
1-14	og	og	CC:----:--:----	_	
1-15	har	have	VF:----:sa:----	_	
1-16	således	således	D-:----:--:u---	_	
1-17	tre	tre	LC:--u-:--:----	_	
1-18	bidrag	bidrag	NC:piu#:--:----	_	
1-19	med	med	T-:----:--:----	_	
1-20	på	på	T-:----:--:----	_	
1-21	det	den	PM:s-un:--:----	_	
1-22	nye	ny	AC:sdu#:--:p---	_	
1-23	album	album	NC:siun:--:----	_	
1-24	,	,	ZD	_	
1-25	'	'	XY:----:--:----	_	
1-26	Sounds	sound	NC:sigc:--:----	_	
1-27	Of	Of	NP:siu#:--:----	_	
1-28	The	The	XF:---:--:----	_	
1-29	Universe	Universe	NP:siu#:--:----	_	
1-30	'	'	ZA	_	
1-31	.	.	ZP	_	

#id=2
#text= Men en version til gule plader er dog ikke på trapperne.
2-1	Men	men	CC:----:--:----	_	
2-2	en	en	PI:s-uc:--:----	_	
2-3	version	version	NC:siuc:--:----	_	
2-4	til	til	T-:----:--:----	_	
2-5	gule	gul	AC:p#u#:--:p---	_	
2-6	plader	plade	NC:piu#:--:----	plade_F_gule-plader	
2-7	er	være	VF:----:sa:----	_	
2-8	dog	dog	D-:----:--:u---	_	
2-9	ikke	ikke	D-:----:--:u---	_	
2-10	på	på	T-:----:--:----	_	
2-11	trapperne	trappe	NC:pdu#:--:----	_	
2-12	.	.	ZP	_	

#id=3
#text= fl. udgav deres første plader.
3-1	fl	mange	AC:##u#:--:c---	_	
3-2	.	.	ZP	_	
3-3	udgav	udgive	VF:----:ta:----	_	
3-4	deres	deres	PO:#--#:--:-3np	_	
3-5	første	første	AC:§§u§:--:p---	_	
3-6	plader	plade	NC:piu#:--:----	plade_2	
3-7	.	.	ZP	_	

#id=4
#text=Ikke fordi der er noget galt med plader fra Poul Krebs, naturligvis, men fordi mediet er ved at forsvinde under musikerne og musikken.
