 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=Hvilket i praksis betyder, at fra i morgen kan unge under 18 år ikke købe pladen, at den ikke må ligge synligt fremme i butikkerne, og at der ikke må reklameres for den.
1-1	Hvilket	hvilken	PR:s-un:--:----	_	
1-2	i	i	T-:----:--:----	_	
1-3	praksis	praksis	NC:piu#:--:----	_	
1-4	betyder	betyde	VF:----:sa:----	_	
1-5	,	,	ZD	_	
1-6	at	at	CS:----:--:----	_	
1-7	fra	fra	D-:----:--:u---	_	
1-8	i	i	T-:----:--:----	_	
1-9	morgen	morgen	NC:siuc:--:----	_	
1-10	kan	kunne	VF:----:sa:----	_	
1-11	unge	unge	NC:siuc:--:----	_	
1-12	under	under	T-:----:--:----	_	
1-13	18	18	LC:--u-:--:----	_	
1-14	år	år	NC:piu#:--:----	_	
1-15	ikke	ikke	D-:----:--:u---	_	
1-16	købe	købe	VI:----:-a:----	_	
1-17	pladen	plade	NC:sduc:--:----	plade_2	
1-18	,	,	ZD	_	
1-19	at	at	CS:----:--:----	_	
1-20	den	den	PP:s-uc:--:-3n-	_	
1-21	ikke	ikke	D-:----:--:u---	_	
1-22	må	måtte	VF:----:sa:----	_	
1-23	ligge	ligge	VI:----:-a:----	_	
1-24	synligt	synlig	AD:----:--:p---	_	
1-25	fremme	fremme	D-:----:--:u---	_	
1-26	i	i	T-:----:--:----	_	
1-27	butikkerne	butik	NC:pdu#:--:----	_	
1-28	,	,	ZD	_	
1-29	og	og	CC:----:--:----	_	
1-30	at	at	CS:----:--:----	_	
1-31	der	der	US:----:--:----	_	
1-32	ikke	ikke	D-:----:--:u---	_	
1-33	må	måtte	VF:----:sa:----	_	
1-34	reklameres	reklamere	VI:----:-p:----	_	
1-35	for	for	T-:----:--:----	_	
1-36	den	den	PP:s-uc:--:-3n-	_	
1-37	.	.	ZP	_	

#id=2
#text=Selv om Rammsteins keyboardspiller Christian ' Flake' Lorenz i et interview med Bild am Sontag udtaler, at "hvis det ser sådan ud, at nazister uforstyrret kan brøle ' Ud med udlændinge', mens vores plade derimod bliver trukket ud af handelen, så er vi virkelig ikke kommet meget længere" med ytringsfriheden, så er reglerne for, hvad man må ytre offentligt, striksere i Tyskland, siger lektor i musikvidenskab på Københavns Universitet Annemette Kirkegaard, som blandt andet beskæftiger sig med musik og censur.
2-1	Selv	selv	D-:----:--:u---	_	
2-2	om	om	T-:----:--:----	_	
2-3	Rammsteins	Rammsteins	NP:sig#:--:----	_	
2-4	keyboardspiller	keyboardspiller	NC:siuc:--:----	_	
2-5	Christian	Christian	NP:siu#:--:----	_	
2-6	'	'	ZA	_	
2-7	Flake	Flake	NP:siu#:--:----	_	
2-8	'	'	ZA	_	
2-9	Lorenz	Lorenz	NP:siu#:--:----	_	
2-10	i	i	T-:----:--:----	_	
2-11	et	en	PI:s-un:--:----	_	
2-12	interview	interview	NC:siun:--:----	_	
2-13	med	med	T-:----:--:----	_	
2-14	Bild	Bild	NP:siu#:--:----	_	
2-15	am	am	NP:siu#:--:----	_	
2-16	Sontag	Sontag	NP:siu#:--:----	_	
2-17	udtaler	udtale	VF:----:sa:----	_	
2-18	,	,	ZD	_	
2-19	at	at	CS:----:--:----	_	
2-20	"	"	ZI	_	
2-21	hvis	hvis	CS:----:--:----	_	
2-22	det	det	:s-un:--:-3n-	_	
2-23	ser	se	VF:----:sa:----	_	
2-24	sådan	sådan	D-:----:--:u---	_	
2-25	ud	ud	D-:----:--:u---	_	
2-26	,	,	ZD	_	
2-27	at	at	CS:----:--:----	_	
2-28	nazister	nazist	NC:piu#:--:----	_	
2-29	uforstyrret	uforstyrret	AD:----:--:p---	_	
2-30	kan	kunne	VF:----:sa:----	_	
2-31	brøle	brøle	VI:----:-a:----	_	
2-32	'	'	ZA	_	
2-33	Ud	ud	D-:----:--:u---	_	
2-34	med	med	T-:----:--:----	_	
2-35	udlændinge	udlænding	NW:----:--:----	_	
2-36	'	'	ZA	_	
2-37	,	,	ZD	_	
2-38	mens	mens	CS:----:--:----	_	
2-39	vores	vores	PO:#--#:--:-1np	_	
2-40	plade	plade	NC:siuc:--:----	plade_2	
2-41	derimod	derimod	D-:----:--:u---	_	
2-42	bliver	blive	VF:----:sa:----	_	
2-43	trukket	trække	VT:siu#:t-:----	_	
