 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=Lad os indspille et "Spice Girls Juniors" plade.
1-1	Lad	lade	VM:----:--:----	_	
1-2	os	vi	PP:p-uc:--:-1#-	_	
1-3	indspille	indspille	VI:----:-a:----	_	
1-4	et	en	PI:s-un:--:----	_	
1-5	"	"	ZI	_	
1-6	Spice	Spice	NP:siu#:--:----	_	
1-7	Girls	Girls	NP:siu#:--:----	_	
1-8	Juniors	Juniors	NP:siu#:--:----	_	
1-9	"	"	ZI	_	
1-10	plade	plade	NC:siuc:--:----	plade_2	
1-11	.	.	ZP	_	

