 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Louisianamyldrede med mennesker (også en hel del, for hvem selviscenesættelse så ud til at være vigtigt! (tænk, så føler jeg mig så dejligt almindelig)), men der blev også plads til mandens og mine nysgerrige blikke på Ernsts detaljerige, underfundige værker.
1-1	Louisiana	Louisiana	NP:siu#:--:----	O	
1-2	myldrede	myldre	VF:----:ta:----	O	
1-3	med	med	T-:----:--:----	O	
1-4	mennesker	menneske	NC:piu#:--:----	O	
1-5	(	(	ZD	O	
1-6	også	også	D-:----:--:u---	O	
1-7	en	en	PI:s-uc:--:----	O	
1-8	hel	hel	AC:siuc:--:p---	O	
1-9	del	del	NC:siuc:--:----	O	
1-10	,	,	ZD	O	
1-11	for	for	CC:----:--:----	O	
1-12	hvem	hvem	PR:#-uc:--:----	O	
1-13	selviscenesættelse	selviscenesættelse	NC:siuc:--:----	O	
1-14	så	så	--:u---	O	
1-15	ud	ud	D-:----:--:u---	O	
1-16	til	til	T-:----:--:----	O	
1-17	at	at	UI:----:--:----	O	
1-18	være	være	VI:----:-a:----	O	
1-19	vigtigt	vigtig	AC:siun:--:p---	O	
1-20	!	!	ZP	O	
1-21	(	(	ZD	O	
1-22	tænk	tænke	VM:----:--:----	O	
1-23	,	,	ZD	O	
1-24	så	så	D-:----:--:u---	O	
1-25	føler	føle	VF:----:sa:----	O	
1-26	jeg	jeg	PP:s-nc:--:-1n-	O	
1-27	mig	jeg	PP:s-uc:--:-1#-	O	
1-28	så	så	D-:----:--:u---	O	
1-29	dejligt	dejlig	AD:----:--:p---	O	
1-30	almindelig	almindelig	AC:siuc:--:p---	O	
1-31	)	)	ZD	O	
1-32	)	)	ZD	O	
1-33	,	,	ZD	O	
1-34	men	men	CC:----:--:----	O	
1-35	der	der	US:----:--:----	O	
1-36	blev	blive	VF:----:ta:----	O	
1-37	også	også	D-:----:--:u---	O	
1-38	plads	plads|plads-1|plads-7|plads-6|plads-5|plads-4-4a|plads-3-3a|plads-2b-2c|plads-2-2a|plads-1a|plads-F-løbe/rende-af-pladsen|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-tage-plads|plads-F-sætte-tingene-på-plads|plads-F-på-pladserne|plads-F-på-plads|plads-F-(på)-plads|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-en-plads-i-solen|plads-F-brikkerne-falder-på-plads|plads-F-banke/sætte-på-plads	NC:siuc:--:----	B-plads-1a	
1-39	til	til	T-:----:--:----	O	
1-40	mandens	mand	NC:sdgc:--:----	O	
1-41	og	og	CC:----:--:----	O	
1-42	mine	mine	NC:siuc:--:----	O	
1-43	nysgerrige	nysgerrig	AC:p#u#:--:p---	O	
1-44	blikke	blik	NC:piu#:--:----	O	
1-45	på	på	T-:----:--:----	O	
1-46	Ernsts	Ernst	NP:sig#:--:----	O	
1-47	detaljerige	detaljerig	AC:sdu#:--:p---	O	
1-48	,	,	ZD	O	
1-49	underfundige	underfundig	AC:p#u#:--:p---	O	
1-50	værker	værk	NC:piu#:--:----	O	
1-51	.	.	ZP	O	

#id=2
#text=Vikunne være blevet herhjemme og have brugt lørdagen på at klare  nogle af alle de gøremål, som ikke altid får plads i hverdagen.
2-1	Vi	vi	PP:p-nc:--:-1n-	O	
2-2	kunne	kunne	VF:----:ta:----	O	
2-3	være	være	VI:----:-a:----	O	
2-4	blevet	blive	VT:siu#:t-:----	O	
2-5	herhjemme	herhjemme	D-:----:--:u---	O	
2-6	og	og	CC:----:--:----	O	
2-7	have	have	VI:----:-a:----	O	
2-8	brugt	bruge	VT:siu#:t-:----	O	
