 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Når der er plads til massive lempelser af finanspolitikken i disse år, skyldes det, at regeringen har afdraget på den offentlige gæld i de gode tider.
1-1	Når	når	CS:----:--:----	O	
1-2	der	der	US:----:--:----	O	
1-3	er	være	VF:----:sa:----	O	
1-4	plads	plads|plads-1|plads-2-2a|plads-1a|plads-F-banke/sætte-på-plads|plads-7|plads-6|plads-5|plads-4-4a|plads-3-3a|plads-2b-2c|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-tage-plads|plads-F-sætte-tingene-på-plads|plads-F-på-pladserne|plads-F-på-plads|plads-F-(på)-plads|plads-F-løbe/rende-af-pladsen|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-en-plads-i-solen|plads-F-brikkerne-falder-på-plads	NC:siuc:--:----	B-plads-1a	
1-5	til	til	T-:----:--:----	O	
1-6	massive	massiv	AC:p#u#:--:p---	O	
1-7	lempelser	lempelse	NC:piu#:--:----	O	
1-8	af	af	T-:----:--:----	O	
1-9	finanspolitikken	finanspolitik	----	O	
1-10	i	i	T-:----:--:----	O	
1-11	disse	denne	PM:p-u#:--:----	O	
1-12	år	år	NC:piu#:--:----	O	
1-13	,	,	ZD	O	
1-14	skyldes	skylde	VF:----:sp:----	O	
1-15	det	det	PP:s-un:--:-3n-	O	
1-16	,	,	ZD	O	
1-17	at	at	CS:----:--:----	O	
1-18	regeringen	regering	NC:sduc:--:----	O	
1-19	har	have	VF:----:sa:----	O	
1-20	afdraget	afdrage	VT:siu#:t-:----	O	
1-21	på	på	T-:----:--:----	O	
1-22	den	den	PM:s-uc:--:----	O	
1-23	offentlige	offentlig	AC:sdu#:--:p---	O	
1-24	gæld	gæld	NC:siuc:--:----	O	
1-25	i	i	T-:----:--:----	O	
1-26	de	den	PM:p-u#:--:----	O	
1-27	gode	god	AC:p#u#:--:p---	O	
1-28	tider	tid	NC:piu#:--:----	O	
1-29	.	.	ZP	O	

#id=2
#text= Hvis alle medlemmerne er på pladserne og gruppeformændene har styr på grupperne, og det ser det ud til, så starter vi med § 6, og det er udenrigsministeriet.
2-1	Hvis	hvis	CS:----:--:----	O	
2-2	alle	al	PI:p-u#:--:----	O	
2-3	medlemmerne	medlem	NC:pdu#:--:----	O	
2-4	er	være	VF:----:sa:----	O	
2-5	på	på	T-:----:--:----	O	
2-6	pladserne	plads|plads-2b-2c|plads-2-2a|plads-1a|plads-1|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-tage-plads|plads-F-sætte-tingene-på-plads|plads-F-på-pladserne|plads-F-på-plads|plads-F-(på)-plads|plads-F-løbe/rende-af-pladsen|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-en-plads-i-solen|plads-F-brikkerne-falder-på-plads|plads-F-banke/sætte-på-plads|plads-7|plads-6|plads-5|plads-4-4a|plads-3-3a	NC:pdu#:--:----	B-plads-2-2a	
2-7	og	og	CC:----:--:----	O	
2-8	gruppeformændene	gruppeformændene	NC:pdu#:--:----	O	
2-9	har	have	VF:----:sa:----	O	
2-10	styr	styr	NC:siun:--:----	O	
2-11	på	på	T-:----:--:----	O	
2-12	grupperne	gruppe	NC:pdu#:--:----	O	
2-13	,	,	ZD	O	
2-14	og	og	CC:----:--:----	O	
2-15	det	det	PP:s-un:--:-3n-	O	
2-16	ser	se	VF:----:sa:----	O	
2-17	det	det	PP:s-un:--:-3n-	O	
2-18	ud	ud	D-:----:--:u---	O	
2-19	til	til	T-:----:--:----	O	
2-20	,	,	ZD	O	
2-21	så	så	D-:----:--:u---	O	
2-22	starter	starte	VF:----:sa:----	O	
2-23	vi	VI	LC:--u-:--:----	O	
2-24	med	medicinae	XF:----:--:----	O	
2-25	§	§	XS:----:--:----	O	
2-26	6	6	LC:--u-:--:----	O	
2-27	,	,	ZD	O	
2-28	og	og	CC:----:--:----	O	
2-29	det	det	PP:s-un:--:-3n-	O	
2-30	er	være	VF:----:sa:----	O	
2-31	udenrigsministeriet	udenrigsministerium	NC:sdun:--:----	O	
2-32	.	.	ZP	O	

#id=3
#text=Jeg beder om, at man bliver siddende på pladserne, til vi er færdige med afstemningen.
3-1	Jeg	jeg	PP:s-nc:--:-1n-	O	
3-2	beder	bede	VF:----:sa:----	O	
3-3	om	om	T-:----:--:----	O	
3-4	,	,	ZD	O	
3-5	at	at	CS:----:--:----	O	
3-6	man	man	PI:#-uc:--:----	O	
3-7	bliver	blive	VF:----:sa:----	O	
3-8	siddende	sidde	VP:##u#:s-:----	O	
3-9	på	på	T-:----:--:----	O	
