 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Der skal være plads til ecchi!
1-1	Der	der	US:----:--:----	O	
1-2	skal	skulle	VF:----:sa:----	O	
1-3	være	være	VI:----:-a:----	O	
1-4	plads	plads|plads-1a|plads-1|plads-6|plads-5|plads-4-4a|plads-3-3a|plads-2b-2c|plads-2-2a|plads-F-vige-pladsen|plads-F-tage-plads|plads-F-sætte-tingene-på-plads|plads-F-på-pladserne|plads-F-på-plads|plads-F-(på)-plads|plads-F-løbe/rende-af-pladsen|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-en-plads-i-solen|plads-F-brikkerne-falder-på-plads|plads-F-banke/sætte-på-plads|plads-7|plads-F-være-på-sin-plads	NC:siuc:--:----	B-plads-1a	
1-5	til	til	T-:----:--:----	O	
1-6	ecchi	ecchi	NC:siun:--:----	O	
1-7	!	!	ZP	O	

#id=2
#text=Det kan være svært at finde den, da nogle butikker faktisk vælger nogle af egmonts mangaer fra, og kun gør plads til Carlsens (aftalt spil?), heriblandt den ene af tog Bog og Ide i Viborg.
2-1	Det	det	PP:s-un:--:-3n-	O	
2-2	kan	kunne	VF:----:sa:----	O	
2-3	være	være	VI:----:-a:----	O	
2-4	svært	svær	AC:siun:--:p---	O	
2-5	at	at	UI:----:--:----	O	
2-6	finde	finde	VI:----:-a:----	O	
2-7	den	den	PP:s-uc:--:-3n-	O	
2-8	,	,	ZD	O	
2-9	da	da	CS:----:--:----	O	
2-10	nogle	nogen	PI:p-u#:--:----	O	
2-11	butikker	butik	NC:piu#:--:----	O	
2-12	faktisk	faktisk	AD:----:--:p---	O	
2-13	vælger	vælge	VF:----:sa:----	O	
2-14	nogle	nogen	PI:p-u#:--:----	O	
2-15	af	af	T-:----:--:----	O	
2-16	egmonts	egmonts	D-:----:--:u---	O	
2-17	mangaer	manga	NC:piu#:--:----	O	
2-18	fra	fra	T-:----:--:----	O	
2-19	,	,	ZD	O	
2-20	og	og	CC:----:--:----	O	
2-21	kun	kun	D-:----:--:u---	O	
2-22	gør	gø	VF:----:sa:----	O	
2-23	plads	plads|plads-1|plads-2b-2c|plads-2-2a|plads-1a|plads-4-4a|plads-F-brikkerne-falder-på-plads|plads-F-banke/sætte-på-plads|plads-7|plads-6|plads-5|plads-3-3a|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-tage-plads|plads-F-sætte-tingene-på-plads|plads-F-på-pladserne|plads-F-på-plads|plads-F-(på)-plads|plads-F-løbe/rende-af-pladsen|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-en-plads-i-solen	NC:siuc:--:----	B-plads-1	
2-24	til	til	T-:----:--:----	O	
2-25	Carlsens	Carlsen	NP:sig#:--:----	O	
2-26	(	(	ZD	O	
2-27	aftalt	aftale	VT:siu#:t-:----	O	
2-28	spil	spil	NC:siun:--:----	O	
2-29	?	?	ZQ	O	
2-30	)	)	ZD	O	
2-31	,	,	ZD	O	
2-32	heriblandt	heriblandt	D-:----:--:u---	O	
2-33	den	den	PM:s-uc:--:----	O	
2-34	ene	ene	AC:§§u§:--:p---	O	
2-35	af	af	T-:----:--:----	O	
2-36	tog	tog	NC:siun:--:----	O	
2-37	Bog	bog	NC:siuc:--:----	O	
2-38	og	og	CC:----:--:----	O	
2-39	Ide	ide	NC:siuc:--:----	O	
2-40	i	i	T-:----:--:----	O	
2-41	Viborg	Viborg	NP:siu#:--:----	O	
2-42	.	.	ZP	O	

#id=3
#text=Sikkertfordi at den er linket fra 4chan.,...og næste gang der er en der poster et billede bliver alle de andre billeder rykket en plads ned og derfor bliver linket anderledes...Tror jeg :?
3-1	Sikkert	sikker	AD:----:--:p---	O	
3-2	fordi	fordi	CS:----:--:----	O	
3-3	at	at	CS:----:--:----	O	
3-4	den	den	PP:s-uc:--:-3n-	O	
3-5	er	være	VF:----:sa:----	O	
3-6	linket	linke	VT:siu#:t-:----	O	
