 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Denne gang blev bolden spillet frem mod Bjørn Runström, der fik tid og plads af AaB-forsvareren  til at spille bolden videre til Espen Ruud, som kunne vippe bolden ind i feltet, hvor en fremstormende Hans Henrik Andreasen nikkede bolden sikkert i mål, også denne aktion for anden kamp i træk.
1-1	Denne	denne	PM:s-uc:--:----	O	
1-2	gang	gang	NC:siuc:--:----	O	
1-3	blev	blive	VF:----:ta:----	O	
1-4	bolden	bold	NC:sduc:--:----	O	
1-5	spillet	spille	VT:siu#:t-:----	O	
1-6	frem	frem	D-:----:--:u---	O	
1-7	mod	mod	T-:----:--:----	O	
1-8	Bjørn	Bjørn	NP:siu#:--:----	O	
1-9	Runström	Runström	NP:siu#:--:----	O	
1-10	,	,	ZD	O	
1-11	der	der	US:----:--:----	O	
1-12	fik	få	VF:----:ta:----	O	
1-13	tid	tid	NC:siuc:--:----	O	
1-14	og	og	CC:----:--:----	O	
1-15	plads	plads|plads-4-4a|plads-3-3a|plads-2b-2c|plads-2-2a|plads-1a|plads-1|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-tage-plads|plads-F-sætte-tingene-på-plads|plads-F-på-pladserne|plads-F-på-plads|plads-F-(på)-plads|plads-F-løbe/rende-af-pladsen|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-en-plads-i-solen|plads-F-brikkerne-falder-på-plads|plads-F-banke/sætte-på-plads|plads-7|plads-6|plads-5	NC:siuc:--:----	B-plads-1	
1-16	af	af	T-:----:--:----	O	
1-17	AaB	AaB	NW:----:--:----	O	
1-18	-	-	ZH	O	
1-19	forsvareren	forsvarer	NC:sduc:--:----	O	
1-20	til	til	T-:----:--:----	O	
1-21	at	at	UI:----:--:----	O	
1-22	spille	spille	VI:----:-a:----	O	
1-23	bolden	bold	NC:sduc:--:----	O	
1-24	videre	videre	D-:----:--:u---	O	
1-25	til	til	T-:----:--:----	O	
1-26	Espen	Espen	NC:sduc:--:----	O	
1-27	Ruud	Ruud	NP:siu#:--:----	O	
1-28	,	,	ZD	O	
1-29	som	som	US:----:--:----	O	
1-30	kunne	kunne	VF:----:ta:----	O	
1-31	vippe	vippe	VI:----:-a:----	O	
1-32	bolden	bold	NC:sduc:--:----	O	
1-33	ind	ind	D-:----:--:u---	O	
1-34	i	i	T-:----:--:----	O	
1-35	feltet	felt	NC:sdun:--:----	O	
1-36	,	,	ZD	O	
1-37	hvor	hvor	D-:----:--:u---	O	
1-38	en	en	PI:s-uc:--:----	O	
1-39	fremstormende	fremstorme	VP:##u#:s-:----	O	
1-40	Hans	Hans	NP:siu#:--:----	O	
1-41	Henrik	Henrik	NP:siu#:--:----	O	
1-42	Andreasen	Andreasen	NP:siu#:--:----	O	
1-43	nikkede	nikke	VF:----:ta:----	O	
1-44	bolden	bold	NC:sduc:--:----	O	
1-45	sikkert	sikker	AD:----:--:p---	O	
1-46	i	i	T-:----:--:----	O	
1-47	mål	mål	NC:siun:--:----	O	
1-48	,	,	ZD	O	
1-49	også	også	D-:----:--:u---	O	
1-50	denne	denne	PM:s-uc:--:----	O	
1-51	aktion	aktion	NC:siuc:--:----	O	
1-52	for	for	T-:----:--:----	O	
1-53	anden	anden	PI:s-uc:--:----	O	
1-54	kamp	kamp	NC:siuc:--:----	O	
1-55	i	i	T-:----:--:----	O	
1-56	træk	træk	NC:siuc:--:----	O	
1-57	.	.	ZP	O	

#id=2
#text= Efter et point i de seneste tre kampe rykkede AC Horsens med sejren over Vejle og dermed på den rigtige side af nedrykningsstregen, og Vejle skal vinde over FC København i Parken i morgen for at tilbageerobre 10.-pladsen.
2-1	Efter	efter	T-:----:--:----	O	
2-2	et	en	PI:s-un:--:----	O	
2-3	point	point	NC:siun:--:----	O	
2-4	i	i	T-:----:--:----	O	
2-5	de	den	PM:p-u#:--:----	O	
2-6	seneste	sen	AC:§du§:--:s---	O	
2-7	tre	tre	LC:--u-:--:----	O	
2-8	kampe	kamp	NC:piu#:--:----	O	
2-9	rykkede	rykke	VF:----:ta:----	O	
2-10	AC	AC	NP:siu#:--:----	O	
2-11	Horsens	Horsens	NP:siu#:--:----	O	
2-12	med	med	T-:----:--:----	O	
2-13	sejren	sejr	NC:sduc:--:----	O	
2-14	over	over	T-:----:--:----	O	
2-15	Vejle	Vejle	NP:siu#:--:----	O	
2-16	og	og	CC:----:--:----	O	
2-17	dermed	dermed	D-:----:--:u---	O	
2-18	på	på	T-:----:--:----	O	
2-19	den	den	PM:s-uc:--:----	O	
2-20	rigtige	rigtig	AC:sdu#:--:p---	O	
2-21	side	side	NC:siuc:--:----	O	
2-22	af	af	T-:----:--:----	O	
2-23	nedrykningsstregen	nedrykningsstreg	NC:sduc:--:----	O	
2-24	,	,	ZD	O	
2-25	og	og	CC:----:--:----	O	
2-26	Vejle	Vejle	NP:siu#:--:----	O	
2-27	skal	skulle	VF:----:sa:----	O	
2-28	vinde	vinde	VI:----:-a:----	O	
2-29	over	over	T-:----:--:----	O	
2-30	FC	FC	NP:siu#:--:----	O	
2-31	København	København	NP:siu#:--:----	O	
