 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Det er til skade for privatforbruget, og det virker som gift for et i forvejen trængt boligmarked.
1-1	Det	det	PP:s-un:--:-3n-	O	
1-2	er	være	VF:----:sa:----	O	
1-3	til	til	T-:----:--:----	O	
1-4	skade	skade	NC:siuc:--:----	B-skade-F-(det-er/var)-skade	
1-5	for	for	T-:----:--:----	O	
1-6	privatforbruget	privatforbrug	NC:sdun:--:----	O	
1-7	,	,	ZD	O	
1-8	og	og	CC:----:--:----	O	
1-9	det	det	PP:s-un:--:-3n-	O	
1-10	virker	virke	VF:----:sa:----	O	
1-11	som	som	US:----:--:----	O	
1-12	gift	gift	AC:siu§:--:p---	O	
1-13	for	for	T-:----:--:----	O	
1-14	et	en	PI:s-un:--:----	O	
1-15	i	i	T-:----:--:----	O	
1-16	forvejen	forvejen	NC:§§u§:--:----	O	
1-17	trængt	trænge	VT:siu#:t-:----	O	
1-18	boligmarked	boligmarked	NC:siun:--:----	O	
1-19	.	.	ZP	O	

#id=2
#text=Derbliver jo næsten føjet spot til skade her, når skatteministeren går på talerstolen og siger, at der foreligger tre fejl, og derefter selv gør sig skyldig i fejl.
2-1	Der	der	US:----:--:----	O	
2-2	bliver	blive	VF:----:sa:----	O	
2-3	jo	jo	D-:----:--:u---	O	
2-4	næsten	næsten	D-:----:--:u---	O	
2-5	føjet	føje	VT:siu#:t-:----	O	
2-6	spot	spot	NC:siuc:--:----	O	
2-7	til	til	T-:----:--:----	O	
2-8	skade	skade	NC:siuc:--:----	B-skade-F-føje-spot-til-skade	
2-9	her	her	D-:----:--:u---	O	
2-10	,	,	ZD	O	
2-11	når	når	CS:----:--:----	O	
2-12	skatteministeren	skatteminister	NC:sduc:--:----	O	
2-13	går	gå	VF:----:sa:----	O	
2-14	på	på	T-:----:--:----	O	
2-15	talerstolen	talerstol	NC:sduc:--:----	O	
2-16	og	og	CC:----:--:----	O	
2-17	siger	sige	VF:----:sa:----	O	
2-18	,	,	ZD	O	
2-19	at	at	CS:----:--:----	O	
2-20	der	der	US:----:--:----	O	
2-21	foreligger	foreligge	VF:----:sa:----	O	
2-22	tre	tre	LC:--u-:--:----	O	
2-23	fejl	fejl	NC:piu#:--:----	O	
2-24	,	,	ZD	O	
2-25	og	og	CC:----:--:----	O	
2-26	derefter	derefter	D-:----:--:u---	O	
2-27	selv	selv	PM:#-u#:--:----	O	
2-28	gør	gøre	VF:----:sa:----	O	
2-29	sig	sig	PP:#-u#:--:-3y-	O	
2-30	skyldig	skyldig	AC:siuc:--:p---	O	
2-31	i	i	T-:----:--:----	O	
2-32	fejl	fejl	NC:piu#:--:----	O	
2-33	.	.	ZP	O	

#id=3
#text=Alti alt har vi lavet en fremtidsrettet, visionær finanslov, der vil stimulere væksten i det danske samfund og afbøde skaderne af finanskrisen.
3-1	Alt	alt	D-:----:--:u---	O	
3-2	i	i	T-:----:--:----	O	
3-3	alt	al	PI:s-un:--:----	O	
3-4	har	have	VF:----:sa:----	O	
3-5	vi	vi	PP:p-nc:--:-1n-	O	
3-6	lavet	lave	VT:siu#:t-:----	O	
3-7	en	en	PI:s-uc:--:----	O	
3-8	fremtidsrettet	fremtidsrettet	AC:siuc:--:p---	O	
3-9	,	,	ZD	O	
3-10	visionær	visionær	AC:siuc:--:p---	O	
3-11	finanslov	finanslov	NC:siuc:--:----	O	
3-12	,	,	ZD	O	
3-13	der	der	US:----:--:----	O	
3-14	vil	ville	VF:----:sa:----	O	
3-15	stimulere	stimulere	VI:----:-a:----	O	
3-16	væksten	vækst	NC:sduc:--:----	O	
3-17	i	i	T-:----:--:----	O	
3-18	det	den	PM:s-un:--:----	O	
3-19	danske	dansk	AC:sdu#:--:p---	O	
3-20	samfund	samfund	NC:siun:--:----	O	
3-21	og	og	CC:----:--:----	O	
3-22	afbøde	afbøde	VI:----:-a:----	O	
3-23	skaderne	e	NC:pdu#:--:----	B-skade1-1	
3-24	af	af	T-:----:--:----	O	
3-25	finanskrisen	finanskrise	NC:sduc:--:----	O	
3-26	.	.	ZP	O	

#id=4
#text=Om det bliver til skade eller nytte, afhænger af hvilken sprogpolitik, vi vælger at føre.
4-1	Om	om	CS:----:--:----	O	
4-2	det	det	PP:s-un:--:-3n-	O	
4-3	bliver	blive	VF:----:sa:----	O	
4-4	til	til	T-:----:--:----	O	
4-5	skade	skade	NC:siuc:--:----	B-skade1-1	
4-6	eller	eller	CC:----:--:----	O	
4-7	nytte	nytte	NC:siuc:--:----	O	
4-8	,	,	ZD	O	
4-9	afhænger	afhænge	VF:----:sa:----	O	
4-10	af	af	T-:----:--:----	O	
4-11	hvilken	hvilken	XY:----:--:----	O	
4-12	sprogpolitik	sprogpolitik	NC:siuc:--:----	O	
4-13	,	,	ZD	O	
4-14	vi	vi	PP:p-nc:--:-1n-	O	
4-15	vælger	vælge	VF:----:sa:----	O	
4-16	at	at	UI:----:--:----	O	
4-17	føre	føre	VI:----:-a:----	O	
4-18	.	.	ZP	O	

#id=5
#text=Gulvene i staldene skal være mere skridsikre, så vi undgår, at køer falder og kommer alvorligt til skade.
5-1	Gulvene	gulv	NC:pdu#:--:----	O	
5-2	i	i	T-:----:--:----	O	
5-3	staldene	stald	NC:pdu#:--:----	O	
5-4	skal	skulle	VF:----:sa:----	O	
5-5	være	være	VI:----:-a:----	O	
5-6	mere	megen	AD:----:--:c---	O	
5-7	skridsikre	skridsikker	AC:p#u#:--:p---	O	
5-8	,	,	ZD	O	
5-9	så	så	CS:----:--:----	O	
5-10	vi	vi	PP:p-nc:--:-1n-	O	
5-11	undgår	undgå	VF:----:sa:----	O	
5-12	,	,	ZD	O	
5-13	at	at	CS:----:--:----	O	
5-14	køer	ko	NC:piu#:--:----	O	
5-15	falder	falde	VF:----:sa:----	O	
5-16	og	og	CC:----:--:----	O	
5-17	kommer	komme	VF:----:sa:----	O	
5-18	alvorligt	alvorlig	AD:----:--:p---	O	
5-19	til	til	T-:----:--:----	O	
5-20	skade	skade	NC:siuc:--:----	B-skade-F-komme-til-skade	
5-21	.	.	ZP	O	

#id=6
#text=Vier heller ikke vilde med tanken om, at det offentlige skal tjene penge på salg af vanedannende midler, for dermed pådrager det offentlige sig et ansvar, eksempelvis også et erstatningsansvar for de skader, som hashen måtte anrette.
6-1	Vi	vi	PP:p-nc:--:-1n-	O	
6-2	er	være	VF:----:sa:----	O	
6-3	heller	heller	D-:----:--:u---	O	
6-4	ikke	ikke	D-:----:--:u---	O	
6-5	vilde	vild	AC:p#u#:--:p---	O	
6-6	med	med	T-:----:--:----	O	
6-7	tanken	tank	NC:sduc:--:----	O	
6-8	om	om	T-:----:--:----	O	
6-9	,	,	ZD	O	
6-10	at	at	CS:----:--:----	O	
6-11	det	den	PM:s-un:--:----	O	
6-12	offentlige	offentlig	AC:sdu#:--:p---	O	
6-13	skal	skulle	VF:----:sa:----	O	
6-14	tjene	tjene	VI:----:-a:----	O	
6-15	penge	penge	NC:piu#:--:----	O	
6-16	på	på	T-:----:--:----	O	
6-17	salg	salg	NC:siun:--:----	O	
6-18	af	af	T-:----:--:----	O	
6-19	vanedannende	vanedannende	AD:----:--:p---	O	
6-20	midler	midle	VF:----:sa:----	O	
6-21	,	,	ZD	O	
6-22	for	for	CC:----:--:----	O	
