 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Men timingen og doseringen skal være rigtig; ellers risikerer vi at gøre mere skade end gavn.
1-1	Men	men	CC:----:--:----	
1-2	timingen	timing	NC:sduc:--:----	
1-3	og	og	CC:----:--:----	
1-4	doseringen	dosering	NC:sduc:--:----	
1-5	skal	skulle	VF:----:sa:----	
1-6	være	være	VI:----:-a:----	
1-7	rigtig	rigtig	AC:siuc:--:p---	
1-8	;	;	ZP	
1-9	ellers	ellers	D-:----:--:u---	
1-10	risikerer	risikere	VF:----:sa:----	
1-11	vi	vi	PP:p-nc:--:-1n-	
1-12	at	at	UI:----:--:----	
1-13	gøre	gøre	VI:----:-a:----	
1-14	mere	megen	AC:##u#:--:c---	
1-15	skade	skade	NC:siuc:--:----	
1-16	end	end	CS:----:--:----	
1-17	gavn	gavn	NC:siuc:--:----	
1-18	.	.	ZP	

#id=2
#text=Regeringen vil ikke tøve med at tage de yderligere initiativer, der skal til, for at Danmark kommer helskindet igennem den internationale krise, men timing og dosering skal være rigtig, ellers gør vi mere skade end gavn.
2-1	Regeringen	regering	NC:sduc:--:----	
2-2	vil	ville	VF:----:sa:----	
2-3	ikke	ikke	D-:----:--:u---	
2-4	tøve	tøve	VI:----:-a:----	
2-5	med	med	T-:----:--:----	
2-6	at	at	UI:----:--:----	
2-7	tage	tage	VI:----:-a:----	
2-8	de	den	PM:p-u#:--:----	
2-9	yderligere	yderlig	AC:##u#:--:c---	
2-10	initiativer	initiativ	NC:piu#:--:----	
2-11	,	,	ZD	
2-12	der	der	US:----:--:----	
2-13	skal	skulle	VF:----:sa:----	
2-14	til	til	D-:----:--:u---	
2-15	,	,	ZD	
2-16	for	for	CC:----:--:----	
2-17	at	at	CS:----:--:----	
2-18	Danmark	Danmark	NP:siu#:--:----	
2-19	kommer	komme	VF:----:sa:----	
2-20	helskindet	helskindet	AD:----:--:p---	
2-21	igennem	igennem	T-:----:--:----	
2-22	den	den	PM:s-uc:--:----	
2-23	internationale	international	---	
2-24	krise	krise	NC:siuc:--:----	
2-25	,	,	ZD	
2-26	men	men	CC:----:--:----	
2-27	timing	timing	NC:siuc:--:----	
2-28	og	og	CC:----:--:----	
2-29	dosering	dosering	NC:siuc:--:----	
2-30	skal	skulle	VF:----:sa:----	
2-31	være	være	VI:----:-a:----	
2-32	rigtig	rigtig	AC:siuc:--:p---	
2-33	,	,	ZD	
2-34	ellers	ellers	D-:----:--:u---	
2-35	gør	gøre	VF:----:sa:----	
2-36	vi	vi	PP:p-nc:--:-1n-	
2-37	mere	megen	AC:##u#:--:c---	
2-38	skade	skade	NC:siuc:--:----	
2-39	end	end	CS:----:--:----	
2-40	gavn	gavn	NC:siuc:--:----	
2-41	.	.	ZP	

#id=3
#text= Et sådant pålæg kan række lige fra deltagelse i visse fritidsaktiviteter til at være et pålæg om, at man skal udbedre  skaderne efter det hærværk, som man har forvoldt.
3-1	Et	en	PI:s-un:--:----	
3-2	sådant	sådan	AC:siun:--:p---	
3-3	pålæg	pålæg	NC:siun:--:----	
3-4	kan	kunne	VF:----:sa:----	
3-5	række	række	VI:----:-a:----	
3-6	lige	lige	D-:----:--:u---	
3-7	fra	fra	T-:----:--:----	
3-8	deltagelse	deltagelse	NC:siuc:--:----	
3-9	i	i	T-:----:--:----	
3-10	visse	vis	AC:p#u#:--:p---	
3-11	fritidsaktiviteter	fritidsaktivitet	NC:piu#:--:----	
3-12	til	til	T-:----:--:----	
3-13	at	at	UI:----:--:----	
3-14	være	være	VI:----:-a:----	
3-15	et	en	PI:s-un:--:----	
3-16	pålæg	pålæg	NC:siun:--:----	
3-17	om	om	T-:----:--:----	
3-18	,	,	ZD	
3-19	at	at	CS:----:--:----	
3-20	man	man	PI:#-uc:--:----	
3-21	skal	skulle	VF:----:sa:----	
3-22	udbedre	udbedre	VI:----:-a:----	
3-23	skaderne	skade	NC:pdu#:--:----	
3-24	efter	efter	T-:----:--:----	
3-25	det	den	PM:s-un:--:----	
3-26	hærværk	hærværk	NC:siun:--:----	
3-27	,	,	ZD	
3-28	som	som	US:----:--:----	
3-29	man	man	PI:#-uc:--:----	
3-30	har	have	VF:----:sa:----	
3-31	forvoldt	forvolde	VT:siu#:t-:----	
3-32	.	.	ZP	

#id=4
