 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Han redder en dag pigen Yanagi, men kommer selv slemt til skade.
1-1	Han	han	PP:s-nc:--:-3n-	O	
1-2	redder	redde	VF:----:sa:----	O	
1-3	en	en	PI:s-uc:--:----	O	
1-4	dag	dag	NC:siuc:--:----	O	
1-5	pigen	pige	NC:sduc:--:----	O	
1-6	Yanagi	Yanagi	NP:siu#:--:----	O	
1-7	,	,	ZD	O	
1-8	men	men	CC:----:--:----	O	
1-9	kommer	komme	VF:----:sa:----	O	
1-10	selv	selv	D-:----:--:u---	O	
1-11	slemt	slem	AD:----:--:p---	O	
1-12	til	til	T-:----:--:----	O	
1-13	skade	skade	NC:siuc:--:----	B-skade-F-komme-til-skade	
1-14	.	.	ZP	O	

#id=2
#text= Det ser ud til at Chidori skal have rimelig lidt modstand for at kunne komme ind og gøre skade.
2-1	Det	det	PP:s-un:--:-3n-	O	
2-2	ser	se	VF:----:sa:----	O	
2-3	ud	ud	D-:----:--:u---	O	
2-4	til	til	T-:----:--:----	O	
2-5	at	at	CS:----:--:----	O	
2-6	Chidori	Chidori	NP:siu#:--:----	O	
2-7	skal	skulle	VF:----:sa:----	O	
2-8	have	have	VI:----:-a:----	O	
2-9	rimelig	rimelig	AD:----:--:p---	O	
2-10	lidt	lidt	AC:siu§:--:p---	O	
2-11	modstand	modstand	NC:siuc:--:----	O	
2-12	for	for	T-:----:--:----	O	
2-13	at	at	UI:----:--:----	O	
2-14	kunne	kunne	VI:----:-a:----	O	
2-15	komme	komme	VI:----:-a:----	O	
2-16	ind	ind	D-:----:--:u---	O	
2-17	og	og	CC:----:--:----	O	
2-18	gøre	gøre	VI:----:-a:----	O	
2-19	skade	skade	NC:siuc:--:----	B-skade1-1	
2-20	.	.	ZP	O	

#id=3
#text= Chidori laver store huller, men ikke så meget indre skade, rasengan, lige omvendt. (referere igen til de to vandtårne)
3-1	Chidori	Chidori	NP:siu#:--:----	O	
3-2	laver	lave	VF:----:sa:----	O	
3-3	store	stor	AC:p#u#:--:p---	O	
3-4	huller	hul	NC:piu#:--:----	O	
3-5	,	,	ZD	O	
3-6	men	men	CC:----:--:----	O	
3-7	ikke	ikke	D-:----:--:u---	O	
3-8	så	så	D-:----:--:u---	O	
3-9	meget	megen	AD:----:--:p---	O	
3-10	indre	indre	AC:§§u§:--:p---	O	
3-11	skade	skade	NC:siuc:--:----	B-skade1-1	
3-12	,	,	ZD	O	
3-13	rasengan	rasengan	D-:----:--:u---	O	
3-14	,	,	ZD	O	
3-15	lige	lige	D-:----:--:u---	O	
3-16	omvendt	omvendt	AC:siu§:--:p---	O	
3-17	.	.	ZP	O	
3-18	(	(	ZD	O	
3-19	referere	referere	VI:----:-a:----	O	
3-20	igen	igen	D-:----:--:u---	O	
3-21	til	til	T-:----:--:----	O	
3-22	de	den	PM:p-u#:--:----	O	
3-23	to	to	LC:--u-:--:----	O	
3-24	vandtårne	vandtårn	NC:piu#:--:----	O	
3-25	)	)	ZD	O	

#id=4
#text= Chidori gjorde mere skade forand end Rasengan gjorde, til gengæld blæste rasengan hele bagsiden af tårnet.
4-1	Chidori	Chidori	NP:siu#:--:----	O	
4-2	gjorde	gøre	VF:----:ta:----	O	
4-3	mere	megen	AC:##u#:--:c---	O	
4-4	skade	skade	NC:siuc:--:----	B-skade1-1	
4-5	forand	forand	NC:piu#:--:----	O	
4-6	end	end	CS:----:--:----	O	
4-7	Rasengan	Rasengan	NP:siu#:--:----	O	
4-8	gjorde	gøre	VF:----:ta:----	O	
4-9	,	,	ZD	O	
4-10	til	til	T-:----:--:----	O	
4-11	gengæld	gengæld	NC:siuc:--:----	O	
4-12	blæste	blæse	VF:----:ta:----	O	
4-13	rasengan	rasengan	D-:----:--:u---	O	
4-14	hele	hel	AC:sdu#:--:p---	O	
4-15	bagsiden	bagside	NC:sduc:--:----	O	
4-16	af	af	T-:----:--:----	O	
4-17	tårnet	tårn	NC:sdun:--:----	O	
4-18	.	.	ZP	O	

#id=5
#text= Jeg venter med rædsel  på at høre skadens omfang.
5-1	Jeg	jeg	PP:s-nc:--:-1n-	O	
5-2	venter	vente	VF:----:sa:----	O	
5-3	med	med	T-:----:--:----	O	
5-4	rædsel	rædsel	NC:siuc:--:----	O	
5-5	på	på	T-:----:--:----	O	
5-6	at	at	UI:----:--:----	O	
5-7	høre	høre	VI:----:-a:----	O	
5-8	skadens	skade	NC:sdgc:--:----	B-skade1-1	
5-9	omfang	omfang	NC:siun:--:----	O	
5-10	.	.	ZP	O	

#id=6
#text= Desuden....hvis du har et rimelig stort hul i maven, men ikke andre skader, så kan du (hvis der er en rigtig god Medic-nin i nærheden) overleve.
6-1	Desuden	desuden	D-:----:--:u---	O	
6-2	.	.	ZP	O	
6-3	.	.	ZP	O	
6-4	.	.	ZP	O	
6-5	.	.	ZP	O	
6-6	hvis	hvis	CS:----:--:----	O	
6-7	du	du	PP:s-nc:--:-2n-	O	
6-8	har	have	VF:----:sa:----	O	
6-9	et	en	PI:s-un:--:----	O	
6-10	rimelig	rimelig	AD:----:--:p---	O	
6-11	stort	stor	AC:siun:--:p---	O	
6-12	hul	hul	NC:siun:--:----	O	
6-13	i	i	T-:----:--:----	O	
6-14	maven	mave	NC:sduc:--:----	O	
6-15	,	,	ZD	O	
6-16	men	men	CC:----:--:----	O	
6-17	ikke	ikke	D-:----:--:u---	O	
6-18	andre	anden	PI:p-u#:--:----	O	
6-19	skader	skade	NC:piu#:--:----	B-skade1-1a	
6-20	,	,	ZD	O	
6-21	så	så	D-:----:--:u---	O	
6-22	kan	kunne	VF:----:sa:----	O	
6-23	du	du	PP:s-nc:--:-2n-	O	
6-24	(	(	ZD	O	
6-25	hvis	hvis	CS:----:--:----	O	
6-26	der	der	US:----:--:----	O	
6-27	er	være	VF:----:sa:----	O	
