 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=som med forsæt til at skræmme en befolkning i alvorlig grad eller uretmæssigt at tvinge danske eller udenlandske offentlige myndigheder eller en international organisation til at foretage eller undlade at foretage en handling eller at destabilisere eller ødelægge et lands eller en international organisations grundlæggende politiske, forfatningsmæssige, økonomiske eller samfundsmæssige strukturer begår en eller flere af følgende handlinger, når handlingen i kraft af sin karakter eller den sammenhæng, hvori den begås, kan tilføje et land eller en international organisation alvorlig skade".
1-1	som	som	US:----:--:----	O	
1-2	med	med	T-:----:--:----	O	
1-3	forsæt	forsæt	NC:siun:--:----	O	
1-4	til	til	T-:----:--:----	O	
1-5	at	at	UI:----:--:----	O	
1-6	skræmme	skræmme	VI:----:-a:----	O	
1-7	en	en	PI:s-uc:--:----	O	
1-8	befolkning	befolkning	NC:siuc:--:----	O	
1-9	i	i	T-:----:--:----	O	
1-10	alvorlig	alvorlig	AC:siuc:--:p---	O	
1-11	grad	grad	NC:siuc:--:----	O	
1-12	eller	eller	CC:----:--:----	O	
1-13	uretmæssigt	uretmæssig	AC:siun:--:p---	O	
1-14	at	at	UI:----:--:----	O	
1-15	tvinge	tvinge	VI:----:-a:----	O	
1-16	danske	dansk	AC:p#u#:--:p---	O	
1-17	eller	eller	CC:----:--:----	O	
1-18	udenlandske	udenlandsk	AC:p#u#:--:p---	O	
1-19	offentlige	offentlig	AC:p#u#:--:p---	O	
1-20	myndigheder	myndighed	NC:piu#:--:----	O	
1-21	eller	eller	CC:----:--:----	O	
1-22	en	en	PI:s-uc:--:----	O	
1-23	international	international	AC:siuc:--:p---	O	
1-24	organisation	organisation	NC:siuc:--:----	O	
1-25	til	til	T-:----:--:----	O	
1-26	at	at	UI:----:--:----	O	
1-27	foretage	foretage	VI:----:-a:----	O	
1-28	eller	eller	CC:----:--:----	O	
1-29	undlade	undlade	VI:----:-a:----	O	
1-30	at	at	UI:----:--:----	O	
1-31	foretage	foretage	VI:----:-a:----	O	
1-32	en	en	PI:s-uc:--:----	O	
1-33	handling	handling	NC:siuc:--:----	O	
1-34	eller	eller	CC:----:--:----	O	
1-35	at	at	UI:----:--:----	O	
1-36	destabilisere	destabilisere	VI:----:-a:----	O	
1-37	eller	eller	CC:----:--:----	O	
1-38	ødelægge	ødelægge	VI:----:-a:----	O	
1-39	et	en	PI:s-un:--:----	O	
1-40	lands	land	NC:sign:--:----	O	
1-41	eller	eller	CC:----:--:----	O	
1-42	en	en	PI:s-uc:--:----	O	
1-43	international	international	AC:siuc:--:p---	O	
1-44	organisations	organisation	NC:sigc:--:----	O	
1-45	grundlæggende	grundlæggende	AC:§§u§:--:p---	O	
1-46	politiske	politisk	AC:p#u#:--:p---	O	
1-47	,	,	ZD	O	
1-48	forfatningsmæssige	forfatningsmæssige	VI:----:-a:----	O	
1-49	,	,	ZD	O	
1-50	økonomiske	økonomisk	AC:p#u#:--:p---	O	
1-51	eller	eller	CC:----:--:----	O	
1-52	samfundsmæssige	samfundsmæssig	AC:p#u#:--:p---	O	
1-53	strukturer	struktur	NC:piu#:--:----	O	
1-54	begår	begå	VF:----:sa:----	O	
1-55	en	en	PI:s-uc:--:----	O	
1-56	eller	eller	CC:----:--:----	O	
1-57	flere	mange	AC:##u#:--:c---	O	
1-58	af	af	T-:----:--:----	O	
1-59	følgende	følge	VP:##u#:s-:----	O	
1-60	handlinger	handling	NC:piu#:--:----	O	
1-61	,	,	ZD	O	
1-62	når	når	CS:----:--:----	O	
1-63	handlingen	handling	NC:sduc:--:----	O	
1-64	i	i	T-:----:--:----	O	
1-65	kraft	kraft	NC:siuc:--:----	O	
1-66	af	af	T-:----:--:----	O	
1-67	sin	sin	PO:s--c:--:-3ys	O	
1-68	karakter	karakter	NC:siuc:--:----	O	
1-69	eller	eller	CC:----:--:----	O	
1-70	den	den	PM:s-uc:--:----	O	
1-71	sammenhæng	sammenhæng	NC:siuc:--:----	O	
1-72	,	,	ZD	O	
1-73	hvori	hvori	D-:----:--:u---	O	
1-74	den	den	PP:s-uc:--:-3n-	O	
1-75	begås	begå	VF:----:sp:----	O	
1-76	,	,	ZD	O	
1-77	kan	kunne	VF:----:sa:----	O	
1-78	tilføje	tilføje	VI:----:-a:----	O	
1-79	et	en	PI:s-un:--:----	O	
1-80	land	land	NC:siun:--:----	O	
1-81	eller	eller	CC:----:--:----	O	
1-82	en	en	PI:s-uc:--:----	O	
1-83	international	international	AC:siuc:--:p---	O	
1-84	organisation	organisation	NC:siuc:--:----	O	
1-85	alvorlig	alvorlig	AC:siuc:--:p---	O	
1-86	skade	skade	NC:siuc:--:----	B-skade1-1	
1-87	"	"	ZI	O	
1-88	.	.	ZP	O	

#id=2
#text=Indenda venter de sportslige opgaver og dermed alle de klassiske spørgsmål om skader, dagsform, tilfældigheder, held og uheld.
2-1	Inden	inden	T-:----:--:----	O	
2-2	da	da	D-:----:--:u---	O	
2-3	venter	vente	VF:----:sa:----	O	
2-4	de	den	PM:p-u#:--:----	O	
2-5	sportslige	sportslig	AC:p#u#:--:p---	O	
2-6	opgaver	opgave	NC:piu#:--:----	O	
2-7	og	og	CC:----:--:----	O	
2-8	dermed	dermed	D-:----:--:u---	O	
2-9	alle	al	PI:p-u#:--:----	O	
