 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Men han slap uden større skader.
1-1	Men	men	CC:----:--:----	O	
1-2	han	han	PP:s-nc:--:-3n-	O	
1-3	slap	slippe	VF:----:ta:----	O	
1-4	uden	uden	T-:----:--:----	O	
1-5	større	stor	AC:##u#:--:c---	O	
1-6	skader	skade	NC:piu#:--:----	B-skade1-1	
1-7	.	.	ZP	O	

#id=2
#text=En langvarig skade i knæet satte for lidt over et år siden en stopper for den rutinerede fodboldspillers fodboldliv.
2-1	En	en	PI:s-uc:--:----	O	
2-2	langvarig	langvarig	AC:siuc:--:p---	O	
2-3	skade	skade	NC:siuc:--:----	B-skade1-1a	
2-4	i	i	T-:----:--:----	O	
2-5	knæet	knæ	NC:sdun:--:----	O	
2-6	satte	sætte	VF:----:ta:----	O	
2-7	for	for	T-:----:--:----	O	
2-8	lidt	lidt	AD:----:--:p---	O	
2-9	over	over	T-:----:--:----	O	
2-10	et	en	PI:s-un:--:----	O	
2-11	år	år	NC:siun:--:----	O	
2-12	siden	siden	T-:----:--:----	O	
2-13	en	en	PI:s-uc:--:----	O	
2-14	stopper	stopper	NC:siuc:--:----	O	
2-15	for	for	T-:----:--:----	O	
2-16	den	den	PM:s-uc:--:----	O	
2-17	rutinerede	rutineret	AC:sdu#:--:p---	O	
2-18	fodboldspillers	fodboldspiller	NC:sigc:--:----	O	
2-19	fodboldliv	fodboldliv	NC:siun:--:----	O	
2-20	.	.	ZP	O	

#id=3
#text=Hendes holdning til sin kidnapper bekymrer psykologer, der er bange for, at Natascha Kampusch har taget skade og er blevet sær.
3-1	Hendes	hendes	PO:#--#:--:-3ns	O	
3-2	holdning	holdning	NC:siuc:--:----	O	
3-3	til	til	T-:----:--:----	O	
3-4	sin	sin	PO:s--c:--:-3ys	O	
3-5	kidnapper	kidnapper	NC:siuc:--:----	O	
3-6	bekymrer	bekymre	VF:----:sa:----	O	
3-7	psykologer	psykolog	NC:piu#:--:----	O	
3-8	,	,	ZD	O	
3-9	der	der	US:----:--:----	O	
3-10	er	være	VF:----:sa:----	O	
3-11	bange	bange	AC:§§u§:--:p---	O	
3-12	for	for	T-:----:--:----	O	
3-13	,	,	ZD	O	
3-14	at	at	CS:----:--:----	O	
3-15	Natascha	Natascha	NP:siu#:--:----	O	
3-16	Kampusch	Kampusch	NP:siu#:--:----	O	
3-17	har	have	VF:----:sa:----	O	
3-18	taget	tage	VT:siu#:t-:----	O	
3-19	skade	skade	NC:siuc:--:----	B-skade-F-tage/lide-skade	
3-20	og	og	CC:----:--:----	O	
3-21	er	være	VF:----:sa:----	O	
3-22	blevet	blive	VT:siu#:t-:----	O	
3-23	sær	sær	AC:siuc:--:p---	O	
3-24	.	.	ZP	O	

#id=4
#text=Han havde dog pådraget sig skaden under en fodboldkamp, forklarede han.
4-1	Han	han	PP:s-nc:--:-3n-	O	
4-2	havde	have	VF:----:ta:----	O	
4-3	dog	dog	D-:----:--:u---	O	
4-4	pådraget	pådrage	VT:siu#:t-:----	O	
4-5	sig	sig	PP:#-u#:--:-3y-	O	
4-6	skaden	skade	NC:sduc:--:----	B-skade1-1a	
4-7	under	under	T-:----:--:----	O	
4-8	en	en	PI:s-uc:--:----	O	
4-9	fodboldkamp	fodboldkamp	NC:siuc:--:----	O	
4-10	,	,	ZD	O	
4-11	forklarede	forklare	VF:----:ta:----	O	
4-12	han	han	PP:s-nc:--:-3n-	O	
4-13	.	.	ZP	O	

#id=5
#text=I 2002 kom han alvorligt til skade under et racerløb.
5-1	I	i	T-:----:--:----	O	
5-2	2002	2002	LC:--u-:--:----	O	
5-3	kom	komme	VF:----:ta:----	O	
5-4	han	han	PP:s-nc:--:-3n-	O	
5-5	alvorligt	alvorlig	AD:----:--:p---	O	
5-6	til	til	T-:----:--:----	O	
5-7	skade	skade	NC:siuc:--:----	B-skade-F-komme-til-skade	
5-8	under	under	T-:----:--:----	O	
5-9	et	en	PI:s-un:--:----	O	
5-10	racerløb	racerløb	NC:siun:--:----	O	
5-11	.	.	ZP	O	

#id=6
#text=... repræsenterede Danmark ved EM i 1996 i England og VM i 1998 i Frankrig, mens han på grund af skader måtte sidde over ved EM i 2000 i Belgien og Holland.
6-1	.	.	LC:--u-:--:----	O	
6-2	.	.	ZP	O	
6-3	.	.	ZP	O	
6-4	repræsenterede	repræsentere	VF:----:ta:----	O	
6-5	Danmark	Danmark	NP:siu#:--:----	O	
6-6	ved	ved	T-:----:--:----	O	
6-7	EM	EM	NP:siu#:--:----	O	
6-8	i	i	T-:----:--:----	O	
6-9	1996	1996	LC:--u-:--:----	O	
6-10	i	i	T-:----:--:----	O	
6-11	England	England	NP:siu#:--:----	O	
6-12	og	og	CC:----:--:----	O	
6-13	VM	VM	NP:siu#:--:----	O	
6-14	i	i	T-:----:--:----	O	
6-15	1998	1998	LC:--u-:--:----	O	
6-16	i	i	T-:----:--:----	O	
6-17	Frankrig	Frankrig	NP:siu#:--:----	O	
6-18	,	,	ZD	O	
6-19	mens	mens	CS:----:--:----	O	
6-20	han	han	PP:s-nc:--:-3n-	O	
6-21	på	på	T-:----:--:----	O	
6-22	grund	grund	NC:siuc:--:----	O	
6-23	af	af	T-:----:--:----	O	
6-24	skader	skade	NC:piu#:--:----	B-skade1-1a	
6-25	måtte	måtte	VF:----:ta:----	O	
6-26	sidde	sidde	VI:----:-a:----	O	
6-27	over	over	D-:----:--:u---	O	
6-28	ved	ved	T-:----:--:----	O	
6-29	EM	EM	NP:siu#:--:----	O	
6-30	i	i	T-:----:--:----	O	
6-31	2000	2000	LC:--u-:--:----	O	
6-32	i	i	T-:----:--:----	O	
6-33	Belgien	Belgien	NP:siu#:--:----	O	
6-34	og	og	CC:----:--:----	O	
6-35	Holland	Holland	NP:siu#:--:----	O	
6-36	.	.	ZP	O	

#id=7
#text=Man vil undersøge, om blodproppen har gjort nogen skade, evt.
7-1	Man	man	PI:#-uc:--:----	O	
7-2	vil	ville	VF:----:sa:----	O	
7-3	undersøge	undersøge	VI:----:-a:----	O	
7-4	,	,	ZD	O	
7-5	om	om	CS:----:--:----	O	
7-6	blodproppen	blodprop	NC:sduc:--:----	O	
7-7	har	have	VF:----:sa:----	O	
7-8	gjort	gøre	VT:siu#:t-:----	O	
7-9	nogen	nogen	PI:s-uc:--:----	O	
7-10	skade	skade	NC:siuc:--:----	B-skade1-1	
7-11	,	,	ZD	O	
7-12	evt	evt	XS:----:--:----	O	
7-13	.	.	ZP	O	

#id=8
#text=naturlig-Det kunne hun naturligvis vis  ikke have siddende på sig og kommanderede hele Photoshop-afdelingen ind for at reparere " skaderne", så hun ikke  lignede en på de 41 år, hun nu engang er.
8-1	naturlig	naturlig	AC:siuc:--:p---	O	
8-2	-	-	NC:piu#:--:----	O	
8-3	Det	Det	XY:----:--:----	O	
8-4	kunne	kunne	VF:----:ta:----	O	
8-5	hun	hun	PP:s-nc:--:-3n-	O	
