 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=Ud fra disse betragtninger, hvor det væsentlige er, at situationen er selvvalgt, og hvor der ikke mindst er tale om endnu et slag mod den traditionelle familieform, kan Dansk Folkeparti ikke støtte forslaget.
1-1	Ud	ud	D-:----:--:u---	_	
1-2	fra	fra	T-:----:--:----	_	
1-3	disse	denne	PM:p-u#:--:----	_	
1-4	betragtninger	betragtning	NC:piu#:--:----	_	
1-5	,	,	ZD	_	
1-6	hvor	hvor	D-:----:--:u---	_	
1-7	det	den	PM:s-un:--:----	_	
1-8	væsentlige	væsentlig	AC:sdu#:--:p---	_	
1-9	er	være	VF:----:sa:----	_	
1-10	,	,	ZD	_	
1-11	at	at	CS:----:--:----	_	
1-12	situationen	situation	NC:sduc:--:----	_	
1-13	er	være	VF:----:sa:----	_	
1-14	selvvalgt	selvvalgt	AD:----:--:p---	_	
1-15	,	,	ZD	_	
1-16	og	og	CC:----:--:----	_	
1-17	hvor	hvor	D-:----:--:u---	_	
1-18	der	der	US:----:--:----	_	
1-19	ikke	ikke	D-:----:--:u---	_	
1-20	mindst	liden	AD:----:--:s---	_	
1-21	er	være	VF:----:sa:----	_	
1-22	tale	tale	VI:----:-a:----	_	
1-23	om	om	T-:----:--:----	_	
1-24	endnu	endnu	D-:----:--:u---	_	
1-25	et	en	PI:s-un:--:----	_	
1-26	slag	slag	NC:siun:--:----	slag_1b	
1-27	mod	mod	T-:----:--:----	_	
1-28	den	den	PM:s-uc:--:----	_	
1-29	traditionelle	traditionel	AC:sdu#:--:p---	_	
1-30	familieform	familieform	NC:siuc:--:----	_	
1-31	,	,	ZD	_	
1-32	kan	kunne	VF:----:sa:----	_	
1-33	Dansk	dansk	AC:siu§:--:p---	_	
1-34	Folkeparti	folkeparti	NC:siun:--:----	_	
1-35	ikke	ikke	D-:----:--:u---	_	
1-36	støtte	støtte	VI:----:-a:----	_	
1-37	forslaget	forslag	NC:sdun:--:----	_	
1-38	.	.	ZP	_	

#id=2
#text= Det er ikke meningen, at det her skal være pisk og slag og den sorte skole.
2-1	Det	det	PP:s-un:--:-3n-	_	
2-2	er	være	VF:----:sa:----	_	
2-3	ikke	ikke	D-:----:--:u---	_	
2-4	meningen	mening	NC:sduc:--:----	_	
2-5	,	,	ZD	_	
2-6	at	at	CS:----:--:----	_	
2-7	det	det	PP:s-un:--:-3n-	_	
2-8	her	her	D-:----:--:u---	_	
2-9	skal	skulle	VF:----:sa:----	_	
2-10	være	være	VI:----:-a:----	_	
2-11	pisk	pisk	NC:piu#:--:----	_	
2-12	og	og	CC:----:--:----	_	
2-13	slag	slag	NC:siun:--:----	slag_1_1c	
2-14	og	og	CC:----:--:----	_	
2-15	den	den	PM:s-uc:--:----	_	
2-16	sorte	sort	AC:sdu#:--:p---	_	
2-17	skole	skole	NC:siuc:--:----	_	
2-18	.	.	ZP	_	

#id=3
#text= Henrik Rasmussen, siger, forstår man, at det vil De Konservative ikke give frit slag til, for det kan blive noget forfærdeligt noget, hvor kommunerne beslutter sig for at bruge den her frihed til at etablere helhedsskoler.
3-1	Henrik	Henrik	NP:siu#:--:----	_	
3-2	Rasmussen	Rasmussen	NP:siu#:--:----	_	
3-3	,	,	ZD	_	
3-4	siger	sige	VF:----:sa:----	_	
3-5	,	,	ZD	_	
3-6	forstår	forstå	VF:----:sa:----	_	
3-7	man	man	PI:#-uc:--:----	_	
3-8	,	,	ZD	_	
3-9	at	at	CS:----:--:----	_	
3-10	det	det	PP:s-un:--:-3n-	_	
3-11	vil	ville	VF:----:sa:----	_	
3-12	De	den	PM:p-u#:--:----	_	
3-13	Konservative	konservativ	AC:p#u#:--:p---	_	
