 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=Hvad er det lige, Dansk Folkeparti har opnået ud over endnu en symbolsag, ud over endnu et slag i luften?
1-1	Hvad	hvad	PR:s-u#:--:----	_	
1-2	er	være	VF:----:sa:----	_	
1-3	det	det	PP:s-un:--:-3n-	_	
1-4	lige	lige	D-:----:--:u---	_	
1-5	,	,	ZD	_	
1-6	Dansk	dansk	AC:siu§:--:p---	_	
1-7	Folkeparti	folkeparti	NC:siun:--:----	_	
1-8	har	have	VF:----:sa:----	_	
1-9	opnået	opnå	VT:siu#:t-:----	_	
1-10	ud	ud	D-:----:--:u---	_	
1-11	over	over	D-:----:--:u---	_	
1-12	endnu	endnu	D-:----:--:u---	_	
1-13	en	en	PI:s-uc:--:----	_	
1-14	symbolsag	symbolsag	NC:siuc:--:----	_	
1-15	,	,	ZD	_	
1-16	ud	ud	D-:----:--:u---	_	
1-17	over	over	D-:----:--:u---	_	
1-18	endnu	endnu	D-:----:--:u---	_	
1-19	et	en	PI:s-un:--:----	_	
1-20	slag	slag	NC:siun:--:----	slag_F_slag i luften	
1-21	i	i	T-:----:--:----	_	
1-22	luften	luft	NC:sduc:--:----	_	
1-23	?	?	ZQ	_	

#id=2
#text=Lovforslaget bryder nemlig i sit udgangspunkt med nogle helt grundlæggende principper i en retsstat - i vores grundlov og i forhold til internationale konventioner - når man med ét slag påfører en hel gruppe personer en række markante indgreb i deres bevægelsesfrihed, deres ret til familieliv og privatliv.
2-1	Lovforslaget	lovforslag	NC:sdun:--:----	_	
2-2	bryder	bryde	VF:----:sa:----	_	
2-3	nemlig	nemlig	D-:----:--:u---	_	
2-4	i	i	T-:----:--:----	_	
2-5	sit	sin	PO:s--n:--:-3ys	_	
2-6	udgangspunkt	udgangspunkt	NC:siun:--:----	_	
2-7	med	med	T-:----:--:----	_	
2-8	nogle	nogen	PI:p-u#:--:----	_	
2-9	helt	hel	AD:----:--:p---	_	
2-10	grundlæggende	grundlæggende	AC:§§u§:--:p---	_	
2-11	principper	princip	NC:piu#:--:----	_	
2-12	i	i	T-:----:--:----	_	
2-13	en	en	PI:s-uc:--:----	_	
2-14	retsstat	retsstat	NC:siuc:--:----	_	
2-15	-	-	NC:piu#:--:----	_	
2-16	i	i	T-:----:--:----	_	
2-17	vores	vores	PO:#--#:--:-1np	_	
2-18	grundlov	grundlov	NC:siuc:--:----	_	
2-19	og	og	CC:----:--:----	_	
2-20	i	i	T-:----:--:----	_	
2-21	forhold	forhold	NC:siun:--:----	_	
2-22	til	til	T-:----:--:----	_	
2-23	internationale	international	AC:p#u#:--:p---	_	
2-24	konventioner	konvention	NC:piu#:--:----	_	
2-25	-	-	ZH	_	
2-26	når	når	CS:----:--:----	_	
2-27	man	man	PI:#-uc:--:----	_	
2-28	med	med	T-:----:--:----	_	
