 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=Nogle af de grusomste minder fra mit liv handler om at sidde og glo tomt på en blank  skærm uden at være i stand til at sætte fem ord fornuftigt sammen.
1-1	Nogle	nogen	PI:p-u#:--:----	_	
1-2	af	af	T-:----:--:----	_	
1-3	de	den	PM:p-u#:--:----	_	
1-4	grusomste	grusom	AC:p#u#:--:s---	_	
1-5	minder	minde	NC:piu#:--:----	_	
1-6	fra	fra	T-:----:--:----	_	
1-7	mit	min	PO:s--n:--:-1ns	_	
1-8	liv	liv	NC:siun:--:----	_	
1-9	handler	handle	VF:----:sa:----	_	
1-10	om	om	T-:----:--:----	_	
1-11	at	at	UI:----:--:----	_	
1-12	sidde	sidde	VI:----:-a:----	_	
1-13	og	og	CC:----:--:----	_	
1-14	glo	glo	VI:----:-a:----	_	
1-15	tomt	tom	AD:----:--:p---	_	
1-16	på	på	T-:----:--:----	_	
1-17	en	en	PI:s-uc:--:----	_	
1-18	blank	blank	AC:siuc:--:p---	_	
1-19	skærm	skærm	NC:siuc:--:----	_	
1-20	uden	uden	----:--:----	_	
1-21	at	at	UI:----:--:----	_	
1-22	være	være	VI:----:-a:----	_	
1-23	i	i	T-:----:--:----	_	
1-24	stand	stand	NC:siuc:--:----	stand_F_i-stand-til	
1-25	til	til	T-:----:--:----	_	
1-26	at	at	UI:----:--:----	_	
1-27	sætte	sætte	VI:----:-a:----	_	
1-28	fem	fem	LC:--u-:--:----	_	
1-29	ord	ord	NC:piu#:--:----	_	
1-30	fornuftigt	fornuftig	AD:----:--:p---	_	
1-31	sammen	sammen	D-:----:--:u---	_	
1-32	.	.	ZP	_	

#id=2
#text=Bagefter var jeg i stand til at yde.
2-1	Bagefter	bagefter	D-:----:--:u---	_	
2-2	var	være	VF:----:ta:----	_	
2-3	jeg	jeg	PP:s-nc:--:-1n-	_	
