 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=I København har det så betydet, at man ikke har kunnet opretholde en ekspertise på de offentlige sygehuse, som gjorde, at man faktisk også var i stand til at udføre komplicerede operationer og ikke bare samlebåndsoperationer, som er det, privathospitalerne i dag er i stand til.
1-1	I	i	T-:----:--:----	_	
1-2	København	København	NP:siu#:--:----	_	
1-3	har	have	VF:----:sa:----	_	
1-4	det	det	PP:s-un:--:-3n-	_	
1-5	så	så	D-:----:--:u---	_	
1-6	betydet	betyde	VT:siu#:t-:----	_	
1-7	,	,	ZD	_	
1-8	at	at	CS:----:--:----	_	
1-9	man	man	PI:#-uc:--:----	_	
1-10	ikke	ikke	D-:----:--:u---	_	
1-11	har	have	VF:----:sa:----	_	
1-12	kunnet	kunne	VT:siu#:t-:----	_	
1-13	opretholde	opretholde	VI:----:-a:----	_	
1-14	en	en	PI:s-uc:--:----	_	
1-15	ekspertise	ekspertise	NC:siuc:--:----	_	
1-16	på	på	T-:----:--:----	_	
1-17	de	den	PM:p-u#:--:----	_	
1-18	offentlige	offentlig	AC:p#u#:--:p---	_	
1-19	sygehuse	sygehus	NC:piu#:--:----	_	
1-20	,	,	ZD	_	
1-21	som	som	US:----:--:----	_	
1-22	gjorde	gøre	VF:----:ta:----	_	
1-23	,	,	ZD	_	
1-24	at	at	CS:----:--:----	_	
1-25	man	man	PI:#-uc:--:----	_	
1-26	faktisk	faktisk	AD:----:--:p---	_	
1-27	også	også	D-:----:--:u---	_	
1-28	var	være	VF:----:ta:----	_	
1-29	i	i	T-:----:--:----	_	
1-30	stand	stand	NC:siuc:--:----	stand_F_i-stand-til	
1-31	til	til	T-:----:--:----	_	
1-32	at	at	UI:----:--:----	_	
1-33	udføre	udføre	VI:----:-a:----	_	
1-34	komplicerede	kompliceret	AC:p#u#:--:p---	_	
1-35	operationer	operation	NC:piu#:--:----	_	
1-36	og	og	CC:----:--:----	_	
1-37	ikke	ikke	D-:----:--:u---	_	
1-38	bare	bar	AC:p#u#:--:p---	_	
1-39	samlebåndsoperationer	samlebåndsoperation	NC:piu#:--:----	_	
1-40	,	,	ZD	_	
1-41	som	som	US:----:--:----	_	
1-42	er	være	VF:----:sa:----	_	
1-43	det	det	PP:s-un:--:-3n-	_	
1-44	,	,	ZD	_	
1-45	privathospitalerne	privathospital	NC:pdu#:--:----	_	
1-46	i	i	T-:----:--:----	_	
1-47	dag	dag	NC:siuc:--:----	_	
1-48	er	være	VF:----:sa:----	_	
1-49	i	i	T-:----:--:----	_	
1-50	stand	stand	NC:siuc:--:----	_	
1-51	til	til	T-:----:--:----	_	
1-52	.	.	ZP	_	

#id=2
#text= Jeg synes, der er en læresætning, som er mindst lige så vigtig, og det er, at et politisk flertal og at nutidens politiske beslutningstagere altid skal kendes på deres evne til at videregive en økonomi, som er holdbar, til næste generation, en økonomi, som er i stand til at honorere de krav og behov, som befolkningen måtte have.
2-1	Jeg	jeg	PP:s-nc:--:-1n-	_	
2-2	synes	syne	VF:----:sp:----	_	
2-3	,	,	ZD	_	
2-4	der	der	US:----:--:----	_	
2-5	er	være	VF:----:sa:----	_	
2-6	en	en	PI:s-uc:--:----	_	
2-7	læresætning	læresætning	NC:siuc:--:----	_	
2-8	,	,	ZD	_	
2-9	som	som	US:----:--:----	_	
2-10	er	være	VF:----:sa:----	_	
2-11	mindst	lille	AC:§§u§:--:s---	_	
2-12	lige	lige	D-:----:--:u---	_	
2-13	så	så	D-:----:--:u---	_	
2-14	vigtig	vigtig	AC:siuc:--:p---	_	
2-15	,	,	ZD	_	
2-16	og	og	CC:----:--:----	_	
2-17	det	det	PP:s-un:--:-3n-	_	
2-18	er	være	VF:----:sa:----	_	
2-19	,	,	ZD	_	
2-20	at	at	CS:----:--:----	_	
2-21	et	en	PI:s-un:--:----	_	
2-22	politisk	politisk	AC:siu§:--:p---	_	
2-23	flertal	flertal	NC:siun:--:----	_	
2-24	og	og	CC:----:--:----	_	
2-25	at	at	CS:----:--:----	_	
2-26	nutidens	nutid	NC:sdgc:--:----	_	
2-27	politiske	politisk	AC:p#u#:--:p---	_	
2-28	beslutningstagere	beslutningstager	NC:piu#:--:----	_	
2-29	altid	altid	D-:----:--:u---	_	
2-30	skal	skulle	VF:----:sa:----	_	
2-31	kendes	kende	VI:----:-p:----	_	
2-32	på	på	T-:----:--:----	_	
2-33	deres	deres	PO:#--#:--:-3np	_	
2-34	evne	evne	NC:siuc:--:----	_	
2-35	til	til	T-:----:--:----	_	
2-36	at	at	UI:----:--:----	_	
2-37	videregive	videregive	VI:----:-a:----	_	
2-38	en	en	PI:s-uc:--:----	_	
2-39	økonomi	økonomi	NC:siuc:--:----	_	
2-40	,	,	ZD	_	
2-41	som	som	US:----:--:----	_	
2-42	er	være	VF:----:sa:----	_	
2-43	holdbar	holdbar	AC:siuc:--:p---	_	
2-44	,	,	ZD	_	
2-45	til	til	T-:----:--:----	_	
2-46	næste	næste	AC:§§u§:--:p---	_	
2-47	generation	generation	NC:siuc:--:----	_	
2-48	,	,	ZD	_	
2-49	en	en	PI:s-uc:--:----	_	
2-50	økonomi	økonomi	NC:siuc:--:----	_	
2-51	,	,	ZD	_	
2-52	som	som	US:----:--:----	_	
2-53	er	være	VF:----:sa:----	_	
2-54	i	i	T-:----:--:----	_	
2-55	stand	stand	NC:siuc:--:----	stand_F_i-stand-til	
2-56	til	til	T-:----:--:----	_	
2-57	at	at	UI:----:--:----	_	
2-58	honorere	honorere	VI:----:-a:----	_	
2-59	de	den	PM:p-u#:--:----	_	
2-60	krav	krav	NC:piu#:--:----	_	
2-61	og	og	CC:----:--:----	_	
2-62	behov	behov	D-:----:--:u---	_	
2-63	,	,	ZD	_	
2-64	som	som	US:----:--:----	_	
2-65	befolkningen	befolkning	NC:sduc:--:----	_	
2-66	måtte	måtte	VF:----:ta:----	_	
2-67	have	have	VI:----:-a:----	_	
2-68	.	.	ZP	_	

#id=3
#text= Hvis man ikke er i stand til at løse problemerne, så forlad kontorerne!
3-1	Hvis	hvis	CS:----:--:----	_	
3-2	man	man	PI:#-uc:--:----	_	
3-3	ikke	ikke	D-:----:--:u---	_	
3-4	er	være	VF:----:sa:----	_	
3-5	i	i	T-:----:--:----	_	
3-6	stand	stand	NC:siuc:--:----	stand_F_i-stand-til	
3-7	til	til	T-:----:--:----	_	
3-8	at	at	UI:----:--:----	_	
3-9	løse	løse	VI:----:-a:----	_	
3-10	problemerne	problem	NC:pdu#:--:----	_	
3-11	,	,	ZD	_	
3-12	så	så	CS:----:--:----	_	
3-13	forlad	forlade	VM:----:--:----	_	
3-14	kontorerne	kontor	NC:pdu#:--:----	_	
3-15	!	!	ZP	_	

#id=4
#text= Men altså, det er jo regeringen, der sidder på et parlamentarisk grundlag, som hr. Anders Samuelsen bakker op, og som hver eneste gang ikke er i stand til at få styret en fornuftig proces igennem, der kan være med til at styre dansk økonomi i en bedre retning.
4-1	Men	men	CC:----:--:----	_	
4-2	altså	altså	D-:----:--:u---	_	
4-3	,	,	ZD	_	
4-4	det	det	PP:s-un:--:-3n-	_	
4-5	er	være	VF:----:sa:----	_	
4-6	jo	jo	-	_	
4-7	regeringen	regering	NC:sduc:--:----	_	
4-8	,	,	ZD	_	
4-9	der	der	US:----:--:----	_	
4-10	sidder	sidde	VF:----:sa:----	_	
4-11	på	på	T-:----:--:----	_	
4-12	et	en	PI:s-un:--:----	_	
4-13	parlamentarisk	parlamentarisk	AC:siu§:--:p---	_	
4-14	grundlag	grundlag	NC:siun:--:----	_	
4-15	,	,	ZD	_	
4-16	som	som	US:----:--:----	_	
4-17	hr	herre	NC:siuc:--:----	_	
4-18	.	.	ZP	_	
4-19	Anders	Anders	NP:siu#:--:----	_	
4-20	Samuelsen	Samuelsen	NP:siu#:--:----	_	
4-21	bakker	bakker	VF:----:sa:----	_	
4-22	op	op	D-:----:--:u---	_	
4-23	,	,	ZD	_	
4-24	og	og	CC:----:--:----	_	
4-25	som	som	US:----:--:----	_	
4-26	hver	hver	PI:s-uc:--:----	_	
4-27	eneste	eneste	AC:§§u§:--:p---	_	
4-28	gang	gang	NC:siuc:--:----	_	
4-29	ikke	ikke	D-:----:--:u---	_	
4-30	er	være	VF:----:sa:----	_	
4-31	i	i	T-:----:--:----	_	
4-32	stand	stand	NC:siuc:--:----	stand_F_i-stand-til	
4-33	til	til	T-:----:--:----	_	
4-34	at	at	UI:----:--:----	_	
4-35	få	få	VI:----:-a:----	_	
4-36	styret	styre	VT:siu#:t-:----	_	
4-37	en	en	PI:s-uc:--:----	_	
4-38	fornuftig	fornuftig	AC:siuc:--:p---	_	
4-39	proces	proces	NC:siuc:--:----	_	
4-40	igennem	igennem	T-:----:--:----	_	
4-41	,	,	ZD	_	
4-42	der	der	US:----:--:----	_	
