 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=Hvis I vil, kan I installere , for at blive i stand til det.
1-1	Hvis	hvis	CS:----:--:----	_	
1-2	I	I	PP:p-nc:--:-2n-	_	
1-3	vil	ville	VF:----:sa:----	_	
1-4	,	,	ZD	_	
1-5	kan	kunne	VF:----:sa:----	_	
1-6	I	I	PP:p-nc:--:-2n-	_	
1-7	installere	installere	VI:----:-a:----	_	
1-8	,	,	ZD	_	
1-9	for	for	T-:----:--:----	_	
1-10	at	at	UI:----:--:----	_	
1-11	blive	blive	VI:----:-a:----	_	
1-12	i	i	T-:----:--:----	_	
1-13	stand	stand	NC:siuc:--:----	stand_F_i-stand-til	
1-14	til	til	T-:----:--:----	_	
1-15	det	det	PP:s-un:--:-3n-	_	
1-16	.	.	ZP	_	

#id=2
#text= Nej, men kakashi er ikke i stand til at manipulere med nogen...
2-1	Nej	nej	I-:----:--:----	_	
2-2	,	,	ZD	_	
2-3	men	men	CC:----:--:----	_	
2-4	kakashi	kakashi	NC:siun:--:----	_	
2-5	er	være	VF:----:sa:----	_	
2-6	ikke	ikke	D-:----:--:u---	_	
2-7	i	i	T-:----:--:----	_	
2-8	stand	stand	NC:siuc:--:----	stand_F_i-stand-til	
2-9	til	til	T-:----:--:----	_	
2-10	at	at	UI:----:--:----	_	
2-11	manipulere	manipulere	VI:----:-a:----	_	
2-12	med	med	T-:----:--:----	_	
2-13	nogen	nogen	PI:s-uc:--:----	_	
2-14	.	.	ZP	_	
2-15	.	.	ZP	_	
2-16	.	.	ZP	_	

#id=3
#text= Tar vi tingen om manga :!: - udover at manga kan købes overalt og normalt ikke koster mere end 400 yen (lidt over 22 kr.) findes der også secondhand booksstores (også nærmest overalt) hvor man betaler halv eller mindre i pris for brugte manga'er (naturligvis i fin stand). det styrer!
3-1	Tar	tage	VF:----:sa:----	_	
3-2	vi	vi	PP:p-nc:--:-1n-	_	
3-3	tingen	ting	NC:sduc:--:----	_	
3-4	om	om	T-:----:--:----	_	
3-5	manga	manganden	PI:s-un:--:----	_	
3-6	:	:	ZP	_	
3-7	!	!	ZP	_	
3-8	:	:	ZP	_	
3-9	-	-	ZH	_	
3-10	udover	udover	D-:----:--:u---	_	
3-11	at	at	CS:----:--:----	_	
3-12	manga	manganden	PI:s-un:--:----	_	
3-13	kan	kunne	VF:----:sa:----	_	
3-14	købes	købe	VI:----:-p:----	_	
3-15	overalt	overalt	D-:----:--:u---	_	
3-16	og	og	CC:----:--:----	_	
3-17	normalt	normal	AD:----:--:p---	_	
3-18	ikke	ikke	D-:----:--:u---	_	
3-19	koster	koste	VF:----:sa:----	_	
3-20	mere	megen	AC:##u#:--:c---	_	
3-21	end	end	CS:----:--:----	_	
3-22	400	400	LC:--u-:--:----	_	
3-23	yen	yen	NC:piu#:--:----	_	
3-24	(	(	ZD	_	
3-25	lidt	lidt	AD:----:--:p---	_	
3-26	over	over	T-:----:--:----	_	
3-27	22	22	LC:--u-:--:----	_	
3-28	kr	krone	NC:piu#:--:----	_	
3-29	.	.	ZP	_	
3-30	)	)	ZD	_	
3-31	findes	finde	VF:----:sp:----	_	
3-32	der	der	US:----:--:----	_	
3-33	også	også	D-:----:--:u---	_	
3-34	secondhand	secondhand	AD:----:--:p---	_	
3-35	booksstores	booksstores	XY:----:--:----	_	
3-36	(	(	ZD	_	
3-37	også	også	D-:----:--:u---	_	
3-38	nærmest	nær	AD:----:--:s---	_	
3-39	overalt	overalt	D-:----:--:u---	_	
3-40	)	)	ZD	_	
3-41	hvor	hvor	D-:----:--:u---	_	
3-42	man	man	PI:#-uc:--:----	_	
3-43	betaler	betale	VF:----:sa:----	_	
3-44	halv	halv	AC:siuc:--:p---	_	
3-45	eller	eller	CC:----:--:----	_	
3-46	mindre	liden	AD:----:--:c---	_	
3-47	i	i	--	_	
3-48	pris	pris	NC:siuc:--:----	_	
3-49	for	for	T-:----:--:----	_	
3-50	brugte	brugt	AC:p#u#:--:p---	_	
3-51	manga	manga	XF:----:--:----	_	
3-52	'	'	ZA	_	
3-53	er	@er	MN:piu#:--:----	_	
3-54	(	(	ZD	_	
3-55	naturligvis	naturligvis	D-:----:--:u---	_	
3-56	i	i	T-:----:--:----	_	
3-57	fin	fin	AC:siuc:--:p---	_	
3-58	stand	stand	NC:siuc:--:----	stand_1	
3-59	)	)	ZD	_	
3-60	.	.	ZP	_	
3-61	det	det	PP:s-un:--:-3n-	_	
3-62	styrer	styre	VF:----:sa:----	_	
3-63	!	!	ZP	_	

#id=4
#text=Jeg er dybt imponeret over hvor meget du er i stand til at slå op i ordbogen!
4-1	Jeg	jeg	PP:s-nc:--:-1n-	_	
4-2	er	være	VF:----:sa:----	_	
4-3	dybt	dyb	AD:----:--:p---	_	
4-4	imponeret	imponere	VT:siu#:t-:----	_	
4-5	over	over	T-:----:--:----	_	
4-6	hvor	hvor	D-:----:--:u---	_	
4-7	meget	megen	AC:siu§:--:p---	_	
4-8	du	du	XF:----:--:----	_	
4-9	er	være	VF:----:sa:----	_	
4-10	i	i	T-:----:--:----	_	
4-11	stand	stand	NC:siuc:--:----	stand_F_i-stand-til	
4-12	til	til	T-:----:--:----	_	
4-13	at	at	UI:----:--:----	_	
4-14	slå	slå	VI:----:-a:----	_	
4-15	op	op	D-:----:--:u---	_	
4-16	i	i	T-:----:--:----	_	
4-17	ordbogen	ordbog	NC:sduc:--:----	_	
4-18	!	!	ZP	_	

#id=5
#text= Og derfor kom jeg bort fra at se efter Elysions stand... sorry!
5-1	Og	og	CC:----:--:----	_	
5-2	derfor	derfor	D-:----:--:u---	_	
5-3	kom	komme	VF:----:ta:----	_	
5-4	jeg	jeg	PP:s-nc:--:-1n-	_	
5-5	bort	bort	D-:----:--:u---	_	
5-6	fra	fra	T-:----:--:----	_	
5-7	at	at	UI:----:--:----	_	
5-8	se	se	VI:----:-a:----	_	
5-9	efter	efter	T-:----:--:----	_	
5-10	Elysions	Elysions	NP:sig#:--:----	_	
5-11	stand	stand	NC:siuc:--:----	stand_4	
5-12	.	.	ZP	_	
5-13	.	.	ZP	_	
5-14	.	.	ZP	_	
5-15	sorry	sorry	NC:siun:--:----	_	
5-16	!	!	ZP	_	

#id=6
#text= Var der nogen, som så de to madammer, som sad og tegnede manga-simile tegninger lige på hjørnet af Egmonts stand? :shock:
6-1	Var	være	VF:----:ta:----	_	
6-2	der	der	US:----:--:----	_	
6-3	nogen	nogen	PI:s-uc:--:----	_	
6-4	,	,	ZD	_	
6-5	som	som	US:----:--:----	_	
6-6	så	så	D-:----:--:u---	_	
6-7	de	den	PM:p-u#:--:----	_	
6-8	to	to	LC:--u-:--:----	_	
6-9	madammer	madam	NC:piu#:--:----	_	
6-10	,	,	ZD	_	
6-11	som	som	US:----:--:----	_	
6-12	sad	sidde	VF:----:ta:----	_	
6-13	og	og	CC:----:--:----	_	
6-14	tegnede	tegne	VF:----:ta:----	_	
6-15	manga	manga	NW:----:--:----	_	
6-16	-	-	ZH	_	
6-17	simile	simile	NC:piu#:--:----	_	
6-18	tegninger	tegning	NC:piu#:--:----	_	
6-19	lige	lige	D-:----:--:u---	_	
6-20	på	på	T-:----:--:----	_	
6-21	hjørnet	hjørne	NC:sdun:--:----	_	
6-22	af	af	T-:----:--:----	_	
6-23	Egmonts	Egmonts	NP:sig#:--:----	_	
6-24	stand	stand	NC:siuc:--:----	stand_4	
6-25	?	?	ZQ	_	
6-26	:	:	ZP	_	
6-27	shock	shock	XS:----:--:----	_	
6-28	:	:	ZP	_	

#id=7
#text= Det var heller ikke sikkert at jeg havde været på standen på det tidspunkt som du ville have været derhenne.
7-1	Det	det	PP:s-un:--:-3n-	_	
7-2	var	være	VF:----:ta:----	_	
