 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=Hvorfor har man forbudt vold?
1-1	Hvorfor	hvorfor	D-:----:--:u---	_	
1-2	har	have	VF:----:sa:----	_	
1-3	man	man	PI:#-uc:--:----	_	
1-4	forbudt	forbudt	AC:siu§:--:p---	_	
1-5	vold	vold	NC:siuc:--:----	vold1_1_1a	
1-6	?	?	ZQ	_	

#id=2
#text= Fordi vold er farlig.
2-1	Fordi	fordi	CS:----:--:----	_	
2-2	vold	vold	NC:siuc:--:----	vold1_1_1a	
2-3	er	være	VF:----:sa:----	_	
2-4	farlig	farlig	AD:----:--:p---	_	
2-5	.	.	ZP	_	

#id=3
#text= På den måde kan man jo hurtigt få nogle fine statistikker, særlig hvis man så også ophæver forbuddet mod al anden kriminalitet som f.eks. narkohandel, vold, voldtægt, skattesvindel.
3-1	På	på	T-:----:--:----	_	
3-2	den	den	PM:s-uc:--:----	_	
3-3	måde	måde	NC:siuc:--:----	_	
3-4	kan	kunne	VF:----:sa:----	_	
3-5	man	man	PI:#-uc:--:----	_	
3-6	jo	jo	D-:----:--:u---	_	
3-7	hurtigt	hurtig	AD:----:--:p---	_	
3-8	få	få	VI:----:-a:----	_	
3-9	nogle	nogen	PI:p-u#:--:----	_	
3-10	fine	fin	AC:p#u#:--:p---	_	
3-11	statistikker	statistik	NC:piu#:--:----	_	
3-12	,	,	ZD	_	
3-13	særlig	særlig	AD:----:--:p---	_	
3-14	hvis	hvis	CS:----:--:----	_	
3-15	man	man	PI:#-uc:--:----	_	
3-16	så	så	D-:----:--:u---	_	
3-17	også	også	D-:----:--:u---	_	
3-18	ophæver	ophæve	VF:----:sa:----	_	
3-19	forbuddet	forbud	NC:sdun:--:----	_	
3-20	mod	mod	T-:----:--:----	_	
3-21	al	al	PI:s-uc:--:----	_	
3-22	anden	anden	PI:s-uc:--:----	_	
3-23	kriminalitet	kriminalitet	NC:siuc:--:----	_	
3-24	som	som	US:----:--:----	_	
3-25	f	for	T-:----:--:----	_	
3-26	.	.	ZP	_	
3-27	eks	eksempel	NC:siun:--:----	_	
3-28	.	.	ZP	_	
3-29	narkohandel	narkohandel	NC:siuc:--:----	_	
3-30	,	,	ZD	_	
3-31	vold	vold	NC:siuc:--:----	vold1_1_1a	
3-32	,	,	ZD	_	
3-33	voldtægt	voldtægt	NC:siuc:--:----	_	
3-34	,	,	ZD	_	
3-35	skattesvindel	skattesvindel	NC:siuc:--:----	_	
3-36	.	.	ZP	_	

#id=4
#text= Dopingmisbrug kan også meget ofte have negative sociale konsekvenser, for i kølvandet på dopingmisbrug følger nemlig ofte også kriminalitet, vold og hærværk med store personlige og samfundsmæssige konsekvenser og omkostninger til følge.
4-1	Dopingmisbrug	Dopingmisbrug	NP:siu#:--:----	_	
4-2	kan	kunne	VF:----:sa:----	_	
4-3	også	også	D-:----:--:u---	_	
4-4	meget	megen	AD:----:--:p---	_	
4-5	ofte	ofte	D-:----:--:u---	_	
4-6	have	have	VI:----:-a:----	_	
4-7	negative	negativ	AC:p#u#:--:p---	_	
4-8	sociale	social	AC:p#u#:--:p---	_	
4-9	konsekvenser	konsekvens	NC:piu#:--:----	_	
4-10	,	,	ZD	_	
4-11	for	for	D-:----:--:u---	_	
4-12	i	i	T-:----:--:----	_	
4-13	kølvandet	kølvand	NC:sdun:--:----	_	
4-14	på	på	----	_	
4-15	dopingmisbrug	dopingmisbrug	NC:siu#:--:----	_	
4-16	følger	følge	VF:----:sa:----	_	
4-17	nemlig	nemlig	D-:----:--:u---	_	
4-18	ofte	ofte	D-:----:--:u---	_	
4-19	også	også	D-:----:--:u---	_	
4-20	kriminalitet	kriminalitet	NC:siuc:--:----	_	
4-21	,	,	ZD	_	
4-22	vold	vold	NC:siuc:--:----	vold1_1_1a	
4-23	og	og	CC:----:--:----	_	
4-24	hærværk	hærværk	NC:siun:--:----	_	
4-25	med	med	T-:----:--:----	_	
4-26	store	stor	AC:p#u#:--:p---	_	
4-27	personlige	personlig	AC:p#u#:--:p---	_	
4-28	og	og	CC:----:--:----	_	
4-29	samfundsmæssige	samfundsmæssig	AC:p#u#:--:p---	_	
4-30	konsekvenser	konsekvens	NC:piu#:--:----	_	
4-31	og	og	CC:----:--:----	_	
4-32	omkostninger	omkostning	NC:piu#:--:----	_	
4-33	til	til	T-:----:--:----	_	
4-34	følge	følge	NC:siuc:--:----	_	
4-35	.	.	ZP	_	

#id=5
#text= Det er nemlig stadig væk sådan, at udenlandske kvinder, som ikke har dansk statsborgerskab, er i risikozonen for at blive sendt ud af landet, når de er udsat for vold.
5-1	Det	det	PP:s-un:--:-3n-	_	
5-2	er	være	VF:----:sa:----	_	
5-3	nemlig	nemlig	D-:----:--:u---	_	
5-4	stadig	stadig	D-:----:--:u---	_	
5-5	væk	væk	D-:----:--:u---	_	
5-6	sådan	sådan	D-:----:--:u---	_	
5-7	,	,	ZD	_	
5-8	at	at	CS:----:--:----	_	
5-9	udenlandske	udenlandsk	AC:p#u#:--:p---	_	
5-10	kvinder	kvinde	NC:piu#:--:----	_	
5-11	,	,	ZD	_	
5-12	som	som	US:----:--:----	_	
5-13	ikke	ikke	D-:----:--:u---	_	
5-14	har	have	VF:----:sa:----	_	
5-15	dansk	dansk	AC:siu§:--:p---	_	
5-16	statsborgerskab	statsborgerskab	NC:siun:--:----	_	
5-17	,	,	ZD	_	
5-18	er	være	VF:----:sa:----	_	
5-19	i	i	T-:----:--:----	_	
5-20	risikozonen	risikozon	NC:sduc:--:----	_	
5-21	for	for	T-:----:--:----	_	
5-22	at	at	UI:----:--:----	_	
5-23	blive	blive	VI:----:-a:----	_	
5-24	sendt	sende	VT:siu#:t-:----	_	
5-25	ud	ud	D-:----:--:u---	_	
5-26	af	af	T-:----:--:----	_	
5-27	landet	land	NC:sdun:--:----	_	
5-28	,	,	ZD	_	
5-29	når	når	CS:----:--:----	_	
5-30	de	de	PP:p-n#:--:-3n-	_	
5-31	er	være	VF:----:sa:----	_	
5-32	udsat	udsætte	VT:siu#:t-:----	_	
5-33	for	for	T-:----:--:----	_	
5-34	vold	vold	NC:siuc:--:----	vold1_1_1a	
5-35	.	.	ZP	_	

#id=6
#text= Man stillede sig i rundkredse i Korsgadehallen og diskuterede en lang række initiativer, og der foregår masser af ting nu for at prøve at skabe fællesskaber og forhindre rekrutteringen og for at vise, at vi ikke vil lade volden og frygten styre i gaderne, men at det faktisk er et sted, hvor vi ønsker at vi alle sammen skal kunne bo.
6-1	Man	man	PI:#-uc:--:----	_	
6-2	stillede	stille	VF:----:ta:----	_	
6-3	sig	sig	PP:#-u#:--:-3y-	_	
6-4	i	i	T-:----:--:----	_	
6-5	rundkredse	rundkreds	NC:piu#:--:----	_	
6-6	i	i	T-:----:--:----	_	
6-7	Korsgadehallen	Korsgadehallen	NP:siu#:--:----	_	
6-8	og	og	CC:----:--:----	_	
6-9	diskuterede	diskutere	VF:----:ta:----	_	
6-10	en	en	PI:s-uc:--:----	_	
6-11	lang	lang	AC:siuc:--:p---	_	
6-12	række	række	NC:siuc:--:----	_	
6-13	initiativer	initiativ	NC:piu#:--:----	_	
6-14	,	,	ZD	_	
6-15	og	og	CC:----:--:----	_	
6-16	der	der	US:----:--:----	_	
6-17	foregår	foregå	VF:----:sa:----	_	
6-18	masser	masse	NC:piu#:--:----	_	
6-19	af	af	T-:----:--:----	_	
6-20	ting	ting	NC:piu#:--:----	_	
6-21	nu	nu	D-:----:--:u---	_	
6-22	for	for	T-:----:--:----	_	
6-23	at	at	UI:----:--:----	_	
6-24	prøve	prøve	VI:----:-a:----	_	
6-25	at	at	UI:----:--:----	_	
6-26	skabe	skabe	VI:----:-a:----	_	
6-27	fællesskaber	fællesskab	NC:piu#:--:----	_	
6-28	og	og	CC:----:--:----	_	
6-29	forhindre	forhindre	VI:----:-a:----	_	
6-30	rekrutteringen	rekruttering	NC:sduc:--:----	_	
6-31	og	og	CC:----:--:----	_	
6-32	for	for	T-:----:--:----	_	
6-33	at	at	UI:----:--:----	_	
6-34	vise	vise	VI:----:-a:----	_	
6-35	,	,	ZD	_	
6-36	at	at	CS:----:--:----	_	
6-37	vi	vi	-nc:--:-1n-	_	
6-38	ikke	ikke	D-:----:--:u---	_	
6-39	vil	ville	VF:----:sa:----	_	
6-40	lade	lade	VI:----:-a:----	_	
6-41	volden	vold	NC:sduc:--:----	vold1_1_1a	
6-42	og	og	CC:----:--:----	_	
6-43	frygten	frygt	NC:sduc:--:----	_	
6-44	styre	styre	VI:----:-a:----	_	
6-45	i	i	T-:----:--:----	_	
6-46	gaderne	gade	NC:pdu#:--:----	_	
6-47	,	,	ZD	_	
6-48	men	men	CC:----:--:----	_	
6-49	at	at	CS:----:--:----	_	
6-50	det	det	PP:s-un:--:-3n-	_	
6-51	faktisk	faktisk	AD:----:--:p---	_	
6-52	er	være	VF:----:sa:----	_	
6-53	et	en	PI:s-un:--:----	_	
6-54	sted	ed	NC:siun:--:----	_	
6-55	,	,	ZD	_	
6-56	hvor	hvor	D-:----:--:u---	_	
6-57	vi	vi	PP:p-nc:--:-1n-	_	
6-58	ønsker	ønske	VF:----:sa:----	_	
6-59	at	at	CS:----:--:----	_	
6-60	vi	vi	--:-1n-	_	
6-61	alle	al	PI:p-u#:--:----	_	
6-62	sammen	sammen	D-:----:--:u---	_	
6-63	skal	skulle	VF:----:sa:----	_	
6-64	kunne	kunne	VI:----:-a:----	_	
6-65	bo	bo	VI:----:-a:----	_	
6-66	.	.	ZP	_	

#id=7
#text= Afhængigt af de konkrete omstændigheder kan der også være tale om forhold, som i sig selv udgør en overtrædelse af andre bestemmelser i straffeloven, f.eks. om vold eller trusler.
7-1	Afhængigt	afhængig	AD:----:--:p---	_	
7-2	af	af	T-:----:--:----	_	
7-3	de	den	PM:p-u#:--:----	_	
7-4	konkrete	konkret	AC:p#u#:--:p---	_	
7-5	omstændigheder	omstændighed	NC:piu#:--:----	_	
7-6	kan	kunne	VF:----:sa:----	_	
7-7	der	der	US:----:--:----	_	
7-8	også	også	D-:----:--:u---	_	
7-9	være	være	VI:----:-a:----	_	
7-10	tale	tale	NC:siuc:--:----	_	
7-11	om	om	T-:----:--:----	_	
7-12	forhold	forhold	NC:siun:--:----	_	
7-13	,	,	ZD	_	
7-14	som	som	US:----:--:----	_	
7-15	i	i	T-:----:--:----	_	
7-16	sig	sig	PP:#-u#:--:-3y-	_	
7-17	selv	selv	---	_	
7-18	udgør	udgøre	VF:----:sa:----	_	
7-19	en	en	PI:s-uc:--:----	_	
7-20	overtrædelse	overtrædelse	NC:siuc:--:----	_	
7-21	af	af	T-:----:--:----	_	
7-22	andre	anden	PI:p-u#:--:----	_	
7-23	bestemmelser	bestemmelse	NC:piu#:--:----	_	
7-24	i	i	T-:----:--:----	_	
7-25	straffeloven	straffelov	NC:sduc:--:----	_	
7-26	,	,	ZD	_	
7-27	f	f	XS:----:--:----	_	
7-28	.	.	ZP	_	
7-29	eks	eksempel	NC:siun:--:----	_	
7-30	.	.	ZP	_	
7-31	om	om	T-:----:--:----	_	
7-32	vold	vold	NC:siuc:--:----	vold1_1_1a	
7-33	eller	eller	CC:----:--:----	_	
7-34	trusler	trussel	NC:piu#:--:----	_	
7-35	.	.	ZP	_	

#id=8
#text=Sager om chikane og forfølgelse har ofte deres udspring i opløste samlivsforhold, hvor der jo også kan være tale om vold og trusler.
8-1	Sager	sag	NC:piu#:--:----	_	
8-2	om	om	T-:----:--:----	_	
8-3	chikane	chikane	NC:siuc:--:----	_	
8-4	og	og	CC:----:--:----	_	
8-5	forfølgelse	rfølgelse	NC:siuc:--:----	_	
8-6	har	have	VF:----:sa:----	_	
8-7	ofte	ofte	D-:----:--:u---	_	
8-8	deres	deres	XY:----:--:----	_	
8-9	udspring	udspring	NC:siun:--:----	_	
8-10	i	i	T-:----:--:----	_	
8-11	opløste	opløse	VP:p#u#:t-:----	_	
8-12	samlivsforhold	samlivsforhold	NC:piu#:--:----	_	
8-13	,	,	ZD	_	
8-14	hvor	hvor	D-:----:--:u---	_	
8-15	der	der	US:----:--:----	_	
8-16	jo	jo	D-:----:--:u---	_	
8-17	også	også	D-:----:--:u---	_	
8-18	kan	kunne	VF:----:sa:----	_	
8-19	være	være	VI:----:-a:----	_	
