 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=Til mange af malerierne er der lavet forstudier og skitser af både hele motivet og af diverse detaljer, fx hænder og fødder eller ansigter.
1-1	Til	til	T-:----:--:----	_	
1-2	mange	mangen	AC:p#u#:--:p---	_	
1-3	af	af	T-:----:--:----	_	
1-4	malerierne	maleri	NC:pdu#:--:----	_	
1-5	er	være	VF:----:sa:----	_	
1-6	der	der	US:----:--:----	_	
1-7	lavet	lave	VT:siu#:t-:----	_	
1-8	forstudier	forstudie	NC:piu#:--:----	_	
1-9	og	og	CC:----:--:----	_	
1-10	skitser	skitse	NC:piu#:--:----	_	
1-11	af	af	T-:----:--:----	_	
1-12	både	både	D-:----:--:u---	_	
1-13	hele	hel	AC:sdu#:--:p---	_	
1-14	motivet	motiv	NC:sdun:--:----	_	
1-15	og	og	CC:----:--:----	_	
1-16	af	af	T-:----:--:----	_	
1-17	diverse	diverse	AC:§§u§:--:p---	_	
1-18	detaljer	detalje	NC:piu#:--:----	_	
1-19	,	,	ZD	_	
1-20	fx	fx	:----:--:u---	_	
1-21	hænder	hånd	NC:piu#:--:----	_	
1-22	og	og	CC:----:--:----	_	
1-23	fødder	fod	NC:piu#:--:----	_	
1-24	eller	eller	CC:----:--:----	_	
1-25	ansigter	ansigt	NC:piu#:--:----	Ansigt_1	
1-26	.	.	ZP	_	

#id=2
#text= Hvis du ikke så udsendelsen, så hiv 20 minutter ud og bliv oplyst om Facebooks sande ansigt her.
2-1	Hvis	hvis	CS:----:--:----	_	
2-2	du	du	PP:s-nc:--:-2n-	_	
2-3	ikke	ikke	D-:----:--:u---	_	
2-4	så	så	D-:----:--:u---	_	
2-5	udsendelsen	udsendelse	NC:sduc:--:----	_	
2-6	,	,	ZD	_	
2-7	så	så	CS:----:--:----	_	
2-8	hiv	hiv	NC:siun:--:----	_	
2-9	20	20	LC:--u-:--:----	_	
2-10	minutter	minut	NC:piu#:--:----	_	
2-11	ud	ud	D-:----:--:u---	_	
2-12	og	og	CC:----:--:----	_	
2-13	bliv	blive	VM:----:--:----	_	
2-14	oplyst	oplyse	VT:siu#:t-:----	_	
2-15	om	om	T-:----:--:----	_	
2-16	Facebooks	Facebooks	NP:sig#:--:----	_	
2-17	sande	sand	AC:sdu#:--:p---	_	
2-18	ansigt	ansigt	NC:siun:--:----	Ansigt_2a	
2-19	her	her	D-:----:--:u---	_	
2-20	.	.	ZP	_	

#id=3
#text=Dekorer barnet i ansigtet med ansigtsmaling, du kan fx male fastelavnskatte, som jeg  gjorde.
3-1	Dekorer	Dekorer	XY:----:--:----	_	
3-2	barnet	barn	NC:sdun:--:----	_	
