 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text= Det var tilladt at slå fangerne i ansigtet eller maven.
1-1	Det	det	PP:s-un:--:-3n-	_	
1-2	var	være	VF:----:ta:----	_	
1-3	tilladt	tillade	VT:siu#:t-:----	_	
1-4	at	at	UI:----:--:----	_	
1-5	slå	slå	VI:----:-a:----	_	
1-6	fangerne	fange	NC:pdu#:--:----	_	
1-7	i	i	T-:----:--:----	_	
1-8	ansigtet	ansigt	NC:sdun:--:----	ansigt_1	
1-9	eller	eller	CC:----:--:----	_	
1-10	maven	mave	NC:sduc:--:----	_	
1-11	.	.	ZP	_	

#id=2
#text= Derefter dækkes ansigtet med et vådt stykke stof, og der hældes vand over hovedet.
2-1	Derefter	derefter	D-:----:--:u---	_	
2-2	dækkes	dække	VF:----:sp:----	_	
2-3	ansigtet	ansigt	NC:sdun:--:----	_	
2-4	med	med	T-:----:--:----	_	
2-5	et	en	PI:s-un:--:----	_	
2-6	vådt	våd	AC:siun:--:p---	_	
2-7	stykke	stykke	NC:siun:--:----	_	
2-8	stof	stof	NC:siun:--:----	_	
2-9	,	,	ZD	_	
2-10	og	og	CC:----:--:----	_	
2-11	der	der	US:----:--:----	_	
2-12	hældes	hælde	VF:----:sp:----	_	
2-13	vand	vand	NC:siun:--:----	_	
2-14	over	over	T-:----:--:----	_	
2-15	hovedet	hoved	NC:sdun:--:----	_	
2-16	.	.	ZP	_	

#id=3
#text= "En klud lægges over fangens ansigt, hvorpå der hældes koldt vand i højst 40 sekunder.
3-1	"	"	ZI	_	
3-2	En	en	PI:s-uc:--:----	_	
3-3	klud	klud	NC:siuc:--:----	_	
3-4	lægges	lægge	VF:----:sp:----	_	
3-5	over	over	T-:----:--:----	_	
3-6	fangens	fange	NC:sdgc:--:----	_	
3-7	ansigt	ansigt	NC:siun:--:----	ansigt_1	
3-8	,	,	ZD	_	
3-9	hvorpå	hvorpå	D-:----:--:u---	_	
3-10	der	der	US:----:--:----	_	
3-11	hældes	hælde	VI:----:-p:----	_	
3-12	koldt	kold	AC:siun:--:p---	_	
3-13	vand	vand	NC:siun:--:----	_	
3-14	i	i	T-:----:--:----	_	
3-15	højst	højst	D-:----:--:u---	_	
3-16	40	40	LC:--u-:--:----	_	
3-17	sekunder	sekund	NC:piu#:--:----	_	
3-18	.	.	ZP	_	

#id=4
#text= "Forhørslederen slår fangen i ansigtet med let spredte fingre.
4-1	"	"	ZI	_	
4-2	Forhørslederen	forhørsleder	NC:sduc:--:----	_	
4-3	slår	slå	VF:----:sa:----	_	
4-4	fangen	fange	NC:sduc:--:----	_	
4-5	i	i	T-:----:--:----	_	
4-6	ansigtet	ansigt	NC:sdun:--:----	ansigt_1	
4-7	med	med	T-:----:--:----	_	
4-8	let	let	AD:----:--:p---	_	
4-9	spredte	sprede	VP:p#u#:t-:----	_	
4-10	fingre	finger	NC:piu#:--:----	_	
4-11	.	.	ZP	_	

#id=5
#text= Da hun med fokuseret mørk kerneklang havde sunget sig gennem Richard Strauss' ' Vier letzte Lieder' til akkompagnement af den tyske dirigent Christoph Poppen og DR SymfoniOrkestret, vendte hun sig om - og gentog den tredje af sangene med ansigtet vendt mod den del af publikum, der sad på de billige pladser bag orkestret.
5-1	Da	da	CS:----:--:----	_	
5-2	hun	hun	PP:s-nc:--:-3n-	_	
5-3	med	med	D-:----:--:u---	_	
5-4	fokuseret	fokusere	VT:siu#:t-:----	_	
5-5	mørk	mørk	AC:siuc:--:p---	_	
5-6	kerneklang	kerneklang	NC:siuc:--:----	_	
5-7	havde	have	VF:----:ta:----	_	
5-8	sunget	synge	VT:siu#:t-:----	_	
5-9	sig	sig	PP:#-u#:--:-3y-	_	
5-10	gennem	gennem	T-:----:--:----	_	
