 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Deres smil og glade ansigter rammer lige i hjertet.
1-1	Deres	deres	PO:#--#:--:-3np	
1-2	smil	smil	NC:piu#:--:----	
1-3	og	og	CC:----:--:----	
1-4	glade	glad	AC:p#u#:--:p---	
1-5	ansigter	ansigt	NC:piu#:--:----	
1-6	rammer	ramme	VF:----:sa:----	
1-7	lige	lige	D-:----:--:u---	
1-8	i	i	T-:----:--:----	
1-9	hjertet	hjerte	NC:sdun:--:----	
1-10	.	.	ZP	

#id=2
#text=Det Konservative Folkeparti vil forbyde kvinder at gå med burka eller nikab - det er de muslimske hovedbeklædninger, som dækker hele ansigtet på nær øjnene.
2-1	Det	den	PM:s-un:--:----	
2-2	Konservative	konservativ	AC:sdu#:--:p---	
2-3	Folkeparti	folkeparti	NC:siun:--:----	
2-4	vil	ville	VF:----:sa:----	
2-5	forbyde	forbyde	VI:----:-a:----	
2-6	kvinder	kvinde	NC:piu#:--:----	
2-7	at	at	UI:----:--:----	
2-8	gå	gå	VI:----:-a:----	
2-9	med	med	T-:----:--:----	
2-10	burka	burka	NC:siuc:--:----	
2-11	eller	eller	CC:----:--:----	
2-12	nikab	nikAB	NP:siu#:--:----	
2-13	-	-	ZH	
2-14	det	det	PP:s-un:--:-3n-	
2-15	er	være	VF:----:sa:----	
2-16	de	den	PM:p-u#:--:----	
2-17	muslimske	muslimsk	AC:p#u#:--:p---	
2-18	hovedbeklædninger	hovedbeklædning	NC:piu#:--:----	
2-19	,	,	ZD	
2-20	som	som	US:----:--:----	
2-21	dækker	dække	VF:----:sa:----	
2-22	hele	hel	AC:sdu#:--:p---	
2-23	ansigtet	ansigt	NC:sdun:--:----	
2-24	på	på	T-:----:--:----	
2-25	nær	nær	T-:----:--:----	
2-26	øjnene	øje	NC:pdu#:--:----	
2-27	.	.	ZP	

#id=3
#text= For eksempel må man ikke have den på under pilgrimsfærden, der må ansigtet ikke være dækket", siger Zubair Butt Hussain.
3-1	For	for	T-:----:--:----	
