 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Men under to timer efter jeg var connected med min kollega, kom hun og fortalte, at hun lige havde fået en henvendelse fra en af mine andre LinkedIn-kontakter.
1-1	Men	men	CC:----:--:----	O	
1-2	under	under	T-:----:--:----	O	
1-3	to	to	LC:--u-:--:----	O	
1-4	timer	time	NC:piu#:--:----	O	
1-5	efter	efter	CS:----:--:----	O	
1-6	jeg	jeg	PP:s-nc:--:-1n-	O	
1-7	var	være	VF:----:ta:----	O	
1-8	connected	connectED	NC:siuc:--:----	O	
1-9	med	med	T-:----:--:----	O	
1-10	min	min	PO:s--c:--:-1ns	O	
1-11	kollega	kollega	NC:siuc:--:----	O	
1-12	,	,	ZD	O	
1-13	kom	komme	VF:----:ta:----	O	
1-14	hun	hun	PP:s-nc:--:-3n-	O	
1-15	og	og	CC:----:--:----	O	
1-16	fortalte	fortale	VF:----:ta:----	O	
1-17	,	,	ZD	O	
1-18	at	at	CS:----:--:----	O	
1-19	hun	hun	PP:s-nc:--:-3n-	O	
1-20	lige	lige	D-:----:--:u---	O	
1-21	havde	have	VF:----:ta:----	O	
1-22	fået	få	VT:siu#:t-:----	O	
1-23	en	en	PI:s-uc:--:----	O	
1-24	henvendelse	henvendelse	NC:siuc:--:----	O	
1-25	fra	fra	T-:----:--:----	O	
1-26	en	en	PI:s-uc:--:----	O	
1-27	af	af	T-:----:--:----	O	
1-28	mine	mine	NC:siuc:--:----	O	
1-29	andre	anden	PI:p-u#:--:----	O	
1-30	LinkedIn	LinkedIn	NP:siu#:--:----	O	
1-31	-	-	ZH	O	
1-32	kontakter	kontakt	NC:piu#:--:----	B-kontakt-1b	
1-33	.	.	ZP	O	

#id=2
#text=Kontaktener meget perifær, en person, jeg få gange har mødt i et netværk af freelancere og selvstændige, jeg tidligere har deltaget i.
2-1	Kontakten	kontakt	NC:sduc:--:----	B-kontakt-1-1a	
2-2	er	være	VF:----:sa:----	O	
2-3	meget	megen	AC:siu§:--:p---	O	
2-4	perifær	perifær	NC:siuc:--:----	O	
2-5	,	,	ZD	O	
2-6	en	en	PI:s-uc:--:----	O	
2-7	person	person	NC:siuc:--:----	O	
2-8	,	,	ZD	O	
2-9	jeg	jeg	PP:s-nc:--:-1n-	O	
2-10	få	få	VI:----:-a:----	O	
2-11	gange	gang	NC:piu#:--:----	O	
2-12	har	have	VF:----:sa:----	O	
2-13	mødt	møde	VT:siu#:t-:----	O	
2-14	i	i	T-:----:--:----	O	
2-15	et	en	PI:s-un:--:----	O	
2-16	netværk	netværk	NC:siun:--:----	O	
2-17	af	af	T-:----:--:----	O	
2-18	freelancere	freelancer	NC:piu#:--:----	O	
2-19	og	og	CC:----:--:----	O	
2-20	selvstændige	selvstændig	AC:p#u#:--:p---	O	
2-21	,	,	ZD	O	
2-22	jeg	jeg	NC:siun:--:----	O	
2-23	tidligere	tidlig	AD:----:--:c---	O	
2-24	har	have	VF:----:sa:----	O	
2-25	deltaget	deltage	VT:siu#:t-:----	O	
2-26	i	i	T-:----:--:----	O	
2-27	.	.	ZP	O	

#id=3
#text=Derforvar Kontakts udsendelse på DR1 i går også rigtig vand på min mølle.
3-1	Derfor	derfor	D-:----:--:u---	O	
3-2	var	være	VF:----:ta:----	O	
3-3	Kontakts	kontakt	NW:----:--:----	B-kontakt-andet	
3-4	udsendelse	udsendelse	NC:siuc:--:----	O	
3-5	på	på	T-:----:--:----	O	
3-6	DR1	DR1	NP:siu#:--:----	O	
3-7	i	i	T-:----:--:----	O	
3-8	går	går	NC:§§u§:--:----	O	
3-9	også	også	D-:----:--:u---	O	
3-10	rigtig	rigtig	AC:siuc:--:p---	O	
3-11	vand	vand	NC:siun:--:----	O	
3-12	på	på	T-:----:--:----	O	
3-13	min	min	PO:s--c:--:-1ns	O	
3-14	mølle	mølle	NC:siuc:--:----	O	
3-15	.	.	ZP	O	

#id=4
#text=Foret stykke tid siden fik jeg en invitation fra en eks-nabo, som jeg ingen kontakt har med (ej heller noget tilfælles).
4-1	For	for	T-:----:--:----	O	
4-2	et	en	PI:s-un:--:----	O	
4-3	stykke	stykke	NC:siun:--:----	O	
4-4	tid	tid	NC:siuc:--:----	O	
4-5	siden	siden	D-:----:--:u---	O	
4-6	fik	få	VF:----:ta:----	O	
4-7	jeg	jeg	PP:s-nc:--:-1n-	O	
4-8	en	en	PI:s-uc:--:----	O	
4-9	invitation	invitation	NC:siuc:--:----	O	
4-10	fra	fra	T-:----:--:----	O	
4-11	en	en	PI:s-uc:--:----	O	
4-12	eks	eks	EW:----:--:----	O	
4-13	-	-	ZH	O	
4-14	nabo	nabo	NC:siuc:--:----	O	
4-15	,	,	ZD	O	
4-16	som	som	US:----:--:----	O	
4-17	jeg	jeg	PP:s-nc:--:-1n-	O	
4-18	ingen	ingen	PI:s-uc:--:----	O	
