 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Lad os antage at Sasuke kigger ind i Neji's Byakugan, hvad ser han?!?! han ser Neji's baghoved, Neji har nemlig ikke nogle pupiller Sasuke kan få kontakt med(Hyuuga familien er SÅ SEJ :D)
1-1	Lad	lade	VM:----:--:----	O	
1-2	os	vi	PP:p-uc:--:-1#-	O	
1-3	antage	antage	VI:----:-a:----	O	
1-4	at	at	CS:----:--:----	O	
1-5	Sasuke	Sasuke	NP:siu#:--:----	O	
1-6	kigger	kigge	VF:----:sa:----	O	
1-7	ind	ind	D-:----:--:u---	O	
1-8	i	i	T-:----:--:----	O	
1-9	Neji	Neji	NP:siu#:--:----	O	
1-10	'	'	ZA	O	
1-11	s	@s	MN:sig#:--:----	O	
1-12	Byakugan	Byakugan	NP:siu#:--:----	O	
1-13	,	,	ZD	O	
1-14	hvad	hvad	PR:s-u#:--:----	O	
1-15	ser	se	VF:----:sa:----	O	
1-16	han	han	XY:----:--:----	O	
1-17	?	?	ZQ	O	
1-18	!	!	ZP	O	
1-19	?	?	ZQ	O	
1-20	!	!	ZP	O	
1-21	han	han	PP:s-nc:--:-3n-	O	
1-22	ser	se	VF:----:sa:----	O	
1-23	Neji	Neji	NP:siu#:--:----	O	
1-24	'	'	ZA	O	
1-25	s	@s	MN:sig#:--:----	O	
1-26	baghoved	baghoved	NC:siun:--:----	O	
1-27	,	,	ZD	O	
1-28	Neji	Neji	NP:siu#:--:----	O	
1-29	har	have	VF:----:sa:----	O	
1-30	nemlig	nemlig	D-:----:--:u---	O	
1-31	ikke	ikke	D-:----:--:u---	O	
1-32	nogle	nogen	PI:p-u#:--:----	O	
1-33	pupiller	pupil	NC:piu#:--:----	O	
1-34	Sasuke	Sasuke	NP:siu#:--:----	O	
1-35	kan	kunne	VF:----:sa:----	O	
1-36	få	få	VI:----:-a:----	O	
1-37	kontakt	kontakt	NC:siuc:--:----	B-kontakt-1c-1d	
1-38	med	med	T-:----:--:----	O	
1-39	(	(	ZD	O	
1-40	Hyuuga	Hyuuga	NP:siu#:--:----	O	
1-41	familien	familie	NC:sduc:--:----	O	
1-42	er	være	VF:----:sa:----	O	
1-43	SÅ	så	D-:----:--:u---	O	
1-44	SEJ	sej	AC:siuc:--:p---	O	
1-45	:	:	ZP	O	
1-46	D	d	NP:siu#:--:----	O	
1-47	)	)	ZD	O	

#id=2
#text=Og hvorfor holder Kakashi øjn kontakt med Zabuza HELE tiden, da de mødes første gang?
2-1	Og	og	CC:----:--:----	O	
2-2	hvorfor	hvorfor	D-:----:--:u---	O	
2-3	holder	holde	VF:----:sa:----	O	
2-4	Kakashi	Kakashi	NP:siu#:--:----	O	
2-5	øjn	øjn	XY:----:--:----	O	
2-6	kontakt	kontakt	NC:siuc:--:----	B-kontakt-andet	
2-7	med	med	T-:----:--:----	O	
2-8	Zabuza	Zabuza	NP:siu#:--:----	O	
2-9	HELE	hel	AC:sdu#:--:p---	O	
2-10	tiden	tid	NC:sduc:--:----	O	
2-11	,	,	ZD	O	
2-12	da	da	CS:----:--:----	O	
2-13	de	de	PP:p-n#:--:-3n-	O	
2-14	mødes	møde	VF:----:sp:----	O	
2-15	første	første	AC:§§u§:--:p---	O	
2-16	gang	gang	---	O	
2-17	?	?	ZQ	O	

#id=3
#text=Vi har allerede taget kontakt.
3-1	Vi	vi	PP:p-nc:--:-1n-	O	
3-2	har	have	VF:----:sa:----	O	
3-3	allerede	allerede	D-:----:--:u---	O	
3-4	taget	tage	VT:siu#:t-:----	O	
3-5	kontakt	kontakt	NC:siuc:--:----	B-kontakt-1c-1d	
3-6	.	.	ZP	O	

#id=4
#text=Det lægger ikke op til at andre end Shinji har aktiveret den, men blot at de har kontakt til ham igen.
4-1	Det	det	PP:s-un:--:-3n-	O	
4-2	lægger	lægge	VF:----:sa:----	O	
4-3	ikke	ikke	D-:----:--:u---	O	
4-4	op	op	D-:----:--:u---	O	
4-5	til	til	T-:----:--:----	O	
4-6	at	at	CS:----:--:----	O	
4-7	andre	anden	PI:p-u#:--:----	O	
4-8	end	end	CS:----:--:----	O	
4-9	Shinji	Shinji	NP:siu#:--:----	O	
4-10	har	have	VF:----:sa:----	O	
