 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Hans erfaringer førte også til bestyrelsesposter for verdens længste tunnelprojekt, Alp Transit Gotthard i Schweiz, en plads i Siemens' bestyrelse og kontakt til en lang række andre virksomheder med tilknytning til transportsektoren foruden produktions-og softwarevirksomheder.
1-1	Hans	hans	PO:#--#:--:-3ns	O	
1-2	erfaringer	erfaring	NC:piu#:--:----	O	
1-3	førte	føre	VF:----:ta:----	O	
1-4	også	også	D-:----:--:u---	O	
1-5	til	til	T-:----:--:----	O	
1-6	bestyrelsesposter	bestyrelsespost	NC:piu#:--:----	O	
1-7	for	for	T-:----:--:----	O	
1-8	verdens	verden	NC:sigc:--:----	O	
1-9	længste	lang	AC:§du§:--:s---	O	
1-10	tunnelprojekt	tunnelprojekt	NC:siun:--:----	O	
1-11	,	,	ZD	O	
1-12	Alp	alp	NC:siuc:--:----	O	
1-13	Transit	transit	NC:siuc:--:----	O	
1-14	Gotthard	Gotthard	NP:siu#:--:----	O	
1-15	i	i	T-:----:--:----	O	
1-16	Schweiz	Schweiz	NP:siu#:--:----	O	
1-17	,	,	ZD	O	
1-18	en	en	PI:s-uc:--:----	O	
1-19	plads	plads	NC:siuc:--:----	O	
1-20	i	i	T-:----:--:----	O	
1-21	Siemens	Siemens	NP:sig#:--:----	O	
1-22	'	'	ZA	O	
1-23	bestyrelse	bestyrelse	NC:siuc:--:----	O	
1-24	og	og	CC:----:--:----	O	
1-25	kontakt	kontakt	NC:siuc:--:----	B-kontakt-1-1a	
1-26	til	til	T-:----:--:----	O	
1-27	en	en	PI:s-uc:--:----	O	
1-28	lang	lang	AC:siuc:--:p---	O	
1-29	række	række	NC:siuc:--:----	O	
1-30	andre	anden	PI:p-u#:--:----	O	
1-31	virksomheder	virksomhed	NC:piu#:--:----	O	
1-32	med	med	T-:----:--:----	O	
1-33	tilknytning	tilknytning	NC:siuc:--:----	O	
1-34	til	til	T-:----:--:----	O	
1-35	transportsektoren	transportsektor	NC:sduc:--:----	O	
1-36	foruden	foruden	T-:----:--:----	O	
1-37	produktions	produktion	NW:----:--:----	O	
1-38	-	-	ZH	O	
1-39	og	og	CC:----:--:----	O	
1-40	softwarevirksomheder	softwarevirksomhed	NC:piu#:--:----	O	
1-41	.	.	ZP	O	

#id=2
#text=Jeg brugte det meste af dagen på at være i kontakt med tyskernes pladeselskab, B-Pitch Control, og Jakob fra Kødboderne, fordi vi rent juridisk ikke må filme dem, mens de spiller.
2-1	Jeg	jeg	PP:s-nc:--:-1n-	O	
2-2	brugte	bruge	VF:----:ta:----	O	
2-3	det	den	PM:s-un:--:----	O	
2-4	meste	megen	AC:sdu#:--:s---	O	
2-5	af	af	T-:----:--:----	O	
2-6	dagen	dag	NC:sduc:--:----	O	
2-7	på	på	T-:----:--:----	O	
2-8	at	at	UI:----:--:----	O	
2-9	være	være	VI:----:-a:----	O	
2-10	i	i	T-:----:--:----	O	
2-11	kontakt	kontakt	NC:siuc:--:----	B-kontakt-1c-1d	
2-12	med	med	T-:----:--:----	O	
2-13	tyskernes	tysker	NC:pdg#:--:----	O	
