 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Altså, helt klart, de burde selv opsøge kontakt.
1-1	Altså	altså	D-:----:--:u---	O	
1-2	,	,	ZD	O	
1-3	helt	hel	AD:----:--:p---	O	
1-4	klart	klar	AC:siun:--:p---	O	
1-5	,	,	ZD	O	
1-6	de	de	PP:p-n#:--:-3n-	O	
1-7	burde	burde	VF:----:ta:----	O	
1-8	selv	selv	D-:----:--:u---	O	
1-9	opsøge	opsøge	VI:----:-a:----	O	
1-10	kontakt	kontakt	NC:siuc:--:----	B-kontakt-1-1a	
1-11	.	.	ZP	O	

#id=2
#text=..har bare god kontakt til min feminine side *fnis*
2-1	.	.	LC:--u-:--:----	O	
2-2	.	.	ZP	O	
2-3	har	have	VF:----:sa:----	O	
2-4	bare	bare	D-:----:--:u---	O	
2-5	god	god	AC:siuc:--:p---	O	
2-6	kontakt	kontakt	NC:siuc:--:----	B-kontakt-1c-1d	
2-7	til	til	T-:----:--:----	O	
2-8	min	min	PO:s--c:--:-1ns	O	
2-9	feminine	feminin	AC:sdu#:--:p---	O	
2-10	side	side	NC:siuc:--:----	O	
2-11	*fnis*	*fnis*	NP:siu#:--:----	O	

#id=3
#text=I kan jo stadigvæk godt holde kontakten.
3-1	I	I	NP:siu#:--:----	O	
3-2	kan	kunne	VF:----:sa:----	O	
3-3	jo	jo	D-:----:--:u---	O	
3-4	stadigvæk	stadigvæk	D-:----:--:u---	O	
3-5	godt	god	AD:----:--:p---	O	
3-6	holde	holde	VI:----:-a:----	O	
3-7	kontakten	kontakt	NC:sduc:--:----	B-kontakt-1-1a	
3-8	.	.	ZP	O	

#id=4
#text=Så gik der lidt tid, så fik jeg at vide at Ulrik prøvede at komme i kontakt med mig vedrørende Selvhenter.
4-1	Så	så	D-:----:--:u---	O	
4-2	gik	gå	VF:----:ta:----	O	
4-3	der	der	US:----:--:----	O	
4-4	lidt	lidt	AC:siu§:--:p---	O	
4-5	tid	tid	NC:siuc:--:----	O	
4-6	,	,	ZD	O	
4-7	så	så	D-:----:--:u---	O	
4-8	fik	få	VF:----:ta:----	O	
4-9	jeg	jeg	PP:s-nc:--:-1n-	O	
4-10	at	at	UI:----:--:----	O	
4-11	vide	vide	VI:----:-a:----	O	
4-12	at	at	CS:----:--:----	O	
4-13	Ulrik	Ulrik	NP:siu#:--:----	O	
4-14	prøvede	prøve	VF:----:ta:----	O	
4-15	at	at	UI:----:--:----	O	
4-16	komme	komme	VI:----:-a:----	O	
4-17	i	i	T-:----:--:----	O	
4-18	kontakt	kontakt	NC:siuc:--:----	B-kontakt-1c-1d	
