 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Blir' tit' luftet ud, støvsuger 2 gange om måneden og stiller skam også ting på plads :D Det var bare en overdrivelses-joke (en af dem som ik' er sjove) ;)
1-1	Blir	blive	VF:----:sa:----	O	
1-2	'	'	ZA	O	
1-3	tit	tit	D-:----:--:u---	O	
1-4	'	'	XY:----:--:----	O	
1-5	luftet	lufte	VT:siu#:t-:----	O	
1-6	ud	ud	D-:----:--:u---	O	
1-7	,	,	ZD	O	
1-8	støvsuger	støvsuge	VF:----:sa:----	O	
1-9	2	2	LC:--u-:--:----	O	
1-10	gange	gang	NC:piu#:--:----	O	
1-11	om	om	T-:----:--:----	O	
1-12	måneden	måned	NC:sduc:--:----	O	
1-13	og	og	CC:----:--:----	O	
1-14	stiller	stille	VF:----:sa:----	O	
1-15	skam	skam	D-:----:--:u---	O	
1-16	også	også	D-:----:--:u---	O	
1-17	ting	ting	NC:piu#:--:----	O	
1-18	på	på	T-:----:--:----	O	
1-19	plads	plads|plads-1a|plads-1|plads-3-3a|plads-2b-2c|plads-2-2a|plads-4-4a|plads-F-løbe/rende-af-pladsen|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-tage-plads|plads-F-sætte-tingene-på-plads|plads-F-på-pladserne|plads-F-på-plads|plads-F-(på)-plads|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-en-plads-i-solen|plads-F-brikkerne-falder-på-plads|plads-F-banke/sætte-på-plads|plads-7|plads-6|plads-5	NC:siuc:--:----	B-plads-2-2a	
1-20	:	:	ZP	O	
1-21	D	D	PP:s-un:--:-3n-	O	
1-22	Det	det	PP:s-un:--:-3n-	O	
1-23	var	være	VF:----:ta:----	O	
1-24	bare	bare	D-:----:--:u---	O	
1-25	en	en	PI:s-uc:--:----	O	
1-26	overdrivelses	overdrivelse	NW:----:--:----	O	
1-27	-	-	ZH	O	
1-28	joke	joke	NC:siuc:--:----	O	
1-29	(	(	ZD	O	
1-30	en	en	PI:s-uc:--:----	O	
1-31	af	af	T-:----:--:----	O	
1-32	dem	de	PP:p-u#:--:-3n-	O	
1-33	som	som	US:----:--:----	O	
1-34	ik	ik	XY:----:--:----	O	
1-35	'	'	ZA	O	
1-36	er	være	VF:----:sa:----	O	
1-37	sjove	sjove	VI:----:-a:----	O	
1-38	)	)	ZD	O	
1-39	;	;	ZP	O	
1-40	)	)	ZD	O	

#id=2
#text=Men jeg ville gerne have datalogi... men der var ikke plads i mit skema.
2-1	Men	men	CC:----:--:----	O	
2-2	jeg	jeg	PP:s-nc:--:-1n-	O	
2-3	ville	ville	VF:----:ta:----	O	
2-4	gerne	gerne	D-:----:--:u---	O	
2-5	have	have	VI:----:-a:----	O	
2-6	datalogi	datalogi	NC:siuc:--:----	O	
2-7	.	.	ZP	O	
2-8	.	.	ZP	O	
2-9	.	.	ZP	O	
2-10	men	men	CC:----:--:----	O	
2-11	der	der	US:----:--:----	O	
2-12	var	være	VF:----:ta:----	O	
2-13	ikke	ikke	D-:----:--:u---	O	
2-14	plads	plads|plads-5|plads-6|plads-4-4a|plads-1a|plads-1|plads-3-3a|plads-2b-2c|plads-2-2a|plads-7|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-(på)-plads|plads-F-på-pladserne|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-tage-plads|plads-F-sætte-tingene-på-plads|plads-F-på-plads|plads-F-løbe/rende-af-pladsen|plads-F-en-plads-i-solen|plads-F-brikkerne-falder-på-plads|plads-F-banke/sætte-på-plads	NC:siuc:--:----	B-plads-1a	
2-15	i	i	T-:----:--:----	O	
2-16	mit	min	PO:s--n:--:-1ns	O	
2-17	skema	skema	NC:siun:--:----	O	
2-18	.	.	ZP	O	

#id=3
#text=Virkelig sådan noget med ekstra borde og stole, hvor der nu kunne laves lidt plads, og man skulle gå til bords i den helt rigtige rækkefølge. :)
3-1	Virkelig	virkelig	D-:----:--:u---	O	
3-2	sådan	sådan	D-:----:--:u---	O	
3-3	noget	nogen	PI:s-un:--:----	O	
3-4	med	med	T-:----:--:----	O	
3-5	ekstra	ekstra	AC:§§u§:--:p---	O	
3-6	borde	bord	NC:piu#:--:----	O	
3-7	og	og	CC:----:--:----	O	
3-8	stole	stol	NC:piu#:--:----	O	
3-9	,	,	ZD	O	
3-10	hvor	hvor	D-:----:--:u---	O	
3-11	der	der	US:----:--:----	O	
3-12	nu	nu	D-:----:--:u---	O	
3-13	kunne	kunne	VF:----:ta:----	O	
3-14	laves	lave	VI:----:-p:----	O	
3-15	lidt	lidt	AC:siu§:--:p---	O	
3-16	plads	plads|plads-1a|plads-2-2a|plads-1|plads-2b-2c|plads-4-4a|plads-6|plads-F-banke/sætte-på-plads|plads-F-en-plads-i-solen|plads-F-løbe/rende-af-pladsen|plads-F-på-plads|plads-F-sætte-tingene-på-plads|plads-F-vige-pladsen|plads-F-være-på-sin-plads|plads-F-tage-plads|plads-F-på-pladserne|plads-F-(på)-plads|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-brikkerne-falder-på-plads|plads-7|plads-5|plads-3-3a	NC:siuc:--:----	B-plads-1	
3-17	,	,	ZD	O	
3-18	og	og	CC:----:--:----	O	
3-19	man	man	PI:#-uc:--:----	O	
3-20	skulle	skulle	VF:----:ta:----	O	
3-21	gå	gå	VI:----:-a:----	O	
3-22	til	til	XY:----:--:----	O	
3-23	bords	bord	NC:sign:--:----	O	
3-24	i	I	NC:siun:--:----	O	
3-25	den	den	PM:s-uc:--:----	O	
3-26	helt	hel	AD:----:--:p---	O	
3-27	rigtige	rigtig	AC:sdu#:--:p---	O	
3-28	rækkefølge	rækkefølge	NC:siuc:--:----	O	
3-29	.	.	ZP	O	
3-30	:	:	ZP	O	
3-31	)	)	ZD	O	

#id=4
#text=Haha,hvor stener! :D Har lige fået mig registreret på high-score :shock: lool Stræber efter første pladsen..
4-1	Haha	Haha	NP:siu#:--:----	O	
4-2	,	,	ZD	O	
4-3	hvor	hvor	D-:----:--:u---	O	
4-4	stener	stene	VF:----:sa:----	O	
4-5	!	!	ZP	O	
4-6	:	:	ZP	O	
4-7	D	D	PP:s-un:--:-3n-	O	
4-8	Har	have	VF:----:sa:----	O	
4-9	lige	lige	D-:----:--:u---	O	
4-10	fået	få	VT:siu#:t-:----	O	
4-11	mig	jeg	PP:s-uc:--:-1#-	O	
4-12	registreret	registrere	VT:siu#:t-:----	O	
4-13	på	på	T-:----:--:----	O	
4-14	high	high	NW:----:--:----	O	
4-15	-	-	ZH	O	
4-16	score	score	NC:siuc:--:----	O	
4-17	:	:	ZP	O	
4-18	shock	shock	XS:----:--:----	O	
4-19	:	:	ZP	O	
4-20	lool	lool	NC:siuc:--:----	O	
4-21	Stræber	stræbe	VF:----:sa:----	O	
4-22	efter	efter	T-:----:--:----	O	
4-23	første	første	AC:§§u§:--:p---	O	
4-24	pladsen	plads|plads-1|plads-2-2a|plads-3-3a|plads-4-4a|plads-5|plads-7|plads-F-banke/sætte-på-plads|plads-F-brikkerne-falder-på-plads|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-løbe/rende-af-pladsen|plads-F-(på)-plads|plads-F-på-pladserne|plads-F-tage-plads|plads-F-være-på-sin-plads|plads-F-vige-pladsen|plads-F-sætte-tingene-på-plads|plads-F-på-plads|plads-F-en-plads-i-solen|plads-6|plads-2b-2c|plads-1a	NC:sduc:--:----	B-plads-4-4a	
4-25	.	.	ZP	O	
4-26	.	.	ZP	O	

#id=5
#text=Der var ikke plads til flere til sidst og de sad SÅ tæt :shock:
5-1	Der	der	US:----:--:----	O	
5-2	var	være	VF:----:ta:----	O	
5-3	ikke	ikke	D-:----:--:u---	O	
5-4	plads	plads|plads-F-tage-plads|plads-4-4a|plads-6|plads-7|plads-F-banke/sætte-på-plads|plads-F-en-plads-i-solen|plads-F-løbe/rende-af-pladsen|plads-F-på-plads|plads-F-på-pladserne|plads-F-sætte-tingene-på-plads|plads-F-(på)-plads|ke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-brikkerne-falder-på-plads|plads-5|plads-1|plads-1a|plads-2b-2c|plads-3-3a|plads-2-2a|plads-F-vige-pladsen|plads-F-være-på-sin-plads	NC:siuc:--:----	B-plads-1	
5-5	til	til	T-:----:--:----	O	
5-6	flere	mange	AC:##u#:--:c---	O	
5-7	til	til	T-:----:--:----	O	
5-8	sidst	sidst	D-:----:--:u---	O	
5-9	og	og	CC:----:--:----	O	
5-10	de	de	PP:p-n#:--:-3n-	O	
5-11	sad	sidde	VF:----:ta:----	O	
5-12	SÅ	så	D-:----:--:u---	O	
5-13	tæt	tæt	AD:----:--:p---	O	
5-14	:	:	ZP	O	
5-15	shock	shock	XS:----:--:----	O	
5-16	:	:	ZP	O	

#id=6
#text=Indtil Dicaprio overtog pladsen...
6-1	Indtil	indtil	CS:----:--:----	O	
6-2	Dicaprio	Dicaprio	NP:siu#:--:----	O	
6-3	overtog	overtog	VF:----:ta:----	O	
6-4	pladsen	plads|plads-F-banke/sætte-på-plads|plads-2b-2c|plads-3-3a|plads-5|plads-6|plads-7|plads-4-4a|plads-1a|plads-2-2a|plads-1|plads-F-brikkerne-falder-på-plads|plads-F-en-plads-i-solen|ads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-(på)-plads|plads-F-på-plads|plads-F-på-pladserne|plads-F-sætte-tingene-på-plads|plads-F-tage-plads|plads-F-vige-pladsen|plads-F-være-på-sin-plads|plads-F-løbe/rende-af-pladsen	NC:sduc:--:----	B-plads-4-4a	
6-5	.	.	ZP	O	
6-6	.	.	ZP	O	
6-7	.	.	ZP	O	

#id=7
#text=Som lytter er det vigtigste for mig dog, at der skal være plads til det hele.
7-1	Som	som	US:----:--:----	O	
7-2	lytter	lytte	VF:----:sa:----	O	
7-3	er	være	VF:----:sa:----	O	
7-4	det	den	PM:s-un:--:----	O	
7-5	vigtigste	vigtig	AC:§du§:--:s---	O	
7-6	for	for	T-:----:--:----	O	
7-7	mig	jeg	PP:s-uc:--:-1#-	O	
7-8	dog	dog	D-:----:--:u---	O	
7-9	,	,	ZD	O	
7-10	at	at	CS:----:--:----	O	
7-11	der	der	US:----:--:----	O	
7-12	skal	skulle	VF:----:sa:----	O	
7-13	være	være	VI:----:-a:----	O	
7-14	plads	plads|plads-4-4a|plads-5|plads-6|plads-7|plads-3-3a|plads-2-2a|plads-2b-2c|plads-1a|plads-1|plads-F-banke/sætte-på-plads|plads-F-brikkerne-falder-på-plads|plads-F-en-plads-i-solen|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-løbe/rende-af-pladsen|plads-F-(på)-plads|plads-F-på-plads|plads-F-sætte-tingene-på-plads|plads-F-tage-plads|plads-F-vige-pladsen|plads-F-være-på-sin-plads|plads-F-på-pladserne	NC:siuc:--:----	B-plads-1a	
7-15	til	til	T-:----:--:----	O	
7-16	det	den	PM:s-un:--:----	O	
7-17	hele	hel	AC:sdu#:--:p---	O	
7-18	.	.	ZP	O	

#id=8
#text=Men det, man normalt forstår ved et samfund, er vel noget, hvor der skal være plads til alle - altså sådan rigtigt alle.
8-1	Men	men	CC:----:--:----	O	
8-2	det	det	PP:s-un:--:-3n-	O	
8-3	,	,	ZD	O	
8-4	man	man	PI:#-uc:--:----	O	
8-5	normalt	normal	AD:----:--:p---	O	
8-6	forstår	forstå	VF:----:sa:----	O	
8-7	ved	ved	T-:----:--:----	O	
8-8	et	en	PI:s-un:--:----	O	
8-9	samfund	samfund	NC:siun:--:----	O	
8-10	,	,	ZD	O	
8-11	er	være	VF:----:sa:----	O	
8-12	vel	vel	-:u---	O	
8-13	noget	nogen	PI:s-un:--:----	O	
8-14	,	,	ZD	O	
8-15	hvor	hvor	D-:----:--:u---	O	
8-16	der	der	US:----:--:----	O	
8-17	skal	skulle	VF:----:sa:----	O	
8-18	være	være	VI:----:-a:----	O	
8-19	plads	plads|plads-2b-2c|plads-3-3a|plads-4-4a|plads-5|plads-6|plads-7|plads-F-banke/sætte-på-plads|plads-F-brikkerne-falder-på-plads|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-løbe/rende-af-pladsen|plads-F-(på)-plads|plads-F-på-plads|plads-F-på-pladserne|plads-F-sætte-tingene-på-plads|plads-F-tage-plads|plads-F-vige-pladsen|plads-F-være-på-sin-plads|plads-F-en-plads-i-solen|plads-1a|plads-2-2a|plads-1	NC:siuc:--:----	B-plads-1a	
8-20	til	til	T-:----:--:----	O	
8-21	alle	al	PI:p-u#:--:----	O	
8-22	-	-	NC:piu#:--:----	O	
8-23	altså	altså	D-:----:--:u---	O	
8-24	sådan	sådan	D-:----:--:u---	O	
8-25	rigtigt	rigtig	AD:----:--:p---	O	
8-26	alle	al	PI:p-u#:--:----	O	
8-27	.	.	ZP	O	

#id=9
#text=Men det skal der også være plads til :)
9-1	Men	men	CC:----:--:----	O	
9-2	det	det	PP:s-un:--:-3n-	O	
9-3	skal	skulle	VF:----:sa:----	O	
9-4	der	der	US:----:--:----	O	
9-5	også	også	D-:----:--:u---	O	
9-6	være	være	VI:----:-a:----	O	
9-7	plads	plads|plads-F-være-på-sin-plads|plads-7|plads-F-banke/sætte-på-plads|plads-F-brikkerne-falder-på-plads|plads-F-en-plads-i-solen|plads-F-ikke-meget-(tid/plads/..)-at-give-(væk)-af)|plads-F-løbe/rende-af-pladsen|plads-F-(på)-plads|plads-F-på-plads|plads-F-på-pladserne|plads-F-sætte-tingene-på-plads|plads-F-tage-plads|plads-F-vige-pladsen|plads-2-2a|plads-2b-2c|plads-3-3a|plads-4-4a|plads-5|plads-6|plads-1a|plads-1	NC:siuc:--:----	B-plads-1a	
9-8	til	til	T-:----:--:----	O	
9-9	:	:	ZP	O	
9-10	)	)	ZD	O	

