 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Og det er skræmmende at forestille mig, at både værktøjskassen og mit livs kærlighed faktisk kan lide uoprettelig skade.
1-1	Og	og	CC:----:--:----	O	
1-2	det	det	PP:s-un:--:-3n-	O	
1-3	er	være	VF:----:sa:----	O	
1-4	skræmmende	skræmme	VP:##u#:s-:----	O	
1-5	at	at	UI:----:--:----	O	
1-6	forestille	forestille	VI:----:-a:----	O	
1-7	mig	jeg	PP:s-uc:--:-1#-	O	
1-8	,	,	ZD	O	
1-9	at	at	CS:----:--:----	O	
1-10	både	både	D-:----:--:u---	O	
1-11	værktøjskassen	værktøjskasse	NC:sduc:--:----	O	
1-12	og	og	CC:----:--:----	O	
1-13	mit	mit	XF:----:--:----	O	
1-14	livs	liv	NW:----:--:----	O	
1-15	kærlighed	kærlighed	NC:siuc:--:----	O	
1-16	faktisk	faktisk	AD:----:--:p---	O	
1-17	kan	kunne	VF:----:sa:----	O	
1-18	lide	lide	VI:----:-a:----	O	
1-19	uoprettelig	uoprettelig	AC:siuc:--:p---	O	
1-20	skade	skade	NC:siuc:--:----	B-skade-F-tage/lide-skade	
1-21	.	.	ZP	O	

#id=2
#text=I seks dage har den stakkels udekat været spærret inde, efter at hans bagben kom til skade.
2-1	I	i	T-:----:--:----	O	
2-2	seks	seks	LC:--u-:--:----	O	
2-3	dage	dag	NC:piu#:--:----	O	
2-4	har	have	VF:----:sa:----	O	
2-5	den	den	PM:s-uc:--:----	O	
2-6	stakkels	stakkels	AC:§§u§:--:p---	O	
2-7	udekat	udekat	NC:siuc:--:----	O	
2-8	været	være	VT:siu#:t-:----	O	
2-9	spærret	spærre	VT:siu#:t-:----	O	
2-10	inde	inde	D-:----:--:u---	O	
2-11	,	,	ZD	O	
2-12	efter	efter	CS:----:--:----	O	
2-13	at	at	CS:----:--:----	O	
2-14	hans	hans	PO:#--#:--:-3ns	O	
2-15	bagben	bagben	NC:siun:--:----	O	
2-16	kom	komme	VF:----:ta:----	O	
2-17	til	til	T-:----:--:----	O	
2-18	skade	skade	NC:siuc:--:----	B-skade-F-komme-til-skade	
2-19	.	.	ZP	O	

#id=3
#text=Vel vidende at han kunne komme til at gøre skade på såret, som ellers heler pænt.
3-1	Vel	vel	D-:----:--:u---	O	
3-2	vidende	vidende	NC:siun:--:----	O	
3-3	at	at	CS:----:--:----	O	
3-4	han	han	PP:s-nc:--:-3n-	O	
3-5	kunne	kunne	VF:----:ta:----	O	
3-6	komme	komme	VI:----:-a:----	O	
3-7	til	til	T-:----:--:----	O	
3-8	at	at	UI:----:--:----	O	
3-9	gøre	gøre	VI:----:-a:----	O	
3-10	skade	skade	NC:siuc:--:----	B-skade1-1	
3-11	på	på	T-:----:--:----	O	
3-12	såret	sår	NC:sdun:--:----	O	
3-13	,	,	ZD	O	
3-14	som	som	US:----:--:----	O	
3-15	ellers	ellers	D-:----:--:u---	O	
3-16	heler	hele	VF:----:sa:----	O	
3-17	pænt	pæn	AD:----:--:p---	O	
3-18	.	.	ZP	O	

#id=4
#text=Og jeg overlevede endda ikke at være sammen med mit lille barn juleaften (og teenageren har vist heller ikke taget skade , sådan lyder det i hvert fald på smserne fra hendes kærestely) men det var første gang nogensinde, vi  prøvede det.
4-1	Og	og	CC:----:--:----	O	
4-2	jeg	jeg	PP:s-nc:--:-1n-	O	
4-3	overlevede	overleve	VF:----:ta:----	O	
4-4	endda	endda	D-:----:--:u---	O	
4-5	ikke	ikke	D-:----:--:u---	O	
4-6	at	at	UI:----:--:----	O	
4-7	være	være	VI:----:-a:----	O	
4-8	sammen	sammen	D-:----:--:u---	O	
4-9	med	med	---:--:----	O	
4-10	mit	min	PO:s--n:--:-1ns	O	
4-11	lille	lille	AC:s§u§:--:p---	O	
4-12	barn	barn	NC:siun:--:----	O	
4-13	juleaften	juleaften	NC:siuc:--:----	O	
4-14	(	(	ZD	O	
4-15	og	og	CC:----:--:----	O	
4-16	teenageren	teenager	NC:sduc:--:----	O	
4-17	har	have	VF:----:sa:----	O	
4-18	vist	vise	VT:siu#:t-:----	O	
4-19	heller	heller	D-:----:--:u---	O	
4-20	ikke	ikke	D-:----:--:u---	O	
4-21	taget	tage	VT:siu#:t-:----	O	
4-22	skade	skade	NC:siuc:--:----	B-skade-F-tage/lide-skade	
4-23	,	,	ZD	O	
4-24	sådan	sådan	D-:----:--:u---	O	
4-25	lyder	lyde	VF:----:sa:----	O	
4-26	det	det	PP:s-un:--:-3n-	O	
4-27	i	i	T-:----:--:----	O	
4-28	hvert	hver	PI:s-un:--:----	O	
4-29	fald	fald	NC:siun:--:----	O	
4-30	på	på	T-:----:--:----	O	
4-31	smserne	smserne	XY:----:--:----	O	
4-32	fra	fra	-:--:----	O	
4-33	hendes	hendes	PO:#--#:--:-3ns	O	
4-34	kærestely	kærestely	NC:siun:--:----	O	
4-35	)	)	ZD	O	
4-36	men	men	CC:----:--:----	O	
4-37	det	det	PP:s-un:--:-3n-	O	
4-38	var	være	VF:----:ta:----	O	
4-39	første	første	AC:§§u§:--:p---	O	
4-40	gang	gang	NC:siuc:--:----	O	
4-41	nogensinde	nogensinde	D-:----:--:u---	O	
4-42	,	,	ZD	O	
4-43	vi	vi	PP:p-nc:--:-1n-	O	
4-44	prøvede	prøve	VF:----:ta:----	O	
4-45	det	det	PP:s-un:--:-3n-	O	
4-46	.	.	ZP	O	

#id=5
#text=Faktisk kom der nok til at dække græsplænen, og jeg har skam også været ude og feje  fortov og indkørsel, så ingen kommer til skade .
5-1	Faktisk	faktisk	AD:----:--:p---	O	
5-2	kom	komme	VF:----:ta:----	O	
5-3	der	der	US:----:--:----	O	
5-4	nok	nok	D-:----:--:u---	O	
5-5	til	til	T-:----:--:----	O	
5-6	at	at	UI:----:--:----	O	
5-7	dække	dække	VI:----:-a:----	O	
5-8	græsplænen	græsplæne	NC:sduc:--:----	O	
5-9	,	,	ZD	O	
5-10	og	og	CC:----:--:----	O	
5-11	jeg	jeg	PP:s-nc:--:-1n-	O	
5-12	har	have	VF:----:sa:----	O	
5-13	skam	skam	D-:----:--:u---	O	
5-14	også	også	D-:----:--:u---	O	
5-15	været	være	VT:siu#:t-:----	O	
5-16	ude	ude	D-:----:--:u---	O	
5-17	og	og	CC:----:--:----	O	
5-18	feje	fej	AC:sdu#:--:p---	O	
5-19	fortov	fortov	NC:siun:--:----	O	
5-20	og	og	CC:----:--:----	O	
5-21	indkørsel	indkørsel	NC:siuc:--:----	O	
5-22	,	,	ZD	O	
5-23	så	så	CS:----:--:----	O	
5-24	ingen	ingen	PI:s-uc:--:----	O	
5-25	kommer	komme	VF:----:sa:----	O	
5-26	til	til	T-:----:--:----	O	
5-27	skade	skade	NC:siuc:--:----	B-skade-F-komme-til-skade	
5-28	.	.	ZP	O	

#id=6
#text=Håber godt nok, at jeg ikke kommer til skade, inden tilvænningen er til ende!
6-1	Håber	håbe	VF:----:sa:----	O	
6-2	godt	god	AD:----:--:p---	O	
6-3	nok	nok	D-:----:--:u---	O	
6-4	,	,	ZD	O	
6-5	at	at	CS:----:--:----	O	
6-6	jeg	jeg	PP:s-nc:--:-1n-	O	
6-7	ikke	ikke	D-:----:--:u---	O	
6-8	kommer	komme	VF:----:sa:----	B-skade-F-komme-til-skade	
6-9	til	til	T-:----:--:----	O	
6-10	skade	skade	NC:siuc:--:----	O	
6-11	,	,	ZD	O	
6-12	inden	inden	CS:----:--:----	O	
6-13	tilvænningen	tilvænning	NC:sduc:--:----	O	
6-14	er	være	VF:----:sa:----	O	
6-15	til	til	T-:----:--:----	O	
6-16	ende	ende	NC:siuc:--:----	O	
6-17	!	!	ZP	O	

#id=7
#text=Ingen kom til skade .
7-1	Ingen	ingen	PI:s-uc:--:----	O	
7-2	kom	komme	VF:----:ta:----	O	
7-3	til	til	T-:----:--:----	O	
7-4	skade	skade	NC:siuc:--:----	B-skade-F-komme-til-skade	
7-5	.	.	ZP	O	

#id=8
#text=Iøvrigt er i dag åbenbart dagen, hvor biler kommer til skade!
8-1	I	i	T-:----:--:----	O	
8-2	øvrigt	øvrig	AD:----:--:p---	O	
8-3	er	være	VF:----:sa:----	O	
8-4	i	i	T-:----:--:----	O	
8-5	dag	dag	NC:siuc:--:----	O	
8-6	åbenbart	åbenbart	D-:----:--:u---	O	
8-7	dagen	dag	NC:sduc:--:----	O	
8-8	,	,	ZD	O	
8-9	hvor	hvor	D-:----:--:u---	O	
8-10	biler	bil	NC:piu#:--:----	O	
8-11	kommer	komme	VF:----:sa:----	O	
8-12	til	til	T-:----:--:----	O	
8-13	skade	skade	NC:siuc:--:----	B-skade-F-komme-til-skade	
8-14	!	!	ZP	O	

