 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Lad mig fremhæve nogle stykker:
1-1	Lad	lade	VM:----:--:----	O	
1-2	mig	jeg	PP:s-uc:--:-1#-	O	
1-3	fremhæve	fremhæve	VI:----:-a:----	O	
1-4	nogle	nogen	PI:p-u#:--:----	O	
1-5	stykker	stykke	NC:piu#:--:----	B-stykke-4a	
1-6	:	:	ZP	O	

#id=2
#text=Venstrehar jo mig bekendt siddet ved regeringsmagten et stykke tid, og antallet af folk, der bliver sat på gaden, er stigende.
2-1	Venstre	venstre	AC:§§u§:--:p---	O	
2-2	har	have	VF:----:sa:----	O	
2-3	jo	jo	----:--:u---	O	
2-4	mig	mig	NC:siun:--:----	O	
2-5	bekendt	bekende	VT:siu#:t-:----	O	
2-6	siddet	sidde	VT:siu#:t-:----	O	
2-7	ved	ved	T-:----:--:----	O	
2-8	regeringsmagten	regeringsmagt	NC:sduc:--:----	O	
2-9	et	en	PI:s-un:--:----	O	
2-10	stykke	stykke	NC:siun:--:----	B-stykke-3a	
2-11	tid	tid	NC:siuc:--:----	O	
2-12	,	,	ZD	O	
2-13	og	og	CC:----:--:----	O	
2-14	antallet	antal	NC:sdun:--:----	O	
2-15	af	af	T-:----:--:----	O	
2-16	folk	folk	NC:piu#:--:----	O	
2-17	,	,	ZD	O	
2-18	der	der	US:----:--:----	O	
2-19	bliver	blive	VF:----:sa:----	O	
2-20	sat	sætte	VT:siu#:t-:----	O	
2-21	på	på	T-:----:--:----	O	
2-22	gaden	gade	NC:sduc:--:----	O	
2-23	,	,	ZD	O	
2-24	er	være	VF:----:sa:----	O	
2-25	stigende	stige	VP:##u#:s-:----	O	
2-26	.	.	ZP	O	

#id=3
#text=Det er måske også det, der er forklaringen på, at Venstre har været nødt til at gå udenbys for at finde en klimaminister, altså fordi den der klimaentusiasme ikke rækker så langt, når det kommer til stykket.
3-1	Det	det	PP:s-un:--:-3n-	O	
