 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=At folk, der har skrevet en bog og modtager royalties, bliver beskattet på samme måde som en folkeskolelærer, der ikke har skrevet en bog, at en fotograf, der har taget et billede, der bliver  genbrugt, bliver beskattet på samme måde som en ingeniør, der laver et stykke arbejde, det mener oppositionen er urimeligt.
1-1	At	at	CS:----:--:----	O	
1-2	folk	folk	NC:piu#:--:----	O	
1-3	,	,	ZD	O	
1-4	der	der	US:----:--:----	O	
1-5	har	have	VF:----:sa:----	O	
1-6	skrevet	skrive	VT:siu#:t-:----	O	
1-7	en	en	PI:s-uc:--:----	O	
1-8	bog	bog	NC:siuc:--:----	O	
1-9	og	og	CC:----:--:----	O	
1-10	modtager	modtage	VF:----:sa:----	O	
1-11	royalties	royalty	NC:piu#:--:----	O	
1-12	,	,	ZD	O	
1-13	bliver	blive	VF:----:sa:----	O	
1-14	beskattet	beskatte	VT:siu#:t-:----	O	
1-15	på	på	T-:----:--:----	O	
1-16	samme	samme	AC:§§u§:--:p---	O	
1-17	måde	måde	NC:siuc:--:----	O	
1-18	som	som	US:----:--:----	O	
1-19	en	en	PI:s-uc:--:----	O	
1-20	folkeskolelærer	folkeskolelærer	NC:siuc:--:----	O	
1-21	,	,	ZD	O	
1-22	der	der	US:----:--:----	O	
1-23	ikke	ikke	D-:----:--:u---	O	
1-24	har	have	VF:----:sa:----	O	
1-25	skrevet	skrive	VT:siu#:t-:----	O	
1-26	en	en	PI:s-uc:--:----	O	
1-27	bog	bog	NC:siuc:--:----	O	
1-28	,	,	ZD	O	
1-29	at	at	CS:----:--:----	O	
1-30	en	en	PI:s-uc:--:----	O	
1-31	fotograf	fotograf	NC:siuc:--:----	O	
1-32	,	,	ZD	O	
1-33	der	der	US:----:--:----	O	
1-34	har	have	VF:----:sa:----	O	
1-35	taget	tage	VT:siu#:t-:----	O	
1-36	et	en	PI:s-un:--:----	O	
1-37	billede	billede	NC:siun:--:----	O	
1-38	,	,	ZD	O	
1-39	der	der	US:----:--:----	O	
1-40	bliver	blive	VF:----:sa:----	O	
1-41	genbrugt	genbruge	VT:siu#:t-:----	O	
1-42	,	,	ZD	O	
1-43	bliver	blive	VF:----:sa:----	O	
1-44	beskattet	beskatte	VT:siu#:t-:----	O	
1-45	på	på	T-:----:--:----	O	
1-46	samme	samme	AC:§§u§:--:p---	O	
1-47	måde	måde	NC:siuc:--:----	O	
1-48	som	som	US:----:--:----	O	
1-49	en	en	PI:s-uc:--:----	O	
1-50	ingeniør	ingeniør	NC:siuc:--:----	O	
1-51	,	,	ZD	O	
1-52	der	der	US:----:--:----	O	
1-53	laver	lave	VF:----:sa:----	O	
1-54	et	en	PI:s-un:--:----	O	
1-55	stykke	stykke	NC:siun:--:----	B-stykke-4b	
1-56	arbejde	arbejde	NC:siun:--:----	O	
1-57	,	,	ZD	O	
1-58	det	det	PP:s-un:--:-3n-	O	
1-59	mener	mene	VF:----:sa:----	O	
