 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Derefter dækkes ansigtet med et vådt stykke stof, og der hældes vand over hovedet.
1-1	Derefter	derefter	D-:----:--:u---	O	
1-2	dækkes	dække	VF:----:sp:----	O	
1-3	ansigtet	ansigt	NC:sdun:--:----	O	
1-4	med	med	T-:----:--:----	O	
1-5	et	en	PI:s-un:--:----	O	
1-6	vådt	våd	AC:siun:--:p---	O	
1-7	stykke	stykke	NC:siun:--:----	B-stykke-1	
1-8	stof	stof	NC:siun:--:----	O	
1-9	,	,	ZD	O	
1-10	og	og	CC:----:--:----	O	
1-11	der	der	US:----:--:----	O	
1-12	hældes	hælde	VF:----:sp:----	O	
1-13	vand	vand	NC:siun:--:----	O	
1-14	over	over	T-:----:--:----	O	
1-15	hovedet	hoved	NC:sdun:--:----	O	
1-16	.	.	ZP	O	

#id=2
#text=forførende små stykker, som ikke nødvendigvis har meget mere med selve filmen at gøre, end at de anslår en tone.
2-1	forførende	forføre	VP:##u#:s-:----	O	
2-2	små	lille	AC:p#u#:--:p---	O	
2-3	stykker	stykke	NC:piu#:--:----	B-stykke-5a-5b	
2-4	,	,	ZD	O	
2-5	som	som	US:----:--:----	O	
2-6	ikke	ikke	D-:----:--:u---	O	
2-7	nødvendigvis	nødvendigvis	D-:----:--:u---	O	
2-8	har	have	VF:----:sa:----	O	
2-9	meget	megen	AD:----:--:p---	O	
2-10	mere	megen	AC:##u#:--:c---	O	
2-11	med	med	T-:----:--:----	O	
2-12	selve	selve	AC:§§u§:--:p---	O	
2-13	filmen	film	NC:sduc:--:----	O	
2-14	at	at	UI:----:--:----	O	
2-15	gøre	gøre	VI:----:-a:----	O	
2-16	,	,	ZD	O	
2-17	end	end	CS:----:--:----	O	
2-18	at	at	CS:----:--:----	O	
2-19	de	de	PP:p-n#:--:-3n-	O	
2-20	anslår	anslå	VF:----:sa:----	O	
2-21	en	en	PI:s-uc:--:----	O	
2-22	tone	tone	NC:siuc:--:----	O	
2-23	.	.	ZP	O	

#id=3
