 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity | value
#id=1
#text=Defleste uafhængige økonomer og de økonomiske vismænd, har påpeget, at en af de måder, som vil være ansvarlig en tid, hvor ledigheden stiger så meget, vil være at komme med en indsats, som tager toppen af ledigheden.
1-1	De	den	PM:p-u#:--:----	O	
1-2	fleste	mange	AC:p#u#:--:s---	O	
1-3	uafhængige	uafhængig	p---	O	
1-4	økonomer	økonom	NC:piu#:--:----	O	
1-5	og	og	CC:----:--:----	O	
1-6	de	den	PM:p-u#:--:----	O	
1-7	økonomiske	økonomisk	AC:p#u#:--:p---	O	
1-8	vismænd	vismand	NC:piu#:--:----	O	
1-9	,	,	ZD	O	
1-10	har	have	VF:----:sa:----	O	
1-11	påpeget	påpege	VT:siu#:t-:----	O	
1-12	,	,	ZD	O	
1-13	at	at	CS:----:--:----	O	
1-14	en	en	PI:s-uc:--:----	O	
1-15	af	af	T-:----:--:----	O	
1-16	de	den	PM:p-u#:--:----	O	
1-17	måder	måde	NC:piu#:--:----	O	
1-18	,	,	ZD	O	
1-19	som	som	US:----:--:----	O	
1-20	vil	ville	VF:----:sa:----	O	
1-21	være	være	VI:----:-a:----	O	
1-22	ansvarlig	ansvarlig	AC:siuc:--:p---	O	
1-23	en	en	PI:s-uc:--:----	O	
1-24	tid	tid	NC:siuc:--:----	O	
1-25	,	,	ZD	O	
1-26	hvor	hvor	D-:----:--:u---	O	
1-27	ledigheden	ledighed	sduc:--:----	O	
1-28	stiger	stige	VF:----:sa:----	O	
1-29	så	så	D-:----:--:u---	O	
1-30	meget	megen	AD:----:--:p---	O	
1-31	,	,	ZD	O	
1-32	vil	ville	VF:----:sa:----	O	
1-33	være	være	VI:----:-a:----	O	
1-34	at	at	UI:----:--:----	O	
1-35	komme	komme	VI:----:-a:----	O	
1-36	med	med	T-:----:--:----	O	
1-37	en	en	PI:s-uc:--:----	O	
1-38	indsats	indsats	NC:siuc:--:----	O	
1-39	,	,	ZD	O	
1-40	som	som	US:----:--:----	O	
1-41	tager	tage	VF:----:sa:----	O	
1-42	toppen	top|top-2a-2b|top-2|top-1a-1b|top-1|top-F-toppen-af-isbjerget|top-F-til-tops|top-F-på-toppen-af|top-F-fra-top-til-tå|top-F-der-er-koldt-på-toppen|top-4|top-3|top-F-tånd/grå-i-toppen|top-F-toppen-af/på-kransekagen	NC:sduc:--:----	B-top-1	
1-43	af	af	T-:----:--:----	O	
1-44	ledigheden	ledighed	NC:sduc:--:----	O	
1-45	.	.	ZP	O	

#id=2
#text=Det giver beskæftigelse, det tager toppen af ledigheden, og investeringerne medfører også, at vi kan få foretaget de nødvendige renoveringer, ikke mindst energirenoveringer, rundtomkring i den offentlige bygningsmasse og i de private boliger, og desuden har energirenoveringer en særdeles positiv effekt på klimaet.
2-1	Det	det	PP:s-un:--:-3n-	O	
2-2	giver	give	VF:----:sa:----	O	
2-3	beskæftigelse	beskæftigelse	NC:siuc:--:----	O	
2-4	,	,	ZD	O	
2-5	det	det	PP:s-un:--:-3n-	O	
2-6	tager	tage	VF:----:sa:----	O	
2-7	toppen	top|top-1|top-F-tånd/grå-i-toppen|top-F-toppen-af/på-kransekagen|top-F-toppen-af-isbjerget|top-F-til-tops|på-toppen-af|top-F-fra-top-til-tå|top-F-der-er-koldt-på-toppen|top-4|top-3|top-2a-2b|top-2|top-1a-1b	NC:sduc:--:----	B-top-1	
2-8	af	af	T-:----:--:----	O	
2-9	ledigheden	ledighed	NC:sduc:--:----	O	
2-10	,	,	ZD	O	
2-11	og	og	CC:----:--:----	O	
2-12	investeringerne	investering	NC:pdu#:--:----	O	
2-13	medfører	medføre	VF:----:sa:----	O	
2-14	også	også	D-:----:--:u---	O	
2-15	,	,	ZD	O	
2-16	at	at	CS:----:--:----	O	
2-17	vi	vi	PP:p-nc:--:-1n-	O	
2-18	kan	kunne	VF:----:sa:----	O	
2-19	få	få	VI:----:-a:----	O	
2-20	foretaget	foretage	VT:siu#:t-:----	O	
2-21	de	den	PM:p-u#:--:----	O	
2-22	nødvendige	nødvendig	AC:p#u#:--:p---	O	
2-23	renoveringer	renovering	NC:piu#:--:----	O	
2-24	,	,	ZD	O	
2-25	ikke	ikke	D-:----:--:u---	O	
2-26	mindst	liden	AD:----:--:s---	O	
2-27	energirenoveringer	energirenovering	NC:piu#:--:----	O	
2-28	,	,	ZD	O	
2-29	rundtomkring	rundtomkring	-:u---	O	
2-30	i	i	T-:----:--:----	O	
2-31	den	den	PM:s-uc:--:----	O	
2-32	offentlige	offentlig	AC:sdu#:--:p---	O	
2-33	bygningsmasse	bygningsmasse	NC:siuc:--:----	O	
2-34	og	og	CC:----:--:----	O	
2-35	i	i	T-:----:--:----	O	
2-36	de	den	PM:p-u#:--:----	O	
2-37	private	privat	AC:p#u#:--:p---	O	
2-38	boliger	bolig	NC:piu#:--:----	O	
2-39	,	,	ZD	O	
2-40	og	og	CC:----:--:----	O	
2-41	desuden	desuden	D-:----:--:u---	O	
2-42	har	have	VF:----:sa:----	O	
2-43	energirenoveringer	energirenovering	NC:piu#:--:----	O	
2-44	en	en	PI:s-uc:--:----	O	
2-45	særdeles	særdeles	D-:----:--:u---	O	
2-46	positiv	positiv	AC:siuc:--:p---	O	
2-47	effekt	effekt	NC:siuc:--:----	O	
2-48	på	på	T-:----:--:----	O	
2-49	klimaet	klima	NC:sdun:--:----	O	
2-50	.	.	ZP	O	

#id=3
#text=Menud over de investeringer, vi kan foretage her og nu for at tage toppen af ledigheden og udvise ansvarlig krisestyring, er det også vigtigt, at vi investerer i fremtiden.
3-1	Men	men	CC:----:--:----	O	
3-2	ud	ud	D-:----:--:u---	O	
3-3	over	over	T-:----:--:----	O	
3-4	de	den	PM:p-u#:--:----	O	
3-5	investeringer	investering	NC:piu#:--:----	O	
3-6	,	,	ZD	O	
3-7	vi	vi	PP:p-nc:--:-1n-	O	
3-8	kan	kunne	VF:----:sa:----	O	
3-9	foretage	foretage	VI:----:-a:----	O	
3-10	her	her	D-:----:--:u---	O	
3-11	og	og	CC:----:--:----	O	
3-12	nu	nu	D-:----:--:u---	O	
3-13	for	for	T-:----:--:----	O	
3-14	at	at	UI:----:--:----	O	
3-15	tage	tage	VI:----:-a:----	O	
3-16	toppen	top|top-1a-1b|top-1|top-F-på-toppen-af|top-F-fra-top-til-tå|top-F-der-er-koldt-på-toppen|top-4|top-3|top-2a-2b|top-2|top-F-tånd/grå-i-toppen|top-F-toppen-af/på-kransekagen|top-F-toppen-af-isbjerget|top-F-til-tops	NC:sduc:--:----	B-top-1	
3-17	af	af	T-:----:--:----	O	
3-18	ledigheden	ledighed	NC:sduc:--:----	O	
3-19	og	og	CC:----:--:----	O	
3-20	udvise	udvise	VI:----:-a:----	O	
3-21	ansvarlig	ansvarlig	AC:siuc:--:p---	O	
3-22	krisestyring	krisestyring	NC:siuc:--:----	O	
3-23	,	,	ZD	O	
3-24	er	være	VF:----:sa:----	O	
3-25	det	det	PP:s-un:--:-3n-	O	
3-26	også	også	D-:----:--:u---	O	
