 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=De fleste uafhængige økonomer og de økonomiske vismænd, har påpeget, at en af de måder, som vil være ansvarlig en tid, hvor ledigheden stiger så meget, vil være at komme med en indsats, som tager toppen af ledigheden.
1-1	De	den	PM:p-u#:--:----	
1-2	fleste	mange	AC:p#u#:--:s---	
1-3	uafhængige	uafhængig	p---	
1-4	økonomer	økonom	NC:piu#:--:----	
1-5	og	og	CC:----:--:----	
1-6	de	den	PM:p-u#:--:----	
1-7	økonomiske	økonomisk	AC:p#u#:--:p---	
1-8	vismænd	vismand	NC:piu#:--:----	
1-9	,	,	ZD	
1-10	har	have	VF:----:sa:----	
1-11	påpeget	påpege	VT:siu#:t-:----	
1-12	,	,	ZD	
1-13	at	at	CS:----:--:----	
1-14	en	en	PI:s-uc:--:----	
1-15	af	af	T-:----:--:----	
1-16	de	den	PM:p-u#:--:----	
1-17	måder	måde	NC:piu#:--:----	
1-18	,	,	ZD	
1-19	som	som	US:----:--:----	
1-20	vil	ville	VF:----:sa:----	
1-21	være	være	VI:----:-a:----	
1-22	ansvarlig	ansvarlig	AC:siuc:--:p---	
1-23	en	en	PI:s-uc:--:----	
1-24	tid	tid	NC:siuc:--:----	
1-25	,	,	ZD	
1-26	hvor	hvor	D-:----:--:u---	
1-27	ledigheden	ledighed	sduc:--:----	
1-28	stiger	stige	VF:----:sa:----	
1-29	så	så	D-:----:--:u---	
1-30	meget	megen	AD:----:--:p---	
1-31	,	,	ZD	
1-32	vil	ville	VF:----:sa:----	
1-33	være	være	VI:----:-a:----	
1-34	at	at	UI:----:--:----	
1-35	komme	komme	VI:----:-a:----	
1-36	med	med	T-:----:--:----	
1-37	en	en	PI:s-uc:--:----	
1-38	indsats	indsats	NC:siuc:--:----	
1-39	,	,	ZD	
1-40	som	som	US:----:--:----	
1-41	tager	tage	VF:----:sa:----	
1-42	toppen	top|top-2a-2b|top-2|top-1a-1b|top-1|top-F-toppen-af-isbjerget|top-F-til-tops|top-F-på-toppen-af|top-F-fra-top-til-tå|top-F-der-er-koldt-på-toppen|top-4|top-3|top-F-tånd/grå-i-toppen|top-F-toppen-af/på-kransekagen	NC:sduc:--:----	
1-43	af	af	T-:----:--:----	
1-44	ledigheden	ledighed	NC:sduc:--:----	
1-45	.	.	ZP	

#id=2
#text= Det giver beskæftigelse, det tager toppen af ledigheden, og investeringerne medfører også, at vi kan få foretaget de nødvendige renoveringer, ikke mindst energirenoveringer, rundtomkring i den offentlige bygningsmasse og i de private boliger, og desuden har energirenoveringer en særdeles positiv effekt på klimaet.
2-1	Det	det	PP:s-un:--:-3n-	
2-2	giver	give	VF:----:sa:----	
2-3	beskæftigelse	beskæftigelse	NC:siuc:--:----	
2-4	,	,	ZD	
2-5	det	det	PP:s-un:--:-3n-	
2-6	tager	tage	VF:----:sa:----	
2-7	toppen	top|top-1|top-F-tånd/grå-i-toppen|top-F-toppen-af/på-kransekagen|top-F-toppen-af-isbjerget|top-F-til-tops|på-toppen-af|top-F-fra-top-til-tå|top-F-der-er-koldt-på-toppen|top-4|top-3|top-2a-2b|top-2|top-1a-1b	NC:sduc:--:----	
2-8	af	af	T-:----:--:----	
2-9	ledigheden	ledighed	NC:sduc:--:----	
2-10	,	,	ZD	
2-11	og	og	CC:----:--:----	
2-12	investeringerne	investering	NC:pdu#:--:----	
2-13	medfører	medføre	VF:----:sa:----	
2-14	også	også	D-:----:--:u---	
2-15	,	,	ZD	
2-16	at	at	CS:----:--:----	
2-17	vi	vi	PP:p-nc:--:-1n-	
2-18	kan	kunne	VF:----:sa:----	
2-19	få	få	VI:----:-a:----	
2-20	foretaget	foretage	VT:siu#:t-:----	
2-21	de	den	PM:p-u#:--:----	
2-22	nødvendige	nødvendig	AC:p#u#:--:p---	
2-23	renoveringer	renovering	NC:piu#:--:----	
2-24	,	,	ZD	
2-25	ikke	ikke	D-:----:--:u---	
2-26	mindst	liden	AD:----:--:s---	
2-27	energirenoveringer	energirenovering	NC:piu#:--:----	
2-28	,	,	ZD	
2-29	rundtomkring	rundtomkring	-:u---	
2-30	i	i	T-:----:--:----	
2-31	den	den	PM:s-uc:--:----	
2-32	offentlige	offentlig	AC:sdu#:--:p---	
2-33	bygningsmasse	bygningsmasse	NC:siuc:--:----	
2-34	og	og	CC:----:--:----	
2-35	i	i	T-:----:--:----	
2-36	de	den	PM:p-u#:--:----	
2-37	private	privat	AC:p#u#:--:p---	
2-38	boliger	bolig	NC:piu#:--:----	
2-39	,	,	ZD	
2-40	og	og	CC:----:--:----	
2-41	desuden	desuden	D-:----:--:u---	
2-42	har	have	VF:----:sa:----	
2-43	energirenoveringer	energirenovering	NC:piu#:--:----	
2-44	en	en	PI:s-uc:--:----	
2-45	særdeles	særdeles	D-:----:--:u---	
2-46	positiv	positiv	AC:siuc:--:p---	
2-47	effekt	effekt	NC:siuc:--:----	
2-48	på	på	T-:----:--:----	
2-49	klimaet	klima	NC:sdun:--:----	
2-50	.	.	ZP	

#id=3
#text=Men ud over de investeringer, vi kan foretage her og nu for at tage toppen af ledigheden og udvise ansvarlig krisestyring, er det også vigtigt, at vi investerer i fremtiden.
3-1	Men	men	CC:----:--:----	
3-2	ud	ud	D-:----:--:u---	
3-3	over	over	T-:----:--:----	
3-4	de	den	PM:p-u#:--:----	
3-5	investeringer	investering	NC:piu#:--:----	
3-6	,	,	ZD	
3-7	vi	vi	PP:p-nc:--:-1n-	
3-8	kan	kunne	VF:----:sa:----	
3-9	foretage	foretage	VI:----:-a:----	
3-10	her	her	D-:----:--:u---	
3-11	og	og	CC:----:--:----	
3-12	nu	nu	D-:----:--:u---	
3-13	for	for	T-:----:--:----	
3-14	at	at	UI:----:--:----	
3-15	tage	tage	VI:----:-a:----	
3-16	toppen	top|top-1a-1b|top-1|top-F-på-toppen-af|top-F-fra-top-til-tå|top-F-der-er-koldt-på-toppen|top-4|top-3|top-2a-2b|top-2|top-F-tånd/grå-i-toppen|top-F-toppen-af/på-kransekagen|top-F-toppen-af-isbjerget|top-F-til-tops	NC:sduc:--:----	
3-17	af	af	T-:----:--:----	
3-18	ledigheden	ledighed	NC:sduc:--:----	
3-19	og	og	CC:----:--:----	
3-20	udvise	udvise	VI:----:-a:----	
3-21	ansvarlig	ansvarlig	AC:siuc:--:p---	
3-22	krisestyring	krisestyring	NC:siuc:--:----	
3-23	,	,	ZD	
3-24	er	være	VF:----:sa:----	
3-25	det	det	PP:s-un:--:-3n-	
3-26	også	også	D-:----:--:u---	
3-27	vigtigt	vigtig	AC:siun:--:p---	
3-28	,	,	ZD	
3-29	at	at	CS:----:--:----	
3-30	vi	vi	PP:p-nc:--:-1n-	
3-31	investerer	investere	VF:----:sa:----	
3-32	i	i	T-:----:--:----	
3-33	fremtiden	fremtid	NC:sduc:--:----	
3-34	.	.	ZP	

#id=4
#text= Men det, vi med garanti ved kunne tage toppen af ledigheden og skabe fundamentet for fremtidens arbejdspladser og også for fremtidens eksportmuligheder, nemlig energirigtige investeringer, har regeringen undladt, og det er her, vi kan se forskellen mellem den nuværende regering og Dansk Folkeparti og oppositionen, som netop i dag har fremlagt et fælles udspil om, hvordan vi her og nu kunne sætte gang i 10.000 nye klimaarbejdspladser.
4-1	Men	men	CC:----:--:----	
4-2	det	det	PP:s-un:--:-3n-	
4-3	,	,	ZD	
4-4	vi	vi	PP:p-nc:--:-1n-	
4-5	med	med	T-:----:--:----	
4-6	garanti	garanti	NC:siuc:--:----	
4-7	ved	ved	D-:----:--:u---	
4-8	kunne	kunne	VF:----:ta:----	
4-9	tage	tage	VI:----:-a:----	
4-10	toppen	top|top-1a-1b|top-1|top-2a-2b|top-F-til-tops|top-F-på-toppen-af|top-F-fra-top-til-tå|top-F-der-er-koldt-på-toppen|top-4|top-3|top-2|top-F-tånd/grå-i-toppen|top-F-toppen-af/på-kransekagen|top-F-toppen-af-isbjerget	NC:sduc:--:----	
4-11	af	af	T-:----:--:----	
4-12	ledigheden	ledighed	NC:sduc:--:----	
4-13	og	og	CC:----:--:----	
4-14	skabe	skabe	VI:----:-a:----	
4-15	fundamentet	fundament	NC:sdun:--:----	
4-16	for	for	T-:----:--:----	
4-17	fremtidens	fremtid	NC:sdgc:--:----	
4-18	arbejdspladser	arbejdsplads	NC:piu#:--:----	
4-19	og	og	CC:----:--:----	
4-20	også	også	D-:----:--:u---	
4-21	for	for	T-:----:--:----	
4-22	fremtidens	fremtid	NC:sdgc:--:----	
4-23	eksportmuligheder	eksportmulighed	NC:piu#:--:----	
4-24	,	,	ZD	
4-25	nemlig	nemlig	D-:----:--:u---	
4-26	energirigtige	energirigtig	AC:p#u#:--:p---	
4-27	investeringer	investering	NC:piu#:--:----	
4-28	,	,	ZD	
4-29	har	have	VF:----:sa:----	
4-30	regeringen	regering	NC:sduc:--:----	
4-31	undladt	undlade	VT:siu#:t-:----	
4-32	,	,	ZD	
4-33	og	og	CC:----:--:----	
4-34	det	det	PP:s-un:--:-3n-	
4-35	er	være	VF:----:sa:----	
