 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | tag
#id=1
#text=For at De Konservative ikke skulle tabe ansigt, har man så nedsat et såkaldt burkaudvalg.
1-1	For	for	CC:----:--:----	_	
1-2	at	at	CS:----:--:----	_	
1-3	De	den	PM:p-u#:--:----	_	
1-4	Konservative	konservativ	AC:p#u#:--:p---	_	
1-5	ikke	ikke	D-:----:--:u---	_	
1-6	skulle	skulle	VF:----:ta:----	_	
1-7	tabe	tabe	VI:----:-a:----	_	
1-8	ansigt	ansigt	NC:siun:--:----	ansigt_F_tabe/miste ansigt	
1-9	,	,	ZD	_	
1-10	har	have	VF:----:sa:----	_	
1-11	man	man	PI:#-uc:--:----	_	
1-12	så	så	D-:----:--:u---	_	
1-13	nedsat	nedsætte	VT:siu#:t-:----	_	
1-14	et	en	PI:s-un:--:----	_	
1-15	såkaldt	såkaldt	AC:siu§:--:p---	_	
1-16	burkaudvalg	burkaudvalg	NC:siun:--:----	_	
1-17	.	.	ZP	_	

#id=2
#text= Så det kan have mange forskellige ansigter.
2-1	Så	så	CS:----:--:----	_	
2-2	det	det	PP:s-un:--:-3n-	_	
2-3	kan	kunne	VF:----:sa:----	_	
2-4	have	have	VI:----:-a:----	_	
2-5	mange	mangen	AC:p#u#:--:p---	_	
2-6	forskellige	forskellig	AC:p#u#:--:p---	_	
2-7	ansigter	ansigt	NC:piu#:--:----	ansigt_2	
2-8	.	.	ZP	_	

#id=3
#text= For det her har så mange ansigter, det har så mange facetter, at det er den konkrete situation, der skal afgøre det.
3-1	For	for	CC:----:--:----	_	
3-2	det	det	PP:s-un:--:-3n-	_	
3-3	her	her	D-:----:--:u---	_	
3-4	har	have	VF:----:sa:----	_	
3-5	så	så	D-:----:--:u---	_	
3-6	mange	mangen	AC:p#u#:--:p---	_	
3-7	ansigter	ansigt	NC:piu#:--:----	ansigt_2	
3-8	,	,	ZD	_	
3-9	det	det	PP:s-un:--:-3n-	_	
3-10	har	have	VF:----:sa:----	_	
3-11	så	så	D-:----:--:u---	_	
3-12	mange	mangen	AC:p#u#:--:p---	_	
3-13	facetter	facet	NC:piu#:--:----	_	
3-14	,	,	ZD	_	
3-15	at	at	CS:----:--:----	_	
3-16	det	det	PP:s-un:--:-3n-	_	
3-17	er	være	VF:----:sa:----	_	
3-18	den	den	PM:s-uc:--:----	_	
3-19	konkrete	konkret	AC:sdu#:--:p---	_	
3-20	situation	situation	NC:siuc:--:----	_	
3-21	,	,	ZD	_	
3-22	der	der	US:----:--:----	_	
3-23	skal	skulle	VF:----:sa:----	_	
3-24	afgøre	afgøre	VI:----:-a:----	_	
3-25	det	det	PP:s-un:--:-3n-	_	
3-26	.	.	ZP	_	

#id=4
#text=For ikke så længe siden var der en sag, der handlede om en buschauffør, som sagde til sine passagerer, at man altså skulle vise sit ansigt, hvis man skulle ind i hans bus.
4-1	For	for	CC:----:--:----	_	
4-2	ikke	ikke	D-:----:--:u---	_	
4-3	så	så	D-:----:--:u---	_	
4-4	længe	længe	D-:----:--:u---	_	
4-5	siden	siden	D-:----:--:u---	_	
4-6	var	være	VF:----:ta:----	_	
4-7	der	der	US:----:--:----	_	
4-8	en	en	PI:s-uc:--:----	_	
4-9	sag	sag	NC:siuc:--:----	_	
4-10	,	,	ZD	_	
4-11	der	der	US:----:--:----	_	
4-12	handlede	handle	VF:----:ta:----	_	
4-13	om	om	T-:----:--:----	_	
4-14	en	en	PI:s-uc:--:----	_	
4-15	buschauffør	buschauffør	NC:siuc:--:----	_	
4-16	,	,	ZD	_	
4-17	som	som	US:----:--:----	_	
4-18	sagde	sige	VF:----:ta:----	_	
4-19	til	til	T-:----:--:----	_	
4-20	sine	sin	PO:p--#:--:-3ys	_	
4-21	passagerer	passager	NC:piu#:--:----	_	
4-22	,	,	ZD	_	
4-23	at	at	CS:----:--:----	_	
4-24	man	man	PI:#-uc:--:----	_	
4-25	altså	altså	D-:----:--:u---	_	
4-26	skulle	skulle	VF:----:ta:----	_	
4-27	vise	vise	VI:----:-a:----	_	
4-28	sit	sin	PO:s--n:--:-3ys	_	
4-29	ansigt	ansigt	NC:siun:--:----	ansigt_1	
4-30	,	,	ZD	_	
4-31	hvis	hvis	CS:----:--:----	_	
4-32	man	man	PI:#-uc:--:----	_	
4-33	skulle	skulle	VF:----:ta:----	_	
4-34	ind	ind	D-:----:--:u---	_	
4-35	i	i	T-:----:--:----	_	
4-36	hans	hans	PO:#--#:--:-3ns	_	
4-37	bus	bus	NC:siuc:--:----	_	
4-38	.	.	ZP	_	

#id=5
#text= Der var mange, der var efter den her arme buschauffør, fordi han gerne ville se, hvem der kom ind i hans bus, altså se deres ansigter.
5-1	Der	der	US:----:--:----	_	
5-2	var	være	VF:----:ta:----	_	
5-3	mange	mangen	AC:p#u#:--:p---	_	
5-4	,	,	ZD	_	
5-5	der	der	US:----:--:----	_	
5-6	var	være	VF:----:ta:----	_	
5-7	efter	efter	T-:----:--:----	_	
5-8	den	den	PP:s-uc:--:-3n-	_	
5-9	her	her	D-:----:--:u---	_	
5-10	arme	arm	AC:sdu#:--:p---	_	
5-11	buschauffør	buschauffør	NC:siuc:--:----	_	
5-12	,	,	ZD	_	
5-13	fordi	fordi	CS:----:--:----	_	
5-14	han	han	PP:s-nc:--:-3n-	_	
5-15	gerne	gerne	D-:----:--:u---	_	
5-16	ville	ville	VF:----:ta:----	_	
5-17	se	se	VI:----:-a:----	_	
