 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lex | Tag
#id=1
#text=Jeg synes, det virker, som om Dansk Folkepartis ordfører ikke rigtig bryder sig om den her diskussion om stigende privatisering af sundhedsvæsenet, og det kan jeg sådan set godt forstå, for dem, der bliver ramt af konsekvenserne af et sundhedsvæsen, der deles op i et A- og et B-hold, er jo de dårligst  stillede danskere, og det er pensionister og folk, der står uden sundhedsforsikring, og ofte dermed også folk, der står uden for arbejdsmarkedet.
1-1	Jeg	jeg	PP:s-nc:--:-1n-	_	
1-2	synes	syne	VF:----:sp:----	_	
1-3	,	,	ZD	_	
1-4	det	det	PP:s-un:--:-3n-	_	
1-5	virker	virke	VF:----:sa:----	_	
1-6	,	,	ZD	_	
1-7	som	som	US:----:--:----	_	
1-8	om	om	T-:----:--:----	_	
1-9	Dansk	dansk	AC:siu§:--:p---	_	
1-10	Folkepartis	folkeparti	NC:sign:--:----	_	
1-11	ordfører	ordfører	NC:siuc:--:----	_	
1-12	ikke	ikke	D-:----:--:u---	_	
1-13	rigtig	rigtig	AD:----:--:p---	_	
1-14	bryder	bryde	VF:----:sa:----	_	
1-15	sig	sig	PP:#-u#:--:-3y-	_	
1-16	om	om	T-:----:--:----	_	
1-17	den	den	PP:s-uc:--:-3n-	_	
1-18	her	her	D-:----:--:u---	_	
1-19	diskussion	diskussion	NC:siuc:--:----	_	
1-20	om	om	T-:----:--:----	_	
1-21	stigende	stige	VP:##u#:s-:----	_	
1-22	privatisering	privatisering	NC:siuc:--:----	_	
1-23	af	af	T-:----:--:----	_	
1-24	sundhedsvæsenet	sundhedsvæsen	NC:sdun:--:----	_	
1-25	,	,	ZD	_	
1-26	og	og	CC:----:--:----	_	
1-27	det	det	PP:s-un:--:-3n-	_	
1-28	kan	kunne	VF:----:sa:----	_	
1-29	jeg	jeg	PP:s-nc:--:-1n-	_	
1-30	sådan	sådan	D-:----:--:u---	_	
1-31	set	se	VT:siu#:t-:----	_	
1-32	godt	god	AD:----:--:p---	_	
1-33	forstå	forstå	VI:----:-a:----	_	
1-34	,	,	ZD	_	
1-35	for	for	T-:----:--:----	_	
1-36	dem	de	PP:p-u#:--:-3n-	_	
1-37	,	,	ZD	_	
1-38	der	der	US:----:--:----	_	
1-39	bliver	blive	VF:----:sa:----	_	
1-40	ramt	ramme	VT:siu#:t-:----	_	
1-41	af	af	T-:----:--:----	_	
1-42	konsekvenserne	konsekvens	NC:pdu#:--:----	_	
1-43	af	af	T-:----:--:----	_	
1-44	et	en	PI:s-un:--:----	_	
1-45	sundhedsvæsen	sundhedsvæsen	NC:siun:--:----	_	
1-46	,	,	ZD	_	
1-47	der	der	US:----:--:----	_	
1-48	deles	dele	VF:----:sp:----	_	
1-49	op	op	D-:----:--:u---	_	
1-50	i	i	T-:----:--:----	_	
1-51	et	en	PI:s-un:--:----	_	
1-52	A	A	NW:----:--:----	_	
1-53	-	-	ZH	_	
1-54	og	og	CC:----:--:----	_	
1-55	et	en	PI:s-un:--:----	_	
1-56	B	B	NW:----:--:----	_	
1-57	-	-	ZH	_	
1-58	hold	hold|hold-1-1a-1b|hold-5|hold-4|hold-3|hold-2|hold-F-være/spille-med-på-holdet|hold-F-på-hold|hold-8|hold-7|hold-6a|hold-6	NC:siun:--:----	hold-1	
1-59	,	,	ZD	_	
1-60	er	være	VF:----:sa:----	_	
1-61	jo	jo	D-:----:--:u---	_	
1-62	de	den	PM:p-u#:--:----	_	
1-63	dårligst	dårlig	AD:----:--:s---	_	
1-64	stillede	stille	VP:p#u#:t-:----	_	
1-65	danskere	dansker	NC:piu#:--:----	_	
1-66	,	,	ZD	_	
1-67	og	og	CC:----:--:----	_	
1-68	det	det	PP:s-un:--:-3n-	_	
1-69	er	være	VF:----:sa:----	_	
1-70	pensionister	pensionist	NC:piu#:--:----	_	
1-71	og	og	CC:----:--:----	_	
1-72	folk	folk	NC:piu#:--:----	_	
1-73	,	,	ZD	_	
1-74	der	der	US:----:--:----	_	
1-75	står	stå	VF:----:sa:----	_	
1-76	uden	uden	T-:----:--:----	_	
1-77	sundhedsforsikring	sundhedsforsikring	NC:siuc:--:----	_	
1-78	,	,	ZD	_	
1-79	og	og	CC:----:--:----	_	
1-80	ofte	ofte	D-:----:--:u---	_	
1-81	dermed	dermed	D-:----:--:u---	_	
1-82	også	også	D-:----:--:u---	_	
1-83	folk	folk	NC:piu#:--:----	_	
1-84	,	,	ZD	_	
1-85	der	der	US:----:--:----	_	
1-86	står	stå	VF:----:sa:----	_	
1-87	uden	uden	D-:----:--:u---	_	
1-88	for	for	T-:----:--:----	_	
1-89	arbejdsmarkedet	arbejdsmarked	NC:sdun:--:----	_	
1-90	.	.	ZP	_	

#id=2
#text= Søren Krarup talte om bekymring for, at der kunne blive et A- og et B-hold.
2-1	Søren	Søren	NP:siu#:--:----	_	
2-2	Krarup	Krarup	NP:siu#:--:----	_	
2-3	talte	tale	VF:----:ta:----	_	
2-4	om	om	T-:----:--:----	_	
2-5	bekymring	bekymring	NC:siuc:--:----	_	
2-6	for	for	T-:----:--:----	_	
2-7	,	,	ZD	_	
2-8	at	at	CS:----:--:----	_	
2-9	der	der	US:----:--:----	_	
2-10	kunne	kunne	VF:----:ta:----	_	
2-11	blive	blive	VI:----:-a:----	_	
2-12	et	en	PI:s-un:--:----	_	
2-13	A	A	NW:----:--:----	_	
2-14	-	-	ZH	_	
2-15	og	og	CC:----:--:----	_	
2-16	et	en	PI:s-un:--:----	_	
2-17	B	B	NW:----:--:----	_	
2-18	-	-	ZH	_	
2-19	hold	hold|hold-6a|hold-6|hold-5|hold-4|hold-2|hold-1-1a-1b|hold-3|hold-F-være/spille-med-på-holdet|hold-F-på-hold|hold-8|hold-7	NC:siun:--:----	hold-1	
2-20	.	.	ZP	_	

#id=3
#text= Jamen lad os sige det, som det er, universiteterne er uddannelse af et A-hold.
3-1	Jamen	jamen	CC:----:--:----	_	
3-2	lad	lade	VM:----:--:----	_	
3-3	os	vi	PP:p-uc:--:-1#-	_	
3-4	sige	sige	VI:----:-a:----	_	
3-5	det	det	PP:s-un:--:-3n-	_	
3-6	,	,	ZD	_	
3-7	som	som	US:----:--:----	_	
3-8	det	det	PP:s-un:--:-3n-	_	
3-9	er	være	VF:----:sa:----	_	
3-10	,	,	ZD	_	
3-11	universiteterne	universitet	NC:pdu#:--:----	_	
3-12	er	være	VF:----:sa:----	_	
3-13	uddannelse	uddannelse	NC:siuc:--:----	_	
3-14	af	af	T-:----:--:----	_	
3-15	et	en	PI:s-un:--:----	_	
3-16	A	A	NW:----:--:----	_	
3-17	-	-	ZH	_	
3-18	hold	hold|hold-1-1a-1b|hold-5|hold-4|hold-3|hold-2|hold-F-være/spille-med-på-holdet|hold-F-på-hold|hold-8|hold-7|hold-6a|hold-6	NC:siun:--:----	hold-1	
3-19	.	.	ZP	_	

#id=4
#text= Sådan er det, sådan skal det være, så hold nu op med den der snobben nedad om, at alt,  hvad der sker på universiteter, skal vi alle sammen kunne forstå ved et førstehåndsindtryk.
4-1	Sådan	sådan	D-:----:--:u---	_	
4-2	er	være	VF:----:sa:----	_	
4-3	det	det	PP:s-un:--:-3n-	_	
4-4	,	,	ZD	_	
4-5	sådan	sådan	D-:----:--:u---	_	
4-6	skal	skulle	VF:----:sa:----	_	
4-7	det	det	PP:s-un:--:-3n-	_	
4-8	være	være	VI:----:-a:----	_	
4-9	,	,	ZD	_	
4-10	så	så	CS:----:--:----	_	
4-11	hold	hold|hold-4|hold-3|hold-2|hold-1-1a-1b|hold-F-være/spille-med-på-holdet|hold-F-på-hold|hold-8|hold-7|hold-6a|hold-6|hold-5	NC:piu#:--:----	_	
4-12	nu	nu	D-:----:--:u---	_	
4-13	op	op	D-:----:--:u---	_	
4-14	med	med	T-:----:--:----	_	
4-15	den	den	PP:s-uc:--:-3n-	_	
4-16	der	der	US:----:--:----	_	
4-17	snobben	snob	NC:sduc:--:----	_	
4-18	nedad	nedad	D-:----:--:u---	_	
4-19	om	om	T-:----:--:----	_	
4-20	,	,	ZD	_	
4-21	at	at	CS:----:--:----	_	
4-22	alt	al	PI:s-un:--:----	_	
4-23	,	,	ZD	_	
4-24	hvad	hvad	PR:s-u#:--:----	_	
4-25	der	der	US:----:--:----	_	
4-26	sker	ske	VF:----:sa:----	_	
4-27	på	på	T-:----:--:----	_	
4-28	universiteter	universitet	NC:piu#:--:----	_	
4-29	,	,	ZD	_	
4-30	skal	skulle	VF:----:sa:----	_	
4-31	vi	vi	PP:p-nc:--:-1n-	_	
4-32	alle	al	PI:p-u#:--:----	_	
4-33	sammen	sammen	D-:----:--:u---	_	
4-34	kunne	kunne	VF:----:ta:----	_	
4-35	forstå	forstå	VI:----:-a:----	_	
4-36	ved	ved	T-:----:--:----	_	
4-37	et	en	PI:s-un:--:----	_	
4-38	førstehåndsindtryk	førstehåndsindtryk	NC:siun:--:----	_	
4-39	.	.	ZP	_	

#id=5
#text= På samme måde som lov om hold af svin skal lovforslaget opfattes som et supplement til dyreværnsloven, som altså stadig gælder fuldt ud.
5-1	På	på	T-:----:--:----	_	
5-2	samme	samme	AC:§§u§:--:p---	_	
5-3	måde	måde	NC:siuc:--:----	_	
5-4	som	som	US:----:--:----	_	
5-5	lov	lov	NC:siuc:--:----	_	
5-6	om	om	T-:----:--:----	_	
5-7	hold	hold|hold-2|hold-8|7|hold-6a|hold-6|hold-5|hold-4|hold-3|hold-1-1a-1b|hold-F-være/spille-med-på-holdet|hold-F-på-hold	NC:siun:--:----	hold-8	
5-8	af	af	T-:----:--:----	_	
5-9	svin	svin	NC:siun:--:----	_	
5-10	skal	skulle	VF:----:sa:----	_	
5-11	lovforslaget	lovforslag	NC:sdun:--:----	_	
5-12	opfattes	opfatte	VF:----:sp:----	_	
5-13	som	som	US:----:--:----	_	
5-14	et	en	PI:s-un:--:----	_	
5-15	supplement	supplement	NC:siun:--:----	_	
5-16	til	til	T-:----:--:----	_	
5-17	dyreværnsloven	dyreværnslov	NC:sduc:--:----	_	
5-18	,	,	ZD	_	
5-19	som	som	US:----:--:----	_	
5-20	altså	altså	D-:----:--:u---	_	
5-21	stadig	stadig	D-:----:--:u---	_	
5-22	gælder	gælde	VF:----:sa:----	_	
5-23	fuldt	fuld	AD:----:--:p---	_	
5-24	ud	ud	D-:----:--:u---	_	
5-25	.	.	ZP	_	

#id=6
#text= I februar 2006 anbefalede Det Dyreetiske Råd imidlertid, at man nedsatte en lovforberedende arbejdsgruppe med henblik på at løfte mindstekravet for hold af malkekvæg, og derfor nedsatte Justitsministeriet i januar 2007 denne arbejdsgruppe, som bestod af repræsentanter for et bredt udsnit af interesserede parter.
6-1	I	i	T-:----:--:----	_	
6-2	februar	februar	NC:siuc:--:----	_	
6-3	2006	2006	LC:--u-:--:----	_	
6-4	anbefalede	anbefale	VF:----:ta:----	_	
6-5	Det	den	PM:s-un:--:----	_	
6-6	Dyreetiske	dyreetisk	AC:sdu#:--:p---	_	
6-7	Råd	råd	NC:siun:--:----	_	
6-8	imidlertid	imidlertid	D-:----:--:u---	_	
6-9	,	,	ZD	_	
6-10	at	at	CS:----:--:----	_	
6-11	man	man	PI:#-uc:--:----	_	
6-12	nedsatte	nedsætte	VF:----:ta:----	_	
6-13	en	en	PI:s-uc:--:----	_	
6-14	lovforberedende	lovforberedende	AD:----:--:p---	_	
6-15	arbejdsgruppe	dsgruppe	NC:siuc:--:----	_	
6-16	med	med	T-:----:--:----	_	
6-17	henblik	henblik	NC:siun:--:----	_	
6-18	på	på	T-:----:--:----	_	
6-19	at	at	UI:----:--:----	_	
6-20	løfte	løfte	VI:----:-a:----	_	
6-21	mindstekravet	mindstekrav	NC:sdun:--:----	_	
6-22	for	for	T-:----:--:----	_	
6-23	hold	hold|hold-F-være/spille-med-på-holdet|hold-F-på-hold|hold-8|hold-7|hold-2|hold-1-1a-1b|hold-6|hold-5|hold-4|hold-3|hold-6a	NC:siun:--:----	hold-8	
6-24	af	af	T-:----:--:----	_	
6-25	malkekvæg	malkekvæg	NC:siun:--:----	_	
6-26	,	,	ZD	_	
6-27	og	og	CC:----:--:----	_	
6-28	derfor	derfor	D-:----:--:u---	_	
6-29	nedsatte	nedsætte	VF:----:ta:----	_	
6-30	Justitsministeriet	justitsministerium	NC:sdun:--:----	_	
6-31	i	i	T-:----:--:----	_	
6-32	januar	januar	NC:siuc:--:----	_	
6-33	2007	2007	D-:----:--:u---	_	
6-34	denne	denne	PM:s-uc:--:----	_	
6-35	arbejdsgruppe	arbejdsgruppe	NC:siuc:--:----	_	
6-36	,	,	ZD	_	
6-37	som	som	US:----:--:----	_	
6-38	bestod	bestå	VF:----:ta:----	_	
6-39	af	af	T-:----:--:----	_	
6-40	repræsentanter	repræsentant	NC:piu#:--:----	_	
6-41	for	for	T-:----:--:----	_	
6-42	et	en	PI:s-un:--:----	_	
6-43	bredt	bred	AC:siun:--:p---	_	
6-44	udsnit	udsnit	NC:siun:--:----	_	
6-45	af	af	T-:----:--:----	_	
6-46	interesserede	interesseret	AC:p#u#:--:p---	_	
6-47	parter	part	NC:piu#:--:----	_	
6-48	.	.	ZP	_	

#id=7
#text= En række fagpersoner har i en arbejdsgruppe under Justitsministeriet i en længere periode arbejdet på en rapport, hvori de kommer med en række anbefalinger om hold af malkekvæg.
7-1	En	en	PI:s-uc:--:----	_	
7-2	række	række	NC:siuc:--:----	_	
7-3	fagpersoner	fagperson	NC:piu#:--:----	_	
7-4	har	have	VF:----:sa:----	_	
7-5	i	i	T-:----:--:----	_	
7-6	en	en	PI:s-uc:--:----	_	
7-7	arbejdsgruppe	arbejdsgruppe	NC:siuc:--:----	_	
7-8	under	under	T-:----:--:----	_	
7-9	Justitsministeriet	justitsministerium	NC:sdun:--:----	_	
7-10	i	i	T-:----:--:----	_	
7-11	en	en	PI:s-uc:--:----	_	
7-12	længere	lang	AC:##u#:--:c---	_	
7-13	periode	periode	NC:siuc:--:----	_	
7-14	arbejdet	arbejde	VT:siu#:t-:----	_	
7-15	på	på	T-:----:--:----	_	
7-16	en	en	PI:s-uc:--:----	_	
7-17	rapport	rapport	NC:siuc:--:----	_	
7-18	,	,	ZD	_	
7-19	hvori	hvori	D-:----:--:u---	_	
7-20	de	de	PP:p-n#:--:-3n-	_	
7-21	kommer	komme	VF:----:sa:----	_	
7-22	med	med	T-:----:--:----	_	
7-23	en	en	PI:s-uc:--:----	_	
7-24	række	række	NC:siuc:--:----	_	
7-25	anbefalinger	anbefaling	NC:piu#:--:----	_	
7-26	om	om	T-:----:--:----	_	
7-27	hold	hold|hold-1-1a-1b|hold-4|hold-F-på-hold|hold-8|hold-7|hold-6a|hold-6|hold-5|hold-3|hold-2|hold-F-være/spille-med-på-holdet	NC:siun:--:----	hold-8	
7-28	af	af	T-:----:--:----	_	
7-29	malkekvæg	malkekvæg	NC:siun:--:----	_	
7-30	.	.	ZP	_	

#id=8
#text= Det indeholder en række mindstekrav til hold af malkekvæg og afkom heraf og udgør et supplement til den øvrige dyrevelfærdslovgivning.
8-1	Det	det	PP:s-un:--:-3n-	_	
8-2	indeholder	indeholde	VF:----:sa:----	_	
8-3	en	en	PI:s-uc:--:----	_	
8-4	række	række	NC:siuc:--:----	_	
8-5	mindstekrav	mindstekrav	NC:siun:--:----	_	
8-6	til	til	T-:----:--:----	_	
8-7	hold	hold|hold-4|hold-3|hold-2|hold-1-1a-1b|hold-F-være/spille-med-på-holdet|hold-F-på-hold|hold-8|hold-7|hold-6a|hold-6|hold-5	NC:siun:--:----	hold-8	
8-8	af	af	T-:----:--:----	_	
