 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexicalsample | Tag
#id=1
#text=De pågældende udlændinge har dermed bidraget til i en periode med mangel på arbejdskraft at udfylde huller på arbejdsmarkedet.
1-1	De	den	PM:p-u#:--:----	_	
1-2	pågældende	pågældende	AC:§§u§:--:p---	_	
1-3	udlændinge	udlænding	NC:piu#:--:----	_	
1-4	har	have	VF:----:sa:----	_	
1-5	dermed	dermed	D-:----:--:u---	_	
1-6	bidraget	bidrage	VT:siu#:t-:----	_	
1-7	til	til	T-:----:--:----	_	
1-8	i	i	T-:----:--:----	_	
1-9	en	en	PI:s-uc:--:----	_	
1-10	periode	periode	NC:siuc:--:----	_	
1-11	med	med	T-:----:--:----	_	
1-12	mangel	mangel	NC:siuc:--:----	_	
1-13	på	på	T-:----:--:----	_	
1-14	arbejdskraft	arbejdskraft	NC:siuc:--:----	_	
1-15	at	at	UI:----:--:----	_	
1-16	udfylde	udfylde	VI:----:-a:----	_	
1-17	huller	hul	NC:piu#:--:----	hul_2a	
1-18	på	på	T-:----:--:----	_	
1-19	arbejdsmarkedet	arbejdsmarked	NC:sdun:--:----	_	
1-20	.	.	ZP	_	

#id=2
#text= Forslaget vil ikke komme til anden behandling, men vi har fra Socialdemokraternes side givet en klar tilkendegivelse om, at vi mener, at det ikke kan gå hurtigt nok med at få lukket de huller, der er i rygeloven.
2-1	Forslaget	forslag	NC:sdun:--:----	_	
2-2	vil	ville	VF:----:sa:----	_	
2-3	ikke	ikke	D-:----:--:u---	_	
2-4	komme	komme	VI:----:-a:----	_	
2-5	til	til	T-:----:--:----	_	
2-6	anden	anden	PI:s-uc:--:----	_	
2-7	behandling	behandling	NC:siuc:--:----	_	
2-8	,	,	ZD	_	
2-9	men	men	CC:----:--:----	_	
2-10	vi	vi	PP:p-nc:--:-1n-	_	
2-11	har	have	VF:----:sa:----	_	
2-12	fra	fra	T-:----:--:----	_	
2-13	Socialdemokraternes	socialdemokrat	NC:pdg#:--:----	_	
2-14	side	side	NC:siuc:--:----	_	
2-15	givet	give	VT:siu#:t-:----	_	
2-16	en	en	PI:s-uc:--:----	_	
2-17	klar	klar	AC:siuc:--:p---	_	
2-18	tilkendegivelse	tilkendegivelse	NC:siuc:--:----	_	
2-19	om	om	T-:----:--:----	_	
2-20	,	,	ZD	_	
2-21	at	at	CS:----:--:----	_	
2-22	vi	vi	PP:p-nc:--:-1n-	_	
2-23	mener	mene	VF:----:sa:----	_	
2-24	,	,	ZD	_	
2-25	at	at	CS:----:--:----	_	
