 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexical | Tag
#id=1
#text=Altså...mit deck er et rimelig interessant deck....det beskæftiger sig mest med irritation, og så låser jeg modstanderen fast, når jeg først har gjort hans deck ret ubrugeligt....(Jeg gider ikke til at skrive hvert eneste kort i mit deck...ville tage for lang tid...)
1-1	Altså	altså	D-:----:--:u---	_	
1-2	.	.	ZP	_	
1-3	.	.	ZP	_	
1-4	.	.	ZP	_	
1-5	mit	mit	XF:----:--:----	_	
1-6	deck	deck	NC:siun:--:----	_	
1-7	er	være	VF:----:sa:----	_	
1-8	et	en	PI:s-un:--:----	_	
1-9	rimelig	rimelig	AD:----:--:p---	_	
1-10	interessant	interessant	AC:siu§:--:p---	_	
1-11	deck	deck	NC:siun:--:----	_	
1-12	.	.	ZP	_	
1-13	.	.	ZP	_	
1-14	.	.	ZP	_	
1-15	.	.	ZP	_	
1-16	det	det	PP:s-un:--:-3n-	_	
1-17	beskæftiger	beskæftige	VF:----:sa:----	_	
1-18	sig	sig	XY:----:--:----	_	
1-19	mest	megen	AD:----:--:s---	_	
1-20	med	med	T-:----:--:----	_	
1-21	irritation	irritation	NC:siuc:--:----	_	
1-22	,	,	ZD	_	
1-23	og	og	CC:----:--:----	_	
1-24	så	så	D-:----:--:u---	_	
1-25	låser	låse	VF:----:sa:----	_	
1-26	jeg	jeg	PP:s-nc:--:-1n-	_	
1-27	modstanderen	modstander	NC:sduc:--:----	_	
1-28	fast	fast	AD:----:--:p---	_	
1-29	,	,	ZD	_	
1-30	når	når	CS:----:--:----	_	
1-31	jeg	jeg	PP:s-nc:--:-1n-	_	
1-32	først	først	D-:----:--:u---	_	
1-33	har	have	VF:----:sa:----	_	
1-34	gjort	gøre	VT:siu#:t-:----	_	
1-35	hans	hans	PO:#--#:--:-3ns	_	
1-36	deck	deck	NC:siun:--:----	_	
1-37	ret	ret	D-:----:--:u---	_	
1-38	ubrugeligt	ubrugelig	AC:siun:--:p---	_	
1-39	.	.	ZP	_	
1-40	.	.	ZP	_	
1-41	.	.	ZP	_	
1-42	.	.	ZP	_	
1-43	(	(	ZD	_	
1-44	Jeg	jeg	PP:s-nc:--:-1n-	_	
1-45	gider	gide	VF:----:sa:----	_	
1-46	ikke	ikke	D-:----:--:u---	_	
1-47	til	til	T-:----:--:----	_	
1-48	at	at	UI:----:--:----	_	
1-49	skrive	skrive	VI:----:-a:----	_	
1-50	hvert	hver	PI:s-un:--:----	_	
1-51	eneste	eneste	AC:§§u§:--:p---	_	
1-52	kort	kort	NC:siun:--:----	kort_3	
1-53	i	i	T-:----:--:----	_	
1-54	mit	min	PO:s--n:--:-1ns	_	
1-55	deck	deck	NC:siun:--:----	_	
1-56	.	.	ZP	_	
1-57	.	.	ZP	_	
1-58	.	.	ZP	_	
1-59	ville	ville	VF:----:ta:----	_	
1-60	tage	tage	VI:----:-a:----	_	
1-61	for	for	T-:----:--:----	_	
1-62	lang	lang	AC:siuc:--:p---	_	
1-63	tid	tid	NC:siuc:--:----	_	
1-64	.	.	ZP	_	
1-65	.	.	ZP	_	
1-66	.	.	ZP	_	
1-67	)	)	ZD	_	

#id=2
#text= Det er lyder temmelig forvirrende... måske er det fordi jeg ikke rigtig kender navnene på de forskellige kort...
2-1	Det	det	PP:s-un:--:-3n-	_	
2-2	er	være	VF:----:sa:----	_	
2-3	lyder	lyde	NC:piu#:--:----	_	
2-4	temmelig	temmelig	D-:----:--:u---	_	
2-5	forvirrende	forvirre	VP:##u#:s-:----	_	
2-6	.	.	ZP	_	
2-7	.	.	ZP	_	
2-8	.	.	ZP	_	
2-9	måske	måske	D-:----:--:u---	_	
2-10	er	være	VF:----:sa:----	_	
2-11	det	det	PP:s-un:--:-3n-	_	
2-12	fordi	fordi	CS:----:--:----	_	
2-13	jeg	jeg	PP:s-nc:--:-1n-	_	
2-14	ikke	ikke	D-:----:--:u---	_	
2-15	rigtig	rigtig	AD:----:--:p---	_	
2-16	kender	kende	VF:----:sa:----	_	
2-17	navnene	navn	NC:pdu#:--:----	_	
2-18	på	på	T-:----:--:----	_	
2-19	de	den	PM:p-u#:--:----	_	
2-20	forskellige	forskellig	AC:p#u#:--:p---	_	
2-21	kort	kort	NC:piu#:--:----	kort_1	
2-22	.	.	ZP	_	
2-23	.	.	ZP	_	
2-24	.	.	ZP	_	

#id=3
#text= Den eneste måde jeg kender hvor man ikke skal bruge polymerization kortet er hvis man bruger Cyber-Stein's effect.
3-1	Den	den	PM:s-uc:--:----	_	
