 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexical | Tag
#id=1
#text=Grønkjær er FCK's bedste kort mod Apoel.
1-1	Grønkjær	kjær	NP:siu#:--:----	_	
1-2	er	være	VF:----:sa:----	_	
1-3	FCK	FCK	NW:----:--:----	_	
1-4	'	'	ZA	_	
1-5	s	s	XY:----:--:----	_	
1-6	bedste	god	AC:§du§:--:s---	_	
1-7	kort	kort	NC:siun:--:----	kort_3	
1-8	mod	mod	T-:----:--:----	_	
1-9	Apoel	Apoel	NP:siu#:--:----	_	
1-10	.	.	ZP	_	

#id=2
#text= Så i år har man blandet kortene på en mere traditionel festivalagtig måde.
2-1	Så	så	D-:----:--:u---	_	
2-2	i	i	T-:----:--:----	_	
2-3	år	år	NC:siun:--:----	_	
2-4	har	have	VF:----:sa:----	_	
2-5	man	man	PI:#-uc:--:----	_	
2-6	blandet	blande	VT:siu#:t-:----	_	
2-7	kortene	kort	NC:pdu#:--:----	kort_F_blande kortene	
2-8	på	på	T-:----:--:----	_	
2-9	en	en	PI:s-uc:--:----	_	
2-10	mere	megen	AD:----:--:c---	_	
2-11	traditionel	traditionel	AC:siuc:--:p---	_	
2-12	festivalagtig	festivalagtig	AC:siuc:--:p---	_	
2-13	måde	måde	NC:siuc:--:----	_	
2-14	.	.	ZP	_	

#id=3
#text=På fodboldbanen er Merve 3. klasses stærkeste kort.
3-1	På	på	T-:----:--:----	_	
3-2	fodboldbanen	fodboldbane	NC:sduc:--:----	_	
3-3	er	være	VF:----:sa:----	_	
3-4	Merve	Merve	NP:siu#:--:----	_	
3-5	3	3	LC:--u-:--:----	_	
3-6	.	.	ZP	_	
3-7	klasses	klasse	NC:sigc:--:----	_	
3-8	stærkeste	stærk	AC:§du§:--:s---	_	
3-9	kort	kort	NC:siun:--:----	kort_3	
3-10	.	.	ZP	_	

#id=4
#text= David Beckham blev præsenteret for et direkte rødt kort i LA Galaxys hjemmekamp mod Seattle Sounders.
4-1	David	David	NP:siu#:--:----	_	
4-2	Beckham	Beckham	NP:siu#:--:----	_	
4-3	blev	blive	VF:----:ta:----	_	
4-4	præsenteret	præsentere	VT:siu#:t-:----	_	
4-5	for	for	T-:----:--:----	_	
4-6	et	en	PI:s-un:--:----	_	
4-7	direkte	direkte	AD:----:--:p---	_	
4-8	rødt	rød	AC:siun:--:p---	_	
4-9	kort	kort	NC:siun:--:----	kort_F_røde kort	
4-10	i	i	T-:----:--:----	_	
4-11	LA	La	NP:siu#:--:----	_	
4-12	Galaxys	Galaxys	NP:sig#:--:----	_	
4-13	hjemmekamp	hjemmekamp	NC:siuc:--:----	_	
4-14	mod	mod	T-:----:--:----	_	
4-15	Seattle	Seattle	NP:siu#:--:----	_	
4-16	Sounders	Sounders	NP:siu#:--:----	_	
4-17	.	.	ZP	_	

#id=5
#text=Det røde kort fik han for en glidende tackling med knopperne forrest.
5-1	Det	den	PM:s-un:--:----	_	
5-2	røde	rød	AC:sdu#:--:p---	_	
5-3	kort	kort	NC:siun:--:----	kort_F_røde kort	
5-4	fik	få	VF:----:ta:----	_	
5-5	han	han	PP:s-nc:--:-3n-	_	
5-6	for	for	T-:----:--:----	_	
5-7	en	en	PI:s-uc:--:----	_	
5-8	glidende	glide	VP:##u#:s-:----	_	
5-9	tackling	tackling	NC:siuc:--:----	_	
5-10	med	med	T-:----:--:----	_	
5-11	knopperne	knop	NC:pdu#:--:----	_	
5-12	forrest	forrest	AD:----:--:p---	_	
5-13	.	.	ZP	_	

#id=6
#text=Det var en hård tackling, men den var ikke til rødt kort", sagde en utilfreds Beckham.
6-1	Det	det	PP:s-un:--:-3n-	_	
6-2	var	være	VF:----:ta:----	_	
6-3	en	en	--:----	_	
6-4	hård	hård	AC:siuc:--:p---	_	
6-5	tackling	tackling	NC:siuc:--:----	_	
6-6	,	,	ZD	_	
6-7	men	men	CC:----:--:----	_	
6-8	den	den	PP:s-uc:--:-3n-	_	
6-9	var	være	VF:----:ta:----	_	
6-10	ikke	ikke	D-:----:--:u---	_	
6-11	til	til	T-:----:--:----	_	
6-12	rødt	rød	AC:siun:--:p---	_	
6-13	kort	kort	NC:siun:--:----	kort_F_røde kort	
6-14	"	"	ZI	_	
6-15	,	,	ZD	_	
6-16	sagde	sige	VF:----:ta:----	_	
6-17	en	en	PI:s-uc:--:----	_	
6-18	utilfreds	utilfreds	AC:siuc:--:p---	_	
6-19	Beckham	Beckham	NP:siu#:--:----	_	
6-20	.	.	ZP	_	

#id=7
#text=Det er anden gang i Beckhams tid i USA, at han får et rødt kort.
7-1	Det	det	PP:s-un:--:-3n-	_	
7-2	er	være	VF:----:sa:----	_	
7-3	anden	anden	PI:s-uc:--:----	_	
7-4	gang	gang	NC:siuc:--:----	_	
7-5	i	i	T-:----:--:----	_	
7-6	Beckhams	Beckhams	NP:sig#:--:----	_	
7-7	tid	tid	NC:siuc:--:----	_	
7-8	i	i	T-:----:--:----	_	
7-9	USA	USA	NP:siu#:--:----	_	
7-10	,	,	ZD	_	
7-11	at	at	CS:----:--:----	_	
7-12	han	han	PP:s-nc:--:-3n-	_	
7-13	får	få	VF:----:sa:----	_	
7-14	et	en	PI:s-un:--:----	_	
7-15	rødt	rød	AC:siun:--:p---	_	
7-16	kort	kort	NC:siun:--:----	kort_F_røde kort	
7-17	.	.	ZP	_	

#id=8
#text=Hjemmeholdets Benoit Assou-Ekotto bragte Tottenham på 1-0 kort før pausen.
8-1	Hjemmeholdets	hjemmehold	NC:sdgn:--:----	_	
8-2	Benoit	Benoit	NP:siu#:--:----	_	
8-3	Assou	Assou	NP:siu#:--:----	_	
8-4	-	-	ZH	_	
8-5	Ekotto	Ekotto	NP:siu#:--:----	_	
8-6	bragte	bringe	VF:----:ta:----	_	
8-7	Tottenham	Tottenham	NP:siu#:--:----	_	
8-8	på	på	T-:----:--:----	_	
8-9	1	1	LC:--u-:--:----	_	
8-10	-	-	ZH	_	
8-11	0	0	LC:--u-:--:----	_	
8-12	kort	kort	NC:piu#:--:----	_	
8-13	før	før	T-:----:--:----	_	
8-14	pausen	pause	NC:sduc:--:----	_	
8-15	.	.	ZP	_	

#id=9
#text= DK Se de fem steder på et interaktivt kort.
9-1	DK	dk	XS:----:--:----	_	
9-2	Se	SE	NP:siu#:--:----	_	
9-3	de	de	NP:siu#:--:----	_	
9-4	fem	fem	LC:--u-:--:----	_	
9-5	steder	sted	NC:piu#:--:----	_	
9-6	på	på	T-:----:--:----	_	
9-7	et	en	PI:s-un:--:----	_	
9-8	interaktivt	interaktiv	AC:siun:--:p---	_	
9-9	kort	kort	NC:siun:--:----	kort_2	
9-10	.	.	ZP	_	

#id=10
#text=Der er angivelig trukket meget store beløb på kortet her i landet, så myndighederne går ud fra, at han derfor reelt bor - og er skattepligtig - her i landet.
10-1	Der	der	US:----:--:----	_	
10-2	er	være	VF:----:sa:----	_	
10-3	angivelig	angivelig	AD:----:--:p---	_	
10-4	trukket	trække	VT:siu#:t-:----	_	
10-5	meget	megen	AD:----:--:p---	_	
10-6	store	stor	AC:sdu#:--:p---	_	
10-7	beløb	beløb	NC:siun:--:----	_	
10-8	på	på	T-:----:--:----	_	
10-9	kortet	kort	NC:sdun:--:----	kort_1c	
10-10	her	her	D-:----:--:u---	_	
10-11	i	i	T-:----:--:----	_	
10-12	landet	land	NC:sdun:--:----	_	
10-13	,	,	ZD	_	
10-14	så	så	:----:--:----	_	
10-15	myndighederne	myndighed	NC:pdu#:--:----	_	
10-16	går	gå	VF:----:sa:----	_	
10-17	ud	ud	D-:----:--:u---	_	
10-18	fra	fra	T-:----:--:----	_	
10-19	,	,	ZD	_	
10-20	at	at	CS:----:--:----	_	
10-21	han	han	PP:s-nc:--:-3n-	_	
10-22	derfor	derfor	D-:----:--:u---	_	
10-23	reelt	reel	AC:siun:--:p---	_	
10-24	bor	bor	NC:siun:--:----	_	
10-25	-	-	NC:piu#:--:----	_	
10-26	og	og	CC:----:--:----	_	
10-27	er	være	VF:----:sa:----	_	
10-28	skattepligtig	skattepligtig	AC:siuc:--:p---	_	
10-29	-	-	NC:piu#:--:----	_	
10-30	her	her	D-:----:--:u---	_	
10-31	i	i	T-:----:--:----	_	
10-32	landet	land	NC:sdun:--:----	_	
10-33	.	.	ZP	_	

#id=11
#text= Nogle gange i følge med en af hundene, helst Laika som er yngst og mindst mageligt anlagt, andre gange uden nogen af dem, hvis jeg har mistanke om at min faste elg står der hvor den plejer at stå og tygger og småsover inde i buskadset ved grusvejen gennem Dæsjroa, eller Dalsroen, som det hedder på nogle kort.
11-1	Nogle	nogen	PI:p-u#:--:----	_	
11-2	gange	gang	NC:piu#:--:----	_	
11-3	i	i	T-:----:--:----	_	
11-4	følge	følge	NC:siuc:--:----	_	
11-5	med	med	T-:----:--:----	_	
11-6	en	en	PI:s-uc:--:----	_	
11-7	af	af	T-:----:--:----	_	
11-8	hundene	hund	NC:pdu#:--:----	_	
11-9	,	,	ZD	_	
11-10	helst	helst	D-:----:--:u---	_	
11-11	Laika	Laika	NP:siu#:--:----	_	
11-12	som	som	US:----:--:----	_	
11-13	er	være	VF:----:sa:----	_	
11-14	yngst	ung	AD:----:--:s---	_	
11-15	og	og	CC:----:--:----	_	
11-16	mindst	liden	AD:----:--:s---	_	
11-17	mageligt	magelig	AD:----:--:p---	_	
11-18	anlagt	anlægge	VT:siu#:t-:----	_	
11-19	,	,	ZD	_	
11-20	andre	anden	PI:p-u#:--:----	_	
11-21	gange	gang	NC:piu#:--:----	_	
11-22	uden	uden	T-:----:--:----	_	
11-23	nogen	nogen	PI:s-uc:--:----	_	
11-24	af	af	T-:----:--:----	_	
11-25	dem	de	PP:p-u#:--:-3n-	_	
11-26	,	,	ZD	_	
11-27	hvis	hvis	CS:----:--:----	_	
11-28	jeg	jeg	PP:s-nc:--:-1n-	_	
11-29	har	have	VF:----:sa:----	_	
11-30	mistanke	mistanke	NC:siuc:--:----	_	
11-31	om	om	T-:----:--:----	_	
11-32	at	at	CS:----:--:----	_	
11-33	min	min	PO:s--c:--:-1ns	_	
11-34	faste	fast	AC:sdu#:--:p---	_	
11-35	elg	elg	NC:siuc:--:----	_	
11-36	står	stå	VF:----:sa:----	_	
11-37	der	der	US:----:--:----	_	
11-38	hvor	hvor	D-:----:--:u---	_	
11-39	den	den	PP:s-uc:--:-3n-	_	
11-40	plejer	pleje	VF:----:sa:----	_	
11-41	at	at	UI:----:--:----	_	
11-42	stå	stå	VI:----:-a:----	_	
11-43	og	og	CC:----:--:----	_	
11-44	tygger	tygge	VF:----:sa:----	_	
11-45	og	og	CC:----:--:----	_	
11-46	småsover	småsove	VF:----:sa:----	_	
11-47	inde	inde	D-:----:--:u---	_	
11-48	i	i	T-:----:--:----	_	
11-49	buskadset	buskads	NC:sdun:--:----	_	
11-50	ved	ved	T-:----:--:----	_	
11-51	grusvejen	grusvej	NC:sduc:--:----	_	
11-52	gennem	gennem	T-:----:--:----	_	
11-53	Dæsjroa	Dæsjroa	NP:siu#:--:----	_	
11-54	,	,	ZD	_	
11-55	eller	eller	CC:----:--:----	_	
11-56	Dalsroen	Dalsroen	NP:siu#:--:----	_	
11-57	,	,	ZD	_	
11-58	som	som	US:----:--:----	_	
11-59	det	det	PP:s-un:--:-3n-	_	
11-60	hedder	hedde	VF:----:sa:----	_	
11-61	på	på	T-:----:--:----	_	
11-62	nogle	nogen	PI:p-u#:--:----	_	
11-63	kort	kort	NC:piu#:--:----	kort_2	
11-64	.	.	ZP	_	

#id=12
#text=Sådan kan PET-komitéens vurdering af vores næsten navnebroder PET-kommissionens beretning på 2.600 sider om ni års arbejde til 70 mio. kr. kort beskrives.
12-1	Sådan	sådan	D-:----:--:u---	_	
12-2	kan	kunne	VF:----:sa:----	_	
12-3	PET	PET	NW:----:--:----	_	
12-4	-	-	ZH	_	
12-5	komitéens	komité	NC:sdgc:--:----	_	
12-6	vurdering	vurdering	NC:siuc:--:----	_	
12-7	af	af	T-:----:--:----	_	
12-8	vores	vores	PO:#--#:--:-1np	_	
12-9	næsten	næsten	D-:----:--:u---	_	
12-10	navnebroder	navnebroder	NC:siuc:--:----	_	
12-11	PET	PET	NW:----:--:----	_	
12-12	-	-	ZH	_	
12-13	kommissionens	kommission	NC:sdgc:--:----	_	
12-14	beretning	beretning	NC:siuc:--:----	_	
12-15	på	på	T-:----:--:----	_	
12-16	2	2	LC:--u-:--:----	_	
12-17	.	.	ZP	_	
12-18	600	600	LC:--u-:--:----	_	
12-19	sider	side	NC:piu#:--:----	_	
12-20	om	om	T-:----:--:----	_	
12-21	ni	ni	LC:--u-:--:----	_	
12-22	års	år	NC:pig#:--:----	_	
12-23	arbejde	arbejde	NC:siun:--:----	_	
12-24	til	til	T-:----:--:----	_	
12-25	70	70	LC:--u-:--:----	_	
12-26	mio	mio	XS:----:--:----	_	
12-27	.	.	ZP	_	
12-28	kr	krone	NC:piu#:--:----	_	
12-29	.	.	ZP	_	
12-30	kort	kort	NC:siun:--:----	_	
12-31	beskrives	beskrive	VF:----:sp:----	_	
12-32	.	.	ZP	_	

#id=13
#text= Jeg ved ikke, om den drink kommer  på kortet.
13-1	Jeg	jeg	PP:s-nc:--:-1n-	_	
13-2	ved	vide	VF:----:sa:----	_	
13-3	ikke	ikke	D-:----:--:u---	_	
13-4	,	,	ZD	_	
13-5	om	om	--	_	
13-6	den	den	PM:s-uc:--:----	_	
13-7	drink	drink	NC:siuc:--:----	_	
13-8	kommer	komme	VF:----:sa:----	_	
13-9	på	på	T-:----:--:----	_	
13-10	kortet	kort	NC:sdun:--:----	kort_1	
13-11	.	.	ZP	_	

#id=14
#text= Man sidder i store båse beklædt med rødt læder og passerer den ubestridte hovedrolleindehaver på vej gennem restauranten: kødet i alle kortets udskæringer ligger on display i en dekorativ kølemontre.
14-1	Man	man	PI:#-uc:--:----	_	
14-2	sidder	sidde	VF:----:sa:----	_	
14-3	i	i	T-:----:--:----	_	
14-4	store	stor	AC:p#u#:--:p---	_	
14-5	båse	bås	NC:piu#:--:----	_	
14-6	beklædt	beklæde	VT:siu#:t-:----	_	
14-7	med	med	T-:----:--:----	_	
14-8	rødt	rød	AC:siun:--:p---	_	
14-9	læder	læder	NC:siun:--:----	_	
14-10	og	og	CC:----:--:----	_	
14-11	passerer	passere	VF:----:sa:----	_	
14-12	den	den	PM:s-uc:--:----	_	
14-13	ubestridte	ubestridt	AC:sdu#:--:p---	_	
14-14	hovedrolleindehaver	hovedrolleindehaver	NC:siuc:--:----	_	
14-15	på	på	T-:----:--:----	_	
14-16	vej	vej	NC:siuc:--:----	_	
14-17	gennem	gennem	T-:----:--:----	_	
14-18	restauranten	restaurant	NC:sduc:--:----	_	
14-19	:	:	ZP	_	
14-20	kødet	kød	NC:sdun:--:----	_	
14-21	i	i	T-:----:--:----	_	
14-22	alle	al	PI:p-u#:--:----	_	
14-23	kortets	kort	NC:sdgn:--:----	kort_2a	
14-24	udskæringer	udskæring	NC:piu#:--:----	_	
14-25	ligger	ligger	XY:----:--:----	_	
14-26	on	On	XF:----:--:----	_	
14-27	display	display	NC:siun:--:----	_	
14-28	i	i	T-:----:--:----	_	
14-29	en	en	PI:s-uc:--:----	_	
14-30	dekorativ	dekorativ	AC:siuc:--:p---	_	
14-31	kølemontre	kølemontre	NC:siuc:--:----	_	
14-32	.	.	ZP	_	

#id=15
#text= Det er uden tvivl betjeningen og de livlige omgivelser, der er det stærkeste kort på Good Karma Café.
15-1	Det	det	PP:s-un:--:-3n-	_	
15-2	er	være	VF:----:sa:----	_	
15-3	uden	uden	T-:----:--:----	_	
15-4	tvivl	tvivl	NC:siuc:--:----	_	
15-5	betjeningen	betjening	NC:sduc:--:----	_	
15-6	og	og	CC:----:--:----	_	
