 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue
#id=1
#text=Og så havde vi kursister den luksus også at have fire fantastiske modeller at arbejde med.
1-1	Og	og	CC:----:--:----	
1-2	så	så	D-:----:--:u---	
1-3	havde	have	VF:----:ta:----	
1-4	vi	vi	PP:p-nc:--:-1n-	
1-5	kursister	kursist	NC:piu#:--:----	
1-6	den	den	PM:s-uc:--:----	
1-7	luksus	luksus	NC:siuc:--:----	
1-8	også	også	D-:----:--:u---	
1-9	at	at	UI:----:--:----	
1-10	have	have	VI:----:-a:----	
1-11	fire	fire	LC:--u-:--:----	
1-12	fantastiske	fantastisk	AC:p#u#:--:p---	
1-13	modeller	model|model-3|model-F-stå-model-til|model-6-6a|model-5|model-4|model-2|model-1a|model-1	NC:piu#:--:----	
1-14	at	at	UI:----:--:----	
1-15	arbejde	arbejde	VI:----:-a:----	
1-16	med	med	T-:----:--:----	
1-17	.	.	ZP	

#id=2
#text=Efter at have talt og talt og talt om det i over et år (og lidt til) skiftede jeg nemlig model i dag.
2-1	Efter	efter	T-:----:--:----	
2-2	at	at	UI:----:--:----	
2-3	have	have	VI:----:-a:----	
2-4	talt	tale	VT:siu#:t-:----	
2-5	og	og	CC:----:--:----	
2-6	talt	tale	VT:siu#:t-:----	
2-7	og	og	CC:----:--:----	
2-8	talt	tale	VT:siu#:t-:----	
2-9	om	om	T-:----:--:----	
2-10	det	det	PP:s-un:--:-3n-	
2-11	i	i	T-:----:--:----	
2-12	over	over	T-:----:--:----	
2-13	et	en	PI:s-un:--:----	
2-14	år	år	NC:siun:--:----	
2-15	(	(	ZD	
2-16	og	og	CC:----:--:----	
2-17	lidt	lidt	AD:----:--:p---	
2-18	til	til	T-:----:--:----	
2-19	)	)	ZD	
2-20	skiftede	skifte	VF:----:ta:----	
2-21	jeg	jeg	PP:s-nc:--:-1n-	
2-22	nemlig	nemlig	D-:----:--:u---	
2-23	model	model|model-1|model-3|model-F-stå-model-til|model-6-6a|model-5|model-4|model-2|model-1a	NC:siuc:--:----	
2-24	i	i	T-:----:--:----	
2-25	dag	dag	NC:siuc:--:----	
2-26	.	.	ZP	

#id=3
#text= Jeg skal bare lige vænne mig til, at den nye model har rullebremser og ikke nav- og fodbremse.
3-1	Jeg	jeg	PP:s-nc:--:-1n-	
3-2	skal	skulle	VF:----:sa:----	
3-3	bare	bare	D-:----:--:u---	
3-4	lige	lige	D-:----:--:u---	
3-5	vænne	vænne	VI:----:-a:----	
3-6	mig	jeg	PP:s-uc:--:-1#-	
3-7	til	til	T-:----:--:----	
3-8	,	,	ZD	
3-9	at	at	CS:----:--:----	
3-10	den	den	PM:s-uc:--:----	
3-11	nye	ny	AC:sdu#:--:p---	
3-12	model	model|model-1a|model-2|model-1|model-3|model-F-stå-model-til|model-6-6a|model-5|model-4	NC:siuc:--:----	
3-13	har	have	VF:----:sa:----	
3-14	rullebremser	rullebremse	NC:piu#:--:----	
3-15	og	og	CC:----:--:----	
3-16	ikke	ikke	D-:----:--:u---	
3-17	nav	nav	NW:----:--:----	
3-18	-	-	ZH	
3-19	og	og	CC:----:--:----	
3-20	fodbremse	fodbremse	NC:siuc:--:----	
3-21	.	.	ZP	

#id=4
#text= Der er altså ikke noget som at skifte model .
4-1	Der	der	US:----:--:----	
4-2	er	være	:----:sa:----	
4-3	altså	altså	D-:----:--:u---	
4-4	ikke	ikke	D-:----:--:u---	
4-5	noget	nogen	PI:s-un:--:----	
4-6	som	som	US:----:--:----	
4-7	at	at	UI:----:--:----	
4-8	skifte	skifte	VI:----:-a:----	
4-9	model	model|model-1|model-1a|model-3|model-5|model-F-stå-model-til|model-6-6a|model-4|model-2	NC:siuc:--:----	
4-10	.	.	ZP	

#id=5
#text=Det er paradoksalt, at Danmark bevæger sig i dén retning (mod et privatiseret sundhedssystem, red.), samtidig at præsident Obama kæmper indædt for at ændre den amerikanske model i vores retning, fordi markedsstyringen på sundhedsområdet i USA har givet økonomisk perverse og socialt helt uacceptable resultater!
5-1	Det	det	PP:s-un:--:-3n-	
5-2	er	være	VF:----:sa:----	
5-3	paradoksalt	paradoksal	AC:siun:--:p---	
5-4	,	,	ZD	
5-5	at	at	CS:----:--:----	
5-6	Danmark	Danmark	NP:siu#:--:----	
5-7	bevæger	bevæge	VF:----:sa:----	
5-8	sig	sig	PP:#-u#:--:-3y-	
5-9	i	i	T-:----:--:----	
5-10	dén	den	PM:s-uc:--:----	
5-11	retning	retning	NC:siuc:--:----	
5-12	(	(	NP:siu#:--:----	
5-13	mod	mod	T-:----:--:----	
5-14	et	en	PI:s-un:--:----	
5-15	privatiseret	privatisere	VT:siu#:t-:----	
5-16	sundhedssystem	sundhedssystem	NC:siun:--:----	
5-17	,	,	ZD	
5-18	red	ride	VF:----:ta:----	
5-19	.	.	ZP	
5-20	)	)	NP:siu#:--:----	
5-21	,	,	ZD	
5-22	samtidig	samtidig	D-:----:--:u---	
5-23	at	at	CS:----:--:----	
5-24	præsident	præsident	NC:siuc:--:----	
5-25	Obama	Obama	NP:siu#:--:----	
