 # de.tudarmstadt.ukp.dkpro.core.api.segmentation.type.Lemma | value # de.tudarmstadt.ukp.dkpro.core.api.lexmorph.type.pos.POS | PosValue # webanno.custom.Lexi | Tag
#id=1
#text=Og så havde vi kursister den luksus også at have fire fantastiske modeller at arbejde med.
1-1	Og	og	CC:----:--:----	_	
1-2	så	så	D-:----:--:u---	_	
1-3	havde	have	VF:----:ta:----	_	
1-4	vi	vi	PP:p-nc:--:-1n-	_	
1-5	kursister	kursist	NC:piu#:--:----	_	
1-6	den	den	PM:s-uc:--:----	_	
1-7	luksus	luksus	NC:siuc:--:----	_	
1-8	også	også	D-:----:--:u---	_	
1-9	at	at	UI:----:--:----	_	
1-10	have	have	VI:----:-a:----	_	
1-11	fire	fire	LC:--u-:--:----	_	
1-12	fantastiske	fantastisk	AC:p#u#:--:p---	_	
1-13	modeller	model|model-3|model-F-stå-model-til|model-6-6a|model-5|model-4|model-2|model-1a|model-1	NC:piu#:--:----	model_5	
1-14	at	at	UI:----:--:----	_	
1-15	arbejde	arbejde	VI:----:-a:----	_	
1-16	med	med	T-:----:--:----	_	
1-17	.	.	ZP	_	

#id=2
#text=Efter at have talt og talt og talt om det i over et år (og lidt til) skiftede jeg nemlig model i dag.
2-1	Efter	efter	T-:----:--:----	_	
2-2	at	at	UI:----:--:----	_	
2-3	have	have	VI:----:-a:----	_	
2-4	talt	tale	VT:siu#:t-:----	_	
2-5	og	og	CC:----:--:----	_	
2-6	talt	tale	VT:siu#:t-:----	_	
2-7	og	og	CC:----:--:----	_	
2-8	talt	tale	VT:siu#:t-:----	_	
2-9	om	om	T-:----:--:----	_	
2-10	det	det	PP:s-un:--:-3n-	_	
2-11	i	i	T-:----:--:----	_	
2-12	over	over	T-:----:--:----	_	
2-13	et	en	PI:s-un:--:----	_	
2-14	år	år	NC:siun:--:----	_	
2-15	(	(	ZD	_	
2-16	og	og	CC:----:--:----	_	
2-17	lidt	lidt	AD:----:--:p---	_	
2-18	til	til	T-:----:--:----	_	
2-19	)	)	ZD	_	
2-20	skiftede	skifte	VF:----:ta:----	_	
2-21	jeg	jeg	PP:s-nc:--:-1n-	_	
2-22	nemlig	nemlig	D-:----:--:u---	_	
2-23	model	model|model-1|model-3|model-F-stå-model-til|model-6-6a|model-5|model-4|model-2|model-1a	NC:siuc:--:----	model_2	
2-24	i	i	T-:----:--:----	_	
2-25	dag	dag	NC:siuc:--:----	_	
2-26	.	.	ZP	_	

#id=3
#text= Jeg skal bare lige vænne mig til, at den nye model har rullebremser og ikke nav- og fodbremse.
3-1	Jeg	jeg	PP:s-nc:--:-1n-	_	
3-2	skal	skulle	VF:----:sa:----	_	
3-3	bare	bare	D-:----:--:u---	_	
3-4	lige	lige	D-:----:--:u---	_	
3-5	vænne	vænne	VI:----:-a:----	_	
3-6	mig	jeg	PP:s-uc:--:-1#-	_	
3-7	til	til	T-:----:--:----	_	
3-8	,	,	ZD	_	
3-9	at	at	CS:----:--:----	_	
3-10	den	den	PM:s-uc:--:----	_	
3-11	nye	ny	AC:sdu#:--:p---	_	
3-12	model	model|model-1a|model-2|model-1|model-3|model-F-stå-model-til|model-6-6a|model-5|model-4	NC:siuc:--:----	model_2	
3-13	har	have	VF:----:sa:----	_	
3-14	rullebremser	rullebremse	NC:piu#:--:----	_	
3-15	og	og	CC:----:--:----	_	
3-16	ikke	ikke	D-:----:--:u---	_	
3-17	nav	nav	NW:----:--:----	_	
3-18	-	-	ZH	_	
3-19	og	og	CC:----:--:----	_	
3-20	fodbremse	fodbremse	NC:siuc:--:----	_	
3-21	.	.	ZP	_	

#id=4
#text= Der er altså ikke noget som at skifte model .
4-1	Der	der	US:----:--:----	_	
4-2	er	være	:----:sa:----	_	
4-3	altså	altså	D-:----:--:u---	_	
4-4	ikke	ikke	D-:----:--:u---	_	
4-5	noget	nogen	PI:s-un:--:----	_	
4-6	som	som	US:----:--:----	_	
4-7	at	at	UI:----:--:----	_	
4-8	skifte	skifte	VI:----:-a:----	_	
4-9	model	model|model-1|model-1a|model-3|model-5|model-F-stå-model-til|model-6-6a|model-4|model-2	NC:siuc:--:----	model_2	
4-10	.	.	ZP	_	

#id=5
#text=Det er paradoksalt, at Danmark bevæger sig i dén retning (mod et privatiseret sundhedssystem, red.), samtidig at præsident Obama kæmper indædt for at ændre den amerikanske model i vores retning, fordi markedsstyringen på sundhedsområdet i USA har givet økonomisk perverse og socialt helt uacceptable resultater!
5-1	Det	det	PP:s-un:--:-3n-	_	
5-2	er	være	VF:----:sa:----	_	
5-3	paradoksalt	paradoksal	AC:siun:--:p---	_	
5-4	,	,	ZD	_	
5-5	at	at	CS:----:--:----	_	
5-6	Danmark	Danmark	NP:siu#:--:----	_	
5-7	bevæger	bevæge	VF:----:sa:----	_	
5-8	sig	sig	PP:#-u#:--:-3y-	_	
5-9	i	i	T-:----:--:----	_	
5-10	dén	den	PM:s-uc:--:----	_	
5-11	retning	retning	NC:siuc:--:----	_	
5-12	(	(	NP:siu#:--:----	_	
5-13	mod	mod	T-:----:--:----	_	
5-14	et	en	PI:s-un:--:----	_	
5-15	privatiseret	privatisere	VT:siu#:t-:----	_	
